Date,Open,High,Low,Close,Volume,Dividend
2015-12-17,38.75,38.75,36.12,36.12,1181540,0
2015-12-18,36.5,36.52,32.45,33.26,10198576,0
2015-12-21,34.03,34.65,33.44,33.81,3980291,0
2015-12-22,34.0,35.2,33.76,35.08,3044807,0
2015-12-23,35.1,37.07,35.05,36.96,2195946,0
2015-12-24,37.02,37.54,37.02,37.45,904599,0
2015-12-28,37.02,37.31,36.52,36.6,1196783,0
2015-12-29,36.6,37.94,36.6,37.67,967409,0
2015-12-30,38.22,38.73,37.53,38.22,1107124,0
2015-12-31,38.31,38.9,38.01,38.4,609677,0
2016-01-04,38.78,38.78,37.54,37.85,522297,0
2016-01-05,37.94,38.3,37.53,38.13,680342,0
2016-01-06,37.5,38.37,37.5,38.05,623893,0
2016-01-07,37.56,38.1,37.5,37.8,504376,0
2016-01-08,38.0,38.15,37.48,37.76,321448,0
2016-01-11,37.9,38.3,37.35,37.39,371927,0
2016-01-12,37.65,37.73,37.07,37.27,302085,0
2016-01-13,37.23,37.6,36.69,36.72,328171,0
2016-01-14,36.68,37.36,36.3,37.2,529457,0
2016-01-15,36.08,37.87,36.01,37.61,432003,0
2016-01-19,38.04,39.05,37.58,38.72,589320,0
2016-01-20,38.78,38.83,37.21,37.47,402408,0
2016-01-21,38.36,38.69,36.74,37.09,831681,0
2016-01-22,37.41,38.22,36.74,37.99,406635,0
2016-01-25,38.09,38.19,36.84,37.05,447055,0
2016-01-26,37.45,37.67,37.14,37.41,351982,0
2016-01-27,37.53,38.2,37.3,37.8,247947,0
2016-01-28,37.98,38.26,37.69,37.8,283294,0
2016-01-29,38.04,38.57,37.91,38.45,366101,0
2016-02-01,38.73,39.92,38.25,38.99,788819,0
2016-02-02,38.84,39.75,38.72,39.6,491886,0
2016-02-03,40.05,40.8,40.05,40.56,754548,0
2016-02-04,40.77,41.24,40.29,41.12,733184,0
2016-02-05,40.67,42.4,40.09,42.01,1030058,0
2016-02-08,41.99,42.0,40.37,41.47,691559,0
2016-02-09,41.36,42.09,40.22,41.24,697898,0
2016-02-10,41.25,41.83,40.83,41.58,224959,0
2016-02-11,41.54,41.54,40.63,40.93,603780,0
2016-02-12,41.06,41.06,40.47,40.59,413605,0
2016-02-16,40.98,41.0,40.2,40.65,607237,0
2016-02-17,41.55,41.55,40.5,41.31,455261,0
2016-02-18,41.49,41.94,41.14,41.5,634841,0
2016-02-19,41.25,41.69,40.72,41.56,802144,0
2016-02-22,38.0,39.23,37.54,38.75,1560800,0
2016-02-23,37.6,38.47,36.75,38.06,1101039,0
2016-02-24,37.4,39.45,37.06,39.26,952218,0
2016-02-25,39.5,39.59,38.68,39.03,577352,0
2016-02-26,38.75,39.2,38.5,38.93,598610,0
2016-02-29,38.85,39.21,38.73,38.79,716439,0
2016-03-01,39.18,39.4,38.14,38.58,689335,0
