Date,Open,High,Low,Close,Volume,Dividend
2015-06-26,16.05,17.88,15.9,16.88,9088360,0
2015-06-29,16.79,16.89,15.75,15.77,891382,0
2015-06-30,16.0,16.25,14.71,15.38,812934,0
2015-07-01,16.66,16.68,15.62,15.72,925250,0
2015-07-02,15.85,17.65,15.6,17.04,695279,0
2015-07-06,16.75,18.64,16.6,18.11,1145717,0
2015-07-07,18.78,19.15,17.0,17.63,965328,0
2015-07-08,17.36,17.69,16.75,17.39,579016,0
2015-07-09,17.52,17.96,16.3,16.45,329410,0
2015-07-10,16.73,17.0,15.7,16.15,418914,0
2015-07-13,16.3,16.7,15.8,16.21,249720,0
2015-07-14,16.23,17.65,15.84,17.59,541673,0
2015-07-15,17.6,17.95,17.04,17.09,256465,0
2015-07-16,17.31,17.5,16.61,17.18,340702,0
2015-07-17,17.17,17.96,16.9,17.73,262335,0
2015-07-20,18.0,18.85,17.37,18.78,400698,0
2015-07-21,18.68,18.68,17.2,18.0,685762,0
2015-07-22,18.38,18.38,17.74,17.99,299779,0
2015-07-23,18.07,18.46,17.27,17.74,486440,0
2015-07-24,17.81,18.0,17.3,17.63,158729,0
2015-07-27,17.31,17.76,17.08,17.15,185721,0
2015-07-28,17.37,17.46,16.71,17.08,371097,0
2015-07-29,17.14,18.04,16.91,18.02,353916,0
2015-07-30,17.87,18.35,17.34,18.28,238585,0
2015-07-31,18.24,18.94,18.01,18.53,473307,0
2015-08-03,18.5,18.79,18.06,18.28,282473,0
2015-08-04,18.32,18.32,17.6,18.23,153589,0
2015-08-05,18.4,18.91,18.07,18.86,275929,0
2015-08-06,18.93,18.99,17.34,17.47,476990,0
2015-08-07,17.55,17.96,16.36,17.03,703186,0
2015-08-10,17.28,17.68,17.06,17.54,227594,0
2015-08-11,17.34,17.4,16.91,17.25,273279,0
2015-08-12,17.0,17.22,16.56,16.82,189217,0
2015-08-13,16.8,16.8,16.1,16.44,324181,0
2015-08-14,16.36,17.02,16.22,16.91,115168,0
2015-08-17,16.83,17.26,16.52,16.84,78169,0
2015-08-18,16.77,17.44,16.69,17.18,120093,0
2015-08-19,17.02,17.5,17.0,17.44,84948,0
2015-08-20,17.18,17.44,16.58,16.76,200017,0
2015-08-21,16.3,16.75,16.19,16.46,406399,0
2015-08-24,15.05,17.06,10.26,16.01,325392,0
2015-08-25,16.62,16.89,15.5,15.93,249004,0
2015-08-26,16.37,16.45,15.6,16.29,280776,0
2015-08-27,16.44,17.0,16.23,16.9,82380,0
2015-08-28,16.89,16.95,16.41,16.8,166233,0
2015-08-31,16.58,17.11,16.58,17.02,79074,0
