Date,Open,High,Low,Close,Volume,Dividend
2011-04-20,23.25,23.82,23.0,23.5,9940036,0
2011-04-21,23.35,23.6,23.26,23.51,779536,0
2011-04-25,23.73,25.09,23.61,24.32,541492,0
2011-04-26,24.84,24.84,23.55,23.75,517508,0
2011-04-27,24.5,24.5,23.53,24.25,262892,0
2011-04-28,24.01,24.19,23.55,23.92,227759,0
2011-04-29,23.8,24.0,23.27,23.64,367532,0
2011-05-02,23.94,24.2,23.3,23.5,255714,0
2011-05-03,23.33,23.95,23.0,23.75,278463,0
2011-05-04,23.69,23.71,23.0,23.47,301084,0
2011-05-05,23.21,23.32,22.21,22.81,352881,0
2011-05-06,22.86,23.28,22.8,22.89,259298,0
2011-05-09,22.95,23.62,22.51,23.58,213343,0
2011-05-10,23.59,23.68,22.82,23.37,237755,0
2011-05-11,23.89,23.95,23.01,23.47,450291,0
2011-05-12,23.47,24.05,23.09,23.66,263201,0
2011-05-13,23.64,23.69,23.14,23.34,190863,0
2011-05-16,23.44,23.46,23.03,23.11,113239,0
2011-05-17,23.11,23.2,22.6,22.98,124121,0
2011-05-18,22.91,23.36,22.91,23.09,116695,0
2011-05-19,23.14,23.54,23.14,23.52,240149,0
2011-05-20,23.53,23.72,23.19,23.49,123783,0
2011-05-23,23.03,23.39,23.03,23.34,94828,0
2011-05-24,23.39,23.47,23.08,23.24,207830,0
2011-05-25,23.09,23.48,23.09,23.24,151237,0
2011-05-26,23.13,23.44,23.13,23.36,71436,0
2011-05-27,23.33,24.5,23.3,24.49,208972,0
2011-05-31,24.53,25.23,24.24,24.84,226776,0
2011-06-01,25.02,25.67,24.57,25.19,603250,0
2011-06-02,25.23,25.46,24.19,25.04,200217,0
2011-06-03,24.35,25.15,24.29,24.82,103986,0
2011-06-06,24.69,24.7,24.01,24.12,122402,0
2011-06-07,24.25,25.06,24.21,24.42,40899,0
2011-06-08,24.98,24.98,24.15,24.3,63801,0
2011-06-09,24.37,25.0,24.03,24.99,164305,0
2011-06-10,24.76,24.87,24.25,24.35,46715,0
2011-06-13,24.3,24.47,24.03,24.24,42741,0
2011-06-14,24.49,24.63,24.11,24.3,57393,0
2011-06-15,23.97,24.23,23.51,23.82,98718,0
2011-06-16,23.56,23.97,23.21,23.7,66276,0
2011-06-17,23.6,24.1,23.6,23.8,38875,0
2011-06-20,23.61,24.65,23.4,24.44,90688,0
2011-06-21,24.36,24.83,24.1,24.2,83292,0
2011-06-22,24.06,24.46,23.95,24.0,69993,0
2011-06-23,23.68,24.02,23.5,23.93,66135,0
2011-06-24,24.0,24.17,23.85,24.12,36315,0
2011-06-27,24.66,24.66,24.13,24.33,58830,0
2011-06-28,24.07,24.76,23.83,24.76,83398,0
2011-06-29,24.97,24.97,24.49,24.95,44422,0
2011-06-30,24.94,25.0,24.03,24.35,58017,0
2011-07-01,24.32,24.89,24.32,24.76,13650,0
2011-07-05,24.81,25.01,24.7,24.9,50165,0
2011-07-06,24.89,24.89,24.25,24.55,90760,0
2011-07-07,24.9,24.93,24.55,24.61,54964,0
2011-07-08,24.55,25.0,24.24,24.98,108678,0
2011-07-11,24.67,24.97,24.37,24.71,79647,0
2011-07-12,24.68,25.02,24.51,25.02,87712,0
2011-07-13,24.82,25.2,24.7,25.01,109254,0
2011-07-14,25.2,25.34,25.0,25.24,57080,0
2011-07-15,25.25,25.58,25.2,25.3,30283,0
2011-07-18,25.3,25.48,25.04,25.29,82514,0
2011-07-19,25.2,25.39,25.03,25.25,103129,0
2011-07-20,25.22,25.3,25.0,25.21,101854,0
2011-07-21,25.02,25.28,24.73,24.73,90881,0
2011-07-22,24.98,25.0,24.73,24.83,82124,0
2011-07-25,24.8,25.14,24.73,24.82,70803,0
2011-07-26,24.83,24.84,24.49,24.7,66576,0
2011-07-27,24.5,24.8,24.28,24.44,128143,0
2011-07-28,24.52,24.9,24.27,24.5,39010,0
2011-07-29,24.5,24.7,23.45,24.6,108820,0
2011-08-01,24.7,24.95,24.5,24.52,22260,0
2011-08-02,24.39,24.73,23.76,24.03,91540,0
2011-08-03,23.88,24.0,23.71,23.9,150745,0
2011-08-04,23.82,24.29,23.36,23.7,104669,0
2011-08-05,23.85,23.88,22.47,22.94,129848,0
2011-08-08,22.5,23.61,21.07,21.34,187409,0
2011-08-09,21.4,23.16,21.22,22.99,185602,0
2011-08-10,22.99,23.27,22.53,23.0,166268,0
2011-08-11,23.18,24.26,22.95,24.01,47428,0
2011-08-12,24.17,24.3,23.72,24.2,46901,0
2011-08-15,24.44,24.58,23.63,24.26,51978,0
2011-08-16,24.05,24.25,23.8,23.99,52582,0
2011-08-17,24.01,24.33,23.61,24.0,115499,0
2011-08-18,23.66,23.95,23.25,23.66,59384,0
2011-08-19,23.45,23.55,22.97,23.1,143237,0
2011-08-22,23.25,23.43,22.6,22.9,79619,0
2011-08-23,23.16,23.65,22.64,22.87,38975,0
2011-08-24,23.06,23.18,22.64,22.89,44700,0
2011-08-25,22.99,23.22,22.43,23.0,102882,0
2011-08-26,22.95,23.23,22.76,22.9,141254,0
2011-08-29,23.0,23.19,22.9,22.95,164191,0
2011-08-30,22.91,23.83,22.84,23.3,44870,0
2011-08-31,23.46,23.7,23.39,23.44,30134,0
2011-09-01,23.39,23.88,23.26,23.3,120269,0
2011-09-02,23.02,23.9,22.95,23.38,31819,0
2011-09-06,23.1,23.5,23.0,23.23,120631,0
2011-09-07,23.41,23.76,23.17,23.51,95789,0
2011-09-08,23.38,23.79,23.38,23.72,29548,0
2011-09-09,23.57,23.97,23.54,23.64,32296,0
2011-09-12,23.5,24.08,23.33,23.77,111540,0
2011-09-13,23.99,24.35,23.56,24.09,41424,0
2011-09-14,24.2,24.38,23.75,24.24,18805,0
2011-09-15,24.35,24.57,24.25,24.25,40965,0
2011-09-16,24.39,24.86,24.04,24.15,36044,0
2011-09-19,24.0,24.35,23.56,24.09,42465,0
2011-09-20,24.26,24.5,24.02,24.23,92845,0
2011-09-21,24.21,24.82,23.92,24.2,139900,0
2011-09-22,23.82,24.13,23.56,24.13,48402,0
2011-09-23,23.89,24.06,23.66,24.06,32777,0
2011-09-26,23.88,24.05,23.46,23.65,19740,0
2011-09-27,23.9,24.07,23.66,23.75,27487,0
2011-09-28,23.7,23.91,23.49,23.51,53510,0
2011-09-29,23.79,23.79,23.41,23.53,28125,0
2011-09-30,23.36,24.15,23.32,23.82,38969,0
2011-10-03,23.55,24.12,23.49,23.65,24302,0
2011-10-04,23.27,23.27,22.41,23.0,113935,0
2011-10-05,22.8,23.58,22.72,23.37,38949,0
2011-10-06,23.42,23.61,23.18,23.53,17750,0
2011-10-07,23.55,23.56,22.88,22.88,46407,0
2011-10-10,22.96,23.35,22.51,23.12,47905,0
2011-10-11,22.91,23.47,22.77,23.25,181496,0
2011-10-12,23.33,23.5,23.13,23.27,41870,0
2011-10-13,23.44,24.02,23.21,24.0,120854,0
2011-10-14,24.35,25.38,23.75,25.14,105266,0
2011-10-17,25.23,25.79,25.14,25.25,72468,0
2011-10-18,25.21,25.46,25.17,25.2,45963,0
2011-10-19,25.31,25.55,25.25,25.3,17019,0
2011-10-20,25.14,25.33,25.1,25.16,28190,0
2011-10-21,25.86,25.86,25.22,25.55,28189,0
2011-10-24,25.39,26.12,25.39,25.94,52153,0
2011-10-25,25.84,26.1,24.8,25.03,86410,0
2011-10-26,25.34,25.85,25.34,25.73,29490,0
2011-10-27,26.12,26.49,25.6,26.2,46317,0
2011-10-28,25.95,26.68,25.95,26.58,63019,0
2011-10-31,26.47,26.86,26.28,26.8,61309,0
2011-11-01,26.69,26.69,26.31,26.5,33839,0
2011-11-02,26.47,26.47,25.74,26.28,22202,0
2011-11-03,26.5,27.18,26.42,26.81,71250,0
2011-11-04,26.79,26.97,26.26,26.47,43949,0
2011-11-07,26.4,26.61,26.21,26.61,8910,0
2011-11-08,26.61,27.43,25.99,26.85,67807,0
2011-11-09,25.78,26.69,25.1,26.16,92401,0
2011-11-10,27.25,27.35,26.5,27.13,39424,0
2011-11-11,27.34,27.75,26.68,27.45,28070,0
2011-11-14,27.5,27.63,26.7,27.03,14481,0
2011-11-15,26.8,27.35,26.72,26.9,32013,0
2011-11-16,26.86,27.48,26.59,27.45,22441,0
2011-11-17,27.35,27.75,27.35,27.58,29687,0
2011-11-18,27.61,27.75,26.1,27.26,40044,0
2011-11-21,27.2,27.85,26.39,27.85,23712,0
2011-11-22,27.87,28.45,27.65,27.98,27797,0
2011-11-23,27.9,28.53,27.7,27.89,22904,0
2011-11-25,27.83,28.09,27.7,27.7,3262,0
2011-11-28,27.85,28.13,27.57,27.96,29247,0
2011-11-29,27.99,28.1,27.44,27.81,16771,0
2011-11-30,28.1,28.52,26.98,27.26,26776,0
2011-12-01,27.16,28.49,27.16,28.31,82612,0
2011-12-02,28.56,29.0,27.97,28.43,54004,0
2011-12-05,28.7,29.55,28.39,29.01,71639,0
2011-12-06,29.22,29.96,29.14,29.58,60052,0
2011-12-07,29.94,30.3,29.51,29.82,52182,0
2011-12-08,29.63,30.61,29.5,30.53,33105,0
2011-12-09,30.26,31.89,29.78,31.74,49554,0
2011-12-12,31.95,31.95,30.6,31.56,82687,0
2011-12-13,31.72,32.95,31.45,32.0,81478,0
2011-12-14,32.0,33.0,31.4,33.0,77013,0
2011-12-15,32.84,33.39,32.0,33.39,63511,0
2011-12-16,33.2,34.4,32.9,33.4,126596,0
2011-12-19,33.45,33.45,32.3,32.65,47518,0
2011-12-20,32.66,32.97,32.02,32.69,45670,0
2011-12-21,32.51,34.0,32.5,33.38,67541,0
2011-12-22,33.74,33.74,32.95,33.28,33194,0
2011-12-23,33.42,33.42,33.05,33.19,13220,0
2011-12-27,33.01,33.6,32.34,33.02,42943,0
2011-12-28,32.76,33.1,32.34,33.0,19009,0
2011-12-29,32.95,33.28,32.65,33.12,52911,0
2011-12-30,33.15,33.2,32.01,32.9,32027,0
2012-01-03,33.35,33.96,32.42,33.5,119416,0
2012-01-04,33.96,34.76,33.48,34.25,142020,0
2012-01-05,34.09,34.4,33.3,33.4,75331,0
2012-01-06,33.6,34.0,32.39,32.77,79411,0
2012-01-09,32.7,32.87,31.78,32.5,111678,0
2012-01-10,32.36,33.1,32.05,32.65,60867,0
2012-01-11,32.5,32.5,31.87,31.89,54506,0
2012-01-12,31.96,32.11,31.26,31.95,55206,0
2012-01-13,32.0,32.05,31.22,31.53,49977,0
2012-01-17,32.45,32.85,31.24,32.3,125260,0
2012-01-18,32.59,32.79,31.94,31.99,66409,0
2012-01-19,32.07,32.99,32.07,32.55,47099,0
2012-01-20,32.5,33.18,31.82,32.2,73770,0
2012-01-23,32.48,32.92,31.8,32.51,90454,0
2012-01-24,32.48,32.68,32.1,32.35,64894,0
2012-01-25,32.26,32.68,32.0,32.31,44610,0
2012-01-26,32.63,33.1,32.48,32.87,78209,0
2012-01-27,32.83,33.75,32.71,32.91,51560,0
2012-01-30,32.7,33.01,32.46,32.82,48025,0
2012-01-31,32.97,33.21,32.09,33.18,47962,0
2012-02-01,33.2,33.2,32.55,33.0,51855,0
2012-02-02,33.09,33.53,32.77,33.2,41575,0
2012-02-03,33.25,33.5,32.91,33.37,44902,0
2012-02-06,33.12,33.62,32.79,33.6,38841,0
2012-02-07,33.69,33.88,33.0,33.38,58771,0
2012-02-08,33.44,33.61,33.15,33.57,69380,0
2012-02-09,33.52,34.53,33.44,34.07,128537,0
2012-02-10,34.48,34.64,33.91,34.63,42582,0
2012-02-13,34.95,35.48,34.81,34.96,110930,0
2012-02-14,35.08,35.5,34.65,35.44,52007,0
2012-02-15,35.39,35.9,35.06,35.78,58357,0
2012-02-16,35.57,37.33,35.34,36.95,140295,0
2012-02-17,36.94,37.14,36.02,36.34,41341,0
2012-02-21,36.52,36.68,35.98,36.48,35927,0
2012-02-22,36.94,37.09,36.1,36.2,53152,0
2012-02-23,36.42,37.04,36.0,36.5,49573,0
2012-02-24,36.5,36.8,36.28,36.68,40337,0
2012-02-27,36.83,36.89,36.44,36.54,32153,0
2012-02-28,36.5,36.96,36.06,36.63,60640,0
2012-02-29,36.73,36.73,36.34,36.5,29365,0
2012-03-01,36.7,36.86,36.4,36.79,64542,0
2012-03-02,36.73,36.99,36.65,36.74,44603,0
2012-03-05,36.83,36.91,36.33,36.38,38804,0
2012-03-06,36.13,36.2,34.57,36.0,42818,0
2012-03-07,35.92,36.92,35.92,36.3,31814,0
2012-03-08,36.48,36.49,35.95,36.1,27306,0
2012-03-09,36.21,36.31,35.75,36.15,50588,0
2012-03-12,36.21,36.3,35.92,36.11,15845,0
2012-03-13,36.25,36.25,35.6,36.0,30248,0
2012-03-14,36.09,36.09,35.5,35.7,19735,0
2012-03-15,35.64,35.99,35.5,35.89,20873,0
2012-03-16,36.07,36.26,35.7,35.94,137170,0
2012-03-19,36.02,36.88,35.47,36.74,170936,0
2012-03-20,36.82,36.98,36.72,36.83,34671,0
2012-03-21,36.82,36.99,36.26,36.26,33803,0
2012-03-22,36.09,36.09,35.61,35.7,32060,0
2012-03-23,35.5,35.9,35.32,35.72,31316,0
2012-03-26,35.8,36.01,35.26,35.64,22788,0
2012-03-27,35.37,35.55,35.31,35.5,21372,0
2012-03-28,35.49,35.49,34.01,34.57,33124,0
2012-03-29,34.5,34.5,33.27,34.24,56354,0
2012-03-30,34.26,36.18,33.86,34.97,49747,0
2012-04-02,35.18,35.33,34.5,34.73,41785,0
2012-04-03,34.75,35.87,34.51,34.96,47238,0
2012-04-04,34.71,36.14,34.7,36.14,49044,0
2012-04-05,36.18,36.55,35.77,36.18,24002,0
2012-04-09,35.3,35.6,35.3,35.53,19267,0
2012-04-10,35.59,35.93,34.87,35.16,51970,0
2012-04-11,35.5,35.84,34.54,35.84,28092,0
2012-04-12,35.78,36.38,35.59,36.23,24422,0
2012-04-13,36.03,36.03,35.33,35.43,18922,0
2012-04-16,35.58,35.78,34.87,35.0,7276,0
2012-04-17,35.86,35.88,35.05,35.05,21874,0
2012-04-18,35.14,35.64,34.28,34.58,17431,0
2012-04-19,34.71,35.5,34.71,35.47,22309,0
2012-04-20,35.27,35.98,35.27,35.38,27398,0
2012-04-23,35.5,35.6,34.81,35.21,36654,0
2012-04-24,35.36,35.57,34.45,35.12,54367,0
2012-04-25,36.22,36.22,35.28,35.28,39004,0
2012-04-26,35.25,35.48,35.05,35.36,20118,0
2012-04-27,35.44,35.5,35.25,35.25,19811,0
2012-04-30,35.3,35.47,35.03,35.35,60900,0
2012-05-01,35.4,35.48,35.16,35.45,45728,0
2012-05-02,35.45,35.45,35.06,35.28,33324,0
2012-05-03,35.28,35.58,34.85,34.99,20526,0
2012-05-04,34.83,35.16,34.24,34.28,40768,0
2012-05-07,34.14,34.97,34.03,34.73,34429,0
2012-05-08,34.68,34.68,33.0,33.78,48434,0
2012-05-09,33.7,34.0,32.06,33.93,89156,0
2012-05-10,34.34,34.34,33.0,33.55,29305,0
2012-05-11,33.32,34.08,33.32,33.72,9582,0
2012-05-14,33.8,33.8,32.47,32.96,38231,0
2012-05-15,33.11,33.4,32.85,33.3,29248,0
2012-05-16,33.03,33.25,32.36,32.65,20457,0
2012-05-17,32.44,33.69,32.44,32.89,30415,0
2012-05-18,32.77,32.92,32.3,32.7,20018,0
2012-05-21,32.38,33.59,32.0,33.24,25252,0
2012-05-22,33.42,33.42,32.65,32.9,19287,0
2012-05-23,32.7,33.0,32.34,32.92,38679,0
2012-05-24,32.7,32.85,32.57,32.74,38207,0
2012-05-25,32.75,32.75,32.05,32.4,54297,0
2012-05-29,32.38,32.64,32.07,32.24,23153,0
2012-05-30,32.29,32.29,31.26,31.84,45270,0
2012-05-31,31.65,31.67,30.42,31.53,96495,0
2012-06-01,31.41,31.41,29.61,30.64,112552,0
2012-06-04,30.38,30.64,29.33,30.21,168993,0
2012-06-05,30.2,30.74,29.58,30.63,131528,0
2012-06-06,30.51,30.65,30.01,30.3,108859,0
2012-06-07,30.01,30.5,29.83,30.1,91923,0
2012-06-08,29.27,30.5,29.25,30.25,146359,0
2012-06-11,30.55,31.17,30.25,30.65,46082,0
2012-06-12,30.45,31.05,30.24,30.9,39007,0
2012-06-13,30.6,31.19,30.44,30.75,11863,0
2012-06-14,30.88,31.23,30.27,31.23,36915,0
2012-06-15,31.3,31.4,30.65,31.24,43993,0
2012-06-18,31.04,31.04,30.27,30.81,23595,0
2012-06-19,30.88,32.11,30.88,31.84,20391,0
2012-06-20,31.9,31.9,30.63,31.3,63071,0
2012-06-21,31.39,31.98,30.46,31.06,25234,0
