Date,Open,High,Low,Close,Volume,Dividend
1995-01-03,1.94,1.94,1.94,1.94,400,0
1995-01-04,1.88,1.88,1.88,1.88,0,0
1995-01-05,1.81,1.81,1.81,1.81,1200,0
1995-01-06,1.81,1.81,1.81,1.81,4400,0
1995-01-09,1.81,1.81,1.75,1.75,2400,0
1995-01-10,1.62,1.88,1.62,1.62,8400,0
1995-01-11,1.62,1.62,1.62,1.62,0,0
1995-01-12,1.5,1.73,1.5,1.73,400,0
1995-01-13,1.73,1.73,1.73,1.73,0,0
1995-01-16,1.75,1.75,1.56,1.56,1200,0
1995-01-17,1.56,1.56,1.56,1.56,0,0
1995-01-18,1.62,1.62,1.5,1.5,7200,0
1995-01-19,1.5,1.5,1.5,1.5,0,0
1995-01-20,1.31,1.44,1.31,1.44,24800,0
1995-01-23,1.38,1.38,1.38,1.38,0,0
1995-01-24,1.38,1.38,1.38,1.38,800,0
1995-01-25,1.38,1.38,1.38,1.38,800,0
1995-01-26,1.38,1.38,1.38,1.38,2000,0
1995-01-27,1.56,1.56,1.38,1.38,10800,0
1995-01-30,1.38,1.56,1.38,1.5,14400,0
1995-01-31,1.62,1.62,1.56,1.62,4800,0
1995-02-01,1.56,1.56,1.56,1.56,400,0
1995-02-02,1.69,1.69,1.69,1.69,6000,0
1995-02-03,1.69,1.69,1.69,1.69,6400,0
1995-02-06,1.69,1.69,1.69,1.69,0,0
1995-02-07,1.62,1.62,1.62,1.62,800,0
1995-02-08,1.62,1.62,1.62,1.62,2000,0
1995-02-09,1.75,1.75,1.62,1.72,19600,0
1995-02-10,1.72,1.72,1.72,1.72,0,0
1995-02-13,1.69,1.69,1.69,1.69,10800,0
1995-02-14,1.81,1.81,1.81,1.81,400,0
1995-02-15,1.81,1.81,1.81,1.81,0,0
1995-02-16,1.81,1.81,1.81,1.81,0,0
1995-02-17,1.62,1.62,1.62,1.62,7200,0
1995-02-21,1.62,1.69,1.62,1.69,3200,0
1995-02-22,1.69,1.69,1.5,1.5,11200,0
