Date,Open,High,Low,Close,Volume,Dividend
2000-08-03,26.5,29.5,26.5,29.25,4573200,0
2000-08-04,29.25,30.0,28.62,29.12,3573300,0
2000-08-07,28.75,29.19,28.25,29.19,2227500,0
2000-08-08,29.19,29.56,29.0,29.5,2360400,0
2000-08-09,29.5,29.5,29.5,29.5,0,0
2000-08-10,19.25,20.25,19.0,19.75,5556200,0
2000-08-11,19.56,19.63,19.31,19.38,890100,0
2000-08-14,19.25,19.69,19.0,19.69,323300,0
2000-08-15,19.5,21.5,19.44,21.0,380700,0
2000-08-16,21.13,22.31,21.13,22.25,99800,0
2000-08-17,23.0,23.31,22.63,22.75,244200,0
2000-08-18,22.63,23.5,22.38,23.38,99300,0
2000-08-21,23.5,24.81,23.5,24.0,569100,0
2000-08-22,24.0,24.38,23.94,24.38,76600,0
2000-08-23,24.31,24.69,24.06,24.63,408900,0
2000-08-24,24.44,24.75,24.38,24.63,156500,0
2000-08-25,24.69,24.75,23.88,24.13,238300,0
2000-08-28,24.25,24.38,24.0,24.13,46900,0
2000-08-29,24.06,24.19,23.63,23.88,171900,0
2000-08-30,23.63,24.5,23.19,24.38,188000,0
2000-08-31,24.88,25.75,24.13,25.75,230900,0
2000-09-01,25.56,26.25,25.31,26.0,313500,0
2000-09-05,25.63,25.94,23.69,23.75,247900,0
2000-09-06,23.88,24.0,21.38,21.88,251000,0
2000-09-07,21.88,22.81,21.88,22.69,143300,0
2000-09-08,22.94,23.13,22.81,23.06,27400,0
2000-09-11,23.0,23.38,22.56,22.94,32700,0
2000-09-12,22.88,22.88,22.0,22.25,183900,0
2000-09-13,22.38,22.63,21.94,22.5,80900,0
2000-09-14,22.5,22.75,22.44,22.63,76400,0
2000-09-15,22.75,22.75,22.44,22.56,51600,0
2000-09-18,22.56,22.63,22.0,22.0,341400,0
2000-09-19,22.0,22.06,21.81,21.94,101800,0
2000-09-20,21.94,21.94,21.44,21.5,13500,0
