Date,Open,High,Low,Close,Volume,Dividend
1995-01-03,17.13,17.25,17.13,17.13,77252,0
1995-01-04,16.87,16.87,16.87,16.87,1001,0
1995-01-05,16.87,16.87,16.75,16.87,48922,0
1995-01-06,16.87,16.87,16.87,16.87,9892,0
1995-01-09,16.87,17.13,16.87,17.13,5389,0
1995-01-10,16.87,16.87,15.75,15.75,23518,0
1995-01-11,15.63,15.63,13.75,14.75,62625,0
1995-01-12,14.87,16.38,14.87,16.38,51617,0
1995-01-13,16.62,17.25,16.62,17.25,7506,0
1995-01-16,17.25,17.37,17.13,17.25,34219,0
1995-01-17,17.25,17.5,17.25,17.37,59738,0
1995-01-18,17.37,17.37,17.13,17.25,21594,0
1995-01-19,17.25,17.5,17.25,17.5,28406,0
1995-01-20,17.37,17.37,17.25,17.25,1001,0
1995-01-23,17.25,17.37,16.75,17.37,5774,0
1995-01-24,17.63,17.75,17.63,17.63,11894,0
1995-01-25,17.63,18.12,17.63,17.75,14588,0
1995-01-26,17.75,17.87,17.75,17.75,693,0
1995-01-27,17.87,17.87,17.87,17.87,1386,0
1995-01-30,17.75,17.75,17.13,17.13,43226,0
1995-01-31,17.37,17.37,17.37,17.37,693,0
1995-02-01,17.63,18.12,17.63,18.12,46805,0
1995-02-02,18.12,18.38,17.87,18.38,28599,0
1995-02-03,18.38,18.38,18.38,18.38,1001,0
1995-02-06,18.25,18.25,18.0,18.12,31101,0
1995-02-07,18.0,18.0,17.75,17.75,577,0
1995-02-08,18.0,18.0,18.0,18.0,1193,0
1995-02-09,18.0,18.0,18.0,18.0,1001,0
1995-02-10,17.87,17.87,17.75,17.87,10393,0
1995-02-13,17.87,17.87,17.75,17.87,2694,0
1995-02-14,17.63,17.63,17.63,17.63,26020,0
1995-02-15,17.75,17.75,17.75,17.75,577,0
1995-02-16,17.37,17.37,16.87,17.13,10778,0
1995-02-17,16.87,16.87,16.62,16.62,17975,0
1995-02-21,16.38,16.38,16.38,16.38,2271,0
1995-02-22,16.25,16.25,15.5,15.5,82756,0
