Date,Open,High,Low,Close,Volume,Dividend
1995-01-03,17.0,17.0,16.88,17.0,38200,0
1995-01-04,17.0,17.25,16.88,17.25,25100,0
1995-01-05,17.12,17.38,17.12,17.12,12800,0
1995-01-06,17.12,17.5,17.12,17.5,47900,0
1995-01-09,17.5,17.62,17.25,17.62,49800,0
1995-01-10,17.5,17.62,17.0,17.0,42800,0
1995-01-11,17.0,17.38,17.0,17.12,34200,0
1995-01-12,17.25,17.38,17.25,17.25,20900,0
1995-01-13,17.25,17.88,17.25,17.88,75600,0
1995-01-16,18.0,18.38,18.0,18.38,49600,0
1995-01-17,18.38,18.38,18.0,18.0,36200,0
1995-01-18,18.0,18.62,18.0,18.25,50100,0
1995-01-19,18.25,18.5,18.25,18.38,30100,0
1995-01-20,18.5,18.5,18.25,18.25,24600,0
1995-01-23,18.38,18.75,18.0,18.75,33200,0
1995-01-24,18.62,18.75,18.5,18.62,55600,0
1995-01-25,18.62,19.25,18.62,18.88,47200,0
1995-01-26,18.88,19.38,18.88,19.25,80400,0
1995-01-27,19.25,19.38,19.25,19.25,130100,0
1995-01-30,19.38,19.5,19.25,19.38,100700,0
1995-01-31,19.25,19.5,19.25,19.25,98300,0
1995-02-01,19.5,19.75,19.38,19.62,55000,0
1995-02-02,19.62,19.62,19.5,19.5,107400,0
1995-02-03,19.5,20.0,19.5,20.0,146000,0
1995-02-06,19.88,20.38,19.88,20.25,80100,0
1995-02-07,20.25,20.5,20.25,20.5,137500,0
1995-02-08,20.38,21.0,20.25,21.0,143300,0
1995-02-09,21.12,21.25,20.88,21.0,134000,0
1995-02-10,21.0,21.0,20.38,20.5,64400,0
1995-02-13,20.5,20.75,20.25,20.38,101600,0
1995-02-14,20.38,20.62,20.25,20.25,53000,0
1995-02-15,20.25,20.5,20.25,20.5,47400,0
1995-02-16,20.5,20.5,20.25,20.38,185700,0
1995-02-17,20.38,20.5,20.25,20.5,58600,0
1995-02-21,20.38,20.62,20.25,20.5,72100,0
1995-02-22,20.5,20.75,20.5,20.5,61700,0
1995-02-23,20.62,20.88,20.62,20.62,35100,0
1995-02-24,20.62,20.75,20.62,20.62,63200,0
1995-02-27,20.62,20.75,20.5,20.5,26900,0
1995-02-28,20.5,21.0,20.5,21.0,72000,0
1995-03-01,20.88,21.38,20.75,20.88,52200,0
1995-03-02,20.88,21.38,20.88,21.0,68700,0
1995-03-03,20.88,21.12,20.75,21.0,61300,0
1995-03-06,20.88,21.0,20.5,20.62,62100,0
1995-03-07,20.75,20.88,20.62,20.75,66000,0
1995-03-08,20.62,21.38,20.62,21.12,117900,0
1995-03-09,21.0,21.25,21.0,21.0,41700,0
1995-03-10,21.0,21.0,20.88,20.88,25500,0
1995-03-13,20.75,20.75,20.5,20.75,83100,0
1995-03-14,20.75,20.88,20.62,20.88,60300,0
1995-03-15,20.75,20.88,20.75,20.75,36300,0
1995-03-16,20.88,20.88,20.62,20.88,39800,0
1995-03-17,20.88,20.88,20.75,20.75,34600,0
1995-03-20,20.75,21.0,20.75,20.88,73700,0
1995-03-21,20.75,20.88,20.75,20.75,93400,0
1995-03-22,20.75,20.88,20.75,20.88,34200,0
1995-03-23,20.75,21.38,20.75,21.12,69900,0
1995-03-24,21.12,21.75,21.12,21.75,43700,0
1995-03-27,21.88,22.12,21.62,22.0,158400,0
1995-03-28,22.0,22.12,21.5,21.75,87000,0
1995-03-29,21.88,22.12,21.62,22.12,85800,0
1995-03-30,21.88,22.0,21.62,21.88,43800,0
1995-03-31,21.62,21.62,21.25,21.5,24100,0
1995-04-03,21.62,21.62,20.88,21.25,42900,0
1995-04-04,21.75,21.75,21.38,21.5,26400,0
1995-04-05,21.5,22.0,21.5,21.88,113400,0
1995-04-06,21.88,22.38,21.88,22.38,301600,0
1995-04-07,22.38,22.88,22.38,22.5,121500,0
1995-04-10,22.5,22.88,22.5,22.62,62000,0
1995-04-11,22.62,23.0,22.62,22.75,105800,0
1995-04-12,23.0,23.88,22.75,23.5,290200,0
1995-04-13,23.25,24.12,23.25,24.0,233500,0
1995-04-17,24.12,24.62,24.0,24.38,416000,0
1995-04-18,24.0,24.0,23.38,23.62,214800,0
1995-04-19,23.75,24.62,23.75,24.38,187900,0
1995-04-20,24.25,24.38,23.62,23.75,100600,0
1995-04-21,23.62,24.25,23.25,24.0,153800,0
1995-04-24,24.0,24.12,23.62,23.62,102500,0
1995-04-25,23.62,23.62,23.25,23.38,65700,0
1995-04-26,23.38,24.5,23.25,24.5,174900,0
1995-04-27,24.25,24.38,24.0,24.0,77200,0
1995-04-28,24.12,24.12,23.75,24.0,63000,0
1995-05-01,23.75,24.88,23.75,24.88,150700,0
1995-05-02,24.75,25.0,24.5,24.88,134900,0
1995-05-03,24.62,24.75,24.12,24.38,191200,0
1995-05-04,24.38,24.75,24.12,24.5,102300,0
1995-05-05,24.5,24.75,24.38,24.5,80100,0
1995-05-08,24.5,24.75,24.38,24.62,91700,0
1995-05-09,24.5,25.38,24.5,25.12,282900,0
1995-05-10,25.12,25.75,25.0,25.62,206800,0
1995-05-11,25.5,25.62,25.0,25.62,104500,0
1995-05-12,25.5,25.62,25.25,25.62,112500,0
1995-05-15,25.5,26.25,25.5,26.12,169200,0
1995-05-16,26.12,26.25,25.75,25.88,125700,0
1995-05-17,25.75,26.25,25.25,26.25,148100,0
1995-05-18,26.25,26.25,25.38,25.5,67200,0
1995-05-19,25.38,25.5,25.12,25.5,87900,0
1995-05-22,25.5,25.75,25.5,25.5,103200,0
1995-05-23,25.62,25.62,24.88,25.0,60800,0
1995-05-24,24.88,24.88,24.38,24.62,117200,0
1995-05-25,24.5,24.62,24.25,24.5,95600,0
1995-05-26,23.88,24.0,23.62,23.62,139900,0
1995-05-30,24.25,24.88,24.12,24.75,196800,0
1995-05-31,24.75,25.0,24.5,24.88,133600,0
1995-06-01,24.75,24.88,24.38,24.88,95400,0
1995-06-02,24.88,24.88,24.5,24.62,42300,0
1995-06-05,24.38,24.5,24.12,24.38,65700,0
1995-06-06,24.38,24.5,24.25,24.38,39500,0
1995-06-07,24.5,24.5,24.12,24.25,56600,0
1995-06-08,24.25,24.38,24.12,24.12,35200,0
1995-06-09,24.0,24.12,23.75,23.88,47200,0
1995-06-12,24.0,24.25,23.88,24.12,37100,0
1995-06-13,24.12,24.5,24.0,24.5,110200,0
1995-06-14,24.5,24.75,24.38,24.62,56200,0
1995-06-15,24.62,24.75,24.5,24.75,50500,0
1995-06-16,24.62,24.88,24.62,24.88,75200,0
1995-06-19,24.88,25.5,24.88,25.5,131900,0
1995-06-20,25.25,25.5,25.12,25.25,147700,0
1995-06-21,25.5,25.5,24.75,24.75,77900,0
1995-06-22,24.88,25.75,24.75,25.62,149500,0
1995-06-23,25.75,25.75,25.38,25.38,71500,0
1995-06-26,25.5,25.5,25.25,25.25,59400,0
1995-06-27,25.25,25.5,25.12,25.25,41000,0
1995-06-28,25.25,25.5,25.25,25.25,26300,0
1995-06-29,25.38,25.75,25.25,25.62,132300,0
1995-06-30,25.62,25.62,25.12,25.25,39500,0
1995-07-03,25.38,25.38,24.88,25.12,25400,0
1995-07-05,25.12,25.12,25.0,25.0,49700,0
1995-07-06,25.0,25.12,24.75,25.0,72600,0
1995-07-07,25.12,25.62,25.12,25.62,99600,0
1995-07-10,25.88,26.0,25.5,25.5,155300,0
1995-07-11,25.5,25.88,25.5,25.75,173300,0
1995-07-12,25.62,26.12,25.5,26.12,184200,0
1995-07-13,26.12,26.38,26.0,26.25,126500,0
1995-07-14,26.25,26.5,26.25,26.5,194200,0
1995-07-17,26.38,27.0,26.25,26.75,167400,0
1995-07-18,26.88,27.12,26.75,26.75,107100,0
1995-07-19,26.62,26.75,25.75,26.25,165600,0
1995-07-20,26.38,26.75,26.12,26.75,85400,0
1995-07-21,26.75,27.0,26.75,26.88,149400,0
1995-07-24,26.62,26.88,26.5,26.5,62500,0
1995-07-25,26.38,26.62,26.38,26.5,33900,0
1995-07-26,26.62,27.0,26.5,27.0,80200,0
1995-07-27,26.75,27.0,26.75,26.75,32400,0
1995-07-28,26.88,26.88,26.12,26.25,51900,0
1995-07-31,26.5,26.88,26.5,26.62,46000,0
1995-08-01,26.62,27.0,26.5,26.88,75900,0
1995-08-02,26.88,27.62,26.88,27.5,163300,0
1995-08-03,27.38,27.5,27.25,27.38,21900,0
1995-08-04,27.38,27.38,27.0,27.12,35700,0
1995-08-07,27.12,27.62,27.12,27.5,94100,0
1995-08-08,27.62,28.12,27.62,28.0,145900,0
1995-08-09,27.88,28.12,27.88,28.12,89800,0
1995-08-10,28.12,28.12,27.88,28.0,112100,0
1995-08-11,27.88,28.12,27.75,28.0,77100,0
1995-08-14,28.0,28.12,27.88,28.0,177900,0
1995-08-15,28.0,28.0,27.75,27.88,136600,0
1995-08-16,27.75,27.75,27.25,27.38,41700,0
1995-08-17,27.5,27.5,27.12,27.25,45900,0
1995-08-18,27.38,27.88,27.25,27.62,103900,0
1995-08-21,27.62,28.0,27.62,27.75,44500,0
1995-08-22,27.88,28.06,27.75,27.88,204300,0
1995-08-23,27.88,27.88,27.62,27.75,59300,0
1995-08-24,27.75,27.75,27.5,27.5,58500,0
1995-08-25,27.38,27.38,26.88,27.38,78300,0
1995-08-28,27.38,27.38,26.75,26.88,53300,0
1995-08-29,27.0,27.0,26.62,26.88,90400,0
1995-08-30,27.12,27.38,27.0,27.38,21600,0
1995-08-31,27.12,27.25,27.0,27.25,35800,0
1995-09-01,27.12,27.5,27.12,27.38,12900,0
1995-09-05,27.25,27.5,26.5,26.88,83600,0
1995-09-06,26.62,27.12,26.38,26.88,88800,0
1995-09-07,26.88,27.0,26.75,26.75,77800,0
1995-09-08,27.0,27.12,26.75,27.0,47000,0
1995-09-11,27.0,27.12,26.88,27.12,22900,0
1995-09-12,27.0,27.38,27.0,27.25,51800,0
1995-09-13,27.25,27.38,27.12,27.38,22700,0
1995-09-14,27.5,27.62,27.25,27.5,57300,0
1995-09-15,27.38,27.62,27.25,27.5,59400,0
1995-09-18,27.38,27.62,27.38,27.5,22100,0
1995-09-19,27.38,27.5,27.0,27.12,35000,0
1995-09-20,27.0,27.12,26.88,27.0,142000,0
1995-09-21,27.25,27.38,26.88,27.0,69000,0
1995-09-22,26.88,26.88,26.12,26.25,85100,0
1995-09-25,26.5,27.0,26.5,26.88,60400,0
1995-09-26,26.88,27.25,26.88,27.12,94700,0
1995-09-27,27.0,27.0,26.25,26.62,105200,0
1995-09-28,26.38,26.62,26.25,26.62,202200,0
1995-09-29,26.5,27.25,26.5,27.0,108400,0
1995-10-02,26.75,27.12,26.75,26.88,75900,0
1995-10-03,26.88,27.0,26.75,26.88,31800,0
1995-10-04,26.88,27.12,26.88,27.12,63200,0
1995-10-05,27.12,27.5,27.12,27.38,102900,0
1995-10-06,27.38,27.62,27.38,27.5,209400,0
1995-10-09,27.62,27.62,27.5,27.5,195100,0
1995-10-10,27.38,27.5,27.12,27.12,102600,0
1995-10-11,27.12,27.25,27.12,27.12,10700,0
1995-10-12,27.38,27.5,27.12,27.12,27600,0
1995-10-13,27.25,27.25,26.88,27.0,93900,0
1995-10-16,27.0,27.0,26.62,26.88,35100,0
1995-10-17,27.12,27.12,26.62,26.75,59000,0
1995-10-18,26.88,27.12,26.62,26.75,127200,0
1995-10-19,26.88,26.88,26.62,26.88,129000,0
1995-10-20,26.75,27.0,26.75,27.0,113900,0
1995-10-23,26.75,27.38,26.12,27.25,53200,0
1995-10-24,27.0,28.0,26.88,28.0,242400,0
1995-10-25,27.88,28.12,27.75,27.88,70600,0
1995-10-26,27.75,28.0,27.75,28.0,82800,0
1995-10-27,28.0,28.12,27.75,28.0,64200,0
1995-10-30,28.0,29.0,28.0,28.88,252300,0
1995-10-31,28.88,29.38,28.88,29.38,155100,0
1995-11-01,29.25,29.38,29.12,29.25,81500,0
1995-11-02,29.25,29.62,29.12,29.38,142200,0
1995-11-03,29.38,29.5,29.0,29.25,106700,0
1995-11-06,29.5,29.88,29.25,29.75,156900,0
1995-11-07,29.75,29.88,29.38,29.38,131000,0
1995-11-08,29.25,29.38,29.0,29.0,134900,0
1995-11-09,29.12,29.5,28.88,29.38,156300,0
1995-11-10,29.38,29.5,29.12,29.38,41000,0
1995-11-13,29.12,29.5,29.0,29.25,56100,0
1995-11-14,29.5,29.5,29.12,29.25,58300,0
1995-11-15,29.12,29.38,29.12,29.25,57800,0
1995-11-16,29.25,29.62,29.0,29.38,57400,0
1995-11-17,29.38,29.5,29.12,29.25,63400,0
1995-11-20,29.12,29.38,29.12,29.25,23800,0
1995-11-21,29.12,29.38,29.0,29.38,36800,0
1995-11-22,29.25,29.5,29.0,29.25,28000,0
1995-11-24,29.38,29.5,29.0,29.5,37400,0
1995-11-27,29.25,29.62,29.0,29.38,85100,0
