Date,Open,High,Low,Close,Volume,Dividend
2014-04-15,12.5,12.59,12.25,12.4,379110,0
2014-04-16,12.4,12.58,12.32,12.32,71239,0
2014-04-17,12.35,12.47,12.35,12.4,16638,0
2014-04-21,12.49,12.55,12.4,12.53,93780,0
2014-04-22,12.55,12.57,12.5,12.55,37428,0
2014-04-23,12.55,12.58,12.52,12.57,27934,0
2014-04-24,12.57,12.57,12.41,12.41,43844,0
2014-04-25,12.42,12.53,12.42,12.47,11564,0
2014-04-28,12.46,12.53,12.45,12.53,12312,0
2014-04-29,12.5,12.53,12.45,12.46,17790,0
2014-04-30,12.45,12.53,12.44,12.53,17655,0
2014-05-01,12.53,12.54,12.46,12.54,7002,0
2014-05-02,12.49,12.51,12.35,12.49,14360,0
2014-05-05,12.52,12.57,12.52,12.57,11925,0
2014-05-06,12.53,12.53,12.44,12.49,16200,0
2014-05-07,12.49,12.5,12.37,12.49,17066,0
2014-05-08,12.6,12.6,12.4,12.52,12675,0
2014-05-09,12.52,12.52,12.43,12.46,13032,0
2014-05-12,12.49,12.52,12.43,12.48,18787,0
2014-05-13,12.54,12.55,12.44,12.46,45696,0
2014-05-14,12.46,12.53,12.45,12.53,11114,0
2014-05-15,12.49,12.53,12.49,12.5,6093,0
2014-05-16,12.54,12.54,12.49,12.49,25929,0
2014-05-19,12.5,12.51,12.36,12.46,16936,0
2014-05-20,12.55,12.55,12.44,12.45,19294,0
2014-05-21,12.47,12.5,12.44,12.44,7120,0
2014-05-22,12.44,12.44,12.37,12.37,12542,0
2014-05-23,12.41,12.47,12.38,12.44,1700,0
2014-05-27,12.5,12.5,12.36,12.38,18290,0
2014-05-28,12.44,12.48,12.36,12.39,18640,0
2014-05-29,12.3,12.4,12.22,12.36,46841,0
2014-05-30,12.33,12.49,12.33,12.42,89741,0
2014-06-02,12.46,12.5,12.37,12.44,15700,0
2014-06-03,12.45,12.55,12.37,12.45,121627,0
2014-06-04,12.5,12.5,12.4,12.49,16737,0
2014-06-05,12.5,12.64,12.4,12.54,37629,0
2014-06-06,12.54,12.6,12.43,12.5,37370,0
2014-06-09,12.5,12.6,12.5,12.5,21600,0
2014-06-10,12.5,12.62,12.47,12.5,25490,0
2014-06-11,12.5,12.61,12.45,12.5,14652,0
2014-06-12,12.59,12.62,12.5,12.6,26616,0
2014-06-13,12.62,12.77,12.56,12.77,37944,0
2014-06-16,12.77,12.95,12.76,12.95,150882,0
2014-06-17,13.09,13.11,12.73,12.79,60506,0
2014-06-18,12.75,12.81,12.6,12.75,53987,0
2014-06-19,12.76,12.93,12.36,12.48,45421,0
2014-06-20,12.5,12.66,11.91,11.91,249705,0
2014-06-23,12.15,12.43,12.09,12.38,71400,0
2014-06-24,12.43,12.8,12.4,12.67,89900,0
2014-06-25,12.7,12.89,12.47,12.71,55517,0
2014-06-26,12.76,12.9,12.54,12.77,79753,0
2014-06-27,12.81,13.09,12.49,12.59,88813,0
2014-06-30,12.89,13.0,12.51,12.68,71968,0
2014-07-01,12.45,12.85,12.45,12.65,20815,0
2014-07-02,12.7,12.7,12.42,12.56,35483,0
2014-07-03,12.62,12.85,12.6,12.65,28136,0
2014-07-07,12.77,12.78,12.48,12.72,34411,0
2014-07-08,12.81,12.85,12.57,12.75,39957,0
2014-07-09,12.79,12.79,12.52,12.58,16604,0
2014-07-10,12.55,12.85,12.5,12.84,71591,0
2014-07-11,12.89,13.12,12.77,12.97,70081,0
2014-07-14,13.11,13.11,12.65,12.84,91158,0
2014-07-15,12.91,12.92,12.6,12.74,25168,0
2014-07-16,12.7,12.8,12.57,12.76,23790,0
2014-07-17,12.8,13.0,12.8,12.87,37725,0
2014-07-18,12.89,13.01,12.75,12.87,14413,0
2014-07-21,12.9,12.98,12.68,12.75,10318,0
2014-07-22,12.77,13.07,12.58,12.7,31132,0
2014-07-23,12.83,12.97,12.57,12.94,35925,0
2014-07-24,12.85,12.85,12.58,12.58,8638,0
2014-07-25,12.96,12.96,12.5,12.55,33132,0
2014-07-28,12.55,12.6,12.5,12.59,28264,0
2014-07-29,12.69,12.77,12.52,12.52,22448,0
2014-07-30,12.57,12.73,12.5,12.56,17904,0
2014-07-31,12.56,12.86,12.5,12.51,21796,0
2014-08-01,12.5,12.59,12.34,12.47,17101,0
2014-08-04,12.51,12.6,12.15,12.34,42905,0
2014-08-05,12.34,12.8,12.34,12.8,78923,0
2014-08-06,12.67,12.67,12.5,12.5,10656,0
2014-08-07,12.5,12.64,12.41,12.52,31713,0
2014-08-08,12.63,12.65,12.42,12.54,68924,0
2014-08-11,12.56,12.61,12.46,12.55,3830,0
2014-08-12,12.55,12.65,12.5,12.5,112036,0
2014-08-13,12.64,12.64,12.12,12.49,34360,0
2014-08-14,12.41,12.55,12.21,12.55,43203,0
2014-08-15,12.29,12.6,12.29,12.6,22911,0
2014-08-18,12.52,12.6,12.47,12.52,12724,0
2014-08-19,12.4,12.65,12.4,12.65,44916,0
2014-08-20,12.65,12.91,12.51,12.78,19440,0
2014-08-21,12.84,12.85,12.69,12.7,31044,0
2014-08-22,12.8,12.87,12.66,12.69,17137,0
2014-08-25,12.71,12.87,12.63,12.73,41505,0
2014-08-26,12.87,12.93,12.76,12.79,29869,0
2014-08-27,12.89,13.12,12.81,13.09,44179,0
2014-08-28,13.09,13.09,12.96,13.02,32092,0
2014-08-29,13.09,13.09,12.71,12.86,43656,0
2014-09-02,12.95,13.09,12.7,12.82,50560,0
2014-09-03,12.75,12.94,12.5,12.57,70103,0
2014-09-04,12.66,12.85,12.5,12.51,58403,0
2014-09-05,12.5,13.07,12.5,12.88,70660,0
2014-09-08,12.9,12.93,12.66,12.89,30910,0
2014-09-09,13.12,13.12,12.86,12.91,77809,0
2014-09-10,12.98,12.98,12.64,12.66,78794,0
2014-09-11,12.71,12.8,12.53,12.71,33992,0
2014-09-12,12.71,12.85,12.54,12.75,39130,0
2014-09-15,12.82,12.85,12.71,12.77,34768,0
2014-09-16,12.84,12.85,12.77,12.81,29917,0
2014-09-17,12.88,13.21,12.8,13.06,37244,0
2014-09-18,13.1,13.26,12.89,12.97,98292,0
2014-09-19,13.09,13.29,13.01,13.29,74009,0
2014-09-22,13.22,13.47,13.11,13.29,47835,0
2014-09-23,13.3,13.42,13.07,13.18,72182,0
2014-09-24,13.2,13.62,13.01,13.35,55122,0
2014-09-25,13.34,13.39,13.06,13.3,38091,0
2014-09-26,13.23,13.37,13.1,13.37,16866,0
2014-09-29,13.37,13.62,13.26,13.61,44952,0
2014-09-30,13.56,13.77,13.25,13.58,66484,0
2014-10-01,13.38,13.38,13.13,13.32,59661,0
2014-10-02,13.26,13.43,13.12,13.22,59685,0
2014-10-03,13.27,13.27,13.08,13.11,42446,0
2014-10-06,13.17,13.28,13.08,13.08,14298,0
2014-10-07,13.15,13.37,13.08,13.3,28364,0
2014-10-08,13.17,13.41,13.11,13.41,22069,0
2014-10-09,13.6,13.62,13.27,13.35,31593,0
2014-10-10,13.33,13.38,13.25,13.36,16527,0
2014-10-13,13.27,13.42,13.21,13.37,5745,0
2014-10-14,13.29,13.6,13.13,13.49,14729,0
2014-10-15,13.25,13.43,13.08,13.09,63061,0
2014-10-16,13.08,13.29,13.08,13.24,21951,0
2014-10-17,13.6,13.6,13.21,13.29,24236,0
2014-10-20,13.18,13.49,13.0,13.25,41409,0
2014-10-21,13.14,13.3,13.14,13.3,19875,0
2014-10-22,13.23,13.25,13.06,13.23,37979,0
2014-10-23,13.29,13.29,12.97,12.97,30521,0
2014-10-24,12.89,13.28,12.71,13.26,30852,0
2014-10-27,13.15,13.22,13.0,13.06,9408,0
2014-10-28,13.01,13.16,12.81,12.89,11984,0
2014-10-29,13.02,13.05,12.86,12.9,12383,0
2014-10-30,12.96,12.96,12.79,12.91,9800,0
2014-10-31,12.95,13.19,12.95,13.19,31674,0
2014-11-03,13.16,13.25,13.15,13.15,5570,0
2014-11-04,13.19,13.25,13.11,13.25,25053,0
2014-11-05,13.2,13.38,13.12,13.34,10043,0
2014-11-06,13.25,13.5,13.12,13.18,18358,0
2014-11-07,13.28,13.28,12.6,12.8,28576,0
2014-11-10,12.9,13.11,12.8,12.99,9727,0
2014-11-11,13.05,13.23,12.98,12.98,16415,0
2014-11-12,12.93,13.34,12.83,13.31,18618,0
2014-11-13,13.31,13.35,13.17,13.19,10286,0
2014-11-14,13.06,13.16,12.98,12.99,19173,0
2014-11-17,13.08,13.25,13.08,13.25,24628,0
2014-11-18,13.23,13.3,13.2,13.24,12139,0
