Date,Open,High,Low,Close,Volume,Dividend
2015-10-12,9.6,9.6,9.6,9.6,108000,0
2015-10-13,9.6,9.6,9.6,9.6,25100,0
2015-10-14,9.6,9.6,9.6,9.6,0,0
2015-10-15,9.6,9.6,9.6,9.6,0,0
2015-10-16,9.55,9.55,9.55,9.55,292000,0
2015-10-19,9.55,9.55,9.55,9.55,0,0
2015-10-20,9.55,9.55,9.55,9.55,0,0
2015-10-21,9.55,9.55,9.55,9.55,0,0
2015-10-22,9.55,9.55,9.55,9.55,0,0
2015-10-23,9.55,9.55,9.55,9.55,0,0
2015-10-26,9.55,9.55,9.55,9.55,0,0
2015-10-27,9.55,9.55,9.55,9.55,0,0
2015-10-28,9.55,9.55,9.55,9.55,0,0
2015-10-29,9.55,9.55,9.55,9.55,0,0
2015-10-30,9.7,9.7,9.7,9.7,200,0
2015-11-02,9.7,9.7,9.7,9.7,0,0
2015-11-03,9.7,9.7,9.7,9.7,0,0
2015-11-04,9.7,9.7,9.7,9.7,0,0
2015-11-05,9.7,9.7,9.7,9.7,0,0
2015-11-06,9.7,9.7,9.7,9.7,0,0
2015-11-09,9.7,9.7,9.7,9.7,0,0
2015-11-10,9.7,9.7,9.7,9.7,0,0
2015-11-11,9.7,9.7,9.7,9.7,0,0
2015-11-12,9.7,9.7,9.7,9.7,0,0
2015-11-13,9.7,9.7,9.7,9.7,0,0
2015-11-16,9.7,9.7,9.7,9.7,0,0
2015-11-17,9.7,9.7,9.7,9.7,0,0
2015-11-18,9.7,9.7,9.7,9.7,0,0
2015-11-19,9.55,9.55,9.55,9.55,24600,0
2015-11-20,9.55,9.55,9.55,9.55,0,0
2015-11-23,9.55,9.55,9.55,9.55,0,0
2015-11-24,9.55,9.55,9.55,9.55,0,0
2015-11-25,9.55,9.55,9.55,9.55,0,0
2015-11-27,9.55,9.55,9.55,9.55,0,0
2015-11-30,9.7,9.7,9.7,9.7,100,0
2015-12-01,9.7,9.7,9.7,9.7,0,0
2015-12-02,9.7,9.7,9.7,9.7,0,0
2015-12-03,9.7,9.7,9.7,9.7,0,0
2015-12-04,9.7,9.7,9.7,9.7,0,0
2015-12-07,9.7,9.7,9.7,9.7,3,0
2015-12-08,9.7,9.7,9.7,9.7,0,0
2015-12-09,9.7,9.7,9.7,9.7,3,0
2015-12-10,9.7,9.7,9.7,9.7,0,0
2015-12-11,9.7,9.7,9.7,9.7,0,0
2015-12-14,9.7,9.7,9.7,9.7,0,0
2015-12-15,9.6,9.6,9.55,9.55,100100,0
2015-12-16,9.7,9.7,9.7,9.7,100,0
2015-12-17,9.6,9.6,9.6,9.6,500,0
2015-12-18,9.6,9.6,9.6,9.6,0,0
2015-12-21,9.54,9.65,9.54,9.56,13200,0
2015-12-22,9.6,9.61,9.52,9.61,603401,0
2015-12-23,9.55,9.6,9.53,9.53,11300,0
2015-12-24,9.5,9.5,9.5,9.5,24266,0
2015-12-28,9.61,9.61,9.6,9.6,600,0
2015-12-29,9.55,9.6,9.55,9.58,36800,0
2015-12-30,9.57,9.63,9.55,9.63,4105,0
2015-12-31,9.63,9.67,9.54,9.64,9201,0
2016-01-04,9.56,9.63,9.55,9.63,76800,0
2016-01-05,9.62,9.62,9.62,9.62,100,0
2016-01-06,9.6,9.64,9.6,9.64,200,0
2016-01-07,9.66,9.66,9.66,9.66,1200,0
