Date,Open,High,Low,Close,Volume,Dividend
2017-12-29,49.31,50.06,49.21,49.41,406041,0
2018-01-02,51.38,51.41,49.24,51.38,334417,0
2018-01-03,50.92,50.92,50.03,50.87,714719,0
2018-01-04,52.32,52.57,51.38,52.45,732595,0
2018-01-05,52.33,52.58,51.33,52.47,583892,0
2018-01-08,52.14,52.14,49.62,50.06,982403,0
2018-01-09,49.9,50.35,49.56,50.06,887930,0
2018-01-10,50.06,50.34,49.17,49.67,793850,0
2018-01-11,49.4,50.84,49.4,50.51,868235,0
2018-01-12,50.71,51.56,50.41,51.46,587652,0
2018-01-16,51.67,52.03,51.23,51.31,1119016,0
2018-01-17,52.38,52.67,51.6,52.25,686241,0
2018-01-18,52.15,52.42,51.66,51.92,363844,0
2018-01-19,51.84,52.44,51.84,52.43,436252,0
2018-01-22,52.37,53.14,52.1,52.95,361830,0
2018-01-23,53.04,53.46,52.61,53.06,242372,0
2018-01-24,53.32,53.53,52.75,52.88,569953,0
2018-01-25,53.05,53.73,52.88,53.7,331024,0
2018-01-26,53.68,54.0,53.07,54.0,361511,0
2018-01-29,53.77,54.13,53.48,53.75,275226,0
2018-01-30,53.13,53.84,52.01,53.3,402931,0
2018-01-31,53.48,53.83,52.4,52.92,517825,0
2018-02-01,52.82,53.24,52.02,52.97,638927,0
2018-02-02,52.47,52.97,51.58,51.73,582071,0
2018-02-05,51.27,51.85,50.33,50.33,734427,0
2018-02-06,49.36,52.28,49.2,51.89,764071,0
2018-02-07,51.69,53.16,51.46,52.65,673279,0
2018-02-08,52.68,53.13,51.46,51.47,629207,0
2018-02-09,52.11,52.34,49.86,51.35,676992,0
2018-02-12,51.45,52.29,51.04,51.87,593213,0
2018-02-13,51.47,52.08,50.63,51.25,638468,0
2018-02-14,50.86,52.3,50.73,52.01,478945,0
2018-02-15,52.26,52.85,51.81,52.83,653113,0
2018-02-16,52.75,53.14,52.04,52.1,384250,0
2018-02-20,51.88,52.19,51.48,52.04,503943,0
2018-02-21,52.05,53.38,51.49,52.78,527085,0
2018-02-22,52.75,53.69,52.52,53.04,359099,0
2018-02-23,53.14,53.25,52.22,53.02,252971,0
2018-02-26,53.0,53.68,52.52,53.62,328071,0
2018-02-27,54.0,56.13,52.59,54.64,1084632,0
2018-02-28,55.01,55.14,53.22,53.26,540497,0
2018-03-01,53.48,53.91,52.54,53.79,663257,0
2018-03-02,53.32,55.19,53.19,55.08,598704,0
2018-03-05,54.82,56.03,54.56,55.75,807482,0
2018-03-06,56.16,57.04,55.54,57.01,712655,0
2018-03-07,56.48,58.28,56.48,58.2,845253,0
2018-03-08,58.37,59.29,56.93,57.17,973593,0
2018-03-09,57.28,58.48,57.28,58.37,699411,0
2018-03-12,58.51,58.85,58.01,58.57,473964,0
2018-03-13,58.7,58.7,57.9,58.11,719094,0
2018-03-14,58.14,58.63,57.81,58.11,644585,0
2018-03-15,58.23,58.52,57.87,58.04,369048,0
2018-03-16,58.1,58.36,57.4,57.63,1414178,0
2018-03-19,57.27,57.57,56.81,57.49,557067,0
2018-03-20,57.35,57.75,56.9,57.3,451723,0
2018-03-21,57.49,58.1,57.03,57.73,378853,0
2018-03-22,57.37,58.57,56.91,56.91,621077,0
2018-03-23,56.96,57.62,56.13,56.13,419996,0
2018-03-26,56.86,57.03,55.55,56.56,574816,0
2018-03-27,56.76,56.99,56.11,56.56,638032,0
2018-03-28,56.56,57.33,56.49,57.08,407222,0
2018-03-29,57.24,57.9,56.85,57.17,620767,0
2018-04-02,56.95,58.05,55.4,55.68,759680,0
2018-04-03,55.75,57.69,55.75,57.51,856953,0
2018-04-04,56.97,58.87,56.85,58.67,889419,0
2018-04-05,59.0,59.7,58.88,59.0,629407,0
2018-04-06,58.63,59.4,57.17,57.58,534303,0
2018-04-09,57.89,58.61,57.63,57.66,479993,0
2018-04-10,57.99,58.0,57.14,57.18,598064,0
2018-04-11,56.83,57.37,56.23,57.13,765297,0
2018-04-12,57.46,58.16,57.18,57.24,454644,0
2018-04-13,57.49,57.49,56.62,56.85,565685,0
2018-04-16,57.21,57.68,56.79,57.22,851018,0
2018-04-17,57.85,58.42,57.21,58.31,784109,0
2018-04-18,58.5,59.44,58.28,58.8,606752,0
2018-04-19,58.8,58.8,57.68,58.15,420724,0
2018-04-20,58.15,58.44,57.87,57.92,365975,0
