Date,Open,High,Low,Close,Volume,Dividend
1995-01-03,12.88,13.12,12.5,12.62,54100,0
1995-01-04,13.0,13.38,12.62,12.88,39600,0
1995-01-05,13.25,14.0,13.0,13.12,100200,0
1995-01-06,13.06,13.5,13.0,13.0,14300,0
1995-01-09,13.5,15.0,13.5,13.94,78800,0
1995-01-10,14.12,14.12,13.75,14.06,51700,0
1995-01-11,14.12,14.12,13.75,13.75,3000,0
1995-01-12,13.75,14.12,13.75,13.75,52700,0
1995-01-13,14.12,14.12,13.75,13.94,53300,0
1995-01-16,14.12,14.12,13.75,14.0,40300,0
1995-01-17,13.75,14.12,13.75,13.75,19000,0
1995-01-18,13.75,14.0,13.75,14.0,52100,0
1995-01-19,13.75,14.0,13.75,13.75,27300,0
1995-01-20,13.75,13.94,13.75,13.94,61400,0
1995-01-23,13.75,14.0,13.75,13.88,31000,0
1995-01-24,13.75,14.0,13.75,13.94,11600,0
1995-01-25,14.0,14.0,13.75,13.75,2000,0
1995-01-26,13.75,13.88,13.75,13.88,14000,0
1995-01-27,13.75,14.0,13.75,13.88,11600,0
1995-01-30,14.12,14.12,13.75,13.75,27300,0
1995-01-31,13.75,14.12,13.75,13.75,31500,0
1995-02-01,14.0,14.0,13.75,13.75,18600,0
1995-02-02,13.75,13.88,13.75,13.75,6100,0
1995-02-03,13.75,14.12,13.75,13.94,135200,0
1995-02-06,13.88,14.12,13.88,14.06,198500,0
1995-02-07,14.0,14.12,13.88,13.88,6500,0
1995-02-08,13.88,14.0,13.75,14.0,54900,0
1995-02-09,13.75,14.0,13.75,13.88,76000,0
1995-02-10,13.75,14.0,13.75,13.75,21400,0
1995-02-13,13.75,14.0,13.75,14.0,77500,0
1995-02-14,13.88,15.38,13.75,15.25,1142800,0
1995-02-15,15.12,15.25,15.12,15.12,3069400,0
1995-02-16,15.12,15.25,15.12,15.12,445600,0
1995-02-17,15.12,15.25,15.12,15.12,252700,0
1995-02-21,15.12,15.19,15.12,15.16,118000,0
1995-02-22,15.12,15.5,15.12,15.25,533200,0
1995-02-23,15.25,15.31,15.25,15.25,1904200,0
1995-02-24,15.25,15.38,15.25,15.25,24900,0
1995-02-27,15.25,15.31,15.25,15.31,41100,0
1995-02-28,15.25,15.5,15.25,15.25,85400,0
1995-03-01,15.25,15.38,15.25,15.31,32900,0
1995-03-02,15.25,15.5,15.25,15.25,84800,0
1995-03-03,15.25,15.5,15.25,15.5,4100,0
1995-03-06,15.25,15.38,15.25,15.25,29200,0
1995-03-07,15.25,15.5,15.25,15.25,87700,0
1995-03-08,15.5,15.5,15.25,15.38,256800,0
1995-03-09,15.25,15.31,15.25,15.25,10900,0
1995-03-10,15.25,15.44,15.25,15.25,4400,0
1995-03-13,15.25,15.5,15.25,15.38,81900,0
1995-03-14,15.38,15.62,15.38,15.62,600,0
1995-03-15,15.38,15.62,15.38,15.38,7800,0
1995-03-16,15.38,15.41,15.38,15.38,19900,0
1995-03-17,15.38,15.62,15.38,15.5,9200,0
1995-03-20,15.38,15.62,15.38,15.62,11700,0
1995-03-21,15.38,15.62,15.38,15.62,700,0
1995-03-22,15.38,15.5,15.38,15.5,12700,0
1995-03-23,15.38,16.0,15.25,16.0,38300,0
1995-03-24,15.62,16.0,15.62,15.62,6700,0
1995-03-27,15.62,15.62,15.62,15.62,300,0
1995-03-28,16.0,16.38,16.0,16.0,16800,0
1995-03-29,16.0,16.5,16.0,16.31,13300,0
1995-03-30,16.38,16.62,16.38,16.62,2500,0
1995-03-31,16.38,17.12,16.38,17.12,74200,0
1995-04-03,17.0,17.5,16.88,17.38,32800,0
1995-04-04,17.62,17.75,17.25,17.25,47200,0
1995-04-05,17.5,17.5,17.25,17.38,127300,0
1995-04-06,17.25,17.5,17.25,17.5,34200,0
1995-04-07,17.38,17.75,17.38,17.38,1200,0
1995-04-10,17.38,17.75,17.38,17.5,8200,0
1995-04-11,17.5,18.0,17.38,18.0,29100,0
1995-04-12,18.0,18.0,17.81,18.0,8500,0
1995-04-13,17.75,18.25,17.75,17.75,4600,0
1995-04-17,18.0,18.25,18.0,18.0,2700,0
1995-04-18,17.75,18.0,17.75,17.88,3200,0
1995-04-19,17.75,18.0,17.75,17.75,14300,0
1995-04-20,17.75,18.12,17.5,17.5,9500,0
1995-04-21,18.0,18.0,17.25,17.25,8000,0
1995-04-24,17.25,17.25,17.25,17.25,1000,0
1995-04-25,17.25,17.38,17.25,17.38,1700,0
1995-04-26,17.25,17.25,17.25,17.25,1200,0
1995-04-27,17.25,17.62,17.25,17.5,13200,0
1995-04-28,17.25,17.62,17.0,17.12,46200,0
1995-05-01,17.0,17.5,17.0,17.5,6400,0
1995-05-02,17.0,17.62,17.0,17.31,5300,0
1995-05-03,17.25,17.25,17.25,17.25,1500,0
1995-05-04,17.38,17.38,17.38,17.38,9800,0
1995-05-05,17.38,17.5,17.38,17.5,4400,0
1995-05-08,17.38,17.88,17.38,17.38,3100,0
1995-05-09,17.38,17.38,17.38,17.38,1800,0
1995-05-10,17.38,17.75,17.38,17.75,28200,0
1995-05-11,17.38,17.88,17.38,17.38,3200,0
1995-05-12,17.38,17.44,17.38,17.38,7600,0
1995-05-15,17.38,17.38,17.38,17.38,1000,0
1995-05-16,17.88,18.0,17.5,17.88,23600,0
1995-05-17,17.62,18.0,17.62,18.0,1700,0
1995-05-18,17.75,18.0,17.62,18.0,900,0
1995-05-19,18.0,18.0,18.0,18.0,0,0
1995-05-22,17.62,18.12,17.62,18.0,16200,0
1995-05-23,17.75,18.0,17.75,18.0,1900,0
1995-05-24,18.0,18.0,17.75,17.75,2800,0
1995-05-25,17.75,17.75,17.75,17.75,0,0
1995-05-26,17.75,17.75,17.75,17.75,0,0
1995-05-30,17.75,17.75,17.75,17.75,0,0
