Date,Open,High,Low,Close,Volume,Dividend
2014-11-03,19.0,23.0,18.0,18.66,9508,0
2014-11-04,17.5,18.2,17.5,18.0,1210,0
2014-11-05,17.98,18.55,17.98,18.55,2104,0
2014-11-06,19.0,19.0,18.55,18.55,2964,0
2014-11-07,19.0,19.0,18.95,19.0,1665,0
2014-11-10,19.0,20.0,18.87,20.0,2532,0
2014-11-11,19.0,19.0,18.5,18.5,2300,0
2014-11-12,18.5,18.51,18.5,18.5,3242,0
2014-11-13,18.5,18.5,18.5,18.5,1500,0
2014-11-14,18.5,19.0,18.5,18.94,3035,0
2014-11-17,19.0,19.0,18.62,18.62,2100,0
2014-11-18,19.0,19.0,18.65,18.65,1150,0
2014-11-19,18.65,18.65,18.5,18.5,3485,0
2014-11-20,18.43,18.48,18.43,18.44,1150,0
2014-11-21,18.4,18.4,18.4,18.4,1050,0
2014-11-24,18.25,18.25,18.14,18.18,13922,0
2014-11-25,18.0,19.0,18.0,18.15,14804,0
2014-11-26,18.0,18.98,18.0,18.98,609,0
2014-11-28,18.4,18.4,18.4,18.4,1000,0
2014-12-01,18.25,18.75,18.08,18.75,19532,0
2014-12-02,18.68,18.8,18.63,18.8,1809,0
2014-12-03,18.75,19.0,18.7,18.78,8065,0
2014-12-04,18.67,19.0,18.67,19.0,2659,0
2014-12-05,18.95,18.95,18.95,18.95,100,0
2014-12-08,18.9,18.9,18.9,18.9,100,0
2014-12-09,18.5,18.9,18.1,18.85,8700,0
2014-12-10,18.9,18.9,18.55,18.83,1853,0
2014-12-11,18.9,18.9,18.55,18.89,10085,0
2014-12-12,18.9,18.9,18.55,18.8,7406,0
2014-12-15,18.8,18.8,18.55,18.75,3370,0
2014-12-16,18.75,18.79,18.55,18.55,4760,0
2014-12-17,18.75,18.75,18.6,18.65,1942,0
2014-12-18,18.65,18.65,18.5,18.5,1829,0
2014-12-19,18.6,18.6,18.26,18.5,3200,0
2014-12-22,18.49,18.49,18.21,18.35,1100,0
2014-12-23,18.5,18.5,18.0,18.0,10241,0
2014-12-24,18.11,18.15,17.85,17.85,93511,0
2014-12-26,17.91,18.0,17.8,18.0,41512,0
2014-12-29,17.99,18.08,17.82,18.03,3168,0
2014-12-30,17.95,18.1,17.9,18.1,1880,0
2014-12-31,17.91,18.14,17.91,18.14,6027,0
2015-01-02,17.97,18.14,17.95,18.14,10600,0
2015-01-05,17.94,18.18,17.9,17.96,14150,0
2015-01-06,17.94,18.15,17.76,17.8,17871,0
2015-01-07,17.83,18.05,17.8,17.9,15200,0
2015-01-08,17.86,18.05,17.86,17.9,14762,0
2015-01-09,17.9,17.93,17.87,17.88,10100,0
2015-01-12,17.9,18.03,17.89,17.92,10914,0
2015-01-13,17.98,17.98,17.87,17.88,9100,0
2015-01-14,17.76,17.92,17.76,17.87,2900,0
2015-01-15,17.81,17.95,17.81,17.81,17200,0
2015-01-16,17.87,17.97,17.7,17.82,16336,0
2015-01-20,17.98,17.98,17.69,17.98,769,0
2015-01-21,17.74,17.79,17.69,17.75,1100,0
2015-01-22,17.82,17.89,17.82,17.82,1030,0
2015-01-23,17.83,17.89,17.83,17.89,3047,0
2015-01-26,17.9,17.9,17.85,17.85,4800,0
2015-01-27,17.82,17.82,17.82,17.82,1366,0
2015-01-28,17.82,17.83,17.82,17.82,1966,0
2015-01-29,17.82,17.89,17.82,17.89,2950,0
2015-01-30,17.85,17.87,17.82,17.82,8724,0
2015-02-02,17.78,17.84,17.78,17.84,3100,0
2015-02-03,17.88,17.9,17.83,17.9,20697,0
2015-02-04,17.92,17.92,17.81,17.92,5604,0
2015-02-05,18.0,18.1,17.95,18.1,17800,0
2015-02-06,18.25,18.25,18.07,18.15,18850,0
2015-02-09,17.91,18.32,17.91,17.96,680,0
2015-02-10,18.09,18.09,17.89,17.96,20576,0
2015-02-11,18.06,18.07,17.97,18.07,6150,0
2015-02-12,18.09,18.09,18.0,18.0,5465,0
2015-02-13,18.0,18.0,18.0,18.0,6,0
2015-02-17,17.81,17.81,17.76,17.76,1317,0
2015-02-18,17.9,17.94,17.81,17.81,9661,0
2015-02-19,17.8,18.06,17.78,17.85,4425,0
2015-02-20,17.9,17.91,17.8,17.89,15126,0
2015-02-23,17.89,18.45,17.75,17.78,84818,0
2015-02-24,18.0,18.0,17.9,17.93,8617,0
2015-02-25,18.0,18.0,17.62,17.77,5143,0
2015-02-26,17.96,17.96,17.75,17.95,6057,0
2015-02-27,17.56,17.96,17.56,17.94,1624,0
2015-03-02,17.96,17.96,17.59,17.8,813,0
2015-03-03,17.82,17.95,17.82,17.85,2486,0
2015-03-04,17.65,17.85,17.62,17.8,1281,0
2015-03-05,17.67,17.83,17.59,17.6,4035,0
2015-03-06,17.56,17.82,17.56,17.74,1843,0
2015-03-09,17.57,17.79,17.56,17.7,4335,0
2015-03-10,17.69,17.75,17.56,17.66,7436,0
2015-03-11,17.75,17.79,17.57,17.79,6090,0
2015-03-12,17.78,18.5,17.78,18.3,17179,0
2015-03-13,18.5,18.5,18.01,18.34,12691,0
2015-03-16,18.45,18.45,18.1,18.19,11478,0
2015-03-17,18.03,18.43,18.01,18.13,12632,0
2015-03-18,18.05,18.45,18.05,18.45,5043,0
2015-03-19,18.09,18.43,18.05,18.29,12926,0
2015-03-20,18.42,19.25,18.37,19.17,76710,0
2015-03-23,18.96,19.25,18.48,19.12,4387,0
2015-03-24,19.2,19.5,19.15,19.4,6531,0
2015-03-25,19.5,19.5,19.5,19.5,1014,0
2015-03-26,19.75,19.75,19.75,19.75,540,0
2015-03-27,19.69,19.69,19.5,19.65,367,0
2015-03-30,18.26,19.5,18.26,19.5,916,0
2015-03-31,18.26,19.75,18.26,19.75,1422,0
2015-04-01,19.5,19.5,18.44,19.45,674,0
2015-04-02,19.69,19.69,18.35,19.24,1550,0
2015-04-06,18.84,18.95,18.76,18.9,1850,0
2015-04-07,18.9,18.9,18.36,18.86,851,0
2015-04-08,18.43,18.77,18.41,18.77,1263,0
2015-04-09,18.75,18.87,18.45,18.78,1737,0
2015-04-10,18.66,18.9,18.55,18.59,5692,0
2015-04-13,18.55,18.69,18.55,18.69,468,0
2015-04-14,18.6,18.7,18.6,18.7,490,0
2015-04-15,18.75,19.0,18.75,19.0,4786,0
2015-04-16,19.0,19.0,19.0,19.0,486,0
2015-04-17,19.0,19.03,18.99,19.03,1143,0
