Date,Open,High,Low,Close,Volume,Dividend
2015-05-15,16.0,16.96,15.85,16.55,10519955,0
2015-05-18,16.45,16.75,16.35,16.45,1466593,0
2015-05-19,16.43,16.92,16.43,16.9,670088,0
2015-05-20,16.85,17.1,16.5,16.55,614065,0
2015-05-21,16.5,16.67,16.4,16.5,190830,0
2015-05-22,16.44,16.54,16.4,16.5,114215,0
2015-05-26,16.53,16.53,16.03,16.52,302908,0
2015-05-27,16.55,16.65,16.27,16.51,184017,0
2015-05-28,16.5,16.54,16.36,16.5,72634,0
2015-05-29,16.45,16.93,16.36,16.9,106432,0
2015-06-01,16.88,17.18,16.86,17.15,512433,0
2015-06-02,17.16,17.25,16.98,17.0,357287,0
2015-06-03,17.0,17.05,16.9,16.98,343781,0
2015-06-04,16.95,17.01,16.9,16.92,165202,0
2015-06-05,16.77,17.05,16.77,17.02,251913,0
2015-06-08,17.0,17.1,16.96,17.08,152561,0
2015-06-09,17.15,17.85,17.14,17.65,1074041,0
2015-06-10,17.64,18.36,17.45,18.31,741850,0
2015-06-11,18.21,18.65,18.02,18.38,266012,0
2015-06-12,18.5,18.5,17.9,18.14,153285,0
2015-06-15,18.05,18.27,17.94,18.26,143275,0
2015-06-16,18.1,18.38,17.78,18.35,130987,0
2015-06-17,18.16,18.3,17.69,18.0,170285,0
2015-06-18,17.78,18.82,17.78,18.61,596040,0
2015-06-19,18.49,18.75,18.33,18.51,240061,0
2015-06-22,18.5,18.53,18.04,18.3,58467,0
2015-06-23,18.33,19.0,18.33,18.99,183975,0
2015-06-24,18.9,19.2,18.34,18.55,207522,0
2015-06-25,18.45,18.85,18.05,18.11,122480,0
2015-06-26,18.5,18.72,18.38,18.5,97391,0
2015-06-29,18.37,18.56,18.22,18.23,296941,0
2015-06-30,18.32,18.48,18.06,18.13,35671,0
2015-07-01,18.2,18.56,18.18,18.42,89511,0
2015-07-02,18.44,18.55,17.66,17.98,1109694,0
2015-07-06,17.69,18.47,17.69,18.38,68534,0
2015-07-07,18.49,18.5,17.75,18.14,635601,0
2015-07-08,18.04,18.15,17.65,17.8,94978,0
2015-07-09,17.88,18.05,17.5,17.85,76424,0
2015-07-10,17.91,17.93,17.5,17.75,167410,0
