Date,Open,High,Low,Close,Volume,Dividend
2016-06-29,10.0,10.05,10.0,10.01,1549886,0
2016-06-30,10.08,10.24,10.0,10.11,245133,0
2016-07-01,10.18,10.29,10.12,10.15,196946,0
2016-07-05,10.15,10.29,10.03,10.16,108570,0
2016-07-06,10.16,10.27,10.01,10.12,203718,0
2016-07-07,10.15,10.29,10.1,10.11,210557,0
2016-07-08,10.13,10.4,10.13,10.3,149761,0
2016-07-11,10.78,10.78,10.45,10.46,260728,0
2016-07-12,10.5,10.6,10.35,10.4,174925,0
2016-07-13,10.39,10.49,10.31,10.31,146501,0
2016-07-14,10.35,10.41,10.2,10.23,140119,0
2016-07-15,10.38,11.38,10.2,10.35,140000,0
2016-07-18,10.55,10.65,10.35,10.47,149702,0
2016-07-19,10.5,10.54,10.37,10.43,56494,0
2016-07-20,10.5,10.59,10.4,10.49,156607,0
2016-07-21,10.6,10.65,10.4,10.52,92915,0
2016-07-22,10.64,10.9,10.55,10.73,89671,0
2016-07-25,10.85,10.94,10.72,10.79,184806,0
2016-07-26,10.75,10.85,10.65,10.76,187244,0
2016-07-27,10.76,10.8,10.6,10.67,97736,0
2016-07-28,10.64,10.89,10.64,10.81,78339,0
2016-07-29,10.76,10.95,10.65,10.92,183857,0
2016-08-01,10.95,10.95,10.85,10.87,94727,0
2016-08-02,10.93,10.94,10.72,10.81,103861,0
2016-08-03,10.94,11.2,10.73,10.73,83643,0
2016-08-04,10.89,10.9,10.75,10.76,71308,0
2016-08-05,10.65,10.77,10.61,10.64,111669,0
2016-08-08,10.75,10.75,10.65,10.67,47360,0
2016-08-09,10.64,10.82,10.64,10.67,50559,0
2016-08-10,10.75,10.85,10.72,10.74,59559,0
2016-08-11,10.83,10.94,10.72,10.88,47372,0
2016-08-12,10.92,10.93,10.84,10.86,30059,0
2016-08-15,10.94,11.08,10.85,10.98,62755,0
2016-08-16,10.98,11.0,10.85,10.99,59949,0
2016-08-17,10.98,11.0,10.75,10.82,30818,0
2016-08-18,11.0,11.0,10.63,10.91,31337,0
2016-08-19,10.98,11.24,10.87,11.12,64256,0
2016-08-22,10.99,11.02,10.79,10.89,70057,0
2016-08-23,10.89,11.09,10.65,10.74,97651,0
2016-08-24,10.8,10.85,10.41,10.73,71048,0
2016-08-25,10.73,10.89,10.71,10.75,92015,0
2016-08-26,10.74,10.85,10.7,10.72,66081,0
2016-08-29,10.75,10.89,10.6,10.84,73884,0
2016-08-30,10.92,10.93,10.73,10.77,40359,0
2016-08-31,10.83,10.83,10.51,10.75,85282,0
2016-09-01,10.67,10.93,10.5,10.59,63297,0
2016-09-02,10.7,10.95,10.5,10.73,38900,0
2016-09-06,10.76,10.8,10.31,10.49,104214,0
2016-09-07,10.46,10.5,9.62,10.25,293313,0
2016-09-08,10.21,10.48,10.04,10.24,229571,0
2016-09-09,10.2,10.21,10.0,10.2,108453,0
2016-09-12,10.2,10.25,10.1,10.12,87734,0
2016-09-13,10.14,10.14,9.52,9.75,138167,0
2016-09-14,9.97,10.14,9.85,10.0,140897,0
2016-09-15,9.92,10.15,9.91,10.13,97078,0
2016-09-16,10.15,10.23,9.99,10.1,683049,0
2016-09-19,10.14,10.64,10.1,10.43,234672,0
2016-09-20,10.4,10.4,10.06,10.15,227100,0
2016-09-21,10.24,10.35,10.0,10.15,206714,0
2016-09-22,10.2,10.5,10.15,10.37,173072,0
2016-09-23,10.16,10.3,10.12,10.14,97231,0
2016-09-26,10.15,10.19,9.72,9.95,220100,0
2016-09-27,9.98,10.15,9.59,9.7,173779,0
2016-09-28,9.74,10.03,9.53,9.96,165804,0
2016-09-29,9.9,10.02,9.62,9.75,355626,0
2016-09-30,9.72,10.06,9.71,9.76,1348245,0
2016-10-03,9.75,9.8,9.56,9.65,132602,0
2016-10-04,9.63,9.63,9.03,9.2,162617,0
2016-10-05,9.22,9.5,9.05,9.41,145194,0
2016-10-06,9.4,9.46,9.03,9.3,101777,0
2016-10-07,9.3,9.43,9.14,9.24,68507,0
2016-10-10,9.24,9.73,9.23,9.4,215698,0
2016-10-11,9.47,9.52,9.26,9.4,105322,0
2016-10-12,9.44,9.44,9.15,9.21,43742,0
2016-10-13,9.1,9.48,8.98,9.27,87668,0
2016-10-14,9.26,9.55,9.16,9.39,102232,0
2016-10-17,9.37,9.53,9.22,9.46,94515,0
2016-10-18,9.5,9.68,9.42,9.44,58650,0
2016-10-19,9.46,9.62,9.33,9.4,40777,0
2016-10-20,9.41,9.41,9.17,9.21,84665,0
2016-10-21,9.2,9.35,9.15,9.2,95769,0
2016-10-24,9.29,9.4,9.22,9.26,67046,0
2016-10-25,9.21,9.52,9.11,9.22,72669,0
2016-10-26,9.22,9.31,9.13,9.21,31997,0
2016-10-27,9.25,9.27,9.06,9.1,40390,0
2016-10-28,9.1,9.36,9.04,9.2,56781,0
2016-10-31,9.2,9.75,9.11,9.75,231179,0
2016-11-01,9.62,9.73,9.11,9.22,101151,0
2016-11-02,9.25,9.27,8.75,8.78,74017,0
2016-11-03,8.86,8.86,8.42,8.44,137440,0
2016-11-04,8.47,8.51,8.2,8.32,126058,0
2016-11-07,8.42,8.6,8.33,8.5,108202,0
2016-11-08,8.46,8.62,8.33,8.56,63058,0
2016-11-09,8.43,8.6,8.28,8.51,107915,0
2016-11-10,8.24,8.32,6.73,7.82,476074,0
2016-11-11,7.75,8.0,7.4,7.79,316509,0
2016-11-14,7.73,7.82,7.47,7.6,341222,0
2016-11-15,7.51,7.6,7.04,7.24,153626,0
2016-11-16,7.25,7.33,7.1,7.23,133249,0
2016-11-17,7.24,7.28,7.12,7.23,111257,0
2016-11-18,7.23,7.4,7.22,7.25,180579,0
2016-11-21,7.25,7.27,7.17,7.23,146066,0
2016-11-22,7.21,7.65,7.21,7.52,231933,0
2016-11-23,7.5,7.5,7.33,7.36,96516,0
2016-11-25,7.32,7.48,7.32,7.42,26943,0
2016-11-28,7.5,7.63,7.22,7.32,152454,0
2016-11-29,7.28,7.55,7.17,7.33,112308,0
2016-11-30,7.35,7.61,7.23,7.31,261652,0
2016-12-01,7.37,7.4,7.12,7.21,212192,0
2016-12-02,7.19,7.39,7.15,7.21,266922,0
2016-12-05,7.3,8.03,7.21,7.81,345480,0
2016-12-06,7.84,8.39,7.58,8.25,128741,0
2016-12-07,8.31,8.42,7.81,8.3,102979,0
2016-12-08,8.31,8.64,8.22,8.55,84729,0
2016-12-09,8.59,8.64,8.3,8.49,59597,0
2016-12-12,8.49,9.46,8.49,9.16,229026,0
2016-12-13,9.2,9.56,9.03,9.51,258341,0
2016-12-14,9.25,9.72,9.12,9.5,342240,0
2016-12-15,9.55,9.6,9.41,9.5,251662,0
2016-12-16,9.51,9.88,9.11,9.88,3067340,0
2016-12-19,9.89,9.89,9.51,9.56,150459,0
2016-12-20,9.54,9.77,9.5,9.63,291135,0
2016-12-21,9.63,9.7,9.31,9.35,81422,0
2016-12-22,9.09,9.2,8.96,9.04,67929,0
2016-12-23,9.02,9.37,8.85,9.31,40478,0
2016-12-27,9.27,9.61,9.13,9.19,97487,0
2016-12-28,9.14,9.14,8.54,8.67,96927,0
2016-12-29,8.73,9.19,8.69,9.16,80215,0
2016-12-30,9.1,9.48,8.79,8.92,76794,0
2017-01-03,8.94,9.23,8.74,8.93,74726,0
2017-01-04,8.9,9.24,8.76,9.11,166360,0
2017-01-05,9.04,9.14,8.63,8.71,89994,0
