Date,Open,High,Low,Close,Volume,Dividend
1995-01-03,5.75,6.62,5.69,6.0,63300,0
1995-01-04,6.62,7.5,6.38,7.5,155900,0
1995-01-05,7.25,7.88,7.25,7.88,119400,0
1995-01-06,8.75,9.75,7.88,9.12,139600,0
1995-01-09,9.12,11.0,8.25,10.25,387400,0
1995-01-10,10.5,11.0,9.5,10.25,129600,0
1995-01-11,9.88,10.38,8.75,9.25,183900,0
1995-01-12,8.75,9.5,8.25,8.88,112100,0
1995-01-13,8.75,9.12,8.62,9.0,39500,0
1995-01-16,9.25,9.25,8.5,8.62,63200,0
1995-01-17,8.62,8.88,7.75,8.12,137500,0
1995-01-18,8.25,8.25,7.75,8.0,56100,0
1995-01-19,7.75,8.62,7.75,8.62,50600,0
1995-01-20,8.62,8.62,8.12,8.5,12100,0
1995-01-23,8.5,8.5,8.12,8.12,18000,0
1995-01-24,8.5,9.25,8.12,9.25,45500,0
1995-01-25,9.25,10.0,9.0,9.5,61400,0
1995-01-26,9.75,10.13,9.5,9.69,40600,0
1995-01-27,9.5,9.88,9.5,9.88,20600,0
1995-01-30,9.75,10.25,9.5,10.13,51500,0
1995-01-31,10.13,11.25,10.0,11.0,52600,0
1995-02-01,11.5,11.75,10.69,10.69,147100,0
1995-02-02,10.88,11.25,10.63,11.0,66500,0
1995-02-03,11.0,11.38,10.75,11.38,47800,0
1995-02-06,11.5,11.5,11.0,11.25,28400,0
1995-02-07,11.0,11.38,10.88,11.13,38600,0
1995-02-08,11.0,11.0,10.13,10.5,42800,0
1995-02-09,10.5,10.5,10.13,10.25,36400,0
1995-02-10,10.25,10.5,10.0,10.5,33300,0
1995-02-13,10.63,10.75,10.0,10.25,29300,0
1995-02-14,10.5,10.75,10.38,10.63,39500,0
1995-02-15,10.63,10.75,9.75,9.88,45500,0
1995-02-16,9.75,10.25,9.62,9.75,55000,0
1995-02-17,10.13,10.13,9.62,9.62,4100,0
1995-02-21,9.38,10.13,9.38,10.13,8200,0
