Date,Open,High,Low,Close,Volume,Dividend
1995-01-03,9.25,9.37,9.25,9.25,2828,0
1995-01-04,9.12,9.12,9.12,9.12,1699,0
1995-01-05,9.25,9.37,9.25,9.37,3653,0
1995-01-06,9.5,9.5,9.5,9.5,1699,0
1995-01-09,9.63,9.63,9.63,9.63,5607,0
1995-01-10,9.75,9.75,9.63,9.63,243,0
1995-01-11,9.63,9.63,9.63,9.63,0,0
1995-01-12,9.75,9.75,9.75,9.75,1699,0
1995-01-13,9.75,9.75,9.75,9.75,0,0
1995-01-16,9.75,9.75,9.75,9.75,0,0
1995-01-17,9.75,9.75,9.75,9.75,0,0
1995-01-18,9.5,9.5,9.5,9.5,10413,0
1995-01-19,9.5,9.5,9.5,9.5,0,0
1995-01-20,9.5,9.5,9.5,9.5,0,0
1995-01-23,9.5,9.5,9.5,9.5,1699,0
1995-01-24,9.5,9.5,9.5,9.5,12,0
1995-01-25,9.63,9.63,9.63,9.63,1699,0
1995-01-26,9.63,9.75,9.63,9.75,4405,0
1995-01-27,9.88,10.63,9.88,10.63,26700,0
1995-01-30,10.63,10.63,10.5,10.5,5728,0
1995-01-31,10.5,10.5,10.5,10.5,0,0
1995-02-01,10.5,10.63,10.5,10.63,3799,0
1995-02-02,10.63,10.75,10.63,10.75,1226,0
1995-02-03,11.0,11.5,11.0,11.5,14721,0
1995-02-06,11.38,11.38,11.25,11.25,9867,0
1995-02-07,11.25,11.25,11.25,11.25,692,0
1995-02-08,11.38,11.38,11.38,11.38,146,0
1995-02-09,11.25,11.5,11.25,11.5,13289,0
1995-02-10,11.63,11.88,11.63,11.63,8823,0
1995-02-13,11.88,12.0,11.88,11.88,22088,0
1995-02-14,12.0,12.13,12.0,12.13,4017,0
1995-02-15,12.25,12.38,12.25,12.25,7913,0
1995-02-16,12.38,12.62,12.38,12.62,9867,0
1995-02-17,12.75,13.12,12.62,13.12,9867,0
1995-02-21,13.25,13.37,13.25,13.37,4405,0
1995-02-22,13.37,13.62,13.0,13.0,39212,0
1995-02-23,13.25,13.25,12.87,13.0,35584,0
1995-02-24,13.0,13.0,12.5,12.5,23362,0
1995-02-27,12.5,12.5,12.25,12.25,9139,0
1995-02-28,12.25,12.25,12.25,12.25,1699,0
1995-03-01,12.38,12.38,12.25,12.25,498,0
1995-03-02,12.38,12.38,12.25,12.38,6554,0
1995-03-03,12.62,12.62,12.62,12.62,7585,0
1995-03-06,12.62,12.62,12.62,12.62,0,0
1995-03-07,12.5,12.5,12.38,12.38,7585,0
1995-03-08,12.38,12.38,12.38,12.38,4017,0
1995-03-09,12.5,12.5,12.13,12.13,11845,0
1995-03-10,11.88,11.88,11.63,11.75,33460,0
1995-03-13,11.63,12.13,11.63,12.13,12173,0
1995-03-14,12.38,12.5,12.38,12.5,7585,0
1995-03-15,12.38,12.5,12.38,12.5,4163,0
1995-03-16,12.5,12.5,12.5,12.5,0,0
1995-03-17,12.38,12.38,12.25,12.38,2124,0
1995-03-20,12.5,12.5,12.38,12.38,9867,0
1995-03-21,12.38,12.38,12.38,12.38,1699,0
1995-03-22,12.38,12.38,12.38,12.38,0,0
