Date,Open,High,Low,Close,Volume,Dividend
1997-10-17,7.0,7.38,7.0,7.25,5800,0
1997-10-20,6.62,6.62,6.62,6.62,4500,0
1997-10-21,6.75,6.88,6.75,6.88,3000,0
1997-10-22,6.69,6.75,6.69,6.69,400,0
1997-10-23,6.69,6.69,6.69,6.69,1000,0
1997-10-24,7.0,7.12,7.0,7.12,1500,0
1997-10-27,6.69,6.69,6.62,6.62,3900,0
1997-10-28,6.62,6.69,6.62,6.69,6000,0
1997-10-29,6.62,6.88,6.62,6.62,5000,0
1997-10-30,6.69,6.69,6.56,6.69,6000,0
1997-10-31,6.69,6.69,6.69,6.69,1200,0
1997-11-03,6.75,6.75,6.62,6.75,6200,0
1997-11-04,6.75,6.75,6.75,6.75,0,0
1997-11-05,6.81,6.81,6.62,6.62,1400,0
1997-11-06,6.69,6.81,6.69,6.81,2100,0
1997-11-07,6.69,6.69,6.69,6.69,1300,0
1997-11-10,6.69,6.69,6.69,6.69,400,0
1997-11-11,6.81,6.81,6.81,6.81,2000,0
1997-11-12,6.88,6.88,6.69,6.69,7100,0
1997-11-13,6.69,6.88,6.69,6.88,15500,0
1997-11-14,6.88,6.94,6.69,6.69,6900,0
1997-11-17,6.69,6.69,6.69,6.69,6100,0
1997-11-18,6.69,6.69,6.69,6.69,3600,0
1997-11-19,6.69,6.88,6.69,6.88,1700,0
1997-11-20,6.69,6.75,6.69,6.75,5700,0
1997-11-21,6.75,6.75,6.75,6.75,1000,0
1997-11-24,6.75,6.88,6.75,6.75,27100,0
1997-11-25,6.88,6.88,6.81,6.81,2300,0
1997-11-26,6.94,6.94,6.94,6.94,6000,0
1997-11-28,6.94,6.94,6.94,6.94,0,0
1997-12-01,6.94,6.94,6.94,6.94,0,0
1997-12-02,7.0,7.0,7.0,7.0,200,0
1997-12-03,7.0,7.25,7.0,7.25,1800,0
1997-12-04,7.12,7.12,7.12,7.12,500,0
1997-12-05,7.0,7.06,7.0,7.06,7000,0
1997-12-08,7.0,7.0,7.0,7.0,800,0
1997-12-09,7.31,7.31,7.0,7.0,1700,0
1997-12-10,7.0,7.19,7.0,7.0,6500,0
1997-12-11,7.0,7.19,7.0,7.19,900,0
1997-12-12,7.0,7.12,7.0,7.0,23100,0
1997-12-15,7.0,7.0,7.0,7.0,100,0
1997-12-16,7.19,7.19,7.0,7.0,8100,0
1997-12-17,7.19,7.19,7.12,7.12,1100,0
1997-12-18,7.0,7.0,7.0,7.0,1800,0
1997-12-19,7.0,7.12,7.0,7.12,3800,0
1997-12-22,7.06,7.12,7.0,7.12,19300,0
1997-12-23,7.06,7.06,7.06,7.06,1900,0
1997-12-24,7.06,7.06,7.06,7.06,0,0
1997-12-26,7.0,7.06,7.0,7.06,200,0
1997-12-29,7.06,7.12,7.06,7.12,3500,0
1997-12-30,7.31,7.31,7.19,7.19,1500,0
1997-12-31,7.31,7.31,7.25,7.25,4600,0
1998-01-02,7.19,7.19,7.19,7.19,1000,0
1998-01-05,7.19,7.19,7.19,7.19,13700,0
1998-01-06,7.25,7.38,7.19,7.38,7500,0
1998-01-07,7.38,7.38,7.25,7.25,2300,0
1998-01-08,7.38,7.38,7.22,7.22,2300,0
1998-01-09,7.31,7.31,7.31,7.31,700,0
1998-01-12,7.31,7.31,7.31,7.31,0,0
1998-01-13,7.22,7.22,7.22,7.22,6200,0
1998-01-14,7.22,7.38,7.19,7.38,8600,0
1998-01-15,7.38,7.38,7.38,7.38,0,0
1998-01-16,7.19,7.25,7.19,7.19,15200,0
1998-01-20,7.19,7.25,7.19,7.25,5700,0
1998-01-21,7.19,7.19,7.19,7.19,2000,0
1998-01-22,7.19,7.23,7.19,7.19,35800,0
1998-01-23,7.23,7.25,7.22,7.22,12700,0
1998-01-26,7.22,7.38,7.22,7.22,17400,0
1998-01-27,7.25,7.41,7.22,7.22,12500,0
1998-01-28,7.22,7.22,7.22,7.22,100,0
1998-01-29,7.22,7.22,7.22,7.22,0,0
1998-01-30,7.22,7.22,7.22,7.22,6200,0
1998-02-02,7.25,7.31,7.22,7.31,14100,0
1998-02-03,7.22,7.22,7.22,7.22,200,0
1998-02-04,7.25,7.25,7.22,7.22,5900,0
1998-02-05,7.31,7.31,7.22,7.22,11200,0
1998-02-06,7.19,7.19,7.19,7.19,400,0
1998-02-09,7.34,7.34,7.19,7.19,3500,0
1998-02-10,7.34,7.34,7.34,7.34,600,0
1998-02-11,7.19,7.34,7.19,7.25,9500,0
1998-02-12,7.19,7.19,7.19,7.19,100,0
1998-02-13,7.19,7.19,7.19,7.19,0,0
1998-02-17,7.19,7.19,7.19,7.19,0,0
1998-02-18,7.22,7.22,7.22,7.22,1300,0
1998-02-19,7.22,7.22,7.22,7.22,200,0
1998-02-20,7.22,7.22,7.22,7.22,0,0
1998-02-23,7.22,7.22,7.22,7.22,200,0
1998-02-24,7.28,7.34,7.22,7.28,5000,0
1998-02-25,7.22,7.25,7.22,7.25,6000,0
1998-02-26,7.22,7.22,7.22,7.22,200,0
1998-02-27,7.22,7.34,7.22,7.34,2400,0
1998-03-02,7.22,7.22,7.22,7.22,200,0
1998-03-03,7.25,7.25,7.25,7.25,6200,0
1998-03-04,7.25,7.25,7.25,7.25,0,0
1998-03-05,7.25,7.25,7.25,7.25,0,0
1998-03-06,7.25,7.25,7.25,7.25,600,0
1998-03-09,7.31,7.31,7.31,7.31,3300,0
1998-03-10,7.31,7.34,7.25,7.25,10600,0
1998-03-11,7.25,7.31,7.25,7.31,48800,0
1998-03-12,7.34,7.34,7.34,7.34,2000,0
1998-03-13,7.25,7.25,7.25,7.25,1100,0
1998-03-16,7.25,7.25,7.25,7.25,0,0
1998-03-17,7.25,7.25,7.25,7.25,1200,0
1998-03-18,7.25,7.25,7.25,7.25,1000,0
1998-03-19,7.28,7.28,7.25,7.25,12600,0
1998-03-20,7.25,7.31,7.25,7.31,21800,0
1998-03-23,7.25,7.31,7.25,7.31,5800,0
1998-03-24,7.25,7.28,7.25,7.28,6800,0
1998-03-25,7.28,7.28,7.28,7.28,2100,0
1998-03-26,7.34,7.34,7.28,7.28,10500,0
1998-03-27,7.28,7.28,7.28,7.28,1000,0
1998-03-30,7.28,7.28,7.25,7.25,1700,0
1998-03-31,7.25,7.25,7.25,7.25,600,0
1998-04-01,7.25,7.25,7.25,7.25,600,0
1998-04-02,7.25,7.25,7.25,7.25,55900,0
1998-04-03,7.31,7.31,7.31,7.31,5800,0
1998-04-06,7.31,7.31,7.31,7.31,0,0
1998-04-07,7.25,7.31,7.12,7.19,47800,0
1998-04-08,7.19,7.25,7.19,7.25,3100,0
1998-04-09,7.19,7.19,7.19,7.19,1500,0
1998-04-13,7.19,7.19,7.03,7.12,7800,0
