Date,Open,High,Low,Close,Volume,Dividend
2014-12-12,21.32,21.5,20.91,21.25,3419256,0
2014-12-15,21.06,21.29,20.46,20.52,736032,0
2014-12-16,21.0,21.75,20.97,21.15,457178,0
2014-12-17,21.12,21.38,21.01,21.17,225730,0
2014-12-18,21.42,21.43,21.01,21.11,57999,0
2014-12-19,21.0,22.69,21.0,22.19,322317,0
2014-12-22,22.86,23.38,22.28,22.91,143684,0
2014-12-23,22.85,23.0,22.14,22.45,51081,0
2014-12-24,22.42,22.75,22.42,22.62,21252,0
2014-12-26,22.53,23.0,22.14,22.86,120972,0
2014-12-29,22.83,22.93,22.26,22.8,85588,0
2014-12-30,22.69,23.02,22.2,22.61,151037,0
2014-12-31,22.63,22.87,22.15,22.76,151666,0
2015-01-02,22.88,22.88,21.68,22.28,33951,0
2015-01-05,22.15,23.23,21.8,22.82,241939,0
2015-01-06,22.8,23.22,22.3,22.57,301473,0
2015-01-07,22.68,22.9,22.05,22.75,121792,0
2015-01-08,22.61,22.9,22.31,22.88,113850,0
2015-01-09,22.88,23.74,22.56,23.14,89382,0
2015-01-12,23.12,23.31,22.6,22.96,138226,0
2015-01-13,22.63,23.0,21.74,22.38,96538,0
2015-01-14,22.06,22.74,21.97,22.49,107584,0
2015-01-15,22.38,22.97,21.79,22.39,55414,0
2015-01-16,23.38,23.38,22.15,22.15,126281,0
2015-01-20,22.27,22.5,21.55,22.37,155011,0
2015-01-21,22.23,22.5,22.15,22.29,86756,0
2015-01-22,22.16,22.38,21.72,21.91,102004,0
2015-01-23,21.83,22.24,20.93,21.59,131348,0
2015-01-26,21.99,22.58,21.06,21.57,107018,0
2015-01-27,21.64,21.77,21.1,21.64,62403,0
2015-01-28,21.75,22.0,21.75,21.94,45777,0
2015-01-29,22.02,22.02,21.13,21.51,23254,0
2015-01-30,21.32,21.68,20.95,21.4,75409,0
2015-02-02,21.61,21.97,20.86,21.93,20129,0
2015-02-03,21.6,21.78,21.24,21.65,51718,0
2015-02-04,21.2,22.0,21.06,22.0,29916,0
2015-02-05,22.13,22.24,21.21,21.59,27150,0
2015-02-06,21.5,21.78,21.25,21.6,31925,0
2015-02-09,21.46,21.84,21.08,21.09,87975,0
2015-02-10,21.25,21.28,20.75,21.21,73849,0
2015-02-11,21.02,21.08,20.61,21.0,79941,0
2015-02-12,20.84,21.47,20.84,21.26,91737,0
2015-02-13,21.17,21.65,21.1,21.55,37316,0
2015-02-17,21.5,22.0,21.32,21.87,54580,0
2015-02-18,21.71,22.25,21.64,21.96,44122,0
2015-02-19,21.71,22.5,21.71,21.83,115172,0
2015-02-20,21.9,22.58,21.28,21.82,145508,0
2015-02-23,22.48,22.48,21.27,22.12,33428,0
2015-02-24,21.96,22.78,21.96,22.4,56688,0
2015-02-25,22.61,22.71,21.93,22.16,109353,0
2015-02-26,21.87,22.31,21.87,22.26,43920,0
2015-02-27,22.75,22.96,21.76,21.97,220285,0
2015-03-02,21.99,22.96,21.63,22.31,98578,0
2015-03-03,22.64,22.64,21.67,22.14,46992,0
2015-03-04,22.14,23.0,21.54,23.0,110948,0
2015-03-05,23.0,23.0,22.36,22.72,133867,0
2015-03-06,22.88,22.88,21.83,22.04,74801,0
2015-03-09,22.3,23.11,21.97,22.09,116998,0
2015-03-10,21.93,22.31,21.76,21.9,83385,0
2015-03-11,21.9,22.81,21.81,21.98,75701,0
2015-03-12,22.0,22.91,22.0,22.76,87559,0
2015-03-13,22.7,23.0,22.28,22.73,57982,0
2015-03-16,22.89,23.25,22.38,23.0,111591,0
2015-03-17,22.88,23.21,22.76,23.21,25822,0
2015-03-18,23.11,23.5,23.11,23.13,66577,0
2015-03-19,23.01,23.19,22.65,23.0,46274,0
2015-03-20,23.13,24.12,22.69,24.1,690447,0
2015-03-23,24.02,24.74,23.82,24.49,199647,0
2015-03-24,24.59,24.69,24.04,24.29,106855,0
2015-03-25,24.26,24.67,23.5,23.53,85526,0
2015-03-26,23.54,23.63,22.0,22.39,203482,0
2015-03-27,22.27,22.78,22.27,22.57,55792,0
2015-03-30,22.73,23.91,22.67,23.19,88088,0
2015-03-31,23.02,24.12,22.61,23.53,1198423,0
2015-04-01,23.87,24.06,23.43,23.65,201270,0
2015-04-02,23.72,23.94,23.43,23.83,69880,0
2015-04-06,23.82,24.36,23.7,24.05,51363,0
2015-04-07,24.11,24.24,23.58,23.64,64941,0
2015-04-08,23.55,23.97,22.7,23.18,195556,0
2015-04-09,23.32,23.34,22.51,23.04,217405,0
2015-04-10,23.16,23.57,22.52,23.35,187107,0
2015-04-13,23.35,23.89,23.17,23.85,43203,0
2015-04-14,23.56,24.0,23.0,23.98,176878,0
2015-04-15,23.95,24.2,23.4,24.03,404259,0
2015-04-16,24.05,25.22,23.9,24.1,298180,0
2015-04-17,24.1,24.22,23.45,23.62,68498,0
2015-04-20,23.72,24.68,23.72,24.06,89872,0
2015-04-21,24.06,24.06,23.58,23.64,71501,0
2015-04-22,23.5,23.65,22.85,23.51,254748,0
2015-04-23,23.39,24.04,23.02,24.0,198834,0
2015-04-24,23.98,23.98,23.16,23.72,161606,0
2015-04-27,24.03,24.07,22.63,23.65,66519,0
2015-04-28,23.56,23.98,23.25,23.62,123969,0
2015-04-29,23.72,23.77,23.16,23.57,72454,0
2015-04-30,23.51,23.85,23.28,23.64,68033,0
2015-05-01,23.66,24.57,23.3,23.76,52304,0
2015-05-04,23.6,23.89,23.42,23.85,82142,0
2015-05-05,23.71,24.59,23.46,24.32,62785,0
2015-05-06,24.25,24.47,23.92,24.26,71041,0
2015-05-07,24.46,24.51,23.05,23.79,62553,0
2015-05-08,23.9,24.32,23.66,24.26,44025,0
2015-05-11,24.12,24.5,23.85,24.41,64006,0
2015-05-12,24.34,24.43,23.94,24.02,27346,0
2015-05-13,24.1,24.44,24.05,24.28,69436,0
2015-05-14,24.43,24.62,24.0,24.3,54557,0
2015-05-15,24.25,24.27,23.96,24.03,49639,0
2015-05-18,24.0,24.14,23.66,24.04,80224,0
2015-05-19,23.95,24.1,23.67,24.06,72085,0
2015-05-20,24.0,24.15,23.79,23.88,19803,0
2015-05-21,23.97,24.02,23.67,23.84,31177,0
2015-05-22,23.76,24.16,23.48,23.53,18743,0
2015-05-26,23.39,23.68,23.04,23.23,43474,0
2015-05-27,23.44,23.53,23.03,23.5,29530,0
2015-05-28,23.39,23.62,23.25,23.3,54964,0
2015-05-29,23.34,23.56,23.02,23.51,152716,0
2015-06-01,23.53,23.88,23.38,23.67,48267,0
2015-06-02,23.58,23.67,23.07,23.11,44224,0
2015-06-03,23.18,23.36,22.51,22.68,91259,0
2015-06-04,22.61,22.69,21.91,22.64,69771,0
2015-06-05,22.72,23.22,22.31,23.22,35820,0
2015-06-08,23.11,23.86,23.08,23.76,65841,0
2015-06-09,23.7,23.7,23.15,23.43,47197,0
2015-06-10,23.52,23.95,23.46,23.85,125202,0
2015-06-11,23.7,24.08,23.65,24.07,82604,0
2015-06-12,24.08,24.26,23.9,24.04,65196,0
2015-06-15,23.9,24.16,23.85,23.98,41345,0
2015-06-16,23.99,24.16,23.9,24.0,30646,0
2015-06-17,24.03,24.24,23.94,24.15,135390,0
2015-06-18,24.11,24.82,24.11,24.43,202412,0
2015-06-19,24.53,24.98,24.26,24.89,104246,0
2015-06-22,24.96,25.0,24.58,24.85,27772,0
2015-06-23,24.96,25.27,24.65,25.19,14094,0
2015-06-24,25.24,25.35,24.92,25.14,37217,0
2015-06-25,25.23,25.27,25.0,25.01,51189,0
2015-06-26,25.05,25.5,24.99,25.43,215428,0
2015-06-29,25.32,25.65,25.1,25.5,36911,0
2015-06-30,25.6,26.08,25.57,25.87,27442,0
2015-07-01,25.95,26.56,25.95,26.07,70883,0
2015-07-02,26.17,26.17,25.8,25.86,35279,0
2015-07-06,25.85,26.3,25.57,26.18,21170,0
2015-07-07,26.11,26.4,25.75,26.3,58419,0
2015-07-08,26.2,26.2,25.27,25.71,63805,0
2015-07-09,25.91,25.93,25.17,25.46,37909,0
2015-07-10,25.09,25.85,24.63,25.52,57812,0
2015-07-13,25.7,26.29,25.6,26.12,108829,0
2015-07-14,26.04,26.39,25.85,26.2,72311,0
2015-07-15,26.45,27.57,26.17,26.21,103237,0
2015-07-16,26.4,27.05,25.95,26.78,5355819,0
2015-07-17,26.8,27.22,26.64,26.96,270405,0
2015-07-20,27.0,27.67,26.87,27.46,271068,0
2015-07-21,27.52,27.74,27.29,27.44,80528,0
2015-07-22,27.38,27.58,27.26,27.37,98764,0
2015-07-23,27.42,28.12,27.09,27.32,64598,0
2015-07-24,27.24,27.31,26.92,27.0,52185,0
2015-07-27,26.96,27.77,26.82,26.87,57417,0
2015-07-28,27.08,27.08,26.5,26.79,49305,0
2015-07-29,26.85,27.48,26.44,27.23,45623,0
2015-07-30,27.27,27.55,26.9,27.12,46381,0
2015-07-31,27.21,27.9,27.21,27.45,98070,0
2015-08-03,27.39,27.84,27.28,27.5,116620,0
2015-08-04,27.55,27.82,27.44,27.65,35423,0
2015-08-05,27.98,28.14,27.61,27.8,110379,0
2015-08-06,27.95,28.33,27.53,27.73,186227,0
2015-08-07,27.63,27.99,27.51,27.75,164283,0
2015-08-10,27.96,27.99,27.69,27.76,85631,0
2015-08-11,27.82,27.82,27.56,27.64,73440,0
2015-08-12,27.57,27.67,27.29,27.48,99958,0
2015-08-13,27.57,27.78,27.2,27.35,43214,0
2015-08-14,27.2,27.43,26.51,26.76,72819,0
2015-08-17,26.71,27.39,26.67,27.19,38470,0
2015-08-18,27.04,27.14,24.89,26.9,19788,0
2015-08-19,26.56,27.06,26.5,26.67,24051,0
2015-08-20,26.59,26.81,26.35,26.41,31322,0
2015-08-21,26.07,26.65,25.62,26.32,75400,0
2015-08-24,25.4,26.55,25.18,26.17,94099,0
2015-08-25,26.86,26.86,25.82,26.11,60414,0
2015-08-26,26.58,26.7,25.92,26.42,93656,0
2015-08-27,26.58,26.67,26.36,26.6,59431,0
2015-08-28,26.48,26.87,26.34,26.79,49083,0
2015-08-31,26.72,27.84,26.72,27.6,98698,0
2015-09-01,27.2,27.78,25.57,27.08,67086,0
2015-09-02,27.31,27.73,26.59,27.34,111649,0
2015-09-03,27.31,28.77,27.31,27.96,104345,0
2015-09-04,27.94,28.14,27.61,27.69,102206,0
2015-09-08,28.01,28.19,27.9,28.0,45427,0
2015-09-09,28.05,28.19,27.7,27.9,39152,0
2015-09-10,27.76,28.05,27.69,27.94,29015,0
2015-09-11,27.76,28.05,27.73,28.03,82880,0
2015-09-14,28.13,28.13,27.97,28.06,46408,0
2015-09-15,28.08,28.56,27.88,28.1,117010,0
2015-09-16,28.22,28.32,27.83,28.1,32485,0
2015-09-17,28.02,28.3,28.0,28.05,59130,0
2015-09-18,27.77,28.19,27.45,27.75,506360,0
2015-09-21,28.01,28.09,27.57,27.76,121786,0
2015-09-22,27.65,27.77,26.71,27.01,97084,0
2015-09-23,26.98,27.63,26.98,27.4,89006,0
2015-09-24,27.33,27.76,27.16,27.72,135180,0
2015-09-25,27.98,28.23,27.25,27.35,104208,0
2015-09-28,27.25,27.74,27.05,27.19,166797,0
2015-09-29,27.31,27.31,25.91,25.97,81367,0
2015-09-30,25.97,27.0,25.92,26.89,146021,0
2015-10-01,26.82,26.99,26.31,26.95,158896,0
2015-10-02,26.73,27.0,26.48,27.0,53214,0
2015-10-05,27.15,27.35,26.95,27.0,96742,0
2015-10-06,27.0,27.11,26.23,26.58,131505,0
2015-10-07,26.67,27.0,26.24,26.5,57245,0
2015-10-08,26.56,26.96,26.27,26.72,46612,0
2015-10-09,26.69,27.07,26.5,26.94,140450,0
2015-10-12,26.9,27.02,26.55,26.73,76083,0
2015-10-13,26.64,26.92,26.5,26.7,48151,0
2015-10-14,26.67,26.73,26.42,26.51,61686,0
2015-10-15,26.67,26.92,26.5,26.89,86299,0
2015-10-16,26.95,27.0,26.5,26.75,34997,0
2015-10-19,26.76,26.76,26.59,26.66,61328,0
2015-10-20,26.72,27.79,26.63,27.34,232161,0
2015-10-21,27.34,27.87,27.26,27.66,106196,0
2015-10-22,27.73,28.06,27.67,27.85,132919,0
2015-10-23,28.02,29.0,27.51,28.91,161456,0
2015-10-26,28.9,29.08,28.65,29.04,42206,0
2015-10-27,28.83,29.29,28.64,29.25,142856,0
2015-10-28,29.25,30.31,28.97,30.12,109075,0
2015-10-29,30.01,30.29,29.45,29.52,428298,0
