Date,Open,High,Low,Close,Volume,Dividend
2015-04-02,12.0,14.67,11.76,14.0,3064280,0
2015-04-06,13.75,14.25,13.35,13.53,238938,0
2015-04-07,13.28,13.89,13.03,13.84,113577,0
2015-04-08,13.99,14.0,13.42,13.56,73960,0
2015-04-09,13.58,13.8,13.5,13.54,45667,0
2015-04-10,13.53,14.92,13.53,14.44,104963,0
2015-04-13,14.4,15.58,14.26,14.36,146983,0
2015-04-14,14.5,14.91,14.04,14.86,115244,0
2015-04-15,15.38,15.91,15.16,15.5,125521,0
2015-04-16,15.95,15.96,15.54,15.7,70573,0
2015-04-17,15.7,15.7,14.22,14.41,153697,0
2015-04-20,14.57,15.61,14.57,14.69,205588,0
2015-04-21,14.59,15.21,14.59,14.99,41887,0
2015-04-22,14.88,15.31,14.8,14.99,30130,0
2015-04-23,15.0,15.35,14.69,14.82,31906,0
2015-04-24,14.79,15.2,14.76,14.9,64222,0
2015-04-27,14.9,15.25,13.97,14.77,135342,0
2015-04-28,14.9,14.9,14.37,14.59,41288,0
2015-04-29,14.42,14.71,13.97,14.4,61492,0
2015-04-30,14.39,15.04,14.39,14.9,78878,0
2015-05-01,15.0,15.08,14.5,14.56,99269,0
2015-05-04,14.65,14.65,13.21,13.76,138603,0
2015-05-05,13.65,13.75,13.25,13.49,112622,0
2015-05-06,13.55,14.13,13.49,13.55,161401,0
2015-05-07,13.63,14.5,13.3,14.42,85142,0
2015-05-08,14.5,15.02,14.36,14.94,36389,0
2015-05-11,15.0,15.01,14.9,14.99,86861,0
2015-05-12,14.98,14.98,14.02,14.46,17621,0
2015-05-13,14.76,14.77,14.52,14.77,14105,0
2015-05-14,14.68,15.36,14.64,15.29,236823,0
2015-05-15,15.35,15.95,15.2,15.6,40143,0
2015-05-18,15.8,17.2,15.8,16.64,76531,0
2015-05-19,17.0,17.5,15.39,16.12,102745,0
2015-05-20,16.5,16.75,16.02,16.48,23290,0
2015-05-21,16.32,17.0,16.0,16.55,117937,0
2015-05-22,16.27,16.56,16.02,16.14,17359,0
2015-05-26,16.14,16.14,15.3,15.3,78503,0
2015-05-27,15.26,15.42,14.0,14.6,80122,0
2015-05-28,14.63,15.48,14.07,14.27,48853,0
2015-05-29,14.15,14.39,13.41,14.27,47120,0
2015-06-01,14.7,14.7,13.77,14.4,57804,0
2015-06-02,14.37,15.3,14.2,15.08,140186,0
2015-06-03,15.14,15.2,14.15,14.43,55097,0
2015-06-04,14.35,14.71,13.88,14.7,182707,0
2015-06-05,14.66,14.76,14.05,14.35,214507,0
2015-06-08,13.83,14.53,12.6,13.14,591876,0
2015-06-09,13.1,13.84,12.76,13.3,360709,0
2015-06-10,13.44,13.91,13.11,13.54,129789,0
2015-06-11,13.55,14.1,13.04,13.63,56633,0
2015-06-12,13.72,14.15,13.4,13.94,39914,0
2015-06-15,13.94,14.15,13.11,13.89,38131,0
2015-06-16,13.8,14.8,13.5,14.66,41822,0
2015-06-17,14.52,14.71,14.0,14.09,39421,0
2015-06-18,14.1,14.25,13.73,14.02,19816,0
2015-06-19,14.0,14.8,13.91,14.56,72874,0
2015-06-22,14.75,14.9,14.19,14.28,27850,0
2015-06-23,14.97,14.97,14.51,14.58,5184,0
2015-06-24,14.66,14.97,14.5,14.51,34653,0
2015-06-25,14.56,14.66,14.5,14.51,15260,0
2015-06-26,14.58,14.76,14.44,14.44,53139,0
2015-06-29,14.31,14.45,14.17,14.26,49788,0
2015-06-30,14.35,14.35,13.46,13.76,76599,0
2015-07-01,13.8,14.08,13.44,13.75,33010,0
2015-07-02,13.75,13.77,13.06,13.34,101875,0
2015-07-06,13.22,14.72,13.08,14.37,182974,0
2015-07-07,14.4,14.75,13.75,14.19,53955,0
2015-07-08,13.98,14.2,13.87,14.14,87185,0
2015-07-09,14.13,15.85,14.0,14.53,93678,0
2015-07-10,14.6,15.09,14.29,14.5,83321,0
2015-07-13,14.55,14.85,14.43,14.45,18677,0
2015-07-14,14.37,14.5,13.98,14.2,82558,0
2015-07-15,14.2,14.44,14.04,14.16,47484,0
2015-07-16,14.1,14.19,13.88,14.1,62708,0
2015-07-17,14.4,14.4,13.89,14.05,18966,0
2015-07-20,14.03,14.16,14.0,14.16,6398,0
2015-07-21,13.96,14.25,13.96,14.25,18813,0
2015-07-22,15.5,15.5,14.37,14.51,16911,0
2015-07-23,14.82,14.82,14.11,14.75,27455,0
2015-07-24,14.6,14.83,14.48,14.7,14166,0
2015-07-27,14.85,15.15,14.76,14.8,9359,0
2015-07-28,14.92,14.98,14.31,14.59,6657,0
2015-07-29,14.5,14.8,14.14,14.69,11835,0
2015-07-30,14.75,14.78,14.53,14.63,16444,0
2015-07-31,14.66,14.75,14.28,14.54,22456,0
2015-08-03,14.73,15.0,14.43,14.85,53964,0
2015-08-04,14.74,15.09,14.74,14.97,48554,0
2015-08-05,15.12,15.34,14.15,14.44,42638,0
2015-08-06,14.43,15.0,13.79,14.32,29245,0
2015-08-07,14.21,14.3,13.59,13.64,97138,0
2015-08-10,13.75,14.12,13.7,13.93,8445,0
2015-08-11,14.0,14.11,13.19,13.5,52597,0
2015-08-12,13.08,13.4,12.8,13.12,18044,0
2015-08-13,13.23,13.92,13.08,13.26,7742,0
