Date,Open,High,Low,Close,Volume,Dividend
2016-08-11,28.15,28.74,27.1,27.79,5356266,0
2016-08-12,27.55,28.5,27.13,28.04,472705,0
2016-08-15,28.29,29.6,27.91,29.22,620686,0
2016-08-16,29.56,29.98,29.2,29.32,315235,0
2016-08-17,29.43,29.79,28.12,28.14,508071,0
2016-08-18,28.23,28.84,27.72,27.77,330743,0
2016-08-19,27.77,28.9,27.6,28.53,267814,0
2016-08-22,28.9,29.69,28.77,29.26,527033,0
2016-08-23,29.87,29.87,28.72,29.19,425086,0
2016-08-24,29.06,29.3,27.79,28.08,406080,0
2016-08-25,27.89,28.45,27.6,27.69,148980,0
2016-08-26,27.6,28.09,26.51,27.13,255219,0
2016-08-29,27.0,28.2,27.0,28.2,288679,0
2016-08-30,28.56,28.56,27.09,27.86,184276,0
2016-08-31,27.98,28.5,27.47,28.25,228881,0
2016-09-01,28.37,29.45,28.01,29.25,266620,0
2016-09-02,29.76,31.14,29.05,30.7,1127772,0
2016-09-06,30.74,31.0,29.05,30.48,674869,0
2016-09-07,30.53,30.53,29.12,29.4,264092,0
2016-09-08,29.18,30.18,27.34,30.05,591060,0
2016-09-09,29.74,29.86,29.0,29.55,249356,0
2016-09-12,29.25,29.95,29.0,29.75,204773,0
2016-09-13,29.5,30.46,29.5,29.82,112141,0
2016-09-14,30.0,31.35,29.82,30.14,311524,0
2016-09-15,30.23,31.23,29.5,30.01,79700,0
2016-09-16,29.98,31.18,29.5,30.45,513078,0
2016-09-19,30.7,31.0,30.1,30.57,151689,0
2016-09-20,30.74,30.88,30.24,30.44,110074,0
2016-09-21,30.25,30.82,29.38,30.03,202442,0
2016-09-22,30.31,30.33,29.5,29.95,172005,0
2016-09-23,29.94,30.09,29.36,29.55,158668,0
2016-09-26,29.21,30.05,28.91,29.03,178506,0
2016-09-27,29.3,29.45,28.71,29.32,92188,0
2016-09-28,29.28,29.74,28.97,29.44,107331,0
2016-09-29,29.52,29.74,28.63,28.97,153363,0
2016-09-30,29.15,30.73,28.6,29.86,1029099,0
2016-10-03,30.09,30.65,29.31,30.53,206173,0
2016-10-04,30.46,30.68,29.54,29.97,154378,0
2016-10-05,29.97,30.48,29.75,30.11,134415,0
2016-10-06,29.96,30.29,29.02,29.39,162244,0
2016-10-07,29.51,30.36,28.5,30.21,772451,0
2016-10-10,30.63,31.24,29.81,30.25,432334,0
2016-10-11,30.42,30.54,29.31,29.66,294143,0
2016-10-12,30.1,30.1,28.75,29.34,177795,0
2016-10-13,29.35,29.94,29.0,29.69,150467,0
2016-10-14,29.75,29.95,28.86,29.2,56773,0
2016-10-17,29.49,29.64,29.15,29.5,89820,0
2016-10-18,29.72,30.97,29.72,30.7,135881,0
2016-10-19,30.74,31.09,30.02,30.78,103410,0
2016-10-20,30.62,31.29,30.04,30.91,149112,0
2016-10-21,30.79,32.29,30.79,31.3,236229,0
2016-10-24,31.5,32.14,31.0,31.09,124660,0
2016-10-25,31.24,31.25,30.16,30.4,58612,0
2016-10-26,30.46,30.8,29.5,29.67,53920,0
2016-10-27,29.86,30.0,28.62,28.74,117086,0
2016-10-28,28.74,29.44,28.64,28.89,95439,0
2016-10-31,28.93,29.19,28.64,29.02,134052,0
2016-11-01,29.01,29.25,28.75,29.09,90181,0
2016-11-02,28.94,29.96,28.94,29.83,95354,0
2016-11-03,29.97,29.97,28.94,29.07,120583,0
2016-11-04,31.39,31.39,29.09,30.97,176565,0
2016-11-07,31.98,31.98,30.98,31.72,110367,0
2016-11-08,31.82,32.42,31.24,32.25,120694,0
2016-11-09,32.17,33.74,31.21,33.69,168446,0
2016-11-10,33.97,34.88,33.85,34.45,220195,0
2016-11-11,34.5,34.78,31.57,34.35,155295,0
2016-11-14,34.48,35.58,34.32,34.69,137855,0
2016-11-15,34.67,36.22,34.66,36.01,192997,0
2016-11-16,35.75,36.61,35.75,35.88,134837,0
2016-11-17,35.9,37.56,35.6,35.86,223483,0
2016-11-18,35.92,36.34,35.68,35.99,104435,0
2016-11-21,35.87,36.39,35.35,35.94,88420,0
2016-11-22,36.08,36.38,35.93,36.13,96148,0
2016-11-23,36.0,37.17,35.81,36.9,102027,0
2016-11-25,37.08,37.51,36.79,37.46,31810,0
2016-11-28,37.74,37.74,36.0,36.53,93884,0
2016-11-29,36.35,37.58,36.06,36.78,120518,0
2016-11-30,37.06,37.23,35.33,35.68,209542,0
2016-12-01,35.84,36.41,34.6,35.21,80974,0
2016-12-02,35.07,38.2,35.07,36.99,121476,0
2016-12-05,37.57,38.5,37.27,37.46,136778,0
2016-12-06,37.8,38.94,37.13,37.87,91382,0
2016-12-07,38.0,38.32,36.54,37.24,91854,0
2016-12-08,37.35,37.44,36.0,36.55,103952,0
2016-12-09,36.62,37.25,35.41,36.0,112974,0
2016-12-12,35.87,36.44,34.05,34.53,197891,0
2016-12-13,34.67,35.22,33.54,34.02,140425,0
2016-12-14,33.97,34.51,32.59,33.69,174063,0
2016-12-15,33.66,34.19,33.34,33.71,169503,0
2016-12-16,34.0,34.95,33.57,34.4,827663,0
2016-12-19,34.71,35.57,34.07,34.99,152704,0
2016-12-20,35.24,36.42,35.24,35.89,130044,0
2016-12-21,36.17,36.48,35.42,36.0,150102,0
2016-12-22,36.19,36.19,35.4,35.78,77129,0
2016-12-23,35.8,36.38,35.15,35.88,85176,0
2016-12-27,35.99,36.64,35.61,35.96,79866,0
2016-12-28,36.04,36.51,35.42,35.8,83630,0
2016-12-29,35.9,36.25,35.21,35.77,70113,0
2016-12-30,36.0,37.74,35.66,36.07,72677,0
2017-01-03,36.42,36.84,35.37,35.91,116346,0
2017-01-04,35.82,37.06,35.65,36.39,154841,0
2017-01-05,36.34,37.22,35.63,35.83,119604,0
2017-01-06,36.02,36.21,35.36,35.82,92335,0
2017-01-09,36.0,36.03,35.5,35.72,66080,0
2017-01-10,35.85,36.35,35.62,36.33,46209,0
2017-01-11,36.42,36.75,35.02,35.64,123826,0
2017-01-12,35.4,35.92,35.01,35.32,42038,0
2017-01-13,35.54,36.39,35.35,35.46,46784,0
2017-01-17,35.64,35.64,34.5,34.78,86110,0
2017-01-18,34.69,35.6,34.19,34.6,51160,0
2017-01-19,34.41,34.66,33.7,34.37,73591,0
2017-01-20,34.29,35.12,33.86,34.98,89850,0
2017-01-23,35.0,35.0,33.82,34.35,122081,0
2017-01-24,34.4,35.2,34.36,34.9,76945,0
2017-01-25,34.91,35.36,34.44,35.13,57423,0
2017-01-26,35.16,35.84,34.68,35.05,133104,0
2017-01-27,35.23,35.31,34.05,35.02,82738,0
2017-01-30,35.02,35.02,34.1,34.34,46419,0
2017-01-31,34.1,35.08,34.1,34.89,94759,0
2017-02-01,34.83,35.38,34.36,34.75,141243,0
2017-02-02,34.65,34.9,33.37,33.7,154844,0
2017-02-03,33.89,33.97,33.03,33.4,94245,0
2017-02-06,33.29,33.86,32.43,33.02,160907,0
2017-02-07,32.92,33.68,32.56,32.75,96100,0
2017-02-08,32.6,33.4,32.26,32.66,150239,0
2017-02-09,32.52,34.36,32.52,33.78,114953,0
2017-02-10,33.93,34.69,33.53,34.33,96485,0
2017-02-13,34.56,34.9,33.84,34.16,79296,0
2017-02-14,34.24,34.52,33.77,34.41,139489,0
2017-02-15,34.24,35.43,34.1,35.11,177798,0
2017-02-16,35.41,35.94,34.91,35.83,112055,0
2017-02-17,35.75,35.85,35.07,35.22,119660,0
2017-02-21,35.59,35.59,34.74,35.43,63689,0
2017-02-22,35.34,35.73,35.06,35.57,79065,0
2017-02-23,35.6,35.63,34.95,35.56,84821,0
2017-02-24,35.53,36.46,35.08,36.11,101363,0
2017-02-27,35.99,36.48,35.65,36.38,217077,0
2017-02-28,33.0,33.19,28.16,28.95,1303517,0
2017-03-01,29.0,29.9,28.6,28.63,310290,0
2017-03-02,28.43,29.05,28.38,28.99,323307,0
2017-03-03,28.93,29.12,28.55,28.86,166002,0
2017-03-06,28.72,28.94,28.05,28.22,186127,0
2017-03-07,28.05,28.69,27.78,28.32,108967,0
2017-03-08,28.47,28.99,28.06,28.55,262757,0
2017-03-09,28.64,29.18,28.27,29.16,142119,0
2017-03-10,29.37,29.45,28.39,28.52,197979,0
2017-03-13,28.72,28.72,28.17,28.38,74073,0
2017-03-14,28.19,28.26,27.83,28.12,153531,0
2017-03-15,28.23,28.47,27.72,28.32,115807,0
2017-03-16,28.39,28.69,28.22,28.45,141487,0
2017-03-17,28.37,28.46,27.65,27.66,310753,0
2017-03-20,27.73,27.73,26.74,27.06,151437,0
2017-03-21,27.23,27.36,26.26,26.56,137976,0
2017-03-22,26.5,26.83,26.23,26.62,142514,0
2017-03-23,26.57,27.29,26.55,27.1,213383,0
2017-03-24,27.2,27.38,26.66,26.91,226395,0
2017-03-27,26.67,27.36,26.01,27.23,81267,0
2017-03-28,27.23,27.61,26.62,27.23,453349,0
2017-03-29,27.71,28.24,27.29,28.04,237716,0
2017-03-30,28.06,28.74,27.8,28.3,207930,0
2017-03-31,28.35,30.1,28.14,29.85,391470,0
2017-04-03,30.0,30.91,29.95,30.36,200705,0
2017-04-04,30.25,30.35,29.77,30.07,192106,0
2017-04-05,30.09,30.7,30.06,30.18,168264,0
2017-04-06,30.36,30.36,29.53,30.04,253740,0
2017-04-07,30.0,30.32,29.65,29.71,160127,0
2017-04-10,29.88,30.16,29.25,29.32,291691,0
2017-04-11,29.27,29.68,28.84,29.45,305733,0
2017-04-12,29.51,29.66,28.84,28.93,91688,0
2017-04-13,28.88,29.05,28.4,28.44,96767,0
2017-04-17,28.57,29.03,28.41,29.0,195786,0
2017-04-18,28.86,29.02,28.59,29.0,40140,0
2017-04-19,29.14,30.31,29.0,30.1,107054,0
2017-04-20,30.24,30.58,30.14,30.44,145364,0
2017-04-21,30.44,30.53,29.84,30.46,87323,0
2017-04-24,30.86,31.1,30.62,30.96,101158,0
2017-04-25,31.15,31.37,30.9,31.2,146536,0
2017-04-26,31.13,31.42,30.54,31.16,122883,0
2017-04-27,31.18,31.62,31.0,31.56,88346,0
2017-04-28,31.66,31.83,31.42,31.71,45800,0
2017-05-01,31.88,32.62,31.67,32.39,126220,0
2017-05-02,24.41,25.1,22.35,22.47,2515828,0
2017-05-03,22.51,22.55,21.76,22.18,737657,0
2017-05-04,22.22,23.08,22.2,22.6,341696,0
2017-05-05,22.7,23.79,22.6,22.98,1354088,0
2017-05-08,23.07,24.24,23.0,24.17,388495,0
2017-05-09,24.25,24.67,23.92,24.47,279525,0
2017-05-10,24.49,24.93,24.25,24.84,170369,0
2017-05-11,24.72,25.46,24.58,25.25,264939,0
2017-05-12,25.17,25.87,25.15,25.67,169696,0
2017-05-15,25.73,26.72,25.73,26.34,218635,0
2017-05-16,26.34,26.86,26.05,26.82,182397,0
2017-05-17,26.63,26.81,25.92,26.13,180566,0
2017-05-18,26.11,26.57,25.88,26.27,143243,0
2017-05-19,26.42,26.59,26.19,26.44,143211,0
2017-05-22,26.5,26.92,26.46,26.79,102584,0
2017-05-23,26.88,26.88,26.42,26.67,89494,0
2017-05-24,26.63,26.99,26.42,26.77,93167,0
2017-05-25,26.76,27.23,26.62,26.99,139387,0
2017-05-26,26.85,27.14,26.7,27.07,111355,0
2017-05-30,26.96,27.8,26.96,27.48,184688,0
2017-05-31,27.59,27.97,27.35,27.82,160536,0
2017-06-01,27.91,28.33,27.52,28.3,198951,0
2017-06-02,28.22,28.56,27.7,28.04,108725,0
2017-06-05,28.08,28.3,27.61,27.91,118931,0
2017-06-06,27.92,28.6,27.92,28.1,128060,0
2017-06-07,28.26,28.28,27.82,28.07,155388,0
2017-06-08,28.02,29.24,27.96,28.63,94145,0
2017-06-09,28.65,28.65,27.46,27.71,181275,0
2017-06-12,27.69,28.44,26.81,28.15,266403,0
2017-06-13,28.14,28.75,27.8,28.19,411549,0
2017-06-14,28.15,28.22,27.74,27.99,176180,0
2017-06-15,27.91,28.5,27.8,28.15,226400,0
2017-06-16,28.15,28.71,27.7,28.35,362337,0
2017-06-19,28.32,28.82,28.09,28.49,181194,0
2017-06-20,28.58,29.34,28.28,28.41,331231,0
2017-06-21,28.45,29.02,28.28,28.4,230100,0
2017-06-22,28.63,29.32,28.35,28.81,425048,0
2017-06-23,28.72,29.36,28.43,29.27,437519,0
2017-06-26,29.33,29.54,28.94,29.09,76772,0
2017-06-27,29.13,29.41,28.56,28.8,88854,0
2017-06-28,28.97,29.66,28.97,29.52,57159,0
2017-06-29,29.64,29.64,28.68,29.13,71267,0
2017-06-30,29.2,29.23,28.56,29.0,59670,0
2017-07-03,29.04,29.12,28.64,29.01,58565,0
2017-07-05,29.08,29.41,28.84,29.28,91753,0
2017-07-06,29.01,29.26,28.72,29.0,113244,0
2017-07-07,29.0,29.45,28.95,29.24,103670,0
2017-07-10,28.45,28.5,26.56,27.27,306791,0
2017-07-11,27.14,27.86,27.09,27.62,218755,0
2017-07-12,28.03,28.32,27.68,27.76,244974,0
2017-07-13,27.85,28.09,27.2,27.51,206237,0
2017-07-14,27.54,27.93,27.3,27.68,172578,0
2017-07-17,27.61,28.09,27.61,28.04,148988,0
2017-07-18,27.84,28.33,27.5,28.04,189818,0
2017-07-19,27.96,28.46,27.66,28.06,131245,0
2017-07-20,28.05,28.55,27.97,28.19,410608,0
2017-07-21,28.41,28.55,27.91,28.23,140670,0
2017-07-24,28.14,29.09,27.59,28.9,213313,0
2017-07-25,28.9,28.97,28.44,28.64,107592,0
2017-07-26,28.73,28.94,28.36,28.59,93687,0
2017-07-27,28.62,28.62,27.79,27.97,148815,0
2017-07-28,27.91,28.18,27.32,27.49,220926,0
2017-07-31,27.62,27.65,27.07,27.43,187448,0
2017-08-01,29.0,30.88,28.12,29.7,1093770,0
2017-08-02,29.83,30.58,29.39,29.77,398218,0
2017-08-03,29.78,31.82,29.78,31.53,247083,0
2017-08-04,31.58,31.93,31.22,31.63,149999,0
2017-08-07,31.49,32.2,31.49,31.92,133272,0
2017-08-08,31.89,33.39,31.54,33.11,216873,0
2017-08-09,33.03,33.5,32.06,32.19,289098,0
2017-08-10,32.14,32.19,30.85,30.89,173205,0
2017-08-11,31.02,31.28,30.64,30.83,147616,0
2017-08-14,30.94,31.28,30.65,31.26,111998,0
2017-08-15,31.24,32.13,31.09,31.37,99553,0
2017-08-16,31.48,32.0,31.0,31.21,76830,0
2017-08-17,32.44,32.69,31.32,31.65,127786,0
