Date,Open,High,Low,Close,Volume,Dividend
1996-05-23,11.75,13.25,11.75,12.88,3379500,0
1996-05-24,12.88,13.38,12.88,13.13,927200,0
1996-05-28,13.5,13.5,13.0,13.38,498100,0
1996-05-29,13.38,13.38,12.81,12.88,395700,0
1996-05-30,13.13,13.13,12.88,13.0,184700,0
1996-05-31,13.13,13.13,12.75,12.75,365500,0
1996-06-03,12.75,13.13,12.75,12.75,75600,0
1996-06-04,12.75,13.13,12.75,12.75,114300,0
1996-06-05,13.13,13.13,12.5,12.5,275600,0
1996-06-06,12.75,12.75,12.5,12.63,56000,0
1996-06-07,12.38,12.63,12.38,12.5,208200,0
1996-06-10,12.63,13.0,12.38,12.63,117400,0
1996-06-11,13.0,13.13,12.63,12.75,25700,0
1996-06-12,13.0,13.25,12.75,12.88,160400,0
1996-06-13,13.25,13.25,12.75,12.75,124400,0
1996-06-14,13.0,13.0,12.63,12.63,43600,0
1996-06-17,12.88,13.0,12.63,12.63,25700,0
1996-06-18,12.88,12.88,12.25,12.38,67100,0
1996-06-19,12.63,13.0,12.38,12.88,40200,0
1996-06-20,12.5,12.88,12.5,12.88,47200,0
1996-06-21,12.5,12.88,12.5,12.88,51400,0
1996-06-24,12.88,13.38,12.88,13.12,27300,0
1996-06-25,12.88,12.88,12.5,12.62,49300,0
1996-06-26,12.5,12.69,12.25,12.38,67500,0
1996-06-27,12.25,12.5,12.25,12.25,116500,0
1996-06-28,13.5,13.5,13.0,13.38,86800,0
1996-07-01,13.12,13.12,12.75,12.75,61300,0
1996-07-02,13.0,13.25,12.75,12.75,65900,0
1996-07-03,12.75,13.12,12.75,12.75,61700,0
1996-07-05,13.12,13.12,12.5,12.5,24300,0
1996-07-08,12.12,12.25,11.88,12.0,26000,0
1996-07-09,12.0,12.38,12.0,12.12,6700,0
1996-07-10,12.0,12.25,12.0,12.25,27600,0
1996-07-11,13.0,13.12,12.62,12.75,157400,0
1996-07-12,13.0,13.25,12.75,12.88,30200,0
1996-07-15,12.0,12.25,11.88,12.0,28700,0
1996-07-16,11.88,12.25,11.75,11.88,93100,0
1996-07-17,12.62,13.0,12.62,12.62,99300,0
1996-07-18,12.88,12.88,12.25,12.38,14700,0
1996-07-19,12.62,13.0,12.38,12.88,4100,0
1996-07-22,11.5,11.5,11.12,11.12,38500,0
1996-07-23,11.25,11.25,10.0,10.38,53900,0
1996-07-24,12.69,12.88,12.5,12.5,117700,0
1996-07-25,12.88,12.88,12.5,12.62,185700,0
1996-07-26,12.5,12.69,12.25,12.38,79000,0
1996-07-29,10.75,10.75,10.5,10.62,11100,0
1996-07-30,10.88,11.0,10.62,10.88,108400,0
1996-07-31,10.62,11.0,10.62,10.69,61500,0
1996-08-01,12.5,13.12,12.0,13.0,104000,0
1996-08-02,13.0,13.25,12.75,12.75,900,0
1996-08-05,12.75,13.0,12.38,12.38,11600,0
1996-08-06,11.0,11.38,10.88,11.38,76900,0
1996-08-07,11.12,11.5,11.12,11.12,13500,0
1996-08-08,12.12,12.25,11.88,12.0,6000,0
1996-08-09,12.0,12.38,12.0,12.12,12400,0
1996-08-12,12.19,12.25,11.88,12.0,500,0
1996-08-13,11.12,11.5,11.12,11.5,2000,0
1996-08-14,11.5,11.5,11.25,11.5,38900,0
1996-08-15,12.0,12.25,11.88,12.0,0,0
1996-08-16,11.88,12.25,11.75,11.88,18900,0
1996-08-19,11.75,12.0,11.5,11.5,7800,0
1996-08-20,12.75,13.5,12.75,13.25,47200,0
1996-08-21,13.5,13.5,13.25,13.5,22800,0
1996-08-22,11.5,11.5,11.12,11.12,7000,0
1996-08-23,11.25,11.25,10.0,10.38,6200,0
1996-08-26,10.62,10.75,10.38,10.56,21800,0
1996-08-27,13.38,13.38,13.0,13.0,11800,0
1996-08-28,13.38,13.38,13.0,13.0,3200,0
1996-08-29,10.75,10.75,10.5,10.62,12100,0
1996-08-30,10.88,11.0,10.62,10.88,1700,0
1996-09-03,13.0,13.12,12.88,12.88,3000,0
1996-09-04,13.25,13.25,12.88,12.88,47900,0
1996-09-05,11.38,11.38,11.0,11.06,81300,0
1996-09-06,11.0,11.38,10.88,11.38,84900,0
1996-09-09,11.5,11.5,11.25,11.38,3900,0
1996-09-10,13.12,13.25,12.88,12.88,3700,0
1996-09-11,13.12,13.25,13.0,13.25,8200,0
1996-09-12,11.25,11.25,11.25,11.25,4600,0
1996-09-13,11.12,11.5,11.12,11.5,15000,0
1996-09-16,11.5,12.5,11.5,12.5,117200,0
1996-09-17,13.0,14.0,13.0,13.62,30000,0
1996-09-18,14.0,14.75,13.62,14.75,224900,0
1996-09-19,12.25,12.75,12.25,12.25,373700,0
1996-09-20,12.75,13.5,12.75,13.25,48000,0
1996-09-23,13.5,13.5,13.25,13.5,56300,0
1996-09-24,14.5,14.75,14.0,14.5,49600,0
1996-09-25,14.5,15.0,14.5,14.5,56700,0
1996-09-26,13.5,14.0,13.25,13.5,3800,0
1996-09-27,13.38,13.38,13.0,13.0,9400,0
1996-09-30,13.12,13.12,12.88,12.88,3100,0
1996-10-01,14.0,14.5,14.0,14.0,38200,0
1996-10-02,14.5,14.5,14.0,14.5,62900,0
1996-10-03,13.0,13.12,12.88,12.88,34900,0
1996-10-04,13.25,13.25,12.88,12.88,30900,0
1996-10-07,14.12,14.12,13.62,14.12,6600,0
1996-10-08,14.12,14.12,13.0,13.25,14500,0
1996-10-09,13.12,13.12,12.88,12.88,8200,0
1996-10-10,13.12,13.25,12.88,12.88,80900,0
1996-10-11,13.12,13.25,13.0,13.25,16900,0
1996-10-14,13.0,13.0,12.75,13.0,13000,0
1996-10-15,12.88,13.75,12.88,13.38,77800,0
1996-10-16,12.75,13.25,12.75,13.25,17100,0
1996-10-17,13.0,14.0,13.0,13.62,8300,0
1996-10-18,14.0,14.75,13.62,14.75,15900,0
1996-10-21,14.12,14.12,13.75,13.88,34600,0
1996-10-22,14.25,14.25,13.88,13.88,10200,0
1996-10-23,14.88,15.0,14.75,15.0,9400,0
1996-10-24,14.5,14.75,14.0,14.5,4700,0
1996-10-25,14.5,15.0,14.5,14.5,100,0
1996-10-28,13.88,14.25,13.88,13.88,9900,0
1996-10-29,14.0,14.25,13.88,14.25,25100,0
1996-10-30,14.0,14.5,14.0,14.5,46400,0
1996-10-31,13.88,14.38,13.88,14.38,103600,0
