Date,Open,High,Low,Close,Volume,Dividend
2013-10-09,22.4,22.81,21.0,21.0,5399500,0
2013-10-10,21.12,21.63,20.99,21.19,507200,0
2013-10-11,21.37,21.99,21.1,21.8,245300,0
2013-10-14,21.7,21.85,21.35,21.6,139300,0
2013-10-15,22.0,22.0,21.3,21.76,76200,0
2013-10-16,21.8,21.96,21.35,21.5,71600,0
2013-10-17,21.5,21.58,21.48,21.52,91600,0
2013-10-18,21.69,21.69,21.45,21.5,29800,0
2013-10-21,21.46,21.52,21.31,21.38,46400,0
2013-10-22,21.49,21.65,21.21,21.6,67200,0
2013-10-23,21.4,21.62,21.4,21.55,35900,0
2013-10-24,21.32,21.58,21.32,21.5,26300,0
2013-10-25,21.53,21.54,21.35,21.44,24900,0
2013-10-28,21.5,22.0,21.41,21.94,215500,0
2013-10-29,22.11,22.11,21.76,21.85,28300,0
2013-10-30,21.79,21.99,21.49,21.49,36900,0
2013-10-31,21.44,21.64,21.44,21.48,30900,0
2013-11-01,21.44,21.79,21.22,21.43,40700,0
2013-11-04,21.7,21.8,21.25,21.8,385800,0
2013-11-05,21.98,22.3,21.55,21.55,107100,0
2013-11-06,21.55,21.95,21.0,21.1,69400,0
2013-11-07,21.0,21.09,19.45,20.02,77100,0
2013-11-08,20.05,20.05,19.5,19.72,63900,0
2013-11-11,19.62,20.47,19.06,20.21,119900,0
2013-11-12,20.38,20.38,19.62,19.75,12300,0
2013-11-13,19.87,20.24,19.87,20.02,120300,0
2013-11-14,20.0,20.24,20.0,20.0,43600,0
2013-11-15,19.99,20.02,19.77,19.93,162000,0
2013-11-18,19.93,20.5,19.85,20.4,25000,0
2013-11-19,20.51,20.53,19.95,20.35,29000,0
2013-11-20,20.38,20.42,20.03,20.19,7600,0
2013-11-21,20.34,20.65,20.32,20.54,23700,0
2013-11-22,20.67,20.79,20.41,20.52,28300,0
2013-11-25,20.52,20.76,20.11,20.57,4800,0
2013-11-26,20.34,20.65,20.34,20.44,9400,0
2013-11-27,20.42,20.65,20.42,20.47,10800,0
2013-11-29,20.59,20.93,20.59,20.82,7800,0
2013-12-02,20.79,20.91,20.42,20.43,32300,0
2013-12-03,20.49,20.61,20.42,20.5,41600,0
2013-12-04,20.53,20.94,20.47,20.47,14300,0
2013-12-05,20.29,20.75,20.18,20.5,42400,0
2013-12-06,20.54,21.0,20.54,20.92,120500,0
2013-12-09,20.99,21.1,20.81,20.98,114100,0
2013-12-10,21.03,21.4,20.84,21.11,90800,0
