Date,Open,High,Low,Close,Volume,Dividend
1995-01-03,16.75,17.25,16.38,17.25,33600,0
1995-01-04,17.25,17.25,16.88,17.0,14200,0
1995-01-05,17.0,17.0,16.88,16.88,38900,0
1995-01-06,16.88,17.0,16.88,16.88,11700,0
1995-01-09,17.0,17.0,16.75,16.75,9600,0
1995-01-10,16.88,17.0,16.62,17.0,35500,0
1995-01-11,17.0,17.38,16.88,17.38,24100,0
1995-01-12,17.12,17.38,17.0,17.38,16600,0
1995-01-13,17.38,17.38,16.75,16.88,14300,0
1995-01-16,17.0,17.0,16.62,16.75,13600,0
1995-01-17,16.75,17.0,16.5,16.88,15900,0
1995-01-18,16.88,17.38,16.88,17.25,15500,0
1995-01-19,17.12,17.12,17.12,17.12,25600,0
1995-01-20,17.12,17.12,16.5,16.5,36900,0
1995-01-23,17.0,17.0,16.25,16.75,19900,0
1995-01-24,17.0,17.12,16.75,16.75,24100,0
1995-01-25,16.88,17.0,16.69,17.0,25700,0
1995-01-26,16.88,17.0,16.5,16.75,12200,0
1995-01-27,16.62,16.88,16.5,16.62,13300,0
1995-01-30,16.5,16.75,16.38,16.62,21100,0
1995-01-31,16.88,16.88,16.75,16.88,24300,0
1995-02-01,16.75,16.88,16.5,16.5,25500,0
1995-02-02,16.75,16.75,16.38,16.38,7400,0
1995-02-03,16.38,16.62,16.0,16.5,13900,0
1995-02-06,16.38,16.88,16.38,16.75,7500,0
1995-02-07,16.88,16.88,16.25,16.88,14000,0
1995-02-08,16.75,16.88,16.75,16.75,14000,0
1995-02-09,16.88,16.88,16.38,16.88,23300,0
1995-02-10,16.88,16.88,16.5,16.75,30400,0
1995-02-13,16.88,16.88,16.75,16.88,5000,0
1995-02-14,16.88,16.88,16.62,16.75,4600,0
1995-02-15,16.75,16.88,16.0,16.5,102500,0
1995-02-16,16.62,16.62,16.25,16.25,54100,0
1995-02-17,16.38,16.5,16.12,16.5,52100,0
1995-02-21,16.62,16.62,15.88,16.0,536000,0
1995-02-22,16.0,16.38,16.0,16.25,31800,0
1995-02-23,16.5,16.5,16.0,16.12,11300,0
1995-02-24,16.12,16.12,15.88,16.0,18400,0
1995-02-27,15.75,15.75,15.12,15.62,28000,0
1995-02-28,15.62,15.62,15.25,15.25,146600,0
1995-03-01,15.38,15.5,15.0,15.0,25500,0
1995-03-02,15.12,15.62,15.12,15.12,13100,0
1995-03-03,15.12,15.38,14.75,14.75,33800,0
1995-03-06,14.75,14.75,14.5,14.75,25300,0
1995-03-07,14.75,14.75,14.5,14.5,47000,0
1995-03-08,14.62,14.88,14.62,14.75,7800,0
1995-03-09,14.88,14.88,14.62,14.62,5300,0
1995-03-10,14.88,14.88,14.62,14.75,164600,0
1995-03-13,14.88,15.0,14.38,14.75,8500,0
1995-03-14,14.62,15.12,14.62,15.0,37600,0
1995-03-15,14.88,15.0,14.88,15.0,39000,0
1995-03-16,14.88,15.12,14.88,15.12,88100,0
1995-03-17,15.12,15.12,14.88,15.0,46200,0
1995-03-20,15.12,15.12,15.0,15.0,9800,0
1995-03-21,15.0,15.0,14.75,14.75,17400,0
1995-03-22,14.88,14.88,14.62,14.62,21900,0
1995-03-23,14.62,14.75,14.25,14.5,48400,0
1995-03-24,15.38,15.38,14.62,14.75,29700,0
1995-03-27,14.88,15.12,14.75,15.12,24900,0
1995-03-28,15.25,15.25,14.75,14.75,32100,0
1995-03-29,15.0,15.25,14.88,15.12,185000,0
1995-03-30,15.12,15.25,14.88,14.88,11200,0
1995-03-31,15.0,15.0,14.5,14.5,58100,0
1995-04-03,14.38,14.88,14.25,14.75,219500,0
1995-04-04,14.75,15.0,14.75,15.0,68700,0
1995-04-05,15.0,15.0,14.75,14.75,46500,0
1995-04-06,14.88,15.0,14.75,15.0,37100,0
1995-04-07,15.0,15.0,14.88,14.88,9400,0
1995-04-10,15.0,15.12,14.88,15.0,50400,0
1995-04-11,15.0,15.0,14.75,14.88,17100,0
1995-04-12,14.88,14.88,14.25,14.25,44800,0
1995-04-13,14.38,14.75,14.38,14.75,61300,0
1995-04-17,14.75,14.75,14.12,14.25,45100,0
1995-04-18,14.62,14.62,14.0,14.25,11900,0
1995-04-19,14.25,14.38,14.0,14.25,88000,0
1995-04-20,14.38,14.75,14.38,14.62,11200,0
1995-04-21,14.75,14.75,14.38,14.5,23200,0
1995-04-24,14.38,14.62,14.38,14.5,13300,0
1995-04-25,14.62,14.88,14.62,14.88,43000,0
1995-04-26,14.75,14.75,14.12,14.12,70300,0
1995-04-27,14.0,14.12,13.25,14.0,61800,0
1995-04-28,13.62,13.88,13.25,13.62,36700,0
1995-05-01,13.25,13.88,13.12,13.75,46200,0
1995-05-02,13.62,14.0,13.38,13.5,23900,0
1995-05-03,13.5,14.0,13.5,14.0,13300,0
1995-05-04,14.0,14.12,13.88,13.88,16500,0
1995-05-05,14.0,14.0,13.5,13.62,12600,0
1995-05-08,13.75,13.88,13.62,13.88,13600,0
1995-05-09,13.88,14.12,13.75,13.88,13800,0
1995-05-10,13.88,14.38,13.81,14.38,84200,0
1995-05-11,14.38,14.38,14.0,14.0,44600,0
1995-05-12,14.0,14.0,13.38,13.88,34400,0
