Date,Open,High,Low,Close,Volume,Dividend
1997-01-28,32.0,33.5,32.0,33.25,6250,0
1997-01-29,33.5,33.5,33.5,33.5,200,0
1997-01-30,33.75,38.0,33.75,37.38,5750,0
1997-01-31,37.63,37.63,37.38,37.5,800,0
1997-02-03,37.5,37.5,37.5,37.5,0,0
1997-02-04,37.0,37.0,37.0,37.0,200,0
1997-02-05,37.5,37.5,37.5,37.5,200,0
1997-02-06,37.0,37.0,37.0,37.0,200,0
1997-02-07,37.0,37.0,37.0,37.0,400,0
1997-02-10,36.5,37.5,36.5,36.5,2200,0
1997-02-11,36.75,37.25,36.75,37.13,2700,0
1997-02-12,37.13,37.5,37.13,37.5,2300,0
1997-02-13,38.0,38.5,38.0,38.5,7950,0
1997-02-14,39.5,39.5,38.5,38.88,2950,0
1997-02-18,38.88,39.5,38.0,39.5,14600,0
1997-02-19,39.0,39.0,39.0,39.0,300,0
1997-02-20,40.0,40.5,40.0,40.25,2600,0
1997-02-21,40.75,40.75,39.5,39.5,5400,0
1997-02-24,40.5,40.88,40.5,40.88,200,0
1997-02-25,40.25,40.25,39.75,40.0,2000,0
1997-02-26,40.0,40.0,39.75,39.75,1400,0
1997-02-27,39.62,40.0,39.5,40.0,800,0
1997-02-28,39.5,39.5,39.0,39.0,900,0
1997-03-03,39.5,40.0,39.5,40.0,600,0
1997-03-04,40.0,40.0,39.5,39.5,400,0
1997-03-05,40.0,40.5,40.0,40.5,1600,0
1997-03-06,40.0,40.0,39.5,39.5,600,0
1997-03-07,40.0,42.0,40.0,41.5,2200,0
1997-03-10,40.75,40.75,39.5,39.5,2000,0
1997-03-11,40.0,40.88,40.0,40.37,1500,0
1997-03-12,40.12,40.12,39.75,39.75,300,0
1997-03-13,40.25,41.25,40.25,40.25,1600,0
1997-03-14,40.63,40.75,40.63,40.75,200,0
1997-03-17,40.37,41.0,40.37,41.0,2800,0
1997-03-18,40.5,40.5,40.5,40.5,200,0
1997-03-19,42.0,42.0,42.0,42.0,1300,0
1997-03-20,42.0,42.0,40.0,40.0,3900,0
1997-03-21,41.87,42.0,41.87,42.0,2700,0
1997-03-24,42.0,42.0,42.0,42.0,0,0
1997-03-25,42.5,42.88,42.5,42.5,2450,0
1997-03-26,43.0,43.0,43.0,43.0,200,0
1997-03-27,43.25,43.25,43.0,43.0,1600,0
1997-03-31,42.88,42.88,42.88,42.88,1300,0
1997-04-01,42.88,45.0,42.88,43.75,6400,0
1997-04-02,44.25,44.75,44.25,44.75,300,0
1997-04-03,44.25,47.5,44.25,47.0,7400,0
1997-04-04,46.5,46.5,46.5,46.5,100,0
1997-04-07,46.0,46.0,45.25,45.25,900,0
1997-04-08,45.75,47.0,45.75,47.0,8050,0
1997-04-09,47.0,47.0,47.0,47.0,0,0
1997-04-10,46.5,46.75,46.25,46.5,1300,0
1997-04-11,46.5,47.25,46.25,46.75,2000,0
1997-04-14,47.0,47.0,47.0,47.0,900,0
1997-04-15,46.5,46.5,46.5,46.5,300,0
1997-04-16,46.5,46.5,45.0,45.0,3400,0
1997-04-17,45.5,45.5,45.5,45.5,100,0
1997-04-18,46.0,46.0,46.0,46.0,200,0
1997-04-21,46.0,46.5,46.0,46.5,400,0
1997-04-22,46.0,46.0,45.5,45.5,600,0
1997-04-23,45.75,45.75,45.75,45.75,100,0
1997-04-24,45.25,45.25,45.0,45.0,600,0
1997-04-25,45.0,45.0,45.0,45.0,0,0
1997-04-28,45.0,45.0,45.0,45.0,0,0
1997-04-29,44.75,45.0,44.75,45.0,700,0
1997-04-30,45.5,45.5,45.5,45.5,100,0
1997-05-01,45.5,45.5,45.5,45.5,300,0
1997-05-02,45.12,45.12,45.12,45.12,100,0
1997-05-05,45.12,45.12,45.12,45.12,0,0
1997-05-06,43.5,43.5,43.5,43.5,1300,0
1997-05-07,43.5,43.5,43.0,43.5,400,0
1997-05-08,43.0,43.0,43.0,43.0,100,0
1997-05-09,43.5,46.0,43.5,45.25,1600,0
1997-05-12,46.5,47.5,46.5,47.5,8050,0
1997-05-13,48.0,48.0,47.25,47.88,2000,0
1997-05-14,47.37,48.25,47.37,47.5,700,0
1997-05-15,48.0,48.0,48.0,48.0,300,0
1997-05-16,48.87,48.87,48.0,48.5,1400,0
1997-05-19,49.0,49.0,49.0,49.0,100,0
1997-05-20,49.88,49.88,49.0,49.88,1300,0
1997-05-21,50.38,51.63,50.38,51.63,900,0
1997-05-22,51.5,51.5,50.5,50.5,600,0
1997-05-23,50.5,50.5,50.5,50.5,200,0
1997-05-27,50.5,50.5,49.75,50.5,2200,0
1997-05-28,50.5,50.5,49.5,50.0,700,0
1997-05-29,50.0,50.0,50.0,50.0,100,0
1997-05-30,50.75,50.87,50.38,50.38,3050,0
1997-06-02,25.37,26.25,25.37,25.87,2300,0
1997-06-03,26.25,27.87,25.5,27.87,9300,0
1997-06-04,27.0,27.0,26.0,26.0,3100,0
1997-06-05,26.0,27.25,26.0,27.25,8600,0
