Date,Open,High,Low,Close,Volume,Dividend
2001-01-02,9.25,9.25,8.75,8.75,6000,0
2001-01-03,8.75,8.75,8.44,8.69,5500,0
2001-01-04,8.62,8.69,8.5,8.62,5300,0
2001-01-05,8.75,8.75,8.44,8.5,13400,0
2001-01-08,8.44,8.75,8.44,8.69,7600,0
2001-01-09,8.75,8.75,8.62,8.69,23100,0
2001-01-10,8.56,8.69,8.5,8.5,2000,0
2001-01-11,8.62,8.62,8.38,8.44,8700,0
2001-01-12,8.44,8.44,8.31,8.31,9600,0
2001-01-16,8.44,8.44,8.31,8.31,13100,0
2001-01-17,8.25,8.25,8.25,8.25,100,0
2001-01-18,8.25,8.25,8.12,8.19,1200,0
2001-01-19,8.06,8.06,7.69,7.75,45900,0
2001-01-22,7.75,7.88,7.56,7.56,36700,0
2001-01-23,7.62,7.62,7.44,7.5,5700,0
2001-01-24,7.56,7.69,7.5,7.69,35300,0
2001-01-25,7.75,7.81,7.69,7.75,44500,0
2001-01-26,7.88,7.94,7.81,7.81,124900,0
2001-01-29,8.2,8.2,8.0,8.05,32200,0
2001-01-30,8.15,8.15,8.0,8.0,6800,0
2001-01-31,8.0,8.05,8.0,8.04,12400,0
2001-02-01,8.08,8.08,7.9,7.93,11200,0
2001-02-02,8.0,8.01,7.93,7.99,11700,0
2001-02-05,8.0,8.1,7.98,8.01,61400,0
2001-02-06,8.02,8.14,8.02,8.11,81900,0
2001-02-07,8.14,8.26,8.04,8.15,32700,0
2001-02-08,8.25,8.25,8.01,8.05,16800,0
2001-02-09,8.1,8.25,8.07,8.16,17400,0
2001-02-12,8.16,8.3,8.1,8.29,5200,0
2001-02-13,8.29,8.29,8.14,8.19,4400,0
2001-02-14,8.18,8.41,8.18,8.37,98800,0
2001-02-15,8.44,8.44,8.16,8.16,10700,0
2001-02-16,8.21,8.32,8.16,8.16,3600,0
2001-02-20,8.16,8.35,8.13,8.15,10400,0
2001-02-21,8.17,8.26,8.07,8.07,11200,0
2001-02-22,7.99,8.21,7.91,8.13,11700,0
2001-02-23,8.1,8.19,8.04,8.1,2200,0
2001-02-26,8.15,8.17,8.06,8.17,13200,0
2001-02-27,8.05,8.35,8.05,8.29,7400,0
2001-02-28,8.45,8.68,8.45,8.68,7800,0
2001-03-01,8.68,8.7,8.4,8.57,21900,0
2001-03-02,8.56,8.58,8.56,8.56,2800,0
2001-03-05,8.59,8.73,8.56,8.62,40200,0
2001-03-06,8.68,8.95,8.68,8.86,20500,0
2001-03-07,8.95,9.07,8.95,9.06,16300,0
2001-03-08,9.13,9.4,9.13,9.39,15600,0
2001-03-09,9.49,9.49,9.28,9.33,19800,0
2001-03-12,9.27,9.27,9.12,9.2,15500,0
2001-03-13,9.15,9.15,9.0,9.0,5300,0
2001-03-14,9.0,9.0,8.91,8.96,13800,0
2001-03-15,8.9,8.9,8.8,8.8,2200,0
2001-03-16,8.85,8.85,8.72,8.75,4100,0
2001-03-19,8.76,8.9,8.76,8.9,1900,0
2001-03-20,8.91,9.47,8.91,9.25,12900,0
2001-03-21,9.26,9.34,9.2,9.2,29200,0
2001-03-22,9.1,9.13,9.0,9.13,17100,0
2001-03-23,9.05,9.1,8.6,9.07,41100,0
2001-03-26,9.0,9.22,8.93,9.06,14300,0
2001-03-27,9.1,9.3,9.1,9.25,5300,0
2001-03-28,9.15,9.2,9.03,9.04,10200,0
2001-03-29,9.07,9.16,8.73,8.8,14300,0
2001-03-30,8.85,9.07,8.85,9.07,4300,0
2001-04-02,9.15,9.42,9.15,9.24,10200,0
2001-04-03,9.29,9.29,9.07,9.07,7500,0
2001-04-04,9.02,9.09,8.9,8.99,5500,0
2001-04-05,9.05,9.09,8.92,9.07,8900,0
2001-04-06,9.02,9.15,9.0,9.07,2600,0
2001-04-09,9.09,9.3,9.09,9.3,1700,0
2001-04-10,9.31,9.57,9.31,9.57,3300,0
2001-04-11,9.65,9.67,9.5,9.51,7700,0
2001-04-12,9.45,9.5,9.4,9.5,3400,0
2001-04-16,9.5,9.65,9.5,9.65,4500,0
2001-04-17,9.75,9.84,9.75,9.84,2600,0
2001-04-18,9.8,10.0,9.8,10.0,9500,0
2001-04-19,10.0,10.2,9.95,10.2,20300,0
2001-04-20,10.11,10.11,9.58,9.74,16000,0
2001-04-23,9.85,9.85,9.66,9.66,6000,0
2001-04-24,9.7,9.7,9.14,9.43,17600,0
2001-04-25,9.48,9.82,9.48,9.79,16300,0
2001-04-26,9.72,9.99,9.72,9.99,17500,0
2001-04-27,9.97,9.99,9.9,9.9,11500,0
2001-04-30,9.94,9.98,9.6,9.98,276500,0
2001-05-01,9.99,10.24,9.99,10.24,170600,0
2001-05-02,10.4,10.59,10.38,10.43,26000,0
2001-05-03,10.34,10.54,10.34,10.49,17100,0
2001-05-04,10.4,10.5,10.25,10.27,14000,0
2001-05-07,10.3,10.4,10.24,10.38,7000,0
2001-05-08,10.34,10.62,10.1,10.31,29300,0
2001-05-09,10.26,10.29,10.2,10.27,24300,0
2001-05-10,10.25,10.46,10.17,10.33,6300,0
2001-05-11,10.24,10.35,10.16,10.18,15900,0
2001-05-14,10.1,10.16,10.1,10.14,7300,0
2001-05-15,10.05,10.05,9.9,10.01,10300,0
2001-05-16,10.01,10.34,10.0,10.34,8800,0
2001-05-17,10.55,10.55,10.3,10.35,37800,0
2001-05-18,10.3,10.3,10.03,10.13,14700,0
2001-05-21,10.18,10.58,10.18,10.54,4900,0
2001-05-22,10.24,10.24,9.95,10.01,18300,0
2001-05-23,10.0,10.14,10.0,10.02,11400,0
2001-05-24,9.99,9.99,9.66,9.67,113100,0
2001-05-25,9.7,9.7,9.6,9.67,303600,0
2001-05-29,9.67,9.67,9.55,9.65,12500,0
2001-05-30,9.63,9.76,9.56,9.75,10000,0
2001-05-31,9.65,9.9,9.65,9.9,2700,0
2001-06-01,9.8,9.95,9.8,9.9,6200,0
2001-06-04,9.88,10.35,9.88,10.26,22700,0
2001-06-05,10.27,10.42,10.17,10.27,32200,0
2001-06-06,10.3,10.49,10.12,10.43,10900,0
2001-06-07,10.48,10.71,10.39,10.68,20900,0
2001-06-08,10.6,10.6,10.39,10.39,7700,0
2001-06-11,10.54,10.54,10.41,10.45,2600,0
2001-06-12,10.4,10.4,10.13,10.27,5200,0
2001-06-13,10.27,10.27,10.02,10.19,12400,0
2001-06-14,10.1,10.13,9.93,9.96,4500,0
2001-06-15,9.96,9.99,9.8,9.8,11100,0
2001-06-18,9.85,9.96,9.71,9.74,21400,0
2001-06-19,9.78,9.78,9.28,9.38,22400,0
2001-06-20,9.32,9.42,9.18,9.23,10700,0
2001-06-21,9.18,9.2,8.78,8.79,30200,0
2001-06-22,8.76,8.99,8.72,8.9,8200,0
2001-06-25,8.92,8.92,8.75,8.75,2700,0
2001-06-26,8.74,8.74,8.52,8.61,10200,0
2001-06-27,8.71,9.03,8.71,8.92,6600,0
2001-06-28,8.92,9.0,8.76,8.97,14100,0
2001-06-29,9.03,9.34,9.03,9.27,9500,0
2001-07-02,9.17,9.17,9.0,9.02,6400,0
2001-07-03,9.12,9.27,9.04,9.26,10600,0
2001-07-05,9.26,9.35,9.07,9.07,4500,0
2001-07-06,9.06,9.06,8.8,8.86,6200,0
2001-07-09,8.84,8.9,8.78,8.9,3700,0
2001-07-10,8.92,9.05,8.92,8.97,4800,0
2001-07-11,8.94,9.07,8.84,9.04,5300,0
2001-07-12,9.06,9.1,9.05,9.05,3600,0
2001-07-13,9.06,9.42,9.06,9.41,9600,0
2001-07-16,9.4,9.4,9.2,9.26,8500,0
2001-07-17,9.16,9.63,9.16,9.56,18200,0
2001-07-18,9.46,9.54,9.21,9.27,15400,0
2001-07-19,9.28,9.44,9.28,9.33,9400,0
2001-07-20,9.43,9.55,9.37,9.41,8500,0
2001-07-23,9.35,9.84,9.35,9.64,18700,0
2001-07-24,9.75,9.78,9.6,9.69,9300,0
2001-07-25,9.77,9.77,9.58,9.61,2500,0
2001-07-26,9.64,9.76,9.64,9.7,5400,0
2001-07-27,9.7,9.7,9.59,9.68,4800,0
2001-07-30,9.7,9.83,9.7,9.83,800,0
2001-07-31,9.73,9.88,9.73,9.74,13200,0
2001-08-01,9.76,9.84,9.75,9.75,5200,0
2001-08-02,9.73,9.83,9.73,9.76,4600,0
2001-08-03,9.66,9.66,9.29,9.45,8400,0
2001-08-06,9.55,9.55,9.42,9.42,6500,0
2001-08-07,9.49,9.49,9.2,9.25,6600,0
2001-08-08,9.35,9.35,9.14,9.14,128100,0
2001-08-09,9.13,9.25,9.13,9.25,25300,0
2001-08-10,9.25,9.31,9.17,9.19,17500,0
2001-08-13,9.25,9.25,9.21,9.21,2800,0
2001-08-14,9.28,9.42,9.19,9.33,40000,0
2001-08-15,9.43,9.55,9.4,9.4,8800,0
2001-08-16,9.5,9.5,9.27,9.28,3300,0
2001-08-17,9.32,9.4,9.31,9.36,2200,0
2001-08-20,9.36,9.36,9.36,9.36,0,0
2001-08-21,9.52,10.12,9.52,10.06,21800,0
2001-08-22,10.0,10.0,9.76,9.81,12000,0
2001-08-23,9.91,9.92,9.72,9.83,11600,0
2001-08-24,9.83,9.83,9.62,9.66,9600,0
2001-08-27,9.63,9.63,9.44,9.61,3300,0
2001-08-28,9.59,9.64,9.52,9.64,4000,0
2001-08-29,9.61,9.63,9.52,9.52,5500,0
2001-08-30,9.51,9.51,9.36,9.48,7000,0
2001-08-31,9.46,9.46,9.3,9.35,27800,0
2001-09-04,9.33,9.51,9.23,9.38,7800,0
2001-09-05,9.45,9.45,9.26,9.34,35200,0
2001-09-06,9.26,9.27,9.2,9.27,2800,0
2001-09-07,9.23,9.23,9.09,9.11,1300,0
2001-09-10,9.08,9.2,9.07,9.2,6800,0
2001-09-17,8.5,8.65,8.4,8.65,9400,0
2001-09-18,8.63,8.9,8.48,8.79,40500,0
2001-09-19,8.98,8.98,8.48,8.53,13400,0
2001-09-20,8.47,8.47,8.23,8.3,15400,0
2001-09-21,7.9,7.9,7.68,7.73,23500,0
2001-09-24,8.17,8.17,7.85,8.06,18100,0
2001-09-25,8.06,8.06,8.06,8.06,0,0
2001-09-26,8.11,8.11,7.75,7.76,18500,0
2001-09-27,7.73,7.73,7.34,7.35,5900,0
2001-09-28,7.47,7.59,7.44,7.5,27400,0
2001-10-01,7.51,7.51,7.12,7.2,69500,0
2001-10-02,7.0,7.44,7.0,7.28,1572200,0
2001-10-03,7.42,7.42,7.26,7.37,180000,0
2001-10-04,7.67,7.67,7.28,7.52,194400,0
2001-10-05,7.58,7.58,7.34,7.45,76700,0
2001-10-08,7.27,7.27,6.8,7.24,205200,0
2001-10-09,7.54,7.54,7.35,7.41,94000,0
2001-10-10,7.51,7.98,7.44,7.87,160800,0
2001-10-11,7.97,8.18,7.91,8.05,162500,0
2001-10-12,8.08,8.15,7.82,8.07,116300,0
2001-10-15,8.14,8.14,7.9,8.01,63400,0
2001-10-16,8.0,8.15,7.99,8.15,115600,0
2001-10-17,8.12,8.27,8.03,8.06,83900,0
2001-10-18,8.0,8.18,7.89,8.02,89000,0
2001-10-19,8.23,8.46,8.16,8.29,96800,0
2001-10-22,8.19,8.38,8.19,8.34,46700,0
2001-10-23,8.34,8.44,8.1,8.12,51700,0
2001-10-24,8.29,8.29,7.99,8.09,38500,0
2001-10-25,8.09,8.37,7.93,8.23,92400,0
2001-10-26,8.25,8.28,8.07,8.19,41100,0
2001-10-29,8.14,8.17,7.96,8.0,28500,0
2001-10-30,7.98,7.98,7.77,7.77,73800,0
2001-10-31,7.72,7.73,7.62,7.69,24200,0
2001-11-01,7.61,7.81,7.52,7.71,55700,0
2001-11-02,7.75,7.88,7.61,7.88,85300,0
2001-11-05,7.87,8.3,7.75,8.27,87400,0
2001-11-06,8.19,8.4,8.14,8.35,60100,0
2001-11-07,8.5,8.5,8.35,8.42,22800,0
2001-11-08,8.46,8.8,8.46,8.67,66400,0
2001-11-09,8.58,9.0,8.58,8.79,86200,0
