Date,Open,High,Low,Close,Volume,Dividend
2016-10-03,22.45,28.0,22.43,28.0,14100084,0
2016-10-04,25.75,25.75,24.35,24.49,1284817,0
2016-10-05,23.8,24.93,23.47,23.68,3157572,0
2016-10-06,23.51,24.02,23.32,23.44,3389232,0
2016-10-07,23.13,23.48,22.92,23.38,3502513,0
2016-10-10,23.15,24.03,23.15,23.49,2488722,0
2016-10-11,23.0,23.66,22.72,23.3,5099627,0
2016-10-12,22.59,23.43,22.2,23.34,4019966,0
2016-10-13,23.34,23.39,22.28,22.83,3564577,0
2016-10-14,22.57,22.84,22.4,22.46,2540971,0
2016-10-17,22.42,22.59,22.25,22.47,999352,0
2016-10-18,23.03,24.58,22.88,24.3,2714988,0
2016-10-19,24.12,24.2,23.3,23.76,1535384,0
2016-10-20,23.59,24.01,23.45,23.92,744508,0
2016-10-21,23.75,24.02,23.18,23.33,1405911,0
2016-10-24,23.6,23.6,22.97,23.3,1082016,0
2016-10-25,23.19,23.2,22.75,23.04,2198984,0
2016-10-26,22.78,22.86,22.25,22.81,4476213,0
2016-10-27,22.96,23.89,22.75,23.29,2281091,0
2016-10-28,23.22,23.35,22.5,22.75,7341100,0
2016-10-31,22.57,22.98,22.52,22.7,1305673,0
2016-11-01,22.78,22.78,22.18,22.53,4584329,0
2016-11-02,22.5,22.98,22.48,22.67,1219183,0
2016-11-03,22.67,22.92,22.41,22.62,1023370,0
2016-11-04,22.44,22.91,22.24,22.69,1346930,0
2016-11-07,22.88,23.5,22.7,23.11,1736160,0
2016-11-08,23.05,23.24,22.71,23.13,1358459,0
2016-11-09,22.93,23.14,22.72,23.0,2165946,0
2016-11-10,23.0,23.77,22.81,23.55,2343583,0
2016-11-11,23.47,24.27,23.06,24.18,1076359,0
2016-11-14,24.17,24.28,23.54,23.69,1166367,0
2016-11-15,23.68,24.01,23.5,23.89,1175413,0
2016-11-16,23.72,24.02,23.62,23.99,668261,0
2016-11-17,24.09,24.4,23.8,23.99,992722,0
2016-11-18,23.85,24.07,23.38,23.44,817519,0
2016-11-21,23.44,24.66,23.44,24.59,1334944,0
2016-11-22,24.68,25.16,24.58,25.03,798699,0
2016-11-23,25.08,25.58,24.88,25.44,970767,0
2016-11-25,25.61,25.64,25.1,25.1,346369,0
2016-11-28,25.03,25.41,24.61,24.73,1053883,0
2016-11-29,24.58,24.8,24.37,24.65,721139,0
2016-11-30,24.64,24.79,24.41,24.46,1232898,0
2016-12-01,25.1,25.93,24.52,24.62,2579877,0
2016-12-02,24.61,24.86,24.4,24.46,994334,0
2016-12-05,24.68,25.01,24.27,24.85,1870178,0
2016-12-06,24.8,25.25,24.75,25.2,1784844,0
2016-12-07,25.35,26.99,25.35,26.93,2402431,0
2016-12-08,26.9,27.48,26.75,27.17,1047514,0
2016-12-09,27.15,27.31,26.75,27.06,887576,0
2016-12-12,26.89,27.39,26.88,27.32,721979,0
2016-12-13,27.49,28.0,27.35,27.8,1076329,0
2016-12-14,27.91,28.42,27.44,28.02,914193,0
2016-12-15,27.95,28.79,27.78,28.42,853052,0
2016-12-16,28.58,28.95,27.67,27.8,1723855,0
2016-12-19,27.89,28.69,27.76,28.67,1013094,0
2016-12-20,28.46,29.14,28.39,28.72,762474,0
2016-12-21,28.61,28.74,28.11,28.25,562184,0
2016-12-22,28.23,28.31,27.82,28.03,331874,0
2016-12-23,28.12,28.35,27.81,28.2,285760,0
2016-12-27,28.12,28.71,27.98,28.17,198407,0
2016-12-28,28.15,28.32,27.85,28.08,493108,0
2016-12-29,28.0,28.16,27.56,27.92,238836,0
2016-12-30,27.97,28.09,27.71,28.07,309109,0
2017-01-03,28.11,28.31,27.24,27.69,905116,0
2017-01-04,27.6,28.24,27.51,28.09,1170341,0
2017-01-05,27.89,28.34,27.76,28.06,643687,0
2017-01-06,28.04,28.49,27.8,28.44,672350,0
2017-01-09,28.24,28.3,27.75,27.95,462154,0
2017-01-10,27.98,28.8,27.92,28.73,753371,0
2017-01-11,28.58,29.09,28.38,28.79,515447,0
2017-01-12,28.75,28.76,27.18,27.43,765179,0
2017-01-13,27.63,28.04,27.1,27.32,525646,0
2017-01-17,27.2,27.39,26.82,27.06,595938,0
2017-01-18,27.2,28.05,27.2,27.44,361836,0
2017-01-19,27.49,27.67,26.71,26.78,397838,0
2017-01-20,26.77,27.83,26.74,27.83,407227,0
2017-01-23,27.84,27.89,27.47,27.5,248471,0
2017-01-24,27.67,28.2,27.27,28.05,342699,0
2017-01-25,28.16,28.29,27.81,27.88,214419,0
2017-01-26,28.02,28.27,27.74,27.98,252237,0
2017-01-27,27.94,28.45,27.83,28.43,381584,0
2017-01-30,28.16,28.26,27.63,27.92,492371,0
2017-01-31,27.8,28.06,27.48,27.95,419552,0
2017-02-01,28.06,28.23,27.87,27.9,348588,0
2017-02-02,27.89,29.0,27.89,28.79,1268596,0
2017-02-03,29.01,29.06,28.47,29.01,721871,0
2017-02-06,29.01,29.67,28.92,29.19,564070,0
2017-02-07,29.16,29.44,28.75,28.94,776466,0
2017-02-08,29.0,29.25,28.62,28.69,512494,0
2017-02-09,28.5,29.29,28.34,28.39,853892,0
2017-02-10,28.38,28.76,28.32,28.63,566588,0
2017-02-13,29.6,29.84,28.37,29.08,2240507,0
2017-02-14,29.14,29.59,28.88,29.54,1188872,0
2017-02-15,29.5,29.6,28.89,29.27,744831,0
2017-02-16,29.21,29.98,29.09,29.94,379061,0
2017-02-17,29.89,31.09,29.86,31.08,599351,0
2017-02-21,31.06,31.26,30.65,30.96,602299,0
2017-02-22,31.0,31.13,30.23,30.35,319511,0
