Date,Open,High,Low,Close,Volume,Dividend
2003-11-20,17.7,17.75,17.3,17.5,189600,0
2003-11-21,17.79,17.79,17.2,17.34,312100,0
2003-11-24,17.5,18.0,17.4,17.55,216000,0
2003-11-25,17.6,18.07,17.21,17.24,300600,0
2003-11-26,17.4,17.75,17.3,17.55,209100,0
2003-11-28,17.5,18.25,17.3,18.25,79400,0
2003-12-01,18.28,21.33,18.28,20.69,386100,0
2003-12-02,21.47,22.58,20.5,22.25,318500,0
2003-12-03,22.65,22.7,20.45,20.45,326000,0
2003-12-04,20.45,20.45,18.81,19.8,271700,0
2003-12-05,19.63,19.63,18.73,19.08,126500,0
2003-12-08,19.05,19.1,17.88,18.7,309700,0
2003-12-09,18.7,18.98,17.85,17.96,268600,0
2003-12-10,18.49,18.49,17.88,18.3,170300,0
2003-12-11,18.3,18.82,17.99,18.25,92200,0
2003-12-12,18.4,18.7,17.3,17.9,262500,0
2003-12-15,18.17,18.32,17.16,17.5,449500,0
2003-12-16,17.65,17.65,16.38,17.0,491500,0
2003-12-17,17.0,17.2,16.65,16.95,167600,0
2003-12-18,16.75,17.37,16.75,17.0,53900,0
2003-12-19,17.05,17.73,17.0,17.72,174200,0
2003-12-22,17.51,18.62,17.51,18.35,318500,0
2003-12-23,18.5,18.7,18.05,18.61,160800,0
2003-12-24,18.8,19.0,18.36,18.6,80300,0
2003-12-26,18.6,18.6,18.18,18.29,10600,0
2003-12-29,18.65,18.71,18.25,18.71,73400,0
2003-12-30,18.65,18.9,18.53,18.8,36800,0
2003-12-31,18.79,18.95,18.6,18.81,62800,0
2004-01-02,18.91,19.25,18.8,19.25,45200,0
2004-01-05,18.99,19.45,18.85,19.34,69200,0
2004-01-06,19.35,19.35,18.32,18.82,88700,0
2004-01-07,19.12,19.45,18.75,18.78,157100,0
2004-01-08,19.07,19.4,18.16,18.29,142300,0
2004-01-09,18.3,18.78,16.71,17.07,123500,0
2004-01-12,17.08,17.95,17.01,17.79,132800,0
2004-01-13,17.71,17.95,16.85,17.0,380000,0
2004-01-14,17.0,18.05,16.88,18.05,481800,0
2004-01-15,18.06,19.4,18.06,19.16,216900,0
2004-01-16,19.4,19.6,19.1,19.5,283500,0
2004-01-20,19.59,20.47,19.46,20.3,250800,0
2004-01-21,20.3,20.3,19.4,19.8,190400,0
2004-01-22,19.75,20.22,19.3,19.36,94000,0
2004-01-23,19.37,20.2,19.35,19.74,46600,0
2004-01-26,19.94,20.0,19.45,19.45,81400,0
2004-01-27,19.7,19.83,18.55,19.2,143800,0
2004-01-28,19.32,19.36,17.15,17.26,176300,0
2004-01-29,17.49,17.82,16.8,17.14,141400,0
2004-01-30,17.35,18.25,17.35,18.0,245100,0
2004-02-02,18.08,18.17,17.9,17.99,149300,0
2004-02-03,17.95,18.05,17.86,18.0,161200,0
2004-02-04,18.0,18.0,17.53,17.74,26800,0
