Date,Open,High,Low,Close,Volume,Dividend
2006-06-23,20.59,20.59,20.52,20.52,200,0.0
2006-06-26,20.79,20.82,20.79,20.82,500,0.0
2006-06-27,20.87,20.87,20.87,20.87,700,0.0
2006-06-28,20.87,20.87,20.87,20.87,0,0.0
2006-06-29,20.61,20.89,20.61,20.89,15300,0.0
2006-06-30,21.25,21.25,21.25,21.25,200,0.0
2006-07-03,21.28,21.3,21.26,21.3,700,0.0
2006-07-05,21.16,21.16,20.9,20.9,4200,0.0
2006-07-06,20.87,20.87,20.76,20.76,85100,0.0
2006-07-07,20.54,20.54,20.38,20.38,700,0.0
2006-07-10,20.54,20.54,20.54,20.54,100,0.0
2006-07-11,20.09,20.09,20.09,20.09,200,0.0
2006-07-12,20.09,20.09,20.09,20.09,0,0.0
2006-07-13,19.78,19.8,19.78,19.8,600,0.0
2006-07-14,19.33,19.39,19.33,19.39,500,0.0
2006-07-17,19.39,19.39,19.39,19.39,0,0.0
2006-07-18,19.37,19.37,19.37,19.37,300,0.0
2006-07-19,19.47,19.47,19.47,19.47,500,0.0
2006-07-20,19.27,19.27,19.27,19.27,500,0.0
2006-07-21,19.27,19.27,19.27,19.27,0,0.0
2006-07-24,19.25,19.25,19.25,19.25,800,0.0
2006-07-25,19.28,19.28,19.28,19.28,200,0.0
2006-07-26,19.28,19.28,19.28,19.28,0,0.0
2006-07-27,19.28,19.28,19.28,19.28,0,0.0
2006-07-28,19.02,19.03,19.02,19.03,90000,0.0
2006-07-31,18.99,18.99,18.99,18.99,30000,0.0
2006-08-01,18.8,18.8,18.8,18.8,100,0.0
2006-08-02,18.75,18.75,18.75,18.75,100,0.0
2006-08-03,18.75,18.75,18.75,18.75,0,0.0
2006-08-04,18.75,18.75,18.75,18.75,0,0.0
2006-08-07,19.0,19.0,19.0,19.0,60000,0.0
2006-08-08,19.11,19.11,19.11,19.11,300,0.0
2006-08-09,19.11,19.11,19.11,19.11,0,0.0
2006-08-10,18.85,19.03,18.85,19.03,60100,0.0
2006-08-11,18.81,18.81,18.81,18.81,60000,0.0
2006-08-14,18.81,18.81,18.81,18.81,0,0.0
2006-08-15,18.81,18.81,18.81,18.81,0,0.0
2006-08-16,19.73,19.9,19.73,19.9,60600,0.0
2006-08-17,19.9,19.9,19.9,19.9,700,0.0
2006-08-18,20.22,20.34,20.22,20.34,700,0.0
2006-08-21,19.93,19.95,19.93,19.95,200,0.0
2006-08-22,20.07,20.07,20.03,20.03,1900,0.0
2006-08-23,19.76,19.81,19.76,19.81,1200,0.0
2006-08-24,19.76,19.76,19.62,19.67,1600,0.0
2006-08-25,19.67,19.69,19.64,19.64,1900,0.0
2006-08-28,19.93,19.94,19.92,19.94,900,0.0
2006-08-29,19.94,19.94,19.94,19.94,0,0.0
2006-08-30,20.36,20.42,20.36,20.42,700,0.0
2006-08-31,20.39,20.39,20.27,20.39,800,0.0
2006-09-01,20.37,20.51,20.37,20.51,4400,0.0
2006-09-05,20.6,20.63,20.55,20.63,900,0.0
2006-09-06,20.18,20.18,20.14,20.14,700,0.0
2006-09-07,20.06,20.06,19.87,19.87,1100,0.0
2006-09-08,20.14,20.16,20.14,20.16,1500,0.0
2006-09-11,19.96,20.27,19.96,20.27,1300,0.0
2006-09-12,20.58,20.58,20.58,20.58,100,0.0
2006-09-13,20.7,21.0,20.7,20.95,2400,0.0
