Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,20.8,21.25,20.5,20.61,5179400,0
2008-01-03,20.68,20.8,19.42,19.64,6266100,0
2008-01-04,19.4,19.4,18.16,18.93,7782200,0
2008-01-07,19.0,19.08,18.13,18.77,4700100,0
2008-01-08,18.77,18.84,17.74,17.78,5044700,0
2008-01-09,17.99,17.99,16.86,17.72,7207900,0
2008-01-10,17.99,19.33,17.35,18.97,7988000,0
2008-01-11,18.85,18.87,17.42,17.7,6180700,0
2008-01-14,17.99,19.61,17.99,19.19,6299400,0
2008-01-15,19.05,19.65,18.85,18.88,6551200,0
2008-01-16,18.84,19.03,18.42,18.77,5807700,0
2008-01-17,18.71,19.53,18.46,19.1,6186400,0
2008-01-18,19.21,20.81,19.18,19.69,7363600,0
2008-01-22,19.25,22.19,19.0,21.82,13866600,0
2008-01-23,21.51,22.83,20.78,22.64,7774500,0
2008-01-24,22.75,23.08,21.28,21.78,7111400,0
2008-01-25,22.04,22.5,21.08,21.46,5279300,0
2008-01-28,21.42,23.11,21.42,23.11,5662700,0
2008-01-29,23.4,23.47,22.59,23.16,5410200,0
2008-01-30,23.28,23.52,22.53,22.59,4899400,0
2008-01-31,22.38,23.36,21.9,22.98,7842000,0
2008-02-01,23.11,23.55,22.77,23.52,4349400,0
2008-02-04,23.69,23.84,21.64,21.88,5452200,0
2008-02-05,21.52,22.33,21.1,21.38,5442300,0
2008-02-06,21.58,21.84,20.3,20.62,6969600,0
2008-02-07,20.54,21.8,20.2,21.59,4858100,0
2008-02-08,21.51,22.25,21.11,21.65,3711600,0
2008-02-11,21.89,22.46,21.31,22.2,2917000,0
2008-02-12,22.34,22.59,21.64,21.94,2776500,0
2008-02-13,22.16,22.37,21.64,22.29,2239300,0
2008-02-14,22.28,22.33,21.2,21.21,3331100,0
2008-02-15,21.08,21.62,20.82,21.28,2403800,0
2008-02-19,21.52,21.64,20.84,20.97,2078600,0
2008-02-20,20.84,21.88,20.78,21.78,3853300,0
2008-02-21,21.86,22.29,21.28,21.38,2695500,0
2008-02-22,21.4,22.19,21.16,22.12,2423700,0
2008-02-25,22.25,22.81,22.04,22.76,3493400,0
2008-02-26,22.72,23.62,22.49,23.27,3095500,0
2008-02-27,23.12,23.73,22.91,23.45,4365700,0
2008-02-28,23.29,23.32,22.45,22.55,3300100,0
2008-02-29,22.37,22.38,21.25,21.37,3741900,0
2008-03-03,21.4,21.5,20.65,21.05,4192600,0
2008-03-04,20.8,21.55,20.4,21.45,4431700,0
2008-03-05,21.5,21.95,21.0,21.28,3221200,0
2008-03-06,19.23,19.59,17.51,17.56,20521800,0
2008-03-07,17.17,17.9,16.69,16.94,9098100,0
2008-03-10,17.09,17.25,16.47,16.47,6896000,0
2008-03-11,16.82,17.39,16.65,17.25,7050300,0
2008-03-12,18.18,18.79,17.8,17.94,7751700,0
2008-03-13,17.56,17.56,16.91,17.29,7235100,0
2008-03-14,17.41,17.59,16.92,17.22,4583300,0
2008-03-17,16.89,17.32,16.55,17.0,5001000,0
2008-03-18,17.25,17.5,16.83,17.34,3344400,0
2008-03-19,17.46,17.73,16.85,16.87,2768500,0
2008-03-20,16.92,18.12,16.84,18.03,4559100,0
2008-03-24,18.34,19.15,18.08,18.48,4148800,0
2008-03-25,18.64,18.82,18.2,18.67,3695400,0
2008-03-26,18.67,18.67,18.01,18.21,2389000,0
2008-03-27,18.26,18.67,17.85,17.94,3225900,0
2008-03-28,17.73,17.73,17.01,17.09,2938400,0
2008-03-31,17.15,17.65,17.0,17.51,2847100,0
2008-04-01,17.53,18.47,17.53,18.42,2798300,0
2008-04-02,18.42,19.1,18.37,18.87,3304600,0
2008-04-03,18.7,18.86,18.17,18.6,4503400,0
2008-04-04,18.64,18.71,18.19,18.5,2162900,0
2008-04-07,18.65,18.93,17.61,17.75,3808900,0
2008-04-08,17.8,17.81,17.08,17.2,6572100,0
2008-04-09,17.26,17.51,16.84,16.93,3310200,0
2008-04-10,16.25,17.14,16.0,16.62,6238300,0
2008-04-11,17.31,17.31,16.1,16.23,3909200,0
2008-04-14,16.23,16.29,15.79,15.8,2803400,0
2008-04-15,15.92,16.0,15.63,15.79,4621600,0
2008-04-16,15.94,16.43,15.85,16.26,3234100,0
2008-04-17,16.22,16.24,15.58,15.89,4276800,0
2008-04-18,16.15,16.76,16.15,16.69,5421400,0
2008-04-21,16.59,16.71,16.17,16.43,3343400,0
2008-04-22,16.26,16.31,15.92,16.12,2517000,0
2008-04-23,16.17,16.8,16.13,16.75,3481300,0
