Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,46.31,46.81,46.06,46.3,2730700,0
2008-01-03,46.36,47.06,46.28,46.44,2001700,0
2008-01-04,46.35,46.91,45.95,46.29,3546800,0
2008-01-07,46.48,47.71,46.25,47.64,3153400,0
2008-01-08,47.76,48.26,47.49,47.61,3460400,0
2008-01-09,47.84,48.39,47.6,48.19,3169400,0
2008-01-10,48.02,48.54,47.72,48.23,3346200,0
2008-01-11,47.76,48.45,47.52,47.96,2569700,0
2008-01-14,48.16,48.54,47.9,48.2,1472500,0
2008-01-15,47.7,48.65,47.7,47.95,2686100,0
2008-01-16,47.83,49.11,47.83,48.52,3991800,0
2008-01-17,48.59,48.59,46.14,46.16,3932600,0
2008-01-18,46.56,46.6,44.47,44.82,4487800,0
2008-01-22,42.75,44.25,41.5,42.65,6177600,0
2008-01-23,42.02,44.38,41.71,44.28,6359500,0
2008-01-24,44.64,44.64,42.46,42.62,5939600,0
2008-01-25,43.01,43.17,41.23,41.33,4164000,0
2008-01-28,41.7,42.28,40.68,42.23,3337800,0
2008-01-29,43.19,43.77,41.79,42.73,3629800,0
2008-01-30,43.01,43.34,42.02,42.07,3512400,0
2008-01-31,41.51,43.08,41.4,42.73,3967900,0
2008-02-01,42.82,44.01,42.67,43.96,3354500,0
2008-02-04,43.83,45.08,43.74,44.9,6210600,0
2008-02-05,44.21,44.77,43.31,43.41,3719700,0
2008-02-06,43.37,44.14,43.25,43.65,3632800,0
2008-02-07,43.23,43.73,43.05,43.68,2943500,0
2008-02-08,43.37,43.57,42.94,43.16,2836500,0
2008-02-11,43.13,43.64,42.76,43.43,3886900,0
2008-02-12,43.78,44.22,43.49,43.89,3772800,0
2008-02-13,44.3,44.55,43.6,43.86,2681500,0
2008-02-14,43.98,44.37,42.81,43.04,3625600,0
2008-02-15,42.95,43.23,42.55,43.1,11887400,0
2008-02-19,43.51,43.51,42.45,42.66,3461700,0
2008-02-20,42.37,42.48,41.86,42.25,3459300,0
2008-02-21,42.26,42.5,41.4,41.48,2486500,0
2008-02-22,41.71,42.3,41.3,42.3,2082400,0
2008-02-25,42.24,42.99,41.99,42.85,3245500,0
2008-02-26,42.73,42.88,42.0,42.88,2521900,0
2008-02-27,42.7,42.9,42.11,42.3,1761100,0
2008-02-28,42.26,42.26,41.47,42.03,1646400,0
2008-02-29,41.66,41.9,40.75,40.92,3364500,0
2008-03-03,41.06,41.5,40.68,41.2,3574700,0
2008-03-04,41.12,42.3,41.01,42.22,3514600,0
2008-03-05,42.22,42.5,41.36,41.89,2511200,0
2008-03-06,41.77,41.82,41.12,41.2,2515600,0
2008-03-07,40.84,40.97,40.28,40.64,3170400,0
2008-03-10,40.59,40.76,39.83,40.29,2343500,0
2008-03-11,41.12,41.9,40.66,41.86,2446400,0
2008-03-12,42.03,42.27,40.92,40.97,1893700,0
2008-03-13,40.47,40.76,40.0,40.62,2763400,0
2008-03-14,40.63,40.9,39.45,40.23,3372000,0
2008-03-17,39.35,40.88,39.35,40.48,2797500,0
2008-03-18,41.24,41.24,40.0,40.61,3281300,0
2008-03-19,40.98,41.31,40.06,40.27,3329700,0
2008-03-20,40.32,40.93,39.96,40.83,2882200,0
2008-03-24,41.08,41.15,39.87,40.33,1873900,0
2008-03-25,40.26,40.69,40.18,40.25,1940500,0
2008-03-26,41.2,41.76,40.51,41.47,4089000,0
2008-03-27,41.81,41.98,41.31,41.31,2292400,0
2008-03-28,41.55,41.87,40.85,40.97,1339900,0
2008-03-31,41.02,41.74,40.81,41.63,1808000,0
2008-04-01,41.62,42.68,41.62,42.67,1860900,0
2008-04-02,42.69,43.67,42.69,43.23,5700500,0
2008-04-03,43.06,43.39,42.58,42.72,1606400,0
2008-04-04,42.67,43.55,42.56,42.9,1599000,0
2008-04-07,43.13,43.5,42.54,42.85,1502500,0
2008-04-08,42.85,43.39,42.7,43.07,1805400,0
2008-04-09,43.17,43.29,42.73,42.88,1633100,0
2008-04-10,43.03,43.89,42.55,43.48,3720700,0
2008-04-11,43.06,44.46,43.06,44.17,3195300,0
2008-04-14,44.07,44.24,43.55,43.67,2135400,0
2008-04-15,43.75,44.13,43.43,43.85,2472800,0
2008-04-16,44.3,44.77,43.52,44.71,7536400,0
2008-04-17,44.75,44.86,44.11,44.39,3819300,0
2008-04-18,44.8,45.08,44.44,44.67,2181100,0
2008-04-21,44.51,44.75,43.88,44.37,2790300,0
2008-04-22,44.27,44.32,43.68,44.01,3465700,0
2008-04-23,43.8,44.81,43.8,44.69,6698500,0
2008-04-24,45.5,45.95,43.83,43.9,3821500,0
2008-04-25,44.35,44.65,43.92,44.28,2010000,0
2008-04-28,44.15,44.57,43.91,44.03,2088600,0
2008-04-29,44.96,44.99,44.15,44.67,4104000,0
2008-04-30,44.58,45.44,44.53,44.63,2979100,0
2008-05-01,44.66,45.05,44.4,44.87,2695900,0
2008-05-02,45.14,45.43,44.92,45.09,2151000,0
