Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,62.2,64.4,59.6,62.4,107000,0
2008-01-03,62.4,67.2,62.4,64.0,133900,0
2008-01-04,63.0,63.4,59.6,60.6,83500,0
2008-01-07,60.8,65.4,59.8,64.8,90500,0
2008-01-08,65.0,67.6,61.8,62.0,97000,0
2008-01-09,61.8,63.4,58.0,62.4,133400,0
2008-01-10,61.6,71.6,61.0,68.6,90100,0
2008-01-11,68.2,71.0,63.4,66.0,74700,0
2008-01-14,63.4,65.0,60.0,61.6,79200,0
2008-01-15,60.6,62.2,58.8,60.6,64200,0
2008-01-16,60.6,68.4,60.6,66.0,77200,0
2008-01-17,64.4,67.0,62.2,64.2,63700,0
2008-01-18,62.4,65.8,60.2,63.0,93100,0
2008-01-22,61.0,66.0,58.8,65.2,94000,0
2008-01-23,63.8,67.4,60.8,63.8,186200,0
2008-01-24,64.0,65.0,61.2,63.4,82400,0
2008-01-25,64.2,65.6,61.2,62.4,62300,0
2008-01-28,61.2,66.4,60.8,66.4,68700,0
2008-01-29,66.6,69.0,63.0,68.8,65700,0
2008-01-30,68.2,73.6,64.8,65.8,91200,0
2008-01-31,63.8,68.6,63.8,64.6,70600,0
2008-02-01,65.0,71.2,64.2,69.0,106100,0
2008-02-04,69.0,70.6,66.6,67.4,63800,0
2008-02-05,66.0,71.2,66.0,66.0,73600,0
2008-02-06,66.8,69.4,63.4,63.8,47200,0
2008-02-07,64.0,66.0,61.4,64.4,52300,0
2008-02-08,64.4,66.4,61.6,61.6,49000,0
2008-02-11,61.8,64.0,60.8,61.8,65100,0
2008-02-12,62.0,65.0,60.6,61.6,67000,0
2008-02-13,62.0,63.4,60.8,62.2,46200,0
2008-02-14,61.8,62.6,60.0,60.6,61700,0
2008-02-15,60.6,61.4,58.4,60.4,44100,0
2008-02-19,59.8,61.8,57.8,58.2,58300,0
2008-02-20,57.0,59.6,55.2,59.4,63400,0
2008-02-21,59.4,60.4,56.0,56.0,50900,0
2008-02-22,59.2,59.2,52.2,55.0,64300,0
2008-02-25,55.0,57.4,53.2,56.0,73400,0
2008-02-26,55.6,58.4,53.8,56.4,61600,0
2008-02-27,56.4,60.2,55.0,58.6,43200,0
2008-02-28,57.8,59.2,54.0,54.0,42800,0
2008-02-29,53.4,54.0,49.0,49.8,83600,0
2008-03-03,49.0,49.4,45.6,47.6,62800,0
2008-03-04,47.2,51.8,47.2,48.2,59000,0
2008-03-05,49.2,49.6,45.4,45.8,63400,0
2008-03-06,45.0,45.2,39.2,39.2,97500,0
2008-03-07,37.8,42.0,36.6,38.0,89700,0
2008-03-10,38.0,40.0,35.2,35.4,63900,0
2008-03-11,36.4,40.2,34.2,40.2,109200,0
2008-03-12,40.2,44.0,39.0,40.8,64000,0
2008-03-13,40.6,40.6,38.2,38.6,81000,0
2008-03-14,38.8,38.8,35.2,35.2,80800,0
2008-03-17,34.4,37.0,32.2,34.4,63400,0
2008-03-18,35.0,37.8,34.4,37.6,104200,0
2008-03-19,38.0,38.8,30.8,31.4,88700,0
2008-03-20,36.4,40.8,34.2,40.0,182600,0
2008-03-24,40.6,43.0,40.0,41.6,91500,0
2008-03-25,41.4,42.0,38.4,40.6,62400,0
2008-03-26,40.0,42.2,37.6,38.8,74500,0
2008-03-27,39.0,39.6,34.6,34.8,86600,0
2008-03-28,34.8,35.6,33.6,34.0,87500,0
2008-03-31,34.2,35.8,33.0,34.0,79100,0
2008-04-01,34.4,35.4,33.0,34.0,115900,0
2008-04-02,33.8,37.4,33.0,36.6,61600,0
2008-04-03,36.0,37.6,34.8,36.6,48400,0
2008-04-04,36.4,37.2,36.0,36.0,47200,0
2008-04-07,36.2,36.2,33.6,35.0,59900,0
2008-04-08,34.8,35.0,33.2,33.6,30700,0
2008-04-09,33.8,34.8,31.4,31.6,31300,0
2008-04-10,31.4,32.8,30.6,31.6,39700,0
2008-04-11,31.2,31.2,29.0,29.4,65600,0
2008-04-14,29.2,34.0,28.8,32.8,81300,0
2008-04-15,32.8,34.8,32.0,34.6,39500,0
2008-04-16,35.0,36.0,32.6,35.8,67300,0
2008-04-17,35.8,35.8,32.4,32.6,43300,0
2008-04-18,33.4,34.8,31.8,33.8,125300,0
2008-04-21,33.2,34.6,31.8,33.2,33600,0
2008-04-22,32.0,32.8,29.0,29.0,71000,0
2008-04-23,29.6,37.2,29.4,32.8,155700,0
2008-04-24,35.0,39.0,33.0,37.2,129200,0
2008-04-25,37.8,50.8,37.6,49.0,114200,0
2008-04-28,51.0,52.4,47.8,48.0,101500,0
2008-04-29,48.6,51.4,47.8,49.2,62500,0
2008-04-30,49.2,51.8,47.8,49.8,41700,0
2008-05-01,49.6,56.2,49.0,55.2,76600,0
2008-05-02,56.2,56.2,46.2,47.2,75600,0
2008-05-05,46.4,49.4,45.4,46.4,45300,0
2008-05-06,46.8,48.0,43.2,43.4,43500,0
2008-05-07,44.4,44.4,40.2,43.2,75800,0
2008-05-08,43.4,46.8,41.2,43.2,42200,0
2008-05-09,43.2,44.2,42.2,42.6,26500,0
2008-05-12,42.8,46.6,42.8,46.4,37100,0
2008-05-13,46.2,47.0,44.0,45.0,45300,0
2008-05-14,45.0,46.2,43.2,43.6,24800,0
2008-05-15,42.4,46.2,42.2,45.8,17000,0
2008-05-16,46.0,47.4,42.8,43.6,35100,0
2008-05-19,43.4,45.6,42.4,45.0,41300,0
2008-05-20,44.6,45.0,43.4,44.2,26200,0
2008-05-21,44.8,44.8,37.0,40.0,57400,0
2008-05-22,40.0,44.0,39.4,40.8,53600,0
2008-05-23,40.0,40.8,39.6,40.0,24300,0
2008-05-27,40.0,42.0,38.8,38.8,94100,0
2008-05-28,39.6,40.0,37.4,37.8,56500,0
2008-05-29,37.8,42.8,36.6,38.4,63300,0
2008-05-30,38.0,39.8,37.8,38.4,46000,0
2008-06-02,38.8,38.8,36.2,36.4,65400,0
2008-06-03,36.6,37.2,36.0,36.4,44400,0
2008-06-04,36.2,36.8,35.0,36.6,79000,0
2008-06-05,36.6,38.8,36.0,38.4,85800,0
2008-06-06,38.2,38.2,34.0,34.2,41400,0
2008-06-09,34.4,35.2,30.4,32.0,55500,0
2008-06-10,32.0,35.2,30.8,34.8,45300,0
2008-06-11,34.6,34.6,30.6,30.6,63700,0
2008-06-12,31.0,33.0,30.4,30.8,33500,0
2008-06-13,31.4,31.8,30.6,31.2,30700,0
2008-06-16,31.2,34.0,30.6,33.6,49100,0
2008-06-17,34.2,34.2,31.0,31.4,38500,0
2008-06-18,31.4,31.6,30.2,30.2,28500,0
2008-06-19,30.2,32.2,30.2,32.2,25700,0
2008-06-20,30.0,36.8,25.8,36.8,132400,0
2008-06-23,35.4,46.0,34.2,37.8,86800,0
2008-06-24,37.6,40.0,35.0,36.6,66800,0
2008-06-25,36.8,39.0,35.6,36.8,27600,0
2008-06-26,37.2,37.2,32.6,33.8,31200,0
2008-06-27,33.8,35.0,31.2,31.4,66600,0
2008-06-30,32.0,32.8,30.0,30.0,33300,0
2008-07-01,30.0,31.0,29.0,30.4,31400,0
2008-07-02,30.6,32.6,29.2,30.2,42800,0
2008-07-03,29.6,31.2,28.8,29.4,26300,0
2008-07-07,29.4,30.8,27.6,29.4,48000,0
2008-07-08,28.4,30.8,27.8,30.6,62800,0
2008-07-09,30.4,32.0,28.2,28.4,102200,0
2008-07-10,28.6,30.6,28.0,30.6,36900,0
2008-07-11,30.4,33.4,28.0,32.4,46000,0
2008-07-14,32.6,33.2,29.4,30.4,26100,0
2008-07-15,30.0,33.0,28.2,30.6,29600,0
2008-07-16,31.0,35.6,30.6,35.4,52000,0
2008-07-17,34.8,39.8,34.8,39.2,37000,0
2008-07-18,40.0,40.8,34.4,36.0,26000,0
2008-07-21,36.8,37.6,34.0,37.2,20300,0
2008-07-22,36.6,39.8,36.6,39.4,37700,0
2008-07-23,39.4,41.6,36.8,39.8,52600,0
2008-07-24,39.2,39.2,30.0,33.4,52300,0
2008-07-25,34.2,37.8,32.8,37.4,40000,0
2008-07-28,36.8,38.0,33.4,35.2,37100,0
2008-07-29,35.8,37.2,35.0,36.0,47800,0
2008-07-30,36.0,38.4,34.8,36.0,35700,0
2008-07-31,35.6,37.0,34.6,34.6,16500,0
2008-08-01,34.6,37.0,33.0,36.6,21000,0
2008-08-04,36.6,37.8,33.6,35.2,37100,0
2008-08-05,35.8,39.0,35.6,38.0,57100,0
2008-08-06,38.4,39.4,37.0,37.2,36400,0
2008-08-07,36.8,38.6,35.0,35.2,30000,0
2008-08-08,35.2,38.4,35.2,37.2,27500,0
2008-08-11,37.2,40.4,35.2,39.6,39900,0
2008-08-12,38.2,39.0,37.2,38.2,25100,0
2008-08-13,37.8,39.0,37.4,38.8,27600,0
2008-08-14,38.8,40.0,38.4,39.4,22200,0
2008-08-15,39.6,41.2,36.4,37.8,28300,0
2008-08-18,37.8,39.8,36.6,38.4,16000,0
2008-08-19,37.4,38.6,35.6,36.2,15500,0
2008-08-20,36.2,36.8,34.2,34.4,21200,0
2008-08-21,34.4,37.4,33.8,36.6,19700,0
2008-08-22,36.8,38.2,36.2,37.4,19600,0
2008-08-25,37.2,37.2,34.8,35.6,13000,0
2008-08-26,35.2,36.2,34.2,36.0,12400,0
2008-08-27,36.0,37.0,35.4,36.8,24400,0
2008-08-28,36.2,39.6,35.4,38.6,35000,0
2008-08-29,38.0,38.6,36.4,36.6,27200,0
2008-09-02,37.8,39.0,35.2,36.0,30700,0
2008-09-03,35.6,38.2,35.4,37.4,16300,0
2008-09-04,36.8,37.6,36.0,37.2,13500,0
2008-09-05,36.4,36.4,33.6,34.4,29200,0
2008-09-08,35.4,38.0,34.0,36.4,31100,0
2008-09-09,35.6,37.0,33.2,33.2,22800,0
2008-09-10,33.6,34.0,32.0,32.4,27300,0
2008-09-11,31.4,33.6,28.4,33.0,32500,0
2008-09-12,32.4,34.8,32.2,34.4,17800,0
2008-09-15,33.6,34.2,29.6,29.6,23600,0
2008-09-16,29.6,35.2,28.4,35.2,33700,0
2008-09-17,34.0,34.6,30.2,30.6,38800,0
2008-09-18,31.2,39.6,26.4,39.6,71000,0
2008-09-19,42.2,45.0,32.4,39.6,134800,0
2008-09-22,39.4,39.8,34.2,35.0,17800,0
2008-09-23,37.0,38.2,32.8,34.2,15500,0
2008-09-24,33.4,36.2,32.4,32.8,12800,0
2008-09-25,33.2,35.4,32.8,33.6,20600,0
2008-09-26,31.8,32.8,30.8,32.0,17200,0
2008-09-29,32.0,34.8,30.0,31.4,33700,0
2008-09-30,32.0,40.0,28.8,40.0,28200,0
2008-10-01,31.8,37.0,29.4,33.2,30900,0
2008-10-02,33.0,33.4,29.4,29.4,25700,0
2008-10-03,30.0,31.2,26.8,26.8,31000,0
2008-10-06,25.2,28.2,21.2,23.4,39200,0
2008-10-07,23.2,24.6,18.0,18.0,28900,0
2008-10-08,18.4,19.4,16.0,17.0,56600,0
2008-10-09,17.0,18.4,8.0,11.0,110100,0
