Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,38.05,38.49,36.81,37.38,483700,0
2008-01-03,37.45,37.76,36.66,36.96,330700,0
2008-01-04,36.53,36.65,35.05,35.18,447300,0
2008-01-07,35.28,35.28,33.43,33.9,569800,0
2008-01-08,34.24,34.24,31.19,31.25,643600,0
2008-01-09,31.27,31.52,29.42,30.83,611500,0
2008-01-10,30.54,32.0,30.24,31.46,466500,0
2008-01-11,31.04,31.52,30.57,30.7,414700,0
2008-01-14,30.96,31.17,30.33,30.64,164000,0
2008-01-15,30.41,30.41,28.92,29.31,484100,0
2008-01-16,29.29,30.81,29.0,30.08,472900,0
2008-01-17,30.35,30.37,27.93,27.94,789000,0
2008-01-18,28.1,28.1,26.91,27.23,673500,0
2008-01-22,26.1,28.03,25.23,27.65,486600,0
2008-01-23,26.95,29.39,25.25,29.01,1273800,0
2008-01-24,29.12,29.91,28.45,28.58,470500,0
2008-01-25,29.05,29.77,28.66,28.9,516200,0
2008-01-28,28.65,29.25,28.24,29.09,361200,0
2008-01-29,29.29,29.65,28.96,29.38,230500,0
2008-01-30,29.17,29.52,28.35,28.47,540700,0
2008-01-31,28.08,30.01,27.66,29.56,519900,0
2008-02-01,29.71,31.24,29.35,30.87,621400,0
2008-02-04,30.85,31.11,30.22,30.51,380200,0
2008-02-05,29.25,29.25,27.45,27.9,2351900,0
2008-02-06,27.9,27.9,26.59,27.14,4345300,0
2008-02-07,27.09,27.56,26.35,27.54,1250900,0
2008-02-08,27.53,27.76,26.94,27.2,643200,0
2008-02-11,27.16,27.32,26.54,27.14,559000,0
2008-02-12,27.37,27.88,27.02,27.52,664600,0
2008-02-13,27.76,28.69,27.52,28.64,1720800,0
2008-02-14,28.75,28.94,27.27,27.44,351200,0
2008-02-15,27.35,27.5,26.71,27.03,490800,0
2008-02-19,27.34,27.93,27.24,27.56,588900,0
2008-02-20,27.32,27.7,27.15,27.68,302300,0
2008-02-21,27.82,28.2,27.04,27.3,455300,0
2008-02-22,27.3,27.5,26.3,26.74,1107800,0
2008-02-25,26.63,26.74,26.0,26.7,594200,0
2008-02-26,26.78,27.55,26.53,27.2,1528600,0
2008-02-27,27.03,27.61,26.84,27.31,568200,0
2008-02-28,27.14,27.29,26.47,26.83,551100,0
2008-02-29,26.55,26.71,25.77,25.89,381500,0
2008-03-03,25.94,26.23,24.69,25.61,924100,0
2008-03-04,25.38,26.05,25.23,25.83,789600,0
2008-03-05,25.98,26.01,25.3,25.5,569500,0
2008-03-06,25.41,25.41,24.39,24.49,581800,0
2008-03-07,24.0,24.92,23.89,24.6,601900,0
2008-03-10,24.73,24.78,23.92,23.96,401000,0
2008-03-11,24.69,25.12,24.2,25.12,1602300,0
2008-03-12,25.25,25.29,24.44,24.82,662700,0
2008-03-13,24.79,25.14,24.11,25.11,611200,0
2008-03-14,25.28,25.47,23.88,24.31,540300,0
2008-03-17,23.4,24.09,22.97,23.77,1009200,0
2008-03-18,24.31,26.08,24.12,25.65,1153600,0
2008-03-19,27.19,27.35,26.29,26.36,1626900,0
2008-03-20,26.65,27.06,26.22,26.63,1113800,0
2008-03-24,26.79,27.9,26.7,27.54,504700,0
2008-03-25,27.76,28.32,27.16,28.1,601000,0
2008-03-26,28.02,28.1,26.55,28.0,1765300,0
2008-03-27,28.34,28.34,27.13,27.23,918700,0
2008-03-28,27.44,27.44,26.78,26.93,574900,0
2008-03-31,26.93,27.47,26.52,27.27,510300,0
2008-04-01,27.77,27.77,23.22,26.0,3301400,0
2008-04-02,26.29,26.29,25.75,26.0,861100,0
2008-04-03,26.1,26.17,25.35,25.74,552800,0
