Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,28.95,29.21,27.5,27.55,438100,0
2008-01-03,27.75,28.5,27.69,27.69,293500,0
2008-01-04,27.37,27.67,26.33,26.43,302900,0
2008-01-07,26.6,27.45,26.26,26.9,362000,0
2008-01-08,27.02,27.36,25.51,25.62,313300,0
2008-01-09,25.52,26.11,24.9,25.92,299300,0
2008-01-10,25.5,26.24,25.01,25.81,289000,0
2008-01-11,25.53,26.03,24.9,25.1,263700,0
2008-01-14,25.32,26.09,24.72,25.6,327500,0
2008-01-15,25.29,25.61,25.0,25.53,273300,0
2008-01-16,25.5,26.04,24.73,25.09,330100,0
2008-01-17,25.23,25.23,22.37,22.4,656700,0
2008-01-18,22.41,24.06,22.05,24.0,733700,0
2008-01-22,22.56,25.82,22.3,24.24,723500,0
2008-01-23,24.94,28.68,24.0,27.72,1087900,0
2008-01-24,27.86,28.75,27.66,28.19,680700,0
2008-01-25,28.54,29.54,27.64,28.0,558700,0
2008-01-28,27.88,29.31,27.69,29.26,326100,0
2008-01-29,29.5,29.78,28.46,28.48,423500,0
2008-01-30,28.33,30.2,28.14,28.94,341100,0
2008-01-31,28.42,30.62,28.41,30.15,426900,0
2008-02-01,30.15,30.68,29.06,30.35,486100,0
2008-02-04,30.33,30.33,29.15,30.0,274700,0
2008-02-05,29.23,29.77,28.15,28.3,340100,0
2008-02-06,28.64,29.32,28.17,28.33,282800,0
2008-02-07,28.23,29.53,28.16,29.23,444900,0
2008-02-08,29.1,29.43,28.2,28.45,288400,0
2008-02-11,28.2,28.77,28.02,28.62,429600,0
2008-02-12,28.71,28.95,27.62,27.95,412000,0
2008-02-13,28.18,30.17,28.18,30.02,358900,0
2008-02-14,30.03,30.13,28.47,28.81,391200,0
2008-02-15,28.59,28.98,27.22,27.68,301500,0
2008-02-19,28.0,28.54,27.73,28.1,300700,0
2008-02-20,27.96,29.59,27.7,29.47,420100,0
2008-02-21,29.74,30.19,28.76,29.22,448700,0
2008-02-22,29.32,29.78,28.48,29.59,323800,0
2008-02-25,29.66,30.0,28.92,29.93,426000,0
2008-02-26,29.34,30.11,29.22,29.63,381400,0
2008-02-27,29.25,29.61,28.75,29.6,340600,0
2008-02-28,29.1,29.54,28.29,28.51,504000,0
2008-02-29,28.12,28.77,27.39,27.64,372800,0
2008-03-03,27.36,28.71,27.07,28.42,368000,0
2008-03-04,28.07,28.32,27.09,27.74,426300,0
2008-03-05,27.99,28.2,27.27,27.63,244600,0
2008-03-06,27.42,28.08,27.3,27.61,380900,0
2008-03-07,27.36,28.24,27.14,27.95,318900,0
2008-03-10,27.99,27.99,26.36,26.5,384700,0
