Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,39.5,39.71,38.33,38.43,240600,0
2008-01-03,38.46,38.57,37.72,37.72,260900,0
2008-01-04,37.38,38.01,37.04,37.8,289000,0
2008-01-07,38.11,39.16,38.05,38.82,290000,0
2008-01-08,39.0,39.32,38.22,38.27,210100,0
2008-01-09,38.28,38.72,38.03,38.33,382300,0
2008-01-10,38.06,38.45,37.87,38.26,266400,0
2008-01-11,37.9,38.33,37.52,38.15,224800,0
2008-01-14,38.49,38.49,37.82,38.1,89200,0
2008-01-15,37.61,37.88,37.14,37.36,250100,0
2008-01-16,37.33,38.01,37.2,37.4,282900,0
2008-01-17,37.52,37.63,36.43,36.55,205000,0
2008-01-18,36.76,36.93,35.32,35.56,333400,0
2008-01-22,34.3,35.78,33.76,35.0,412300,0
2008-01-23,34.36,37.31,34.16,37.29,374000,0
2008-01-24,36.58,37.24,35.67,35.73,253700,0
2008-01-25,36.12,36.49,35.89,36.12,232400,0
2008-01-28,36.15,37.16,35.56,37.09,217700,0
2008-01-29,37.24,37.64,37.0,37.05,164400,0
2008-01-30,37.0,37.99,37.0,37.01,143300,0
2008-01-31,36.64,38.86,36.64,38.36,222600,0
2008-02-01,38.57,39.2,38.31,39.1,148500,0
2008-02-04,39.05,39.86,38.63,39.61,142400,0
2008-02-05,38.93,39.02,37.98,38.3,213500,0
2008-02-06,38.46,38.86,38.02,38.19,161800,0
2008-02-07,37.93,38.74,37.75,38.61,187500,0
2008-02-08,38.59,38.75,37.85,38.06,214000,0
2008-02-11,38.15,38.19,37.52,37.92,231200,0
2008-02-12,38.04,38.46,37.64,38.01,237300,0
2008-02-13,38.3,38.3,37.44,37.77,231600,0
2008-02-14,37.75,37.99,36.72,37.1,275600,0
2008-02-15,38.0,38.71,37.23,37.94,400900,0
2008-02-19,38.32,38.7,37.1,37.33,235200,0
2008-02-20,37.01,38.11,37.01,38.11,189700,0
2008-02-21,38.37,38.49,37.0,37.07,197500,0
2008-02-22,37.05,37.31,36.68,37.07,280200,0
2008-02-25,37.15,37.61,36.77,37.5,186600,0
2008-02-26,37.25,37.99,37.25,37.9,158000,0
2008-02-27,37.8,37.99,37.4,37.47,210100,0
2008-02-28,37.3,37.69,36.9,37.28,174700,0
2008-02-29,36.85,36.99,35.92,36.04,195300,0
2008-03-03,36.14,36.35,35.62,36.29,162800,0
2008-03-04,36.04,36.69,35.99,36.35,234100,0
2008-03-05,36.45,36.46,35.81,36.12,99400,0
2008-03-06,35.92,36.22,35.29,35.39,168000,0
2008-03-07,35.14,35.48,34.83,35.02,352500,0
2008-03-10,34.84,35.79,34.84,35.5,268600,0
2008-03-11,36.16,36.5,35.3,36.27,258000,0
2008-03-12,36.39,36.61,35.69,35.69,234300,0
2008-03-13,35.15,36.2,35.15,36.07,577700,0
2008-03-14,36.4,36.6,35.36,35.76,316800,0
2008-03-17,35.09,36.63,35.09,36.2,258900,0
2008-03-18,36.79,37.45,36.51,37.26,229100,0
2008-03-19,37.61,37.87,37.08,37.19,679600,0
2008-03-20,37.75,38.71,37.2,38.14,668200,0
2008-03-24,38.22,38.32,37.49,38.05,361700,0
2008-03-25,38.1,38.46,37.8,38.17,250500,0
2008-03-26,37.91,38.28,37.79,38.15,141100,0
2008-03-27,38.04,38.51,38.04,38.06,120300,0
2008-03-28,38.19,38.63,38.05,38.27,222700,0
2008-03-31,38.27,38.77,38.0,38.62,169400,0
2008-04-01,38.86,39.61,38.82,39.55,127200,0
2008-04-02,39.72,39.99,39.36,39.66,121900,0
2008-04-03,39.5,40.16,39.34,39.94,139700,0
2008-04-04,39.9,40.25,39.48,39.85,130700,0
2008-04-07,40.2,40.47,39.6,39.86,302000,0
2008-04-08,39.5,40.83,39.47,40.5,215900,0
2008-04-09,40.64,40.75,39.66,39.83,151600,0
2008-04-10,39.9,40.86,39.9,40.46,506900,0
2008-04-11,40.06,40.66,39.95,40.02,147800,0
2008-04-14,39.93,40.44,39.59,40.2,95800,0
2008-04-15,40.32,41.11,40.31,41.05,161100,0
2008-04-16,41.5,42.08,41.19,42.02,186200,0
2008-04-17,41.92,41.92,41.25,41.46,183900,0
2008-04-18,41.95,42.18,41.61,42.08,188200,0
2008-04-21,41.83,42.08,41.06,41.49,165600,0
2008-04-22,41.37,41.63,41.15,41.55,114300,0
2008-04-23,41.77,42.25,41.65,41.99,139900,0
2008-04-24,42.05,42.53,41.51,42.26,195500,0
2008-04-25,42.5,43.0,42.32,42.69,113000,0
2008-04-28,42.85,42.85,42.15,42.19,156900,0
2008-04-29,42.1,42.27,41.66,41.68,126500,0
2008-04-30,41.92,42.47,41.41,41.77,143900,0
2008-05-01,41.95,42.69,41.64,42.53,120600,0
2008-05-02,42.8,42.95,41.15,41.52,230000,0
2008-05-05,41.58,41.67,40.82,41.16,147500,0
2008-05-06,40.84,41.03,40.12,40.94,123400,0
2008-05-07,41.06,41.23,40.38,40.47,149300,0
2008-05-08,40.75,41.62,40.73,41.54,248300,0
2008-05-09,41.33,42.24,41.0,42.09,187300,0
