Date,Open,High,Low,Close,Volume,Dividend
2012-03-15,23.0,23.5,22.7,23.4,13911300,0
2012-03-16,23.65,24.93,23.55,24.55,2063000,0
2012-03-19,24.5,25.0,24.06,24.85,974300,0
2012-03-20,24.71,25.2,24.25,24.8,444400,0
2012-03-21,24.65,25.18,24.13,24.25,782300,0
2012-03-22,24.15,24.16,22.92,23.47,765800,0
2012-03-23,23.5,23.66,23.25,23.52,400600,0
2012-03-26,23.95,24.15,23.3,24.0,299900,0
2012-03-27,23.81,24.15,23.81,24.0,283000,0
2012-03-28,24.0,24.08,23.6,24.0,329500,0
2012-03-29,23.75,24.04,23.4,23.93,156000,0
2012-03-30,23.8,24.01,23.62,23.88,309400,0
2012-04-02,23.63,24.8,23.63,24.59,478700,0
2012-04-03,24.72,25.22,24.61,25.02,383500,0
2012-04-04,24.62,25.14,24.06,24.11,305800,0
2012-04-05,24.0,24.51,24.0,24.22,88100,0
2012-04-09,23.92,24.06,23.25,23.34,242400,0
2012-04-10,23.34,23.4,22.45,22.5,495000,0
2012-04-11,22.65,22.9,21.62,21.85,794300,0
2012-04-12,21.85,22.35,21.75,22.11,331900,0
2012-04-13,21.8,22.61,21.65,22.35,252600,0
2012-04-16,23.0,23.26,22.51,22.78,287100,0
2012-04-17,22.98,23.19,22.37,22.83,379400,0
2012-04-18,22.65,23.12,22.53,22.87,274800,0
2012-04-19,22.88,23.04,21.9,22.03,124800,0
2012-04-20,21.64,22.12,21.16,21.21,432900,0
2012-04-23,21.0,22.0,20.79,21.9,657600,0
2012-04-24,22.0,22.0,20.24,20.91,2441500,0
2012-04-25,21.21,21.65,20.66,20.84,1070500,0
2012-04-26,20.78,20.87,20.41,20.5,895200,0
2012-04-27,20.42,21.78,20.3,21.39,569100,0
2012-04-30,21.56,21.56,20.76,20.9,203000,0
2012-05-01,21.03,21.4,20.91,21.1,234100,0
2012-05-02,20.9,20.99,20.54,20.88,108000,0
2012-05-03,20.84,20.84,19.91,20.04,462000,0
2012-05-04,19.99,19.99,19.4,19.5,246000,0
2012-05-07,19.62,20.12,19.11,19.43,466000,0
2012-05-08,19.35,19.51,19.2,19.39,490900,0
2012-05-09,19.2,19.72,19.14,19.49,427000,0
2012-05-10,19.62,20.09,19.62,19.98,426100,0
2012-05-11,19.87,20.3,19.8,20.0,364400,0
2012-05-14,19.77,19.77,19.15,19.26,259600,0
2012-05-15,19.22,20.11,19.05,19.2,565500,0
2012-05-16,19.2,19.2,18.7,18.87,81800,0
2012-05-17,18.85,18.85,17.95,18.17,513600,0
2012-05-18,18.18,18.52,18.09,18.25,355600,0
2012-05-21,18.16,18.71,17.86,18.5,360500,0
2012-05-22,18.5,18.95,18.48,18.77,255900,0
2012-05-23,18.58,18.93,18.47,18.8,461000,0
2012-05-24,18.8,18.8,17.93,18.29,285300,0
2012-05-25,18.21,18.21,17.66,17.75,139900,0
2012-05-29,17.79,19.55,17.25,18.73,584900,0
2012-05-30,18.52,18.81,18.17,18.65,174900,0
2012-05-31,18.64,19.4,18.35,18.47,390400,0
2012-06-01,18.08,18.48,17.91,18.25,471500,0
