Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,17.73,17.97,17.2,17.41,19230800,0
2008-01-03,17.4,17.4,17.0,17.1,15999100,0
2008-01-04,17.23,17.26,16.65,16.77,33623600,0
2008-01-07,16.75,16.92,16.42,16.73,22609200,0
2008-01-08,16.61,17.0,16.31,16.33,27256400,0
2008-01-09,16.34,16.75,16.18,16.64,26513100,0
2008-01-10,16.54,16.65,16.2,16.4,29988700,0
2008-01-11,16.19,16.48,16.13,16.4,22924800,0
2008-01-14,16.55,16.88,16.44,16.84,25047500,0
2008-01-15,16.92,17.1,16.75,16.95,38473300,0
2008-01-16,16.89,17.85,16.64,17.42,45738400,0
2008-01-17,17.59,17.95,17.2,17.53,36939600,0
2008-01-18,17.78,18.26,17.52,18.02,36727000,0
2008-01-22,16.87,18.2,16.8,18.0,39387500,0
2008-01-23,17.27,18.13,17.14,18.1,39899800,0
2008-01-24,18.08,18.28,17.47,17.96,34009800,0
2008-01-25,18.27,18.27,17.4,17.42,22564000,0
2008-01-28,17.46,17.95,17.33,17.95,16612900,0
2008-01-29,18.04,18.04,17.47,17.68,15946500,0
2008-01-30,17.56,18.02,17.56,17.92,26509600,0
2008-01-31,17.65,18.05,17.61,17.92,20701700,0
2008-02-01,18.0,18.89,17.95,18.88,25342000,0
2008-02-04,18.9,19.0,18.47,18.48,15248100,0
2008-02-05,18.13,18.61,18.08,18.1,23728600,0
2008-02-06,18.22,18.24,17.43,17.48,23452900,0
2008-02-07,17.42,17.88,17.15,17.65,23004600,0
2008-02-08,17.71,18.01,17.61,17.93,17436900,0
2008-02-11,18.03,18.89,18.0,18.49,30060200,0
2008-02-12,18.78,18.78,18.02,18.07,34408100,0
2008-02-13,19.33,19.91,19.0,19.91,64833000,0
2008-02-14,19.86,19.9,19.11,19.19,33291700,0
2008-02-15,19.09,19.34,18.93,19.04,21881800,0
2008-02-19,19.25,19.34,18.37,18.48,29350900,0
2008-02-20,18.4,19.69,18.39,19.44,31673700,0
2008-02-21,19.56,19.88,19.21,19.28,22089700,0
2008-02-22,19.36,19.7,19.16,19.68,22894700,0
2008-02-25,19.5,20.0,19.32,19.65,20503500,0
2008-02-26,19.58,20.0,19.49,19.85,25603100,0
2008-02-27,19.81,20.16,19.66,20.1,26713300,0
2008-02-28,19.93,20.1,19.58,19.83,24871700,0
2008-02-29,19.6,19.88,19.12,19.17,25517200,0
2008-03-03,19.11,19.17,18.72,18.88,26327200,0
2008-03-04,19.86,20.41,19.44,20.32,60449000,0
2008-03-05,20.35,20.5,20.14,20.5,32463000,0
2008-03-06,20.44,20.49,19.84,20.13,30493400,0
2008-03-07,20.05,20.5,19.75,20.09,26953100,0
2008-03-10,20.25,20.46,20.23,20.32,26015400,0
2008-03-11,20.47,20.97,20.44,20.94,30918600,0
2008-03-12,20.88,21.08,20.74,20.98,31078700,0
2008-03-13,20.7,21.18,20.64,21.06,34746100,0
2008-03-14,21.12,21.16,20.29,20.58,34063400,0
2008-03-17,20.13,20.8,20.05,20.67,28115300,0
2008-03-18,21.02,21.59,21.02,21.53,36591500,0
2008-03-19,21.6,21.65,20.67,20.67,31998100,0
2008-03-20,20.99,21.11,20.67,21.1,24923500,0
2008-03-24,21.05,21.42,20.9,20.91,23420500,0
2008-03-25,20.97,20.97,20.35,20.66,26424600,0
2008-03-26,20.4,20.54,19.93,20.33,28559800,0
2008-03-27,20.37,20.4,19.98,19.98,21948600,0
2008-03-28,20.0,20.06,19.5,19.52,36886000,0
2008-03-31,19.59,19.73,19.38,19.51,26630800,0
2008-04-01,19.8,20.25,19.73,20.1,27293600,0
2008-04-02,20.49,20.82,20.23,20.59,31674900,0
2008-04-03,20.31,21.18,20.27,20.85,21760300,0
2008-04-04,21.07,21.75,20.64,20.89,23051300,0
2008-04-07,20.3,20.78,20.14,20.19,35856500,0
2008-04-08,19.92,19.94,19.39,19.5,25539200,0
2008-04-09,19.67,19.79,19.31,19.68,22288800,0
2008-04-10,19.78,20.42,19.76,20.18,25661600,0
2008-04-11,19.89,19.93,19.0,19.11,27222700,0
2008-04-14,18.92,19.21,18.75,18.89,17937500,0
2008-04-15,18.96,19.08,18.31,18.76,21608300,0
2008-04-16,19.25,19.7,19.13,19.34,29328200,0
2008-04-17,19.34,19.5,19.01,19.17,17304700,0
2008-04-18,19.41,19.58,18.85,19.13,28787000,0
2008-04-21,19.03,19.1,18.87,19.0,21864000,0
2008-04-22,18.8,18.87,18.36,18.4,23416800,0
2008-04-23,18.57,19.12,18.5,18.8,23605200,0
2008-04-24,18.75,19.57,18.42,19.26,32920800,0
2008-04-25,19.36,19.46,18.83,19.1,17598900,0
2008-04-28,19.17,19.24,18.92,18.99,10416700,0
2008-04-29,18.99,19.14,18.89,19.0,15545900,0
2008-04-30,19.14,19.14,18.49,18.66,16133400,0
2008-05-01,18.8,19.62,18.71,19.51,19799500,0
2008-05-02,19.81,19.98,19.32,19.7,18259600,0
2008-05-05,19.85,19.86,19.18,19.46,12581900,0
2008-05-06,19.33,19.42,19.04,19.39,18197000,0
2008-05-07,19.23,19.74,19.2,19.26,16356900,0
2008-05-08,19.33,19.82,19.31,19.51,18296000,0
2008-05-09,19.3,19.36,18.96,19.29,13405600,0
2008-05-12,19.29,19.95,19.16,19.87,20018800,0
2008-05-13,20.11,20.12,19.6,19.86,36516000,0
2008-05-14,19.76,20.13,19.34,19.9,43047300,0
2008-05-15,19.81,19.97,19.51,19.64,29698300,0
2008-05-16,19.73,19.77,19.27,19.57,18548000,0
2008-05-19,19.63,20.0,19.44,19.5,19109100,0
2008-05-20,19.37,19.39,19.02,19.08,20188500,0
2008-05-21,19.08,19.29,18.89,18.89,24537200,0
2008-05-22,18.86,19.31,18.8,19.17,15863500,0
2008-05-23,19.05,19.09,18.65,18.92,18508700,0
2008-05-27,19.07,19.57,19.07,19.56,21962500,0
2008-05-28,19.64,19.71,19.22,19.54,16784600,0
2008-05-29,19.61,19.78,19.5,19.63,16029700,0
2008-05-30,19.81,19.97,19.63,19.81,15093500,0
2008-06-02,19.79,19.8,19.25,19.45,13731400,0
2008-06-03,19.48,19.55,18.79,18.95,22378900,0
2008-06-04,18.94,19.44,18.87,19.24,20896800,0
2008-06-05,19.41,19.49,19.13,19.3,19626800,0
2008-06-06,19.09,19.28,18.88,18.89,21674000,0
2008-06-09,19.01,19.13,18.4,18.93,22976800,0
2008-06-10,18.62,19.18,18.6,18.97,29097200,0
2008-06-11,18.85,19.09,18.68,18.73,38819600,0
2008-06-12,18.87,19.49,18.78,19.36,43840900,0
2008-06-13,19.51,20.1,19.45,20.09,37370400,0
2008-06-16,19.88,20.89,19.88,20.79,32044800,0
2008-06-17,20.68,20.68,20.35,20.45,28457900,0
2008-06-18,20.45,20.62,20.29,20.35,26182500,0
2008-06-19,20.27,20.73,20.02,20.5,22144000,0
2008-06-20,20.33,20.36,20.05,20.1,25442300,0
2008-06-23,20.18,20.35,19.75,19.75,24790600,0
2008-06-24,19.81,20.32,19.68,19.98,20009300,0
2008-06-25,20.1,20.9,20.05,20.61,23929400,0
2008-06-26,20.27,20.32,19.24,19.4,35050000,0
2008-06-27,19.44,19.65,19.01,19.29,21778800,0
2008-06-30,19.31,19.48,19.06,19.09,17431600,0
2008-07-01,18.99,19.38,18.9,19.28,26407200,0
2008-07-02,19.3,19.4,18.71,18.8,19894800,0
2008-07-03,18.88,18.95,18.41,18.7,13894100,0
2008-07-07,18.76,19.18,18.56,18.86,22314900,0
2008-07-08,18.81,19.12,18.52,18.84,22289100,0
2008-07-09,18.82,18.87,17.8,17.85,35570100,0
2008-07-10,17.95,18.47,17.89,18.34,31264300,0
2008-07-11,17.32,18.15,17.25,17.91,38969600,0
2008-07-14,18.21,18.36,17.59,17.77,18417700,0
2008-07-15,17.65,18.8,17.57,18.07,34045900,0
2008-07-16,17.99,18.39,17.81,18.32,18251500,0
2008-07-17,18.34,18.72,18.12,18.67,19881200,0
2008-07-18,18.64,18.76,18.16,18.28,23217000,0
