Date,Open,High,Low,Close,Volume,Dividend
2013-12-18,19.18,19.79,18.9,18.9,5457200,0
2013-12-19,18.9,19.49,18.81,19.49,1605400,0
2013-12-20,19.65,19.77,19.4,19.68,737100,0
2013-12-23,19.79,19.99,19.5,19.74,698100,0
2013-12-24,19.74,19.82,19.5,19.53,213700,0
2013-12-26,19.55,19.9,19.35,19.78,416500,0
2013-12-27,19.93,20.59,19.53,20.14,758200,0
2013-12-30,20.1,20.14,19.82,19.98,246800,0
2013-12-31,19.96,20.72,19.96,20.55,313900,0
2014-01-02,20.62,20.94,19.96,20.18,425800,0
2014-01-03,20.1,20.28,19.78,20.02,298700,0
2014-01-06,20.05,20.1,19.81,20.01,509700,0
2014-01-07,20.04,20.17,19.93,20.05,856800,0
2014-01-08,20.1,20.1,19.89,19.96,497900,0
2014-01-09,19.96,20.05,19.81,20.03,290200,0
2014-01-10,20.05,20.15,19.99,20.04,660100,0
2014-01-13,19.9,20.01,19.75,19.98,392600,0
2014-01-14,19.86,20.34,19.75,20.12,215800,0
2014-01-15,20.18,20.3,19.81,19.99,311800,0
2014-01-16,19.92,20.49,19.9,20.3,279300,0
2014-01-17,20.18,20.49,20.04,20.24,131400,0
2014-01-21,20.4,21.0,20.32,20.85,620300,0
2014-01-22,20.94,21.49,20.92,21.26,326800,0
2014-01-23,21.27,21.27,20.5,21.27,154300,0
2014-01-24,21.27,21.61,20.8,21.37,409000,0
2014-01-27,21.26,21.47,21.02,21.35,497200,0
2014-01-28,21.97,21.97,21.1,21.91,332600,0
2014-01-29,21.92,21.92,21.35,21.64,77200,0
2014-01-30,21.88,22.0,21.43,21.53,122700,0
2014-01-31,21.25,21.82,21.16,21.37,230800,0
2014-02-03,21.5,21.5,21.01,21.05,232200,0
2014-02-04,21.05,21.17,20.62,21.02,311500,0
2014-02-05,20.84,21.13,20.3,21.04,362000,0
2014-02-06,20.99,21.16,20.71,21.16,211600,0
2014-02-07,21.21,21.33,20.91,21.32,129900,0
2014-02-10,21.25,21.37,21.07,21.37,118300,0
2014-02-11,21.46,21.78,21.3,21.77,156200,0
2014-02-12,21.71,22.09,21.46,22.04,147900,0
2014-02-13,21.74,22.45,21.72,22.1,183400,0
2014-02-14,22.18,22.18,21.32,22.0,172600,0
2014-02-18,22.1,22.1,21.8,21.99,183800,0
2014-02-19,21.92,22.25,21.76,21.93,210900,0
2014-02-20,21.8,22.06,21.63,21.95,179800,0
2014-02-21,22.0,22.64,21.79,22.31,303800,0
2014-02-24,22.4,22.5,21.9,22.39,245400,0
2014-02-25,22.48,22.93,22.31,22.47,252800,0
2014-02-26,22.75,22.88,21.67,22.52,567500,0
2014-02-27,22.52,22.94,22.14,22.74,374300,0
2014-02-28,22.74,22.94,22.35,22.89,306200,0
2014-03-03,22.97,23.6,22.77,22.95,432900,0
2014-03-04,23.08,24.46,23.08,23.98,1157200,0
2014-03-05,24.04,24.8,24.04,24.66,355400,0
2014-03-06,24.78,25.29,24.59,25.22,351300,0
2014-03-07,25.43,25.81,24.76,25.47,487700,0
2014-03-10,25.3,26.4,24.74,24.81,398500,0
2014-03-11,24.94,26.68,23.98,23.98,1226700,0
2014-03-12,23.99,24.58,23.02,23.29,508100,0
2014-03-13,23.34,24.56,23.34,23.87,827600,0
2014-03-14,23.85,24.8,23.73,24.11,567000,0
2014-03-17,24.17,25.43,24.17,25.06,868000,0
2014-03-18,25.17,25.25,24.34,24.4,547500,0
2014-03-19,23.9,23.9,23.19,23.58,569200,0
2014-03-20,23.47,23.65,22.98,23.51,429200,0
2014-03-21,23.28,23.69,22.82,23.06,1645900,0
2014-03-24,23.0,23.23,22.3,23.18,385500,0
2014-03-25,23.31,24.21,23.3,24.01,398400,0
2014-03-26,24.07,24.07,23.7,23.86,238200,0
2014-03-27,23.77,24.07,23.26,23.42,284300,0
2014-03-28,23.42,23.99,23.38,23.9,283600,0
2014-03-31,23.99,24.25,23.38,24.25,2337300,0
2014-04-01,24.2,24.72,23.87,24.72,374600,0
2014-04-02,24.73,25.14,24.52,24.8,321500,0
2014-04-03,24.86,25.0,23.44,23.48,374700,0
2014-04-04,23.6,23.7,22.59,23.02,322900,0
2014-04-07,23.01,23.16,22.54,23.02,238500,0
2014-04-08,23.04,24.18,22.81,23.97,522000,0
2014-04-09,24.06,24.12,23.57,23.64,282000,0
2014-04-10,23.59,23.64,22.88,22.88,118000,0
2014-04-11,22.73,23.71,21.91,23.6,581500,0
2014-04-14,23.88,24.01,23.51,23.59,305200,0
2014-04-15,23.66,23.94,22.17,22.41,264700,0
2014-04-16,22.45,22.63,22.02,22.51,191000,0
2014-04-17,22.44,22.65,21.68,22.3,367100,0
2014-04-21,22.3,23.64,22.3,23.39,312400,0
2014-04-22,23.37,23.48,22.65,22.79,202500,0
2014-04-23,22.82,23.46,22.74,22.87,302100,0
2014-04-24,22.98,23.86,22.84,23.38,134700,0
2014-04-25,23.22,23.24,21.95,22.09,328300,0
2014-04-28,22.17,22.7,21.87,22.59,289600,0
2014-04-29,22.73,22.83,22.14,22.48,151000,0
2014-04-30,22.51,23.18,21.23,23.14,599000,0
2014-05-01,23.09,24.06,22.95,24.0,632300,0
2014-05-02,23.98,24.58,23.63,23.74,346000,0
2014-05-05,23.57,23.68,22.8,22.89,191100,0
2014-05-06,22.77,22.89,22.12,22.2,238400,0
2014-05-07,22.24,22.5,21.7,22.02,204000,0
2014-05-08,21.93,22.24,21.12,21.31,197100,0
2014-05-09,21.24,21.31,20.99,21.14,202500,0
2014-05-12,21.18,21.71,21.0,21.61,189700,0
2014-05-13,21.56,21.78,21.24,21.66,136200,0
2014-05-14,21.52,21.65,21.3,21.43,135000,0
2014-05-15,21.3,21.63,21.25,21.46,195300,0
2014-05-16,21.41,21.45,21.13,21.27,262400,0
2014-05-19,21.25,22.05,21.19,21.96,156400,0
2014-05-20,21.99,22.08,21.77,21.96,160800,0
2014-05-21,22.0,22.41,22.0,22.08,151500,0
2014-05-22,22.05,22.52,22.02,22.39,113800,0
2014-05-23,22.46,22.76,22.28,22.57,93200,0
2014-05-27,23.11,23.47,23.06,23.2,174300,0
2014-05-28,23.18,23.24,22.39,23.0,192100,0
2014-05-29,23.0,23.09,22.56,22.64,307700,0
2014-05-30,22.7,23.06,22.63,22.67,241500,0
2014-06-02,22.33,22.89,22.02,22.61,259400,0
2014-06-03,22.55,22.68,22.16,22.56,879100,0
2014-06-04,22.39,23.0,22.28,22.55,183700,0
2014-06-05,22.63,23.0,22.22,22.95,134700,0
2014-06-06,23.11,24.28,23.01,24.0,415100,0
2014-06-09,23.88,24.39,23.64,24.18,113500,0
2014-06-10,24.2,24.22,23.86,24.19,103800,0
2014-06-11,24.19,24.63,23.96,24.12,103000,0
2014-06-12,24.12,24.23,23.68,24.05,119300,0
2014-06-13,24.1,24.53,23.89,24.22,194900,0
2014-06-16,24.24,24.5,24.15,24.28,212100,0
2014-06-17,24.22,24.47,23.86,23.91,285900,0
2014-06-18,23.91,24.4,23.68,24.4,121800,0
2014-06-19,24.4,24.77,24.29,24.65,143000,0
2014-06-20,24.72,24.79,24.35,24.61,193000,0
2014-06-23,24.65,24.65,24.13,24.17,186500,0
2014-06-24,24.16,24.64,24.05,24.24,86000,0
2014-06-25,24.12,24.45,24.0,24.44,91900,0
2014-06-26,24.41,24.6,24.17,24.54,42300,0
2014-06-27,24.39,24.72,24.25,24.61,358400,0
2014-06-30,24.56,24.95,24.43,24.87,123100,0
2014-07-01,24.94,25.0,24.42,24.47,248600,0
2014-07-02,24.44,24.8,24.4,24.75,75300,0
2014-07-03,24.79,24.9,24.59,24.63,54400,0
2014-07-07,24.75,24.75,24.04,24.07,147200,0
2014-07-08,24.01,24.08,23.22,23.59,123300,0
2014-07-09,23.59,23.82,23.47,23.65,104600,0
2014-07-10,23.24,23.42,23.02,23.34,173200,0
2014-07-11,23.28,23.47,23.1,23.28,89600,0
2014-07-14,23.46,23.62,22.99,23.06,101200,0
2014-07-15,23.0,23.16,22.27,22.37,129700,0
2014-07-16,22.41,22.65,22.1,22.29,326300,0
2014-07-17,22.19,22.58,22.12,22.46,231700,0
2014-07-18,22.43,22.77,22.15,22.53,279000,0
2014-07-21,22.47,22.74,22.21,22.65,150800,0
2014-07-22,22.72,22.9,22.4,22.84,131300,0
2014-07-23,22.88,22.9,22.56,22.6,42600,0
2014-07-24,22.68,22.77,22.49,22.6,79900,0
2014-07-25,22.44,23.06,22.44,23.01,174700,0
2014-07-28,22.98,23.15,22.58,23.08,108800,0
2014-07-29,23.07,23.28,22.51,22.58,96300,0
2014-07-30,22.65,22.76,22.3,22.51,153600,0
2014-07-31,23.25,23.25,22.09,22.64,308900,0
2014-08-01,22.68,23.08,22.58,23.0,185700,0
2014-08-04,23.11,23.38,22.69,23.36,214000,0
2014-08-05,23.21,23.5,23.02,23.16,159400,0
2014-08-06,23.12,23.97,23.12,23.64,159100,0
2014-08-07,23.65,23.9,23.33,23.55,94500,0
2014-08-08,23.52,23.55,23.09,23.36,73600,0
2014-08-11,23.36,23.64,23.34,23.44,100000,0
2014-08-12,23.31,23.41,23.02,23.24,58300,0
2014-08-13,23.37,23.41,23.01,23.09,83200,0
2014-08-14,23.17,23.17,22.68,22.74,89000,0
2014-08-15,22.95,23.24,22.38,23.1,118800,0
2014-08-18,23.3,23.73,23.18,23.43,143900,0
2014-08-19,23.42,23.93,23.34,23.56,121100,0
2014-08-20,23.51,23.62,23.22,23.57,61500,0
2014-08-21,23.51,23.59,23.04,23.35,118900,0
2014-08-22,23.32,23.83,23.29,23.49,80500,0
2014-08-25,23.66,23.81,23.44,23.57,34300,0
2014-08-26,23.52,23.8,23.46,23.61,85900,0
2014-08-27,23.57,23.69,23.43,23.67,94100,0
2014-08-28,23.54,23.7,23.34,23.64,69700,0
2014-08-29,23.62,23.73,23.41,23.67,59000,0
2014-09-02,23.65,23.99,23.49,23.94,151600,0
2014-09-03,23.95,24.55,23.6,24.01,177000,0
2014-09-04,23.99,24.38,23.77,24.22,114600,0
2014-09-05,24.15,24.62,24.03,24.45,137500,0
2014-09-08,24.48,25.03,24.38,24.8,295100,0
2014-09-09,24.91,24.91,24.38,24.59,256100,0
2014-09-10,24.59,24.59,24.27,24.53,181900,0
2014-09-11,24.4,24.71,24.29,24.61,66000,0
2014-09-12,24.55,24.7,24.02,24.61,402000,0
2014-09-15,24.84,25.34,24.57,24.6,191000,0
2014-09-16,24.6,24.82,24.28,24.7,95300,0
2014-09-17,24.64,24.8,24.59,24.79,83600,0
2014-09-18,24.81,24.99,24.65,24.69,103100,0
2014-09-19,24.68,24.76,24.4,24.6,201300,0
2014-09-22,24.59,24.9,24.52,24.59,207000,0
2014-09-23,24.89,24.89,23.63,23.77,161900,0
2014-09-24,23.73,23.86,23.35,23.6,112500,0
2014-09-25,23.62,23.62,23.09,23.25,72400,0
2014-09-26,23.24,23.58,23.02,23.49,55800,0
2014-09-29,23.33,23.52,23.14,23.43,117600,0
2014-09-30,23.38,23.56,22.71,22.99,199300,0
2014-10-01,23.0,23.07,22.76,22.91,273300,0
2014-10-02,22.86,23.26,22.45,23.2,243100,0
2014-10-03,23.36,23.56,23.1,23.41,57700,0
2014-10-06,23.42,23.6,23.21,23.22,57700,0
2014-10-07,23.18,23.31,22.45,22.47,113300,0
2014-10-08,22.39,22.69,21.76,22.62,100200,0
2014-10-09,22.56,22.62,22.18,22.3,89100,0
2014-10-10,22.18,22.37,21.62,21.76,132600,0
2014-10-13,21.75,22.29,21.19,21.37,193500,0
2014-10-14,21.57,22.07,21.29,21.67,254600,0
2014-10-15,21.47,22.1,21.1,22.04,168300,0
2014-10-16,21.78,23.04,21.4,22.79,325300,0
2014-10-17,23.05,23.3,22.09,22.2,297900,0
2014-10-20,22.1,22.35,21.7,22.26,192800,0
2014-10-21,22.42,23.37,22.29,23.35,144900,0
2014-10-22,23.33,23.54,22.3,22.44,145000,0
2014-10-23,22.89,23.14,22.41,23.02,127800,0
2014-10-24,23.09,23.49,22.63,23.42,83100,0
2014-10-27,23.39,23.95,23.17,23.59,98400,0
2014-10-28,23.73,24.49,23.55,24.4,293700,0
2014-10-29,24.48,25.49,23.85,25.16,680600,0
2014-10-30,25.17,25.47,24.67,25.42,150300,0
2014-10-31,25.5,25.65,25.27,25.4,148100,0
2014-11-03,25.47,25.7,24.5,24.95,223200,0
2014-11-04,24.96,25.24,24.37,24.52,297100,0
2014-11-05,24.61,24.7,23.92,24.42,184500,0
2014-11-06,24.46,25.18,24.06,25.09,284000,0
2014-11-07,25.02,25.8,24.88,25.72,170300,0
2014-11-10,25.7,25.79,25.0,25.6,101000,0
2014-11-11,25.7,25.9,25.38,25.85,106200,0
2014-11-12,25.71,26.2,25.58,25.82,122200,0
2014-11-13,25.8,26.13,25.36,25.63,83500,0
2014-11-14,25.61,25.91,25.32,25.52,166100,0
2014-11-17,25.4,25.69,25.0,25.38,166000,0
2014-11-18,25.49,25.97,25.34,25.71,214000,0
2014-11-19,25.65,25.81,25.22,25.66,100000,0
2014-11-20,25.59,25.8,25.44,25.64,136400,0
2014-11-21,25.93,25.93,24.97,25.03,349200,0
2014-11-24,25.59,26.13,25.29,25.95,347400,0
2014-11-25,26.13,26.83,25.88,26.34,560500,0
2014-11-26,26.35,26.65,26.17,26.42,77200,0
2014-11-28,26.55,26.67,26.2,26.22,58600,0
2014-12-01,26.29,26.79,25.32,26.43,381900,0
2014-12-02,26.53,26.72,26.01,26.09,166300,0
2014-12-03,25.89,26.27,25.41,25.45,183700,0
2014-12-04,25.51,26.03,25.48,25.71,198800,0
2014-12-05,25.2,25.48,24.71,25.25,296200,0
2014-12-08,25.25,25.35,24.78,25.24,214300,0
2014-12-09,24.95,25.42,24.85,25.03,124300,0
2014-12-10,24.97,24.97,24.45,24.71,121100,0
2014-12-11,24.75,25.36,24.75,24.86,150200,0
2014-12-12,24.47,25.5,24.47,24.91,150700,0
2014-12-15,25.03,25.41,24.85,24.93,155100,0
2014-12-16,24.98,25.0,24.19,24.2,205800,0
2014-12-17,24.64,25.63,24.21,25.4,481100,0
2014-12-18,25.74,26.17,25.45,25.91,315200,0
2014-12-19,25.92,26.57,25.88,26.17,524400,0
2014-12-22,26.06,26.72,26.06,26.48,247200,0
2014-12-23,26.71,27.08,26.44,26.82,306200,0
2014-12-24,26.8,27.0,26.53,26.62,178600,0
2014-12-26,26.75,26.97,26.24,26.39,99400,0
2014-12-29,26.4,26.72,26.03,26.34,237300,0
2014-12-30,26.31,26.72,26.08,26.1,229300,0
2014-12-31,26.2,26.38,26.14,26.18,380800,0
2015-01-02,26.26,26.3,24.93,25.63,420900,0
2015-01-05,25.49,25.56,24.93,24.97,246500,0
2015-01-06,24.99,25.6,24.27,25.17,271500,0
2015-01-07,25.31,25.67,25.01,25.58,175400,0
2015-01-08,25.76,26.12,25.31,25.83,192800,0
2015-01-09,25.83,26.91,25.79,26.87,306000,0
2015-01-12,26.86,27.52,26.45,27.49,398800,0
2015-01-13,27.55,28.08,27.23,27.36,382400,0
2015-01-14,27.43,27.78,26.84,27.44,237100,0
2015-01-15,27.43,27.55,26.92,27.29,187000,0
2015-01-16,27.15,27.47,26.96,27.06,132500,0
2015-01-20,27.2,27.3,26.98,26.99,294300,0
2015-01-21,26.93,27.36,26.9,27.14,284500,0
2015-01-22,27.19,27.97,27.16,27.77,536900,0
2015-01-23,27.69,28.83,27.57,28.3,258500,0
2015-01-26,28.35,28.71,28.06,28.47,147100,0
2015-01-27,28.2,28.55,27.93,28.48,210700,0
2015-01-28,28.5,28.64,27.47,27.59,148000,0
2015-01-29,27.58,28.26,27.2,28.25,155100,0
2015-01-30,28.07,28.47,27.74,28.12,126100,0
2015-02-02,28.28,28.48,27.25,28.28,328600,0
2015-02-03,28.41,29.6,28.03,29.01,768900,0
2015-02-04,28.95,29.55,28.95,29.31,642300,0
2015-02-05,29.45,29.49,29.13,29.43,136700,0
2015-02-06,29.45,29.48,29.13,29.42,106200,0
2015-02-09,29.75,30.14,29.36,29.98,434600,0
2015-02-10,30.01,30.45,29.77,30.18,206800,0
2015-02-11,30.22,30.36,30.1,30.29,94900,0
2015-02-12,30.5,30.54,30.26,30.39,208300,0
2015-02-13,30.33,31.03,30.33,30.62,421300,0
2015-02-17,30.89,31.2,30.53,30.9,861100,0
2015-02-18,31.35,31.61,30.13,31.52,1740300,0
2015-02-19,31.59,32.97,31.56,32.48,594900,0
2015-02-20,32.58,32.66,32.04,32.61,314700,0
2015-02-23,32.72,32.83,32.43,32.69,220000,0
2015-02-24,32.84,32.95,32.62,32.94,164900,0
2015-02-25,32.98,33.33,32.78,32.98,277400,0
2015-02-26,33.01,33.81,32.96,33.63,293700,0
2015-02-27,34.16,34.7,33.8,34.38,512400,0
2015-03-02,34.57,35.45,34.43,35.24,417700,0
2015-03-03,35.2,35.38,34.29,34.86,599200,0
2015-03-04,34.92,35.65,34.76,35.05,288800,0
2015-03-05,35.05,35.2,34.7,34.87,348000,0
2015-03-06,34.62,34.89,33.9,33.96,281800,0
