Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,79.64,80.12,78.35,78.81,1249200,0
2008-01-03,78.91,79.62,76.63,76.98,1362700,0
2008-01-04,76.05,76.25,73.69,74.65,1952600,0
2008-01-07,74.96,75.95,73.12,75.57,2755200,0
2008-01-08,76.25,77.73,73.59,73.72,1704200,0
2008-01-09,73.81,75.14,71.75,75.08,2448900,0
2008-01-10,74.8,75.0,71.56,73.37,3876600,0
2008-01-11,72.8,72.84,70.33,70.86,2216700,0
2008-01-14,71.71,71.95,70.69,71.38,1303700,0
2008-01-15,70.73,71.0,69.72,70.2,1879900,0
2008-01-16,69.74,72.94,69.74,72.0,2338700,0
2008-01-17,72.78,73.45,71.89,72.21,2363500,0
2008-01-18,72.86,73.62,70.06,70.6,3168500,0
2008-01-22,66.06,74.85,66.05,73.79,4449400,0
2008-01-23,72.26,77.96,71.62,77.58,3479600,0
2008-01-24,77.81,78.39,76.16,77.67,3064000,0
2008-01-25,77.74,78.86,74.61,75.36,2436000,0
2008-01-28,75.49,78.42,74.66,78.4,1429700,0
2008-01-29,78.4,79.64,77.58,78.6,1912700,0
2008-01-30,78.1,79.23,76.87,77.14,1955800,0
2008-01-31,75.78,80.63,75.75,79.59,2503500,0
2008-02-01,80.0,82.06,79.54,82.06,2266600,0
2008-02-04,81.75,81.95,78.79,79.71,2818800,0
2008-02-05,78.46,79.71,77.52,77.9,2098600,0
2008-02-06,78.34,79.07,75.05,75.41,2714500,0
2008-02-07,76.4,79.69,75.41,78.9,3046100,0
2008-02-08,78.32,79.9,77.48,78.13,2215600,0
2008-02-11,78.2,80.37,77.01,80.3,1773300,0
2008-02-12,79.88,81.18,78.93,79.51,1542900,0
2008-02-13,80.54,80.64,78.06,78.84,1545000,0
2008-02-14,79.0,79.0,76.0,76.04,2688200,0
2008-02-15,74.65,76.95,74.51,75.38,3475200,0
2008-02-19,76.09,76.32,74.36,74.56,2346600,0
2008-02-20,74.06,77.44,73.74,77.06,2266000,0
2008-02-21,77.53,78.7,76.26,76.51,1820600,0
2008-02-22,76.67,77.62,75.56,77.48,1398100,0
2008-02-25,78.25,80.0,77.55,79.75,2146300,0
2008-02-26,79.52,81.46,79.25,81.19,1434200,0
2008-02-27,81.09,82.06,80.15,81.96,2079600,0
2008-02-28,81.21,81.21,79.02,79.25,1968000,0
2008-02-29,78.57,80.03,76.77,77.53,1486400,0
2008-03-03,77.59,77.82,75.97,77.56,2115200,0
2008-03-04,76.69,78.82,76.1,78.65,2081800,0
2008-03-05,79.29,80.15,77.93,79.04,1392000,0
2008-03-06,78.05,78.45,73.64,73.64,4304300,0
2008-03-07,73.18,75.51,72.47,72.79,3249400,0
2008-03-10,72.71,73.47,70.88,71.06,2028700,0
2008-03-11,73.03,75.6,72.83,75.45,2862500,0
2008-03-12,75.0,76.25,73.13,73.28,2061500,0
2008-03-13,72.61,75.3,71.61,75.04,2757500,0
2008-03-14,75.44,75.7,71.53,73.21,2201400,0
2008-03-17,71.32,74.32,71.25,73.0,2058500,0
2008-03-18,74.85,76.44,74.09,76.44,2692900,0
2008-03-19,76.66,76.9,74.64,74.64,1924300,0
2008-03-20,74.79,77.71,74.35,77.2,2116000,0
2008-03-24,77.37,80.21,77.2,78.63,1540100,0
2008-03-25,78.21,80.5,78.15,79.65,2736300,0
2008-03-26,79.5,79.5,77.14,77.32,1853100,0
2008-03-27,77.65,79.12,76.51,76.65,2532700,0
2008-03-28,75.0,75.1,72.26,72.5,5108400,0
2008-03-31,72.5,74.28,71.83,73.14,2274700,0
2008-04-01,73.9,76.97,73.89,76.69,3317200,0
2008-04-02,76.84,78.35,75.7,77.2,2889200,0
2008-04-03,76.88,77.07,75.69,77.02,2005200,0
2008-04-04,77.07,77.66,76.28,76.66,1895200,0
2008-04-07,77.11,77.11,74.71,75.01,2340200,0
2008-04-08,74.83,75.7,74.04,74.92,1362200,0
2008-04-09,74.5,75.38,72.85,73.98,2979300,0
2008-04-10,72.65,75.89,72.36,74.01,4327300,0
2008-04-11,72.68,72.68,70.5,70.69,5410300,0
2008-04-14,70.95,71.13,69.76,70.07,3125200,0
2008-04-15,70.89,70.91,69.89,70.64,2183600,0
2008-04-16,71.38,71.89,70.33,71.27,1831600,0
2008-04-17,70.91,72.89,70.91,72.65,1927700,0
2008-04-18,74.02,75.05,73.44,74.06,3711100,0
2008-04-21,73.5,73.5,72.61,73.23,1725600,0
2008-04-22,73.06,73.15,69.55,71.14,2503600,0
2008-04-23,70.91,72.28,70.31,71.7,1548600,0
2008-04-24,72.1,74.98,71.77,74.51,2991200,0
2008-04-25,75.02,76.32,73.96,75.46,2246300,0
2008-04-28,75.03,75.9,73.97,75.43,1508800,0
2008-04-29,74.86,76.54,74.73,75.75,1673100,0
2008-04-30,75.01,76.09,74.0,74.31,1891000,0
2008-05-01,74.25,75.64,73.02,74.91,2094600,0
2008-05-02,75.66,76.5,74.2,74.5,1792800,0
2008-05-05,73.62,74.23,72.34,72.76,2060700,0
2008-05-06,72.5,73.41,71.75,72.85,1691600,0
2008-05-07,72.99,74.19,72.35,72.66,1569900,0
2008-05-08,75.54,75.66,72.66,73.06,3277000,0
2008-05-09,73.29,74.17,73.09,73.5,1421500,0
2008-05-12,73.73,75.44,73.17,75.03,1604700,0
2008-05-13,75.57,75.65,74.19,75.26,1391400,0
2008-05-14,75.17,76.52,75.17,75.47,1675200,0
2008-05-15,75.16,76.25,74.0,76.08,2076200,0
2008-05-16,76.91,77.25,75.38,76.19,2727200,0
2008-05-19,75.87,76.49,74.21,74.74,2131200,0
2008-05-20,74.06,74.43,73.24,73.55,1604600,0
