Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,22.61,22.74,21.83,22.1,4060400,0.0
2008-01-03,22.18,22.2,21.25,21.97,4218000,0.0
2008-01-04,21.72,21.92,21.42,21.46,4230000,0.0
2008-01-07,21.51,21.89,20.93,21.42,4023400,0.0
2008-01-08,21.66,21.78,20.67,20.67,2668200,0.0
2008-01-09,20.58,20.67,19.66,20.18,6140600,0.0
2008-01-10,20.19,20.51,19.83,20.35,2560600,0.0
2008-01-11,20.05,20.23,19.4,19.56,2869200,0.0
2008-01-14,19.91,20.44,19.83,20.38,2997200,0.0
2008-01-15,20.19,20.19,19.58,19.89,2417000,0.0
2008-01-16,19.92,20.14,19.09,19.86,3175600,0.0
2008-01-17,20.24,20.32,18.26,18.36,8264600,0.0
2008-01-18,18.45,19.4,17.79,19.38,8945200,0.0
2008-01-22,18.57,19.58,18.0,19.25,6208000,0.0
2008-01-23,18.75,20.08,18.36,20.0,5912400,0.0
2008-01-24,20.16,20.61,19.62,20.07,3963000,0.0
2008-01-25,20.25,20.39,19.41,19.63,2753400,0.0
2008-01-28,19.52,19.75,19.34,19.7,2433800,0.0
2008-01-29,19.77,19.9,19.31,19.51,4072000,0.0
2008-01-30,19.43,19.89,19.08,19.48,2774400,0.0
2008-01-31,19.17,20.02,19.11,19.95,2736800,0.0
2008-02-01,20.09,20.35,19.84,19.9,3457000,0.0
2008-02-04,19.82,20.02,19.56,19.96,2895000,0.0
2008-02-05,19.56,19.75,19.0,19.1,3184600,0.0
2008-02-06,19.16,19.32,18.92,19.01,3114000,0.0
2008-02-07,18.86,19.28,18.49,19.13,5275400,0.0
2008-02-08,18.96,19.17,18.54,18.74,4796600,0.0
2008-02-11,18.72,19.25,18.7,19.16,1731400,0.0
2008-02-12,19.3,19.34,18.81,18.93,1733800,0.0
2008-02-13,19.12,19.7,19.11,19.65,2137400,0.0
2008-02-14,19.69,19.95,19.28,19.44,2724400,0.0
2008-02-15,19.23,19.36,18.73,19.17,2146800,0.0
2008-02-19,19.42,19.48,18.75,18.8,1464600,0.0
2008-02-20,18.64,18.8,18.52,18.78,2318400,0.0
2008-02-21,18.85,19.03,18.69,18.72,1941800,0.0
2008-02-22,18.81,18.9,18.31,18.7,1782000,0.0
2008-02-25,18.69,19.25,18.4,19.14,2180000,0.0
2008-02-26,19.03,19.45,18.91,19.15,1947200,0.0
2008-02-27,18.97,19.2,18.8,18.97,1851000,0.0
2008-02-28,18.83,19.08,18.8,18.99,2516400,0.0
2008-02-29,18.8,18.8,18.31,18.49,2254000,0.0
2008-03-03,18.39,18.48,18.02,18.28,2054800,0.0
2008-03-04,18.07,18.34,17.66,18.31,3239400,0.0
2008-03-05,18.31,18.67,18.26,18.58,2617600,0.0
2008-03-06,18.53,18.53,18.13,18.23,2165400,0.0
2008-03-07,18.0,18.53,17.75,17.97,2037000,0.0
2008-03-10,18.0,18.0,17.58,17.64,2116400,0.015
2008-03-11,18.01,18.26,17.58,17.97,2081400,0.0
2008-03-12,18.03,18.28,17.89,17.92,1534400,0.0
2008-03-13,17.64,18.25,17.39,18.11,1756000,0.0
2008-03-14,18.15,18.24,17.46,17.56,2705200,0.0
2008-03-17,17.15,17.49,17.09,17.35,3472200,0.0
2008-03-18,17.82,18.5,17.65,18.49,3234600,0.0
2008-03-19,18.61,18.61,17.78,17.8,2242800,0.0
2008-03-20,17.82,18.0,17.59,17.79,2657200,0.0
2008-03-24,17.85,18.84,17.81,18.71,2021400,0.0
2008-03-25,18.68,19.03,18.62,19.03,1443800,0.0
2008-03-26,18.92,19.0,18.5,18.69,1381200,0.0
2008-03-27,18.73,18.74,18.43,18.54,1493600,0.0
2008-03-28,18.6,18.72,18.26,18.33,1560600,0.0
2008-03-31,18.39,18.65,18.17,18.62,1968600,0.0
2008-04-01,18.83,19.43,18.83,19.43,1952000,0.0
2008-04-02,19.51,19.82,19.34,19.51,2044400,0.0
2008-04-03,19.35,20.25,19.33,20.17,2455000,0.0
2008-04-04,20.18,20.68,19.93,20.57,2885600,0.0
2008-04-07,20.74,21.08,20.58,20.99,3385000,0.0
2008-04-08,20.88,21.12,20.76,21.1,2395800,0.0
2008-04-09,21.25,21.29,20.3,20.45,2554000,0.0
2008-04-10,20.49,21.05,20.28,21.02,2181200,0.0
2008-04-11,20.84,20.87,20.5,20.55,2246000,0.0
2008-04-14,20.6,20.84,20.45,20.81,1741000,0.0
2008-04-15,20.89,21.0,20.25,20.54,2749400,0.0
2008-04-16,20.82,21.32,20.7,21.23,3441600,0.0
2008-04-17,21.76,22.94,21.75,22.18,5709000,0.0
2008-04-18,22.46,22.75,22.36,22.47,2952000,0.0
2008-04-21,22.34,22.71,22.09,22.58,2352400,0.0
2008-04-22,22.25,22.56,22.02,22.55,3010000,0.0
2008-04-23,22.6,23.38,22.58,23.19,3602000,0.0
2008-04-24,23.26,23.36,22.91,23.17,2268800,0.0
2008-04-25,23.26,23.36,22.75,23.15,2517000,0.0
2008-04-28,23.27,23.58,22.93,23.36,2114400,0.0
