Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,6.34,6.34,5.98,6.01,1988200,0
2008-01-03,6.01,6.1,5.84,5.88,2944400,0
2008-01-04,5.79,5.79,5.2,5.41,7233800,0
2008-01-07,5.41,5.43,5.19,5.3,2877200,0
2008-01-08,5.2,5.39,5.11,5.12,2146800,0
2008-01-09,5.09,5.21,4.88,5.19,3475400,0
2008-01-10,5.02,5.26,4.85,5.1,4302600,0
2008-01-11,4.95,4.98,4.68,4.86,2533600,0
2008-01-14,4.9,5.01,4.89,4.97,2095600,0
2008-01-15,4.9,4.93,4.76,4.76,2239200,0
2008-01-16,4.76,5.0,4.75,4.97,1873200,0
2008-01-17,5.01,5.5,4.81,5.35,3952400,0
2008-01-18,5.34,5.47,5.24,5.28,2239600,0
2008-01-22,5.07,5.55,4.99,5.42,2459800,0
2008-01-23,5.34,6.05,5.31,5.98,2892400,0
2008-01-24,6.03,6.09,5.68,5.85,1749800,0
2008-01-25,5.88,6.03,5.55,5.68,1265000,0
2008-01-28,5.61,5.86,5.5,5.82,1291600,0
2008-01-29,5.87,5.93,5.58,5.91,1465800,0
2008-01-30,5.89,6.09,5.78,5.84,1149600,0
2008-01-31,5.73,6.24,5.72,6.09,2352600,0
2008-02-01,6.13,6.39,6.01,6.38,1672000,0
2008-02-04,6.36,6.38,6.14,6.16,2162600,0
2008-02-05,6.02,6.36,5.93,5.99,2414600,0
2008-02-06,6.05,6.18,5.82,5.85,1296600,0
2008-02-07,5.8,6.04,5.66,5.95,1364800,0
2008-02-08,5.93,6.2,5.72,5.94,908800,0
2008-02-11,5.97,6.1,5.73,6.08,1200800,0
2008-02-12,6.12,6.24,6.07,6.12,985800,0
2008-02-13,6.2,6.35,6.09,6.34,863000,0
2008-02-14,6.36,6.38,5.98,6.12,1509400,0
2008-02-15,6.07,6.29,5.99,6.26,1524800,0
2008-02-19,6.36,6.41,6.05,6.09,931800,0
2008-02-20,6.03,6.36,5.99,6.34,1014800,0
2008-02-21,6.38,6.51,6.15,6.18,1092600,0
2008-02-22,6.2,6.34,6.11,6.32,918000,0
2008-02-25,6.31,6.37,6.11,6.26,1473800,0
2008-02-26,6.18,6.51,6.18,6.45,1232400,0
2008-02-27,6.36,6.44,6.18,6.28,1336400,0
