Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,37.13,37.72,34.78,35.01,229800,0
2008-01-03,35.01,35.97,34.93,35.31,131100,0
2008-01-04,34.91,35.33,33.05,33.12,108300,0
2008-01-07,33.34,33.96,31.86,32.96,205300,0
2008-01-08,33.13,33.23,31.99,32.19,255300,0
2008-01-09,30.46,30.58,29.01,29.41,986100,0
2008-01-10,29.02,29.51,27.64,28.69,625300,0
2008-01-11,28.53,29.06,27.91,27.98,180300,0
2008-01-14,28.13,30.68,28.13,30.08,313900,0
2008-01-15,29.57,29.57,28.46,29.34,342400,0
2008-01-16,29.25,29.72,28.31,28.85,168800,0
2008-01-17,29.01,29.47,27.09,27.33,146500,0
2008-01-18,27.34,28.45,26.64,26.95,169700,0
2008-01-22,26.3,28.8,25.51,28.09,215500,0
2008-01-23,27.71,29.72,27.1,29.49,255100,0
2008-01-24,29.62,30.49,28.84,28.93,243600,0
2008-01-25,29.36,30.56,29.32,29.98,196500,0
2008-01-28,29.54,30.51,29.14,30.31,165800,0
2008-01-29,30.55,30.93,30.04,30.23,190800,0
2008-01-30,30.32,30.94,30.0,30.13,178000,0
2008-01-31,30.0,31.65,29.59,30.87,285000,0
2008-02-01,31.06,33.19,30.8,32.84,382800,0
2008-02-04,32.82,33.44,32.25,33.16,215900,0
2008-02-05,32.43,33.14,31.24,31.47,225200,0
2008-02-06,31.66,33.18,31.56,31.69,137300,0
2008-02-07,31.57,33.45,31.57,32.56,141000,0
2008-02-08,32.42,33.07,31.97,32.11,79900,0
2008-02-11,32.19,32.47,31.85,32.2,120700,0
2008-02-12,32.37,33.2,32.0,32.24,184500,0
2008-02-13,32.67,33.69,32.44,33.39,407300,0
2008-02-14,33.53,33.6,31.91,31.96,365300,0
2008-02-15,31.8,32.45,30.8,31.04,373800,0
2008-02-19,31.45,32.56,31.45,32.18,445700,0
2008-02-20,31.95,33.0,31.45,32.83,343000,0
2008-02-21,33.0,33.46,32.08,32.24,351300,0
2008-02-22,32.35,32.46,31.24,32.01,499300,0
2008-02-25,32.01,32.52,31.66,31.81,542000,0
2008-02-26,36.53,37.7,34.82,37.26,1388400,0
2008-02-27,36.72,39.76,36.72,39.7,842200,0
2008-02-28,39.46,39.46,38.37,38.52,663800,0
2008-02-29,38.18,38.82,37.58,37.86,397900,0
2008-03-03,37.81,38.14,36.87,37.43,231500,0
2008-03-04,37.28,37.28,36.37,36.96,267000,0
2008-03-05,36.71,37.2,36.28,36.4,299000,0
2008-03-06,36.33,36.85,34.8,34.89,240400,0
2008-03-07,34.45,34.68,33.34,33.79,228700,0
2008-03-10,33.84,33.89,31.58,31.6,308900,0
2008-03-11,32.73,33.63,31.93,33.5,345500,0
