Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,39.43,39.82,39.15,39.38,3525700,0
2008-01-03,39.44,39.78,39.36,39.65,3322400,0
2008-01-04,39.5,39.57,38.94,39.05,6878900,0
2008-01-07,39.21,39.43,38.34,38.55,6914700,0
2008-01-08,38.6,39.37,38.34,38.51,9862600,0
2008-01-09,38.44,38.7,37.74,38.54,5362000,0
2008-01-10,38.45,39.43,38.29,39.16,4698500,0
2008-01-11,38.88,39.15,38.43,38.47,3597900,0
2008-01-14,39.81,39.81,38.29,38.53,3441000,0
2008-01-15,37.99,38.24,36.82,36.88,4048000,0
2008-01-16,36.65,38.12,36.65,37.26,5247300,0
2008-01-17,37.3,37.5,35.44,35.68,6951600,0
2008-01-18,35.94,36.68,35.51,36.1,6496700,0
2008-01-22,34.42,37.0,34.24,36.57,9066800,0
2008-01-23,35.57,36.07,34.01,35.95,8381700,0
2008-01-24,35.49,35.86,35.04,35.3,5038000,0
2008-01-25,35.57,35.61,34.5,34.71,4434800,0
2008-01-28,34.91,35.26,34.38,34.62,4347600,0
2008-01-29,34.93,34.93,34.1,34.58,4346400,0
2008-01-30,35.16,35.19,34.37,34.47,6262500,0
2008-01-31,34.43,35.1,34.0,34.93,12614200,0
2008-02-01,35.1,35.87,35.1,35.87,9049700,0
2008-02-04,35.7,36.2,35.55,36.01,6024900,0
2008-02-05,37.45,39.02,37.45,37.81,15187900,0
2008-02-06,37.85,38.83,37.85,38.15,5604500,0
2008-02-07,38.02,39.35,37.9,39.35,7132500,0
2008-02-08,39.11,39.2,38.82,39.05,4812200,0
2008-02-11,38.9,39.05,38.43,38.77,3228400,0
2008-02-12,39.07,40.46,38.84,40.31,5741000,0
2008-02-13,40.54,41.0,40.19,40.5,3832000,0
2008-02-14,40.25,40.36,39.08,39.17,3966100,0
2008-02-15,39.08,39.47,38.99,39.3,3054100,0
2008-02-19,39.66,39.72,39.01,39.23,2281200,0
2008-02-20,38.82,38.96,38.58,38.84,3238000,0
2008-02-21,39.04,39.34,37.92,37.94,4456400,0
2008-02-22,37.94,38.08,37.23,37.91,4083500,0
2008-02-25,38.16,39.37,38.09,38.94,4402000,0
2008-02-26,38.94,39.47,38.78,39.31,3167700,0
