Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,19.3,19.41,18.51,18.89,125000,0
2008-01-03,18.97,19.22,18.69,18.74,122500,0
2008-01-04,18.53,18.94,18.25,18.67,223200,0
2008-01-07,18.72,18.98,18.49,18.78,185800,0
2008-01-08,18.91,19.7,18.82,19.37,431900,0
2008-01-09,19.28,19.97,19.22,19.49,403600,0
2008-01-10,19.45,19.94,19.32,19.41,213500,0
2008-01-11,19.34,19.93,19.34,19.48,248700,0
2008-01-14,19.72,19.77,18.31,18.83,196700,0
2008-01-15,18.48,18.73,18.14,18.64,131900,0
2008-01-16,18.32,19.25,18.13,18.76,272800,0
2008-01-17,18.65,19.09,18.62,18.77,270800,0
2008-01-18,18.71,18.93,17.58,18.2,467500,0
2008-01-22,17.16,17.99,17.0,17.59,213200,0
2008-01-23,16.97,18.01,16.54,18.01,261000,0
2008-01-24,18.02,18.1,17.5,17.63,152900,0
2008-01-25,17.8,17.95,17.53,17.72,95300,0
2008-01-28,17.65,18.1,17.52,17.87,128400,0
2008-01-29,18.02,18.07,17.55,17.89,128800,0
2008-01-30,17.73,18.06,17.5,17.75,124600,0
2008-01-31,17.5,17.81,17.03,17.2,204200,0
2008-02-01,17.3,17.85,17.2,17.4,129300,0
2008-02-04,17.39,17.74,17.27,17.53,128000,0
2008-02-05,17.2,17.58,17.05,17.28,166300,0
2008-02-06,17.44,17.45,16.8,16.9,138100,0
2008-02-07,16.74,17.53,16.74,17.16,251900,0
2008-02-08,17.27,17.42,16.97,16.98,184700,0
2008-02-11,17.0,17.5,16.65,17.17,156300,0
2008-02-12,17.99,19.19,17.9,18.51,634500,0
2008-02-13,18.73,19.05,18.32,18.33,302000,0
2008-02-14,18.3,18.5,17.99,18.1,210000,0
2008-02-15,18.02,18.29,17.82,18.03,256900,0
2008-02-19,18.3,18.64,17.96,18.41,348500,0
2008-02-20,18.22,18.5,17.86,18.49,357800,0
2008-02-21,18.5,19.17,18.49,19.07,412300,0
2008-02-22,18.91,19.07,18.67,18.95,261200,0
2008-02-25,19.09,19.63,18.87,19.18,499300,0
2008-02-26,17.78,19.75,17.6,18.59,1015000,0
2008-02-27,18.33,20.12,18.29,19.56,581500,0
2008-02-28,19.35,19.54,19.1,19.32,283700,0
2008-02-29,19.24,19.32,18.99,18.99,221100,0
2008-03-03,18.92,19.25,18.75,19.19,198300,0
2008-03-04,19.11,19.24,18.85,19.03,186000,0
2008-03-05,19.09,20.02,19.09,19.59,393600,0
2008-03-06,19.53,20.33,19.0,19.01,341400,0
2008-03-07,18.84,19.2,18.8,18.94,168700,0
2008-03-10,19.03,19.13,17.88,18.11,245600,0
2008-03-11,18.17,18.75,18.15,18.64,174200,0
2008-03-12,18.22,18.22,16.7,16.76,1663700,0
2008-03-13,16.59,16.86,16.06,16.85,731500,0
2008-03-14,17.01,17.55,16.58,17.5,585000,0
2008-03-17,17.0,17.55,16.6,17.35,500600,0
2008-03-18,17.59,17.9,17.48,17.86,380000,0
2008-03-19,17.94,18.0,17.07,17.78,669400,0
2008-03-20,17.91,17.91,17.51,17.74,475900,0
2008-03-24,17.85,18.15,17.52,18.04,170400,0
2008-03-25,18.0,18.08,17.6,17.92,161200,0
2008-03-26,17.87,18.21,17.73,18.1,132600,0
2008-03-27,18.16,18.42,17.83,18.14,90700,0
2008-03-28,18.13,18.43,17.94,18.11,91300,0
2008-03-31,18.19,18.37,17.54,18.15,191800,0
2008-04-01,17.94,18.43,17.83,18.37,122000,0
2008-04-02,18.3,18.64,18.23,18.42,99900,0
2008-04-03,18.29,18.64,18.14,18.27,76200,0
2008-04-04,18.32,19.2,18.32,18.85,273400,0
2008-04-07,18.95,19.86,18.9,19.28,183200,0
2008-04-08,19.26,19.62,19.2,19.47,126400,0
2008-04-09,19.54,19.7,19.11,19.33,152200,0
2008-04-10,19.26,19.61,19.26,19.54,95900,0
2008-04-11,19.38,19.43,19.14,19.22,138700,0
2008-04-14,19.29,19.39,18.78,19.02,163500,0
2008-04-15,19.07,19.91,18.99,19.46,264900,0
2008-04-16,19.5,19.58,19.38,19.5,96900,0
2008-04-17,19.42,19.42,19.0,19.15,75300,0
2008-04-18,19.39,19.42,19.11,19.36,103600,0
2008-04-21,19.24,19.95,19.21,19.78,197600,0
2008-04-22,19.73,19.73,18.87,18.92,163000,0
2008-04-23,19.02,19.53,18.96,19.42,140400,0
2008-04-24,19.47,19.75,18.95,19.4,130100,0
2008-04-25,19.3,19.61,19.09,19.13,130500,0
2008-04-28,19.05,19.22,19.05,19.12,94700,0
2008-04-29,19.12,19.22,19.0,19.13,210800,0
2008-04-30,19.12,19.84,19.02,19.67,305600,0
2008-05-01,20.0,20.98,19.97,20.98,557600,0
2008-05-02,21.16,21.55,21.07,21.24,402800,0
2008-05-05,21.66,21.8,21.24,21.67,358700,0
2008-05-06,21.65,21.65,20.6,20.76,283800,0
2008-05-07,20.85,21.0,20.46,20.7,253800,0
2008-05-08,20.79,21.18,20.59,20.77,284000,0
2008-05-09,20.73,21.33,20.65,20.92,188800,0
2008-05-12,21.29,21.4,20.93,21.1,309200,0
2008-05-13,21.16,21.52,21.16,21.52,239900,0
2008-05-14,21.15,21.25,19.9,20.09,668000,0
2008-05-15,20.09,20.85,20.09,20.63,274200,0
2008-05-16,20.7,20.7,20.15,20.47,186200,0
2008-05-19,20.5,20.69,20.15,20.27,403100,0
2008-05-20,20.17,20.35,19.82,19.98,231000,0
2008-05-21,20.0,20.2,19.67,19.78,196700,0
2008-05-22,19.72,19.85,19.32,19.67,357900,0
2008-05-23,20.47,21.4,20.4,21.02,1867100,0
2008-05-27,21.23,21.48,21.0,21.26,414500,0
2008-05-28,21.48,21.48,20.7,20.79,363200,0
2008-05-29,20.69,21.49,20.69,21.41,258200,0
2008-05-30,21.42,21.56,21.23,21.56,615500,0
2008-06-02,21.74,22.08,21.44,21.81,353900,0
2008-06-03,21.74,21.76,20.85,21.1,382600,0
2008-06-04,21.06,21.24,20.82,20.89,258100,0
2008-06-05,20.79,21.33,20.59,21.12,385200,0
2008-06-06,20.64,20.96,20.21,20.25,262000,0
2008-06-09,20.23,20.44,19.92,20.09,238100,0
2008-06-10,19.9,20.29,19.9,20.09,173400,0
2008-06-11,20.08,20.08,19.63,19.66,171100,0
2008-06-12,19.68,20.31,19.68,20.0,160900,0
2008-06-13,20.03,20.29,19.55,19.77,346700,0
2008-06-16,19.77,20.17,19.5,20.04,183100,0
2008-06-17,20.04,20.09,19.79,20.01,164000,0
2008-06-18,20.05,20.24,19.9,20.06,153200,0
2008-06-19,20.06,21.05,19.94,21.05,305400,0
2008-06-20,20.97,20.97,20.31,20.39,430800,0
2008-06-23,20.45,20.6,19.98,20.03,193400,0
2008-06-24,19.81,20.2,19.53,20.14,247200,0
2008-06-25,20.1,20.53,19.86,20.41,416100,0
2008-06-26,20.13,20.46,19.88,20.25,248100,0
2008-06-27,20.28,21.61,20.1,21.43,1364300,0
2008-06-30,21.33,21.82,20.91,20.94,462600,0
2008-07-01,20.93,21.65,20.78,21.48,427200,0
2008-07-02,21.61,22.42,21.55,21.97,343500,0
2008-07-03,22.01,22.14,21.46,21.85,211100,0
2008-07-07,21.74,22.18,21.25,21.56,248000,0
2008-07-08,21.55,21.99,21.4,21.87,230200,0
2008-07-09,21.83,23.38,21.83,22.16,606900,0
2008-07-10,22.26,22.69,21.72,21.95,274800,0
2008-07-11,22.73,23.11,22.56,22.95,1076000,0
2008-07-14,22.5,22.7,20.81,21.65,1133300,0
2008-07-15,21.45,21.77,20.5,21.26,2583900,0
2008-07-16,21.4,22.64,21.14,22.52,709500,0
2008-07-17,22.68,23.14,22.45,23.06,418800,0
2008-07-18,23.0,23.02,22.54,22.65,315200,0
2008-07-21,22.78,22.88,22.18,22.67,158800,0
2008-07-22,22.51,22.95,22.0,22.93,348800,0
2008-07-23,23.12,23.65,22.95,23.56,591400,0
2008-07-24,23.73,24.19,23.5,23.73,568000,0
2008-07-25,23.94,23.96,23.37,23.57,305100,0
2008-07-28,23.74,23.89,22.86,23.42,382300,0
2008-07-29,23.08,23.67,22.76,23.0,436000,0
2008-07-30,23.34,23.9,22.59,22.9,544200,0
2008-07-31,23.34,23.99,22.97,23.21,923400,0
2008-08-01,23.98,24.44,23.31,24.11,633900,0
2008-08-04,24.15,24.25,23.81,24.01,429000,0
2008-08-05,24.23,24.49,24.0,24.26,268500,0
2008-08-06,24.12,24.89,24.12,24.6,324600,0
2008-08-07,24.36,24.87,24.25,24.36,285900,0
2008-08-08,24.28,24.8,24.25,24.73,241300,0
2008-08-11,24.67,25.4,24.66,25.14,495600,0
2008-08-12,25.0,25.9,25.0,25.6,468500,0
2008-08-13,25.5,25.59,24.9,24.99,262400,0
2008-08-14,25.27,25.45,24.95,25.0,262900,0
2008-08-15,25.2,25.2,23.66,23.95,493800,0
2008-08-18,23.9,24.07,23.63,24.0,252000,0
2008-08-19,24.0,24.01,23.57,23.79,250200,0
2008-08-20,23.68,24.0,22.8,23.03,345800,0
2008-08-21,22.89,23.4,22.72,23.24,202700,0
2008-08-22,23.25,24.29,23.21,24.02,243900,0
2008-08-25,23.89,24.33,23.35,23.47,154900,0
2008-08-26,23.4,24.03,23.26,23.52,153000,0
2008-08-27,23.47,24.41,23.45,24.26,220000,0
2008-08-28,24.22,24.82,23.83,24.7,394800,0
2008-08-29,24.73,25.03,24.48,24.6,168000,0
2008-09-02,24.8,25.39,24.48,24.62,213800,0
2008-09-03,24.65,25.28,24.65,24.91,375700,0
