Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,31.45,32.0,31.13,31.39,6011700,0
2008-01-03,31.56,32.4,31.45,31.84,6843500,0
2008-01-04,31.63,31.84,31.34,31.34,4862000,0
2008-01-07,31.47,32.43,31.39,32.37,7085000,0
2008-01-08,32.94,33.81,32.94,33.09,12747800,0
2008-01-09,33.09,34.92,33.03,34.86,15522200,0
2008-01-10,34.64,34.85,34.11,34.25,10895200,0
2008-01-11,34.0,34.75,34.0,34.61,8992500,0
2008-01-14,34.95,34.95,34.18,34.58,5520700,0
2008-01-15,34.22,34.68,34.03,34.44,9502800,0
2008-01-16,34.23,35.42,34.23,35.26,12336300,0
2008-01-17,35.29,35.29,34.02,34.11,12999400,0
2008-01-18,34.37,34.79,33.85,34.31,9919400,0
2008-01-22,32.58,34.4,31.5,32.97,12959900,0
2008-01-23,32.26,33.35,32.13,33.32,18270000,0
2008-01-24,33.92,34.13,33.46,33.69,12910900,0
2008-01-25,34.08,34.48,33.08,33.13,6979900,0
2008-01-28,33.11,33.64,32.82,33.53,6839800,0
2008-01-29,33.67,33.69,33.26,33.28,7964300,0
2008-01-30,33.26,33.37,32.55,32.68,10330700,0
2008-01-31,32.63,33.3,32.27,32.9,8824600,0
2008-02-01,33.13,33.44,32.86,33.41,7541400,0
2008-02-04,33.42,34.08,33.3,33.61,6965900,0
2008-02-05,33.09,33.35,32.72,32.78,8220600,0
2008-02-06,32.93,33.0,32.48,32.55,5069000,0
2008-02-07,32.49,33.06,32.48,32.98,6440000,0
2008-02-08,32.77,33.09,32.61,32.94,4668700,0
2008-02-11,32.94,33.19,32.71,33.07,5288200,0
2008-02-12,33.33,33.92,32.96,33.39,7207500,0
2008-02-13,33.64,33.89,33.52,33.6,6067100,0
2008-02-14,33.8,33.8,32.68,32.76,8728900,0
2008-02-15,32.62,32.8,31.95,32.23,11092500,0
2008-02-19,32.54,33.11,32.24,32.76,7004600,0
2008-02-20,32.54,32.88,32.36,32.82,5588100,0
2008-02-21,32.87,32.98,32.53,32.59,6776700,0
2008-02-22,32.66,32.73,31.98,32.38,6244400,0
2008-02-25,32.34,32.7,32.19,32.59,9964200,0
2008-02-26,32.5,32.88,32.35,32.75,6818600,0
2008-02-27,32.67,32.81,32.43,32.49,7727200,0
2008-02-28,32.32,32.77,32.22,32.55,6995400,0
2008-02-29,32.19,32.5,31.9,32.06,7507500,0
2008-03-03,32.07,32.26,31.84,32.05,6496300,0
2008-03-04,31.81,32.43,31.81,32.34,8690000,0
2008-03-05,32.21,32.27,31.26,31.57,9707000,0
2008-03-06,31.36,31.62,31.11,31.17,7387300,0
2008-03-07,30.98,31.76,30.73,31.39,8203600,0
2008-03-10,31.35,31.47,30.66,30.73,6988200,0
2008-03-11,31.36,31.67,30.76,31.28,4584600,0
2008-03-12,31.47,31.67,31.23,31.29,5594700,0
2008-03-13,30.81,31.02,30.26,30.78,8769900,0
2008-03-14,31.04,31.37,30.31,30.56,11688600,0
2008-03-17,29.78,30.61,29.78,30.1,6848700,0
2008-03-18,30.61,31.24,30.43,31.24,8873400,0
2008-03-19,31.33,31.92,31.33,31.5,7908000,0
2008-03-20,31.77,31.92,31.24,31.53,7525800,0
2008-03-24,31.6,31.83,31.37,31.59,3538900,0
2008-03-25,31.72,31.77,31.32,31.61,4594200,0
2008-03-26,31.43,31.6,31.21,31.23,4512400,0
2008-03-27,31.34,31.41,30.97,31.17,6208400,0
2008-03-28,31.21,31.34,31.11,31.23,5046900,0
2008-03-31,31.16,31.53,30.83,31.41,7728100,0
2008-04-01,31.51,32.59,31.51,32.59,7943100,0
2008-04-02,32.59,32.82,32.41,32.56,6982500,0
2008-04-03,32.32,32.68,32.25,32.29,4883200,0
2008-04-04,32.4,32.69,32.23,32.53,4487600,0
2008-04-07,32.71,32.99,32.59,32.83,5057000,0
2008-04-08,32.66,33.03,32.32,32.49,5206300,0
2008-04-09,32.53,32.87,32.36,32.54,5161400,0
2008-04-10,32.71,33.12,32.51,32.97,5472100,0
2008-04-11,32.65,32.99,32.65,32.9,6900400,0
2008-04-14,32.82,32.82,32.26,32.54,4952200,0
2008-04-15,32.68,32.68,31.99,32.23,7027600,0
2008-04-16,33.02,33.02,32.38,32.82,9745100,0
2008-04-17,32.38,33.07,32.02,32.81,8069600,0
2008-04-18,33.43,33.63,33.1,33.29,8614200,0
2008-04-21,33.17,33.32,32.91,33.11,7003700,0
2008-04-22,32.9,33.03,32.74,32.88,6354000,0
2008-04-23,32.99,33.07,32.79,33.06,5717500,0
2008-04-24,33.13,33.62,32.96,33.39,5993300,0
2008-04-25,33.48,33.93,33.41,33.67,5325600,0
2008-04-28,33.6,34.19,33.6,34.02,6994100,0
2008-04-29,33.92,34.37,33.92,34.22,7296900,0
2008-04-30,34.02,34.32,33.82,33.85,9107600,0
2008-05-01,33.87,34.22,33.81,34.16,5289300,0
2008-05-02,34.31,34.43,33.91,34.11,7000200,0
2008-05-05,34.11,34.43,33.93,34.28,5491500,0
2008-05-06,34.2,34.2,33.8,34.07,6981600,0
2008-05-07,33.96,34.16,33.38,33.39,6485100,0
2008-05-08,33.65,33.94,33.34,33.51,5311400,0
2008-05-09,33.16,33.4,33.05,33.27,4487600,0
2008-05-12,33.23,33.55,33.17,33.5,3125400,0
2008-05-13,33.64,33.68,33.17,33.28,3431600,0
2008-05-14,33.32,33.73,33.28,33.59,4496800,0
2008-05-15,33.55,33.55,33.17,33.22,4435700,0
2008-05-16,33.14,33.41,33.06,33.28,5070100,0
2008-05-19,33.31,33.52,33.04,33.38,3937300,0
2008-05-20,33.28,33.54,33.16,33.34,4144600,0
2008-05-21,33.45,33.73,33.19,33.29,5872400,0
2008-05-22,33.26,33.41,33.1,33.17,4395200,0
2008-05-23,33.05,33.23,32.75,32.75,3435100,0
2008-05-27,32.78,32.97,32.37,32.82,5025700,0
2008-05-28,32.84,33.08,32.65,32.72,3684200,0
2008-05-29,32.66,33.31,32.66,33.16,5471800,0
2008-05-30,33.02,33.36,32.99,33.19,3729300,0
2008-06-02,33.04,33.19,32.72,32.95,5631000,0
2008-06-03,33.01,33.28,32.98,33.28,6115400,0
2008-06-04,33.32,33.54,33.18,33.4,4270100,0
2008-06-05,33.3,33.67,33.06,33.61,3814900,0
2008-06-06,32.55,33.34,32.47,33.1,5868700,0
2008-06-09,33.08,33.31,32.85,33.06,4963500,0
2008-06-10,32.8,33.08,32.67,32.86,3467800,0
2008-06-11,32.88,33.01,32.68,32.81,6308900,0
2008-06-12,33.04,33.34,32.81,33.06,5303300,0
2008-06-13,33.21,33.76,33.01,33.61,5696400,0
2008-06-16,33.5,33.8,33.34,33.67,5299100,0
2008-06-17,33.78,33.84,33.37,33.4,3624900,0
2008-06-18,33.25,33.39,33.17,33.3,6780900,0
2008-06-19,33.22,34.22,33.0,34.16,9733500,0
2008-06-20,33.97,34.22,33.91,34.02,10686600,0
2008-06-23,34.1,34.1,33.5,33.85,11150000,0
2008-06-24,33.83,33.98,33.5,33.84,9594100,0
2008-06-25,33.9,34.44,33.77,34.09,7001600,0
2008-06-26,33.78,34.3,33.55,34.06,8421800,0
2008-06-27,33.91,34.37,33.8,34.17,10052500,0
2008-06-30,34.22,34.87,34.01,34.73,9721700,0
2008-07-01,34.41,35.02,34.3,34.9,11496800,0
2008-07-02,35.04,35.09,34.67,34.67,5874400,0
2008-07-03,34.89,34.98,34.68,34.83,4326700,0
2008-07-07,34.99,35.17,34.34,34.7,7755000,0
2008-07-08,34.85,35.58,34.85,35.56,12940700,0
2008-07-09,35.56,36.12,35.26,35.31,10056000,0
2008-07-10,35.24,35.51,34.9,35.47,8163500,0
2008-07-11,35.2,35.7,35.04,35.44,7724800,0
2008-07-14,35.51,35.65,35.14,35.24,6495000,0
2008-07-15,34.89,36.39,34.89,36.3,15939700,0
2008-07-16,36.39,36.39,35.58,35.78,11120500,0
2008-07-17,36.36,37.84,35.06,36.91,17714800,0
2008-07-18,37.0,37.51,36.6,37.45,12151300,0
2008-07-21,37.58,37.6,36.93,37.01,7477200,0
2008-07-22,37.01,37.53,36.77,37.4,7310400,0
2008-07-23,37.37,37.53,36.71,36.96,5867600,0
2008-07-24,37.05,37.27,36.77,36.93,5219200,0
2008-07-25,36.81,37.18,36.81,36.92,5271100,0
2008-07-28,36.82,36.97,36.3,36.41,4286000,0
2008-07-29,36.45,36.68,35.96,36.55,5079800,0
2008-07-30,36.77,37.34,36.73,37.25,7096600,0
2008-07-31,37.09,37.49,37.06,37.27,5053500,0
2008-08-01,37.14,37.6,37.13,37.15,6325600,0
2008-08-04,37.05,37.64,37.05,37.43,4906400,0
2008-08-05,37.42,38.02,37.4,38.01,7697200,0
2008-08-06,37.97,38.57,37.7,38.43,10258400,0
2008-08-07,38.13,38.47,37.91,37.96,5622200,0
2008-08-08,37.85,38.65,37.85,38.65,6423200,0
2008-08-11,38.52,38.64,38.1,38.21,7454700,0
2008-08-12,38.27,38.28,37.95,38.07,5753100,0
2008-08-13,38.05,38.2,37.75,37.85,6393900,0
2008-08-14,37.71,38.1,37.37,37.88,5078300,0
2008-08-15,38.01,38.85,37.73,38.01,6251100,0
2008-08-18,38.1,38.5,37.79,37.93,5785700,0
2008-08-19,37.96,38.1,37.43,37.73,6670400,0
2008-08-20,37.87,37.87,37.25,37.47,4534100,0
2008-08-21,37.42,38.07,37.37,38.04,4307900,0
2008-08-22,38.23,38.52,37.95,38.29,3906900,0
2008-08-25,38.3,38.3,36.88,37.02,7252900,0
2008-08-26,36.98,37.23,36.69,37.09,3563200,0
2008-08-27,37.02,37.14,36.76,37.08,3826700,0
2008-08-28,37.25,37.33,37.02,37.21,6537900,0
2008-08-29,37.24,37.41,36.8,36.81,4425500,0
2008-09-02,37.1,38.08,36.8,37.91,9433800,0
2008-09-03,37.77,38.16,37.66,37.86,6209500,0
