Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,16.29,16.33,15.48,15.65,356500,0
2008-01-03,15.71,15.8,15.03,15.05,275400,0
2008-01-04,15.03,15.05,14.15,14.2,424300,0
2008-01-07,14.3,15.0,14.3,14.69,393400,0
2008-01-08,14.81,14.96,14.27,14.3,345900,0
2008-01-09,14.24,14.51,13.61,13.9,390800,0
2008-01-10,13.78,14.35,13.55,14.3,361100,0
2008-01-11,14.16,14.54,13.71,13.76,338200,0
2008-01-14,13.84,14.02,13.32,13.41,285300,0
2008-01-15,13.22,13.3,12.75,12.78,258700,0
2008-01-16,12.72,12.72,11.63,12.32,745700,0
2008-01-17,12.36,12.49,12.05,12.4,219800,0
2008-01-18,12.4,12.81,12.28,12.38,227000,0
2008-01-22,11.95,13.61,11.95,13.48,697900,0
2008-01-23,13.19,16.0,12.93,15.92,933800,0
2008-01-24,16.0,16.33,15.58,15.97,556500,0
2008-01-25,16.12,16.58,15.8,16.0,378700,0
2008-01-28,15.9,15.94,15.15,15.49,302100,0
2008-01-29,15.62,16.06,15.62,15.98,204600,0
2008-01-30,15.8,16.66,15.8,16.25,305100,0
2008-01-31,16.17,17.31,16.0,17.26,446600,0
2008-02-01,17.36,17.47,16.78,17.07,228800,0
2008-02-04,17.06,17.08,16.5,16.6,174100,0
2008-02-05,16.39,16.5,15.17,15.26,289600,0
2008-02-06,15.42,15.6,14.39,14.48,360000,0
2008-02-07,14.43,15.73,14.26,15.65,384900,0
2008-02-08,15.66,15.83,15.22,15.5,254300,0
2008-02-11,15.59,15.62,14.82,15.61,269200,0
2008-02-12,15.66,16.33,15.66,16.28,316300,0
2008-02-13,16.28,16.36,15.47,16.0,276000,0
2008-02-14,15.74,15.81,14.74,14.9,474100,0
2008-02-15,14.79,15.05,13.62,13.67,908600,0
2008-02-19,13.87,14.15,13.67,14.09,290100,0
2008-02-20,14.02,14.02,13.37,13.87,187400,0
2008-02-21,13.96,14.04,13.27,13.39,232600,0
2008-02-22,13.55,13.71,13.0,13.69,392000,0
2008-02-25,13.62,14.33,13.36,14.28,200300,0
2008-02-26,14.16,14.87,14.12,14.84,256100,0
2008-02-27,14.75,15.18,14.5,14.98,215100,0
2008-02-28,14.95,14.97,14.45,14.65,186600,0
2008-02-29,14.43,14.5,13.53,13.56,214300,0
2008-03-03,13.75,13.88,13.14,13.27,184900,0
2008-03-04,13.1,13.59,12.92,13.32,223000,0
2008-03-05,13.32,13.41,12.61,12.65,263900,0
2008-03-06,12.62,12.81,11.97,11.98,269400,0
2008-03-07,11.86,12.42,11.83,12.21,304300,0
2008-03-10,12.28,12.74,11.79,11.86,197600,0
2008-03-11,12.05,12.61,11.74,12.61,214400,0
2008-03-12,12.76,13.98,12.75,13.44,581300,0
2008-03-13,13.12,13.29,12.8,12.9,357200,0
2008-03-14,12.99,13.1,12.45,12.59,236600,0
2008-03-17,12.34,13.32,12.15,13.0,284400,0
2008-03-18,13.42,14.16,13.22,14.09,414400,0
2008-03-19,14.2,14.48,13.58,13.58,185200,0
2008-03-20,14.29,14.6,13.75,14.55,497500,0
2008-03-24,14.74,15.63,14.37,15.53,286700,0
2008-03-25,15.42,15.44,14.81,15.16,130500,0
2008-03-26,15.06,15.3,14.84,15.05,142200,0
2008-03-27,15.13,15.2,14.8,14.87,68300,0
2008-03-28,14.86,14.93,14.0,14.05,155100,0
2008-03-31,13.92,14.75,13.83,14.41,314900,0
2008-04-01,14.73,15.11,14.54,15.1,272700,0
2008-04-02,15.07,15.47,14.93,15.02,166700,0
2008-04-03,14.77,15.07,14.62,14.97,216500,0
2008-04-04,14.92,14.92,14.27,14.65,68200,0
2008-04-07,14.69,14.77,14.08,14.27,132000,0
2008-04-08,14.05,14.15,13.8,13.84,78700,0
2008-04-09,13.79,14.15,13.68,13.73,102100,0
2008-04-10,13.7,14.45,13.54,14.33,130600,0
2008-04-11,14.13,14.23,13.7,13.83,131800,0
2008-04-14,13.8,13.89,13.56,13.65,65400,0
2008-04-15,13.71,14.35,13.23,14.24,308700,0
2008-04-16,14.36,15.05,14.01,14.99,212500,0
2008-04-17,14.95,14.95,14.43,14.56,107200,0
2008-04-18,14.94,15.97,14.84,15.85,331900,0
2008-04-21,15.7,15.7,14.93,15.11,308300,0
2008-04-22,15.0,15.31,14.69,15.1,262700,0
2008-04-23,15.13,15.89,15.09,15.86,253000,0
2008-04-24,15.6,15.96,15.23,15.76,409100,0
2008-04-25,14.19,15.09,13.44,14.0,1186500,0
2008-04-28,14.06,14.38,13.55,13.6,296700,0
2008-04-29,13.56,13.78,13.34,13.68,226800,0
2008-04-30,13.69,14.02,13.49,13.94,438300,0
2008-05-01,13.9,14.61,13.85,14.46,571700,0
