Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,27.31,27.51,26.71,26.84,1760300,0
2008-01-03,26.92,26.98,26.35,26.43,1113700,0
2008-01-04,26.25,26.3,25.48,25.56,1076400,0
2008-01-07,25.87,25.95,25.19,25.31,1231900,0
2008-01-08,25.63,25.63,24.45,24.46,1607000,0
2008-01-09,24.54,24.73,23.96,24.73,1511700,0
2008-01-10,24.5,25.62,24.37,25.37,1425800,0
2008-01-11,25.17,25.29,24.63,24.73,1643600,0
2008-01-14,24.87,25.05,24.57,24.95,1090500,0
2008-01-15,24.69,24.84,24.41,24.48,1584500,0
2008-01-16,24.45,25.0,24.36,24.58,1223100,0
2008-01-17,24.61,24.62,23.8,23.81,1311900,0
2008-01-18,24.02,24.91,23.87,24.01,1474700,0
2008-01-22,22.92,24.99,22.5,24.55,2799700,0
2008-01-23,23.73,25.63,23.43,25.49,2896700,0
2008-01-24,25.53,25.79,24.95,25.36,1217100,0
2008-01-25,25.65,25.84,24.88,25.2,1071800,0
2008-01-28,25.17,26.15,25.04,26.1,1853000,0
2008-01-29,26.89,27.32,26.46,26.66,1701700,0
2008-01-30,26.7,26.77,26.23,26.3,1681900,0
2008-01-31,25.94,27.36,25.77,27.15,3026000,0
2008-02-01,27.33,27.71,26.84,27.69,1108900,0
2008-02-04,27.81,27.87,27.0,27.04,864500,0
2008-02-05,26.61,27.17,26.42,26.56,987500,0
2008-02-06,26.73,26.85,26.15,26.27,846400,0
2008-02-07,26.2,26.79,26.09,26.59,945900,0
2008-02-08,26.51,26.77,26.25,26.54,1106600,0
2008-02-11,26.34,27.14,26.34,27.02,935300,0
2008-02-12,27.23,27.35,26.69,26.89,1372300,0
2008-02-13,27.15,27.15,26.63,26.93,1295500,0
2008-02-14,26.93,27.13,26.31,26.38,991600,0
2008-02-15,26.33,26.33,25.83,26.22,951100,0
2008-02-19,26.32,26.56,25.88,26.03,678300,0
2008-02-20,25.97,26.37,25.88,26.34,1144800,0
2008-02-21,26.38,26.84,25.96,25.99,965300,0
