Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,34.95,35.6,34.49,34.89,232300,0
2008-01-03,35.0,35.43,34.47,34.48,194300,0
2008-01-04,34.09,34.61,33.63,33.75,259100,0
2008-01-07,33.97,34.15,33.07,33.42,192500,0
2008-01-08,33.61,34.06,31.6,31.68,299900,0
2008-01-09,30.99,31.75,30.38,31.74,372500,0
2008-01-10,33.28,33.28,30.94,32.34,251000,0
2008-01-11,32.02,32.34,31.62,31.62,260300,0
2008-01-14,31.89,32.57,31.81,32.41,217700,0
2008-01-15,31.9,32.05,31.21,31.52,197600,0
2008-01-16,31.5,32.34,31.34,31.7,172600,0
2008-01-17,31.68,31.95,30.35,30.37,159400,0
2008-01-18,30.17,31.35,29.9,30.21,315800,0
2008-01-22,29.06,31.38,29.06,30.95,311900,0
2008-01-23,30.13,31.19,29.49,30.41,463600,0
2008-01-24,30.66,30.66,29.37,29.83,309000,0
2008-01-25,30.36,30.51,29.51,29.6,161500,0
2008-01-28,29.6,30.4,29.18,30.4,125700,0
2008-01-29,30.65,30.72,29.85,30.4,102700,0
2008-01-30,30.12,30.82,29.38,29.44,190800,0
2008-01-31,28.9,30.94,28.75,30.49,301300,0
2008-02-01,30.54,31.79,30.4,31.2,226000,0
2008-02-04,31.14,31.14,30.01,30.52,234100,0
2008-02-05,30.07,30.53,29.49,29.7,230800,0
2008-02-06,30.03,30.33,28.93,29.12,210400,0
2008-02-07,29.01,29.93,28.85,29.78,207900,0
2008-02-08,29.77,29.89,28.87,29.19,147200,0
2008-02-11,29.25,29.72,28.4,29.3,153400,0
2008-02-12,29.4,30.24,29.24,29.68,209400,0
2008-02-13,30.04,30.92,29.84,30.79,204000,0
2008-02-14,30.91,31.19,29.33,29.68,172000,0
2008-02-15,29.5,29.83,28.85,29.47,179300,0
2008-02-19,29.95,30.01,28.34,28.58,285900,0
2008-02-20,28.3,29.9,28.0,29.9,306700,0
2008-02-21,30.11,30.24,28.58,28.71,512900,0
2008-02-22,28.7,29.04,28.07,28.7,415100,0
2008-02-25,28.71,30.19,28.71,29.98,435200,0
2008-02-26,29.82,30.43,29.68,30.26,547600,0
2008-02-27,30.01,31.19,29.87,30.99,349900,0
2008-02-28,30.74,30.91,30.17,30.75,447300,0
2008-02-29,30.27,30.76,29.95,30.58,707400,0
2008-03-03,30.5,31.06,30.26,31.02,432600,0
2008-03-04,30.63,30.98,30.13,30.5,356300,0
2008-03-05,30.53,31.11,30.44,30.67,279500,0
2008-03-06,30.57,30.89,29.97,30.15,438100,0
2008-03-07,30.0,30.68,30.0,30.18,275500,0
2008-03-10,30.35,30.52,29.61,29.68,279300,0
2008-03-11,30.58,31.91,30.58,31.71,301800,0
2008-03-12,31.86,32.95,31.64,31.79,272400,0
2008-03-13,32.0,33.47,31.46,33.19,461400,0
2008-03-14,33.41,33.68,31.86,32.32,367800,0
2008-03-17,31.35,33.03,30.95,32.12,245800,0
2008-03-18,32.83,33.85,32.22,33.5,300300,0
2008-03-19,33.82,34.11,32.29,32.29,250000,0
2008-03-20,32.81,33.21,31.91,32.6,792100,0
2008-03-24,32.8,34.15,32.74,33.78,270300,0
2008-03-25,33.85,34.14,33.44,33.89,196800,0
2008-03-26,33.67,34.0,33.46,34.0,164300,0
2008-03-27,34.0,34.0,32.81,32.92,200200,0
2008-03-28,33.03,33.51,32.87,33.01,192400,0
2008-03-31,32.95,33.99,32.65,33.43,160000,0
2008-04-01,33.79,34.13,33.3,34.0,319200,0
2008-04-02,33.81,34.19,33.61,34.0,352300,0
2008-04-03,33.75,34.11,33.55,34.0,255800,0
2008-04-04,33.96,34.07,33.73,34.0,522500,0
2008-04-07,34.01,34.01,33.7,33.81,271900,0
2008-04-08,33.47,33.85,33.19,33.81,126900,0
2008-04-09,33.79,33.79,32.59,32.88,167700,0
2008-04-10,32.93,33.72,32.77,33.6,173700,0
2008-04-11,33.22,33.24,32.29,32.36,157000,0
2008-04-14,32.29,32.72,32.12,32.38,135200,0
2008-04-15,32.65,33.17,32.29,32.98,153100,0
2008-04-16,33.36,34.01,33.28,34.0,240200,0
2008-04-17,33.8,33.96,33.56,33.69,118100,0
2008-04-18,34.2,34.2,33.83,34.0,338500,0
2008-04-21,33.75,33.95,33.24,33.66,184600,0
