Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,28.82,30.66,28.8,30.44,2081600,0
2008-01-03,30.36,32.04,30.13,31.61,1090800,0
2008-01-04,31.38,31.5,30.41,31.33,1701800,0
2008-01-07,31.33,32.02,30.86,31.77,1957200,0
2008-01-08,32.9,33.38,31.39,31.42,1858600,0
2008-01-09,31.27,32.5,30.08,32.37,1881400,0
2008-01-10,31.94,33.0,31.81,32.38,2483400,0
2008-01-11,32.74,34.56,32.74,34.02,2469800,0
2008-01-14,35.38,35.71,33.83,34.07,1408600,0
2008-01-15,33.35,35.0,33.12,33.32,1285000,0
2008-01-16,33.01,33.31,30.58,31.63,1579600,0
2008-01-17,31.5,32.37,29.67,30.33,1849000,0
2008-01-18,31.0,31.99,29.58,30.8,909200,0
2008-01-22,28.94,31.61,28.0,30.43,1971200,0
2008-01-23,30.33,30.33,27.91,29.49,2061600,0
2008-01-24,30.24,31.22,29.68,30.37,2646000,0
2008-01-25,32.01,32.87,31.46,32.0,2597400,0
2008-01-28,32.49,33.16,31.51,32.98,2243400,0
2008-01-29,33.99,34.25,32.45,32.71,1310600,0
2008-01-30,33.12,33.69,32.1,32.69,1248800,0
2008-01-31,32.51,33.99,31.25,33.51,1734400,0
2008-02-01,34.27,34.49,32.65,32.78,1403400,0
2008-02-04,31.86,33.08,31.86,32.43,611400,0
2008-02-05,31.83,32.08,30.77,31.58,1371600,0
2008-02-06,31.16,32.92,31.16,31.65,1068800,0
2008-02-07,31.17,34.06,31.17,33.6,2015800,0
2008-02-08,34.22,36.1,33.94,35.79,1922800,0
2008-02-11,36.64,36.64,34.21,34.67,1606800,0
2008-02-12,34.67,35.12,34.06,34.33,1276600,0
2008-02-13,34.52,35.09,34.01,34.94,1116000,0
2008-02-14,35.66,35.66,34.27,34.55,828200,0
2008-02-15,35.05,35.05,33.25,33.92,809400,0
2008-02-19,34.97,35.49,34.54,35.09,1221400,0
2008-02-20,34.95,36.74,34.85,36.5,1216000,0
2008-02-21,37.35,37.49,35.75,35.97,1198000,0
2008-02-22,35.97,36.45,34.51,36.38,913800,0
2008-02-25,37.06,37.06,35.27,36.4,985000,0
2008-02-26,36.94,36.94,35.58,36.27,1206800,0
2008-02-27,36.2,37.98,35.93,37.26,1960000,0
2008-02-28,38.03,39.25,37.78,38.65,1896200,0
2008-02-29,38.5,38.87,37.53,38.01,1259600,0
2008-03-03,38.5,38.88,37.94,38.44,1593800,0
2008-03-04,38.6,39.05,36.83,37.66,1589600,0
2008-03-05,38.47,38.75,37.85,38.55,1352400,0
2008-03-06,37.85,39.74,37.69,39.15,1914200,0
2008-03-07,38.94,39.14,37.58,37.88,1122000,0
2008-03-10,37.51,37.83,36.38,37.09,1731400,0
2008-03-11,37.23,38.95,37.23,38.83,1380600,0
2008-03-12,38.8,39.95,38.64,39.49,1246200,0
2008-03-13,39.5,40.69,39.5,40.17,1280000,0
2008-03-14,41.35,42.24,40.69,41.96,1639000,0
2008-03-17,42.12,42.89,40.28,40.41,2035400,0
2008-03-18,41.11,41.94,39.29,39.69,2088800,0
2008-03-19,39.49,39.5,35.5,35.58,4879200,0
2008-03-20,34.01,34.47,32.04,33.72,4688000,0
2008-03-24,33.85,34.95,32.15,32.48,2083600,0
2008-03-25,32.71,34.83,32.71,34.65,2477800,0
2008-03-26,34.58,36.47,34.58,36.38,2189400,0
2008-03-27,35.96,37.47,35.3,36.83,1746600,0
2008-03-28,36.28,36.28,35.05,35.44,1380800,0
2008-03-31,35.5,35.86,33.9,34.25,1715600,0
2008-04-01,33.22,33.51,31.5,33.44,2978800,0
2008-04-02,33.07,34.75,33.07,34.1,1764000,0
2008-04-03,33.88,34.4,33.46,33.9,1652600,0
2008-04-04,34.0,35.29,33.9,35.06,1007800,0
2008-04-07,35.62,37.12,35.46,35.99,1768800,0
2008-04-08,35.36,35.46,34.32,34.6,1214600,0
2008-04-09,34.6,35.67,33.66,35.0,1166600,0
2008-04-10,34.99,35.38,33.91,34.7,780600,0
2008-04-11,34.84,34.99,34.1,34.38,784600,0
2008-04-14,33.69,35.05,33.69,34.29,988400,0
2008-04-15,34.53,35.25,34.51,35.19,716400,0
2008-04-16,35.75,36.87,35.75,36.8,1275000,0
2008-04-17,36.99,37.51,36.01,37.19,902800,0
2008-04-18,36.64,37.24,35.1,35.38,1322400,0
2008-04-21,35.51,36.12,34.28,34.89,1080000,0
2008-04-22,34.5,35.74,34.47,34.58,839200,0
2008-04-23,34.08,34.36,33.01,33.87,1255400,0
2008-04-24,33.6,33.76,30.51,30.93,3259800,0
2008-04-25,31.42,32.2,31.13,31.8,1318600,0
2008-04-28,31.62,32.38,31.29,31.67,705200,0
2008-04-29,31.35,32.27,31.34,31.97,1515400,0
2008-04-30,31.97,32.3,30.87,31.28,1804600,0
2008-05-01,30.73,30.98,29.25,29.99,2116400,0
2008-05-02,30.18,30.67,29.77,30.23,1319800,0
2008-05-05,30.67,31.95,30.62,31.75,2045000,0
2008-05-06,31.83,33.12,31.77,32.42,1636600,0
2008-05-07,32.14,33.49,31.98,32.94,2092800,0
2008-05-08,33.47,34.06,32.95,32.95,1506800,0
2008-05-09,33.0,33.26,31.81,32.24,1031200,0
2008-05-12,32.0,32.47,31.3,32.21,691000,0
2008-05-13,31.52,31.84,31.07,31.65,567000,0
2008-05-14,31.48,31.78,31.02,31.1,913600,0
2008-05-15,31.53,32.22,31.14,31.65,771400,0
2008-05-16,32.92,33.24,32.31,33.19,1930000,0
2008-05-19,33.63,34.3,32.9,33.47,1649800,0
2008-05-20,33.13,34.23,33.13,33.78,1237600,0
2008-05-21,34.25,35.35,33.35,33.56,1437400,0
2008-05-22,33.49,34.14,32.65,33.13,678600,0
2008-05-23,33.35,33.35,32.49,32.51,452000,0
2008-05-27,32.3,32.99,31.5,32.31,1282800,0
2008-05-28,32.31,33.17,32.12,33.01,704400,0
2008-05-29,32.75,32.76,32.1,32.32,969600,0
2008-05-30,32.85,33.76,32.53,32.9,1308200,0
2008-06-02,33.33,35.21,33.33,34.46,1697800,0
2008-06-03,34.37,35.1,33.69,33.72,1058600,0
2008-06-04,34.27,35.01,33.2,33.24,1423000,0
2008-06-05,32.92,34.5,32.85,34.1,938000,0
2008-06-06,34.17,35.18,34.01,34.91,1637600,0
2008-06-09,35.0,35.22,32.78,33.65,1593200,0
2008-06-10,33.49,34.58,30.64,30.93,2822600,0
2008-06-11,31.25,31.75,30.6,30.72,1491600,0
2008-06-12,30.25,30.66,29.2,30.48,1715600,0
2008-06-13,30.24,31.4,30.24,31.01,1116400,0
2008-06-16,31.75,32.1,31.02,31.21,1175000,0
2008-06-17,31.2,32.22,31.2,31.83,1088000,0
2008-06-18,32.15,32.15,31.22,31.5,887400,0
2008-06-19,31.77,32.15,30.82,30.89,1005800,0
2008-06-20,30.59,31.73,30.5,30.69,1100000,0
2008-06-23,30.1,30.78,29.69,30.03,1458000,0
2008-06-24,30.03,30.82,29.8,29.99,725800,0
2008-06-25,29.99,30.14,29.23,30.1,2029200,0
2008-06-26,30.67,31.26,30.67,30.89,1324000,0
2008-06-27,31.5,33.1,31.41,32.22,2228000,0
2008-06-30,32.13,32.94,31.9,32.69,1010200,0
2008-07-01,32.44,33.8,32.44,33.0,1815600,0
2008-07-02,33.09,33.19,32.06,32.3,1180200,0
2008-07-03,32.26,32.26,30.2,31.19,1002400,0
2008-07-07,30.73,31.58,30.72,31.35,1359200,0
2008-07-08,30.98,31.28,29.94,30.57,2342200,0
2008-07-09,30.95,31.42,29.87,30.0,1284600,0
2008-07-10,30.07,30.66,29.89,30.59,1463400,0
2008-07-11,31.25,31.9,31.25,31.61,1852400,0
2008-07-14,31.95,33.29,31.4,32.97,1732800,0
2008-07-15,33.15,34.0,32.31,32.76,1915000,0
2008-07-16,32.4,32.97,31.53,32.27,1169600,0
2008-07-17,31.64,33.83,31.64,32.15,994200,0
2008-07-18,31.85,33.16,31.75,32.92,1121200,0
2008-07-21,33.31,34.06,32.69,33.96,844200,0
2008-07-22,33.28,35.67,32.24,32.6,2696400,0
2008-07-23,33.69,33.69,30.5,30.78,1706200,0
2008-07-24,30.51,31.1,27.71,29.88,1006200,0
2008-07-25,29.51,30.95,28.07,30.95,709900,0
2008-07-28,31.27,31.27,29.74,29.9,738000,0
2008-07-29,29.89,30.0,28.56,28.82,856300,0
2008-07-30,28.63,29.24,27.0,27.61,2872100,0
2008-07-31,27.93,27.93,25.58,26.91,2256100,0
2008-08-01,26.7,27.14,25.54,25.78,1478800,0
2008-08-04,25.65,25.66,23.61,24.25,2163200,0
2008-08-05,23.7,23.92,22.91,23.53,2129100,0
2008-08-06,23.18,24.92,23.18,23.62,1306200,0
2008-08-07,23.29,23.79,22.37,22.72,1887100,0
2008-08-08,22.41,22.41,21.0,21.78,1996400,0
