Date,Open,High,Low,Close,Volume,Dividend
1990-01-02,23.66,24.38,23.45,24.38,478600,0.0
1990-01-03,24.69,25.0,24.49,24.69,827200,0.0
1990-01-04,24.8,24.8,24.17,24.38,300200,0.0
1990-01-05,24.28,24.69,24.07,24.59,516100,0.0
1990-01-08,24.38,24.8,24.28,24.8,245500,0.0
1990-01-09,24.9,24.9,24.28,24.49,248100,0.0
1990-01-10,24.38,24.38,24.07,24.28,406600,0.0
1990-01-11,24.49,24.59,24.38,24.49,198800,0.0
1990-01-12,23.97,24.8,23.03,23.24,468300,0.0
1990-01-15,23.03,23.66,22.93,23.14,213900,0.0
1990-01-16,23.03,23.45,22.83,23.03,296000,0.0
1990-01-17,23.14,23.86,23.03,23.66,444800,0.0
1990-01-18,23.45,24.17,23.24,23.97,413400,0.0
1990-01-19,24.07,24.17,23.97,23.97,594800,0.0
1990-01-22,23.76,23.97,22.93,22.93,366400,0.0
1990-01-23,23.03,23.14,22.1,22.2,723600,0.0
1990-01-24,21.48,22.51,21.17,22.41,575400,0.0
1990-01-25,22.51,22.72,21.58,21.58,313400,0.0
1990-01-26,21.68,22.1,21.48,21.79,448900,0.0
1990-01-29,21.79,22.0,21.58,21.68,282300,0.0
1990-01-30,21.58,21.68,20.54,20.85,885800,0.04019
1990-01-31,21.17,21.79,21.17,21.68,291100,0.0
1990-02-01,21.48,22.2,21.48,21.79,148600,0.0
1990-02-02,21.58,22.62,21.58,22.41,161600,0.0
1990-02-05,22.31,22.51,22.2,22.31,153400,0.0
1990-02-06,22.2,22.2,21.48,21.58,129800,0.0
1990-02-07,21.27,22.62,21.27,22.41,383200,0.0
1990-02-08,22.2,22.51,22.1,22.2,346300,0.0
1990-02-09,22.2,22.41,22.0,22.31,174300,0.0
1990-02-12,22.1,22.1,21.79,21.79,580200,0.0
1990-02-13,21.58,21.79,21.37,21.48,383000,0.0
1990-02-14,21.68,21.68,21.37,21.48,448300,0.0
1990-02-15,21.58,22.2,21.37,22.0,258300,0.0
1990-02-16,22.1,22.51,22.1,22.2,389000,0.0
1990-02-20,21.79,21.89,21.48,21.58,278200,0.0
1990-02-21,21.06,21.68,20.96,21.58,297000,0.0
1990-02-22,21.58,22.0,21.37,21.37,242400,0.0
1990-02-23,21.37,21.68,21.17,21.37,246900,0.0
1990-02-26,21.17,22.2,21.17,22.2,256500,0.0
1990-02-27,22.1,22.2,21.89,22.1,381800,0.0
1990-02-28,22.31,22.62,22.2,22.31,975600,0.0
1990-03-01,22.1,22.31,22.0,22.31,224000,0.0
1990-03-02,21.89,22.31,21.68,22.31,296000,0.0
1990-03-05,22.2,22.41,22.2,22.2,220600,0.0
1990-03-06,22.0,22.2,21.89,22.2,603600,0.0
1990-03-07,22.31,22.31,21.79,22.0,924200,0.0
1990-03-08,22.1,22.62,22.1,22.62,443200,0.0
1990-03-09,22.62,22.72,22.31,22.72,391300,0.0
1990-03-12,22.51,22.62,22.41,22.62,236800,0.0
1990-03-13,22.41,22.72,22.31,22.51,306900,0.0
1990-03-14,22.51,23.34,22.51,23.34,378900,0.0
1990-03-15,23.24,23.66,23.14,23.55,230200,0.0
1990-03-16,23.97,23.97,23.66,23.86,660700,0.0
1990-03-19,23.55,23.66,23.34,23.66,316000,0.0
1990-03-20,23.45,23.97,23.03,23.03,389100,0.0
1990-03-21,23.03,23.55,23.03,23.03,223300,0.0
1990-03-22,22.83,22.93,22.2,22.41,354400,0.0
1990-03-23,22.51,22.72,22.31,22.51,150600,0.0
1990-03-26,22.51,22.62,22.41,22.41,93400,0.0
1990-03-27,22.62,22.72,22.31,22.72,235200,0.0
1990-03-28,22.72,23.24,22.62,23.24,162600,0.0
1990-03-29,23.14,23.14,22.72,23.03,123100,0.0
1990-03-30,22.83,22.93,22.31,22.83,243100,0.0
1990-04-02,22.62,22.62,22.2,22.41,121200,0.0
1990-04-03,22.41,23.24,22.41,23.24,141200,0.0
1990-04-04,23.03,23.55,23.03,23.34,242100,0.0
1990-04-05,23.14,23.66,23.03,23.66,153000,0.0
1990-04-06,23.86,23.86,23.34,23.86,294900,0.0
1990-04-09,23.76,23.86,23.45,23.66,180000,0.0
1990-04-10,23.66,24.28,23.66,24.17,342100,0.0
1990-04-11,24.07,24.59,23.97,24.59,321100,0.0
1990-04-12,24.59,24.9,24.38,24.49,570100,0.0
1990-04-16,24.8,25.32,24.59,25.11,779600,0.0
1990-04-17,25.0,25.73,24.69,25.73,769800,0.0
1990-04-18,25.52,25.63,24.69,24.8,299700,0.0
1990-04-19,24.49,24.9,24.38,24.69,272500,0.0
1990-04-20,24.49,24.59,23.45,23.66,381400,0.0
1990-04-23,23.55,23.66,23.24,23.66,186700,0.0
1990-04-24,23.45,23.76,22.93,23.24,372000,0.0
1990-04-25,23.14,23.86,23.14,23.76,299100,0.0
1990-04-26,23.97,24.28,23.55,24.07,234900,0.0
1990-04-27,24.17,24.28,23.66,23.76,262000,0.0
1990-04-30,23.86,23.86,23.45,23.86,136200,0.0
1990-05-01,23.55,24.28,23.55,24.07,122400,0.04019
1990-05-02,24.07,25.11,24.07,25.0,524700,0.0
1990-05-03,25.0,25.11,24.38,24.38,202900,0.0
1990-05-04,24.59,24.8,24.59,24.69,166900,0.0
1990-05-07,24.8,25.21,24.69,24.8,291000,0.0
1990-05-08,24.69,24.69,24.49,24.59,252900,0.0
1990-05-09,24.69,24.69,24.49,24.59,184300,0.0
1990-05-10,24.59,24.9,24.49,24.69,411400,0.0
1990-05-11,24.8,25.42,24.59,25.32,567100,0.0
1990-05-14,25.73,26.46,25.32,25.94,1563100,0.0
1990-05-15,26.04,26.56,25.83,26.46,459200,0.0
1990-05-16,26.35,26.66,26.35,26.46,662800,0.0
1990-05-17,26.46,26.66,26.25,26.66,350700,0.0
1990-05-18,26.56,26.66,26.35,26.46,237900,0.0
1990-05-21,26.25,26.87,26.04,26.77,434800,0.0
1990-05-22,27.08,27.18,26.66,26.98,426000,0.0
1990-05-23,26.87,26.98,26.66,26.87,229600,0.0
1990-05-24,26.87,27.49,26.87,27.08,412000,0.0
1990-05-25,26.87,26.87,26.35,26.56,194800,0.0
1990-05-29,26.77,27.39,26.66,27.39,316800,0.0
1990-05-30,27.39,27.7,26.98,27.08,604000,0.0
1990-05-31,27.08,27.29,26.87,27.08,197000,0.0
1990-06-01,27.18,27.49,27.08,27.29,276600,0.0
1990-06-04,27.29,27.7,26.98,27.6,306200,0.0
1990-06-05,28.64,28.74,28.22,28.53,1081900,0.0
1990-06-06,28.53,28.64,27.6,27.81,682300,0.0
1990-06-07,27.81,27.91,27.29,27.39,353400,0.0
1990-06-08,27.29,27.39,26.25,26.56,342100,0.0
1990-06-11,26.35,27.18,26.35,27.18,230600,0.0
1990-06-12,27.29,27.6,27.29,27.49,676600,0.0
1990-06-13,27.49,27.81,27.29,27.6,442300,0.0
1990-06-14,27.6,28.12,27.39,28.12,261300,0.0
1990-06-15,28.12,28.12,27.81,27.91,383100,0.0
1990-06-18,27.81,27.81,27.08,27.39,302400,0.0
1990-06-19,27.29,27.39,27.08,27.29,203600,0.0
1990-06-20,27.29,27.81,27.29,27.7,399000,0.0
1990-06-21,27.49,28.12,27.49,27.91,360000,0.0
1990-06-22,28.12,29.15,28.01,28.32,538400,0.0
1990-06-25,28.22,28.43,28.12,28.22,427600,0.0
1990-06-26,28.22,28.43,27.81,27.81,243300,0.0
1990-06-27,27.81,28.74,27.81,28.53,307400,0.0
1990-06-28,28.53,28.74,28.32,28.43,285800,0.0
1990-06-29,28.43,28.53,28.22,28.32,349900,0.0
1990-07-02,28.43,28.64,28.12,28.64,268300,0.0
1990-07-03,28.84,29.47,28.74,29.26,293400,0.0
1990-07-05,29.26,29.36,28.74,29.05,505400,0.0
1990-07-06,29.26,29.36,29.15,29.26,368400,0.0
1990-07-09,29.36,29.36,28.53,28.95,449100,0.0
1990-07-10,28.95,29.36,28.84,28.95,563000,0.0
1990-07-11,28.95,29.67,28.84,29.57,316500,0.0
1990-07-12,29.67,30.4,29.67,30.19,723100,0.0
1990-07-13,30.09,30.61,29.98,30.5,334600,0.0
1990-07-16,30.5,31.12,30.19,31.02,551000,0.0
1990-07-17,31.33,31.33,30.4,30.61,312000,0.0
1990-07-18,30.61,30.71,29.88,30.09,344700,0.0
