Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,24.88,25.19,24.27,24.55,3809800,0
2008-01-03,24.58,24.64,24.23,24.34,2937800,0
2008-01-04,24.1,24.25,23.61,23.77,4074500,0
2008-01-07,23.83,23.93,23.1,23.31,4324100,0
2008-01-08,23.38,23.59,22.65,22.7,3592500,0
2008-01-09,22.68,22.98,22.35,22.61,3870000,0
2008-01-10,22.49,23.12,22.39,22.98,3567900,0
2008-01-11,22.79,22.87,22.33,22.48,2519000,0
2008-01-14,22.7,22.93,22.43,22.71,2226000,0
2008-01-15,22.47,22.57,22.1,22.14,3378400,0
2008-01-16,22.14,22.77,22.0,22.36,5001100,0
2008-01-17,22.39,22.46,21.67,21.74,3021000,0
2008-01-18,21.85,22.42,21.57,22.22,5843200,0
2008-01-22,21.67,21.72,20.45,21.26,4773900,0
2008-01-23,20.67,21.49,20.21,21.43,6477800,0
2008-01-24,21.52,22.16,21.24,22.07,4405400,0
2008-01-25,22.24,22.5,21.78,21.94,3538100,0
2008-01-28,22.01,22.1,21.58,21.94,3676600,0
2008-01-29,22.03,22.03,21.65,21.91,2119200,0
2008-01-30,21.96,22.68,21.79,22.3,3103400,0
2008-01-31,21.76,22.28,21.76,22.0,5384700,0
2008-02-01,23.47,26.54,23.3,26.31,14354800,0
2008-02-04,26.3,26.62,25.4,25.67,6879700,0
2008-02-05,25.28,25.5,24.39,24.52,6181800,0
2008-02-06,24.52,24.8,24.02,24.07,4212800,0
2008-02-07,24.02,24.28,23.65,24.01,4268900,0
2008-02-08,23.93,24.32,23.8,24.07,2610000,0
2008-02-11,24.04,24.4,24.04,24.27,3154100,0
2008-02-12,24.33,24.67,24.06,24.25,2834800,0
2008-02-13,24.39,24.91,24.38,24.75,2757900,0
2008-02-14,24.71,24.75,23.97,24.06,2644800,0
2008-02-15,24.05,24.07,23.53,23.75,3033300,0
2008-02-19,23.99,24.05,23.1,23.15,3145500,0
2008-02-20,23.01,23.48,22.91,23.47,2506300,0
2008-02-21,23.52,23.76,23.18,23.29,3988100,0
2008-02-22,23.42,23.45,22.99,23.3,3259200,0
2008-02-25,23.25,23.76,23.25,23.72,2746500,0
2008-02-26,23.6,23.9,23.38,23.56,2306600,0
2008-02-27,23.38,23.81,23.3,23.55,2133200,0
2008-02-28,23.43,23.43,22.93,23.12,2832700,0
2008-02-29,23.11,23.17,22.69,22.88,3781200,0
2008-03-03,22.87,22.89,22.35,22.56,2107500,0
2008-03-04,22.35,22.55,21.97,22.5,4134600,0
2008-03-05,22.49,23.1,22.49,22.9,2929600,0
2008-03-06,22.87,22.96,22.45,22.49,2226300,0
2008-03-07,22.27,22.63,21.95,22.21,2538800,0
2008-03-10,22.2,22.43,22.08,22.18,3419400,0
2008-03-11,22.63,22.73,22.04,22.59,2742700,0
2008-03-12,22.6,23.03,22.56,22.73,3537800,0
2008-03-13,22.33,22.63,22.17,22.39,4545800,0
2008-03-14,22.39,22.54,21.73,22.07,3493900,0
2008-03-17,21.54,22.09,21.54,21.85,3864700,0
2008-03-18,22.31,22.45,21.87,22.44,2339900,0
2008-03-19,22.5,22.76,22.05,22.08,2341000,0
2008-03-20,22.17,22.44,21.99,22.36,2627600,0
2008-03-24,22.49,22.85,22.42,22.75,2855200,0
2008-03-25,22.91,23.29,22.85,23.18,2453400,0
2008-03-26,23.15,23.26,22.73,23.18,3077800,0
2008-03-27,23.19,23.34,22.58,22.64,2659200,0
2008-03-28,22.84,23.0,22.45,22.53,2619200,0
2008-03-31,22.59,22.74,22.38,22.5,3076300,0
2008-04-01,22.63,23.04,22.44,23.0,2682100,0
2008-04-02,22.98,23.4,22.88,23.19,3611100,0
2008-04-03,23.2,23.38,23.12,23.33,2243600,0
2008-04-04,23.33,23.41,23.13,23.24,1935500,0
2008-04-07,23.45,23.68,23.23,23.36,3028100,0
2008-04-08,23.27,23.27,22.87,23.0,2593800,0
2008-04-09,23.08,23.13,22.52,22.71,1827200,0
2008-04-10,22.67,22.8,22.24,22.46,3655100,0
2008-04-11,22.3,22.36,21.73,21.79,2561600,0
2008-04-14,21.74,21.95,21.66,21.67,1591900,0
2008-04-15,21.77,21.82,21.54,21.74,1186500,0
2008-04-16,21.86,22.36,21.85,22.32,2595100,0
2008-04-17,22.21,22.51,22.19,22.42,1944600,0
2008-04-18,22.74,23.08,22.61,23.04,2933300,0
2008-04-21,22.96,22.96,22.6,22.77,1456400,0
2008-04-22,22.56,22.71,22.12,22.31,1653100,0
2008-04-23,22.39,22.84,22.36,22.66,1775000,0
2008-04-24,22.77,23.07,22.43,22.8,2161600,0
2008-04-25,22.74,22.84,22.3,22.66,1584100,0
2008-04-28,22.54,22.7,21.85,22.24,3560800,0
2008-04-29,22.24,22.38,22.01,22.2,3185600,0
2008-04-30,22.16,22.36,21.98,22.14,2714900,0
2008-05-01,22.15,23.0,22.14,22.84,2446300,0
2008-05-02,23.0,23.17,22.68,22.86,1880700,0
2008-05-05,22.86,23.12,22.71,22.9,2300600,0
2008-05-06,22.41,23.18,22.41,23.09,2429300,0
2008-05-07,23.02,23.5,23.02,23.03,2711700,0
2008-05-08,23.25,23.25,22.62,22.9,1745400,0
2008-05-09,22.62,22.88,22.51,22.68,1999700,0
2008-05-12,22.72,23.16,22.63,23.1,1970500,0
2008-05-13,23.51,24.0,23.4,23.89,4397100,0
2008-05-14,23.95,24.15,23.85,23.89,3069500,0
2008-05-15,23.86,24.36,23.78,24.25,3617800,0
2008-05-16,24.32,25.04,24.26,25.0,18916200,0
2008-05-19,24.89,25.17,24.22,24.42,7800300,0
2008-05-20,24.21,24.64,23.95,24.19,3616800,0
2008-05-21,24.33,24.38,23.7,23.72,4407500,0
2008-05-22,23.72,24.54,23.5,24.17,6373600,0
2008-05-23,25.39,25.98,24.96,25.1,10462600,0
2008-05-27,25.22,26.17,24.7,26.01,8673900,0
2008-05-28,25.86,26.07,25.59,25.98,4885800,0
2008-05-29,26.05,26.42,25.77,26.21,3912800,0
2008-05-30,26.31,26.68,26.08,26.54,4438600,0
2008-06-02,26.34,26.52,25.48,25.88,4922600,0
2008-06-03,26.0,26.12,25.34,25.52,4880500,0
2008-06-04,25.5,25.82,25.33,25.5,4926200,0
2008-06-05,25.46,25.63,25.32,25.59,3242500,0
2008-06-06,25.38,25.54,24.82,24.94,3768100,0
2008-06-09,25.19,25.2,24.6,24.93,3849500,0
2008-06-10,24.65,24.96,24.42,24.44,3580800,0
2008-06-11,24.42,24.52,23.73,23.74,4317500,0
2008-06-12,23.85,24.05,23.69,23.82,3949300,0
2008-06-13,24.05,24.12,23.84,24.12,4130100,0
2008-06-16,24.02,24.26,23.73,24.13,3950200,0
2008-06-17,24.09,24.15,23.72,23.93,3464700,0
2008-06-18,23.68,23.94,23.65,23.76,3504400,0
2008-06-19,23.64,24.39,23.46,24.38,5288400,0
2008-06-20,24.09,24.32,23.45,23.53,6134700,0
2008-06-23,23.54,24.06,23.45,23.91,5581900,0
2008-06-24,23.71,24.21,23.64,23.99,5141100,0
2008-06-25,24.09,24.48,23.75,24.16,4578200,0
2008-06-26,24.09,24.1,23.19,23.2,4395700,0
2008-06-27,23.27,23.71,22.95,23.28,6362400,0
2008-06-30,23.09,23.39,22.98,23.09,3652800,0
2008-07-01,22.4,23.1,22.38,23.08,4967100,0
2008-07-02,22.99,23.18,22.37,22.39,3936600,0
2008-07-03,22.65,22.73,22.17,22.28,2235200,0
2008-07-07,22.37,22.73,21.97,22.37,3805600,0
2008-07-08,22.31,22.67,21.88,22.31,5946700,0
2008-07-09,22.31,22.56,22.0,22.03,4500100,0
2008-07-10,21.94,22.68,21.92,22.41,3515400,0
2008-07-11,22.16,22.66,21.93,22.15,4128900,0
2008-07-14,22.55,22.55,22.0,22.15,3549400,0
2008-07-15,21.84,22.23,21.42,21.66,11990500,0
2008-07-16,21.65,22.42,21.64,22.4,7327300,0
2008-07-17,22.37,23.95,22.03,23.4,8174100,0
2008-07-18,23.5,23.85,23.19,23.73,6329300,0
2008-07-21,23.65,23.75,23.23,23.4,4099800,0
2008-07-22,23.68,23.71,23.3,23.65,4804600,0
2008-07-23,23.63,24.34,23.39,23.8,6551600,0
2008-07-24,23.5,23.54,22.79,22.79,6349800,0
2008-07-25,23.0,23.43,22.75,23.41,4687400,0
2008-07-28,23.25,23.56,22.8,22.83,3383900,0
2008-07-29,23.0,23.64,22.98,23.42,4080200,0
2008-07-30,23.29,23.92,23.16,23.9,4076300,0
2008-07-31,23.98,24.34,23.54,24.02,7917000,0
2008-08-01,24.0,24.1,21.92,22.29,9994800,0
2008-08-04,21.96,22.76,21.96,22.54,5125300,0
2008-08-05,22.95,22.95,22.49,22.9,5058100,0
2008-08-06,22.75,23.86,22.6,23.75,6606400,0
2008-08-07,23.55,23.93,23.25,23.8,5259800,0
2008-08-08,23.88,24.29,23.55,23.87,3967100,0
2008-08-11,23.48,24.45,23.31,24.35,3687300,0
2008-08-12,24.33,24.48,24.11,24.22,2773000,0
2008-08-13,24.02,24.59,23.69,24.33,5299300,0
2008-08-14,24.02,24.67,24.02,24.42,2703400,0
2008-08-15,24.54,24.66,24.08,24.63,2723200,0
2008-08-18,24.56,24.66,23.4,23.71,6095700,0
2008-08-19,24.0,24.13,23.52,23.72,3141200,0
2008-08-20,24.11,24.44,23.73,23.99,4351200,0
