Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,25.09,25.15,22.96,23.1,2958700,0
2008-01-03,23.1,23.54,22.85,22.96,1861600,0
2008-01-04,22.65,22.91,22.02,22.17,1623500,0
2008-01-07,22.23,22.77,22.21,22.57,1518200,0
2008-01-08,22.6,23.15,21.99,22.06,1782100,0
2008-01-09,22.48,23.21,21.95,22.52,2297700,0
2008-01-10,22.36,22.63,22.04,22.38,1256500,0
2008-01-11,22.15,22.15,18.99,20.08,5555900,0
2008-01-14,20.15,20.96,20.15,20.92,2208200,0
2008-01-15,20.67,20.67,19.96,20.0,1494100,0
2008-01-16,19.88,20.91,19.77,20.67,1649800,0
2008-01-17,20.8,20.95,19.9,19.95,1351600,0
2008-01-18,19.98,20.48,19.76,19.94,1583600,0
2008-01-22,18.2,18.2,15.53,16.89,10690100,0
2008-01-23,16.65,18.3,16.16,17.43,4457000,0
2008-01-24,17.43,19.19,17.1,19.16,3486900,0
2008-01-25,19.24,19.4,18.75,19.0,2199700,0
2008-01-28,18.97,20.97,18.69,20.97,2790700,0
2008-01-29,21.0,21.75,19.99,21.69,2616800,0
2008-01-30,21.61,21.83,21.08,21.27,1375500,0
2008-01-31,20.97,21.98,20.9,21.74,1664000,0
2008-02-01,21.73,22.23,21.26,22.1,1459900,0
2008-02-04,22.1,22.54,21.89,22.23,1278300,0
2008-02-05,21.85,22.65,21.75,22.11,1193500,0
2008-02-06,22.18,22.3,20.42,20.52,1301900,0
2008-02-07,20.36,20.85,19.64,19.68,2766500,0
2008-02-08,19.63,20.01,18.65,19.09,4131200,0
2008-02-11,19.13,19.15,18.6,18.64,1831100,0
2008-02-12,18.87,19.01,17.96,18.16,2251400,0
2008-02-13,18.31,18.48,17.55,18.31,3054100,0
2008-02-14,18.14,18.45,16.74,16.79,3290200,0
2008-02-15,16.71,17.51,16.71,17.33,1834700,0
2008-02-19,17.44,17.61,16.76,17.21,3162700,0
2008-02-20,16.95,17.77,16.92,17.5,2685000,0
2008-02-21,15.1,16.41,14.65,15.71,11195900,0
2008-02-22,15.53,15.82,14.55,15.02,6496600,0
2008-02-25,14.78,15.37,14.73,15.32,2919300,0
2008-02-26,15.16,16.01,15.16,16.0,1652200,0
2008-02-27,15.84,16.44,15.84,16.26,1927600,0
2008-02-28,16.14,16.2,15.03,15.28,1999800,0
2008-02-29,15.15,15.35,14.77,14.85,2358200,0
2008-03-03,14.82,14.97,14.3,14.39,2957500,0
2008-03-04,14.28,14.5,14.01,14.24,2070400,0
2008-03-05,14.26,14.55,14.0,14.02,1743900,0
2008-03-06,14.02,14.29,13.64,13.64,2005900,0
2008-03-07,13.64,14.31,13.64,13.97,2876200,0
2008-03-10,13.98,14.18,13.52,13.53,1799600,0
2008-03-11,13.87,14.07,13.59,13.87,2437500,0
2008-03-12,13.85,14.0,13.5,13.6,3284200,0
2008-03-13,13.5,13.61,12.63,13.32,2645600,0
2008-03-14,13.4,13.41,12.49,12.89,2445600,0
2008-03-17,12.49,12.5,11.57,11.74,2551200,0
2008-03-18,11.87,13.56,11.76,13.11,3901200,0
2008-03-19,13.15,13.15,12.51,12.63,1974700,0
2008-03-20,12.71,13.78,12.55,13.67,2143300,0
2008-03-24,13.67,14.09,13.23,13.95,1576000,0
2008-03-25,13.91,13.99,13.6,13.88,1032700,0
2008-03-26,13.79,13.97,13.51,13.77,1683200,0
2008-03-27,13.77,13.93,13.14,13.27,1466900,0
2008-03-28,12.75,12.75,11.9,12.05,4395400,0
2008-03-31,12.19,12.87,11.96,12.72,1798900,0
2008-04-01,12.87,13.63,12.69,13.57,1530300,0
2008-04-02,13.71,14.15,13.65,14.01,1503000,0
2008-04-03,13.92,15.37,13.59,15.37,2715500,0
2008-04-04,15.41,18.1,15.41,15.91,4849800,0
2008-04-07,16.03,16.63,15.77,16.32,2271900,0
2008-04-08,15.86,16.5,15.43,16.39,2395100,0
2008-04-09,16.44,16.59,15.87,16.05,4591600,0
2008-04-10,16.17,17.26,16.15,16.65,2009600,0
2008-04-11,16.39,16.41,15.89,16.08,1470800,0
2008-04-14,16.11,16.26,15.82,15.96,1218900,0
2008-04-15,16.1,16.51,15.67,15.77,1566200,0
2008-04-16,16.11,16.43,15.64,16.21,1708700,0
2008-04-17,16.12,17.32,15.93,17.08,2057900,0
2008-04-18,17.28,17.75,16.44,16.47,1766800,0
2008-04-21,16.43,16.73,16.12,16.22,1348200,0
2008-04-22,16.24,16.66,16.0,16.64,1163500,0
2008-04-23,16.79,17.01,16.39,16.8,1717900,0
2008-04-24,16.85,18.5,16.8,18.2,2133300,0
2008-04-25,18.17,19.09,18.17,19.03,2539300,0
2008-04-28,19.0,19.74,18.85,19.52,1566700,0
2008-04-29,19.69,19.98,19.31,19.72,1422000,0
2008-04-30,19.8,20.27,19.21,20.15,3202300,0
2008-05-01,20.09,20.4,19.57,20.39,2361600,0
2008-05-02,20.34,20.72,19.94,20.26,1911100,0
2008-05-05,20.28,20.28,19.31,19.52,1569000,0
2008-05-06,19.28,20.42,18.95,20.01,1904000,0
2008-05-07,20.0,20.03,18.53,18.68,2161000,0
2008-05-08,18.7,19.13,18.5,18.86,1565500,0
2008-05-09,18.67,19.02,18.67,18.88,1006400,0
2008-05-12,18.94,19.17,18.74,19.06,877300,0
2008-05-13,19.1,19.25,18.46,18.64,1385100,0
2008-05-14,18.72,19.53,18.65,19.14,908000,0
2008-05-15,19.12,19.12,18.46,18.85,955000,0
2008-05-16,18.96,19.28,18.62,19.25,1028800,0
2008-05-19,19.3,19.38,18.48,18.76,1014500,0
2008-05-20,17.22,18.1,16.81,17.75,3512300,0
2008-05-21,17.75,17.78,16.99,17.38,2225800,0
2008-05-22,17.42,17.78,17.19,17.76,1250900,0
2008-05-23,17.68,17.79,17.15,17.46,896500,0
2008-05-27,17.53,17.98,17.4,17.67,924200,0
2008-05-28,17.76,18.0,17.52,17.78,897300,0
2008-05-29,17.71,18.87,17.69,18.49,859900,0
2008-05-30,18.6,18.7,17.75,18.29,2954900,0
2008-06-02,18.23,18.38,17.37,17.75,2033800,0
2008-06-03,17.79,18.11,17.28,17.48,3381900,0
2008-06-04,17.34,18.63,17.22,18.18,1504600,0
2008-06-05,18.3,18.64,18.06,18.64,1449100,0
2008-06-06,18.46,18.46,17.74,17.82,1883700,0
2008-06-09,17.96,17.96,17.23,17.46,1673900,0
2008-06-10,17.28,18.04,17.03,17.72,1971000,0
2008-06-11,17.71,17.77,16.86,16.9,1724500,0
2008-06-12,16.9,17.45,16.86,16.92,1607400,0
2008-06-13,16.97,17.19,16.76,17.14,1532200,0
2008-06-16,16.96,17.17,16.69,17.08,1652600,0
2008-06-17,17.19,17.22,16.83,17.06,801900,0
