Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,53.67,54.76,52.33,52.77,30400,0
2008-01-03,52.98,53.34,51.42,51.42,34300,0
2008-01-04,50.84,51.83,49.6,49.64,37600,0
2008-01-07,50.07,53.62,49.61,53.51,45600,0
2008-01-08,53.66,54.31,49.86,51.0,44100,0
2008-01-09,50.78,53.17,50.05,52.89,32400,0
2008-01-10,52.18,55.21,51.58,54.52,36700,0
2008-01-11,54.58,54.63,51.55,51.6,25200,0
2008-01-14,52.57,52.58,51.45,52.17,33700,0
2008-01-15,51.34,52.53,50.14,50.3,29400,0
2008-01-16,50.08,51.13,50.08,50.48,48300,0
2008-01-17,50.76,51.09,49.05,49.12,31500,0
2008-01-18,49.03,50.02,48.08,48.38,74600,0
2008-01-22,46.69,49.0,44.69,48.76,55900,0
2008-01-23,47.53,50.12,47.53,50.12,45300,0
2008-01-24,49.84,49.84,48.16,48.77,39400,0
2008-01-25,49.57,49.99,47.64,47.95,34800,0
2008-01-28,48.74,48.74,46.6,47.5,68800,0
2008-01-29,47.66,47.66,45.31,45.97,82100,0
2008-01-30,49.74,50.54,48.58,49.49,101900,0
2008-01-31,48.59,51.02,47.47,50.97,104200,0
2008-02-01,51.17,51.59,49.11,49.83,36500,0
2008-02-04,49.59,50.59,49.46,49.47,40600,0
2008-02-05,48.7,49.58,47.51,47.51,52500,0
2008-02-06,47.8,49.0,47.28,47.36,23200,0
2008-02-07,47.1,50.71,47.1,49.21,33100,0
2008-02-08,49.25,49.81,47.1,47.39,37600,0
2008-02-11,47.31,47.9,47.1,47.36,13900,0
2008-02-12,47.43,48.71,47.33,48.47,28600,0
2008-02-13,48.8,49.48,48.08,49.43,33500,0
2008-02-14,49.44,49.44,46.98,47.94,37000,0
2008-02-15,47.58,48.42,46.55,46.87,38800,0
2008-02-19,47.59,47.91,46.12,46.26,46900,0
2008-02-20,46.0,47.9,46.0,47.65,34600,0
2008-02-21,47.9,48.39,46.32,46.42,37200,0
2008-02-22,46.92,47.13,45.55,46.81,39000,0
2008-02-25,46.92,48.14,46.37,48.13,46400,0
2008-02-26,47.71,48.5,46.73,47.46,72700,0
2008-02-27,46.9,48.24,46.9,47.69,37400,0
2008-02-28,47.4,47.69,45.8,46.24,73000,0
2008-02-29,45.65,46.37,45.49,45.53,37600,0
2008-03-03,46.03,46.03,43.5,44.29,66000,0
2008-03-04,43.52,44.74,43.48,43.63,132900,0
2008-03-05,43.93,44.1,43.0,43.75,153900,0
2008-03-06,43.75,43.75,43.33,43.5,129400,0
2008-03-07,43.01,44.12,43.0,43.6,31400,0
2008-03-10,43.84,44.0,41.42,41.51,76800,0
2008-03-11,41.47,45.29,41.08,45.29,77800,0
2008-03-12,45.3,46.83,44.41,45.3,59500,0
2008-03-13,44.48,48.03,44.19,47.43,66000,0
2008-03-14,45.66,46.38,41.41,42.64,113000,0
2008-03-17,41.1,45.35,40.22,40.91,128200,0
2008-03-18,42.53,42.81,40.6,42.45,109100,0
2008-03-19,42.85,43.05,40.68,40.71,66500,0
2008-03-20,41.69,44.51,40.86,44.5,154800,0
2008-03-24,44.88,46.34,43.47,45.7,84000,0
2008-03-25,45.8,46.18,45.05,45.23,57900,0
2008-03-26,45.05,45.7,43.77,43.97,125300,0
2008-03-27,44.21,46.66,43.43,44.94,88400,0
2008-03-28,44.99,46.13,43.9,44.08,151400,0
