Date,Open,High,Low,Close,Volume,Dividend
2013-11-13,11.0,11.25,9.5,9.68,17261600,0
2013-11-14,9.8,9.93,8.56,8.88,3125200,0
2013-11-15,9.0,9.6,8.82,9.13,1987500,0
2013-11-18,9.25,9.5,8.89,9.0,724600,0
2013-11-19,9.0,9.1,8.68,8.72,671800,0
2013-11-20,8.69,8.91,7.93,7.97,777400,0
2013-11-21,8.29,8.29,7.81,7.86,738900,0
2013-11-22,7.96,7.98,7.45,7.49,1239100,0
2013-11-25,7.37,7.89,7.31,7.72,894200,0
2013-11-26,7.76,8.47,7.73,8.15,1395400,0
2013-11-27,8.1,8.6,8.1,8.39,677900,0
2013-11-29,8.45,8.53,8.21,8.21,258800,0
2013-12-02,8.29,8.89,8.2,8.83,833600,0
2013-12-03,8.85,9.25,8.62,9.2,1089400,0
2013-12-04,9.08,9.51,8.85,9.44,842600,0
2013-12-05,9.28,9.66,9.28,9.49,615200,0
2013-12-06,9.7,9.8,9.23,9.57,455400,0
2013-12-09,9.66,9.68,8.84,8.89,1050900,0
2013-12-10,9.01,9.19,8.95,9.0,622000,0
2013-12-11,8.99,9.16,8.51,8.58,593000,0
2013-12-12,8.51,8.68,8.0,8.2,840400,0
2013-12-13,8.2,8.34,7.96,8.01,812700,0
2013-12-16,8.02,8.5,8.02,8.28,530200,0
2013-12-17,8.33,8.4,8.09,8.29,402000,0
2013-12-18,8.35,8.37,8.15,8.28,342300,0
2013-12-19,8.24,8.64,8.23,8.59,513100,0
2013-12-20,8.61,8.7,8.25,8.41,2072900,0
2013-12-23,8.42,8.58,8.25,8.36,536800,0
2013-12-24,8.39,8.5,8.25,8.31,417900,0
2013-12-26,8.4,8.48,8.22,8.33,239900,0
2013-12-27,8.32,8.4,8.3,8.35,121600,0
2013-12-30,8.4,8.75,8.34,8.64,403200,0
2013-12-31,8.69,8.9,8.45,8.51,643700,0
2014-01-02,8.52,8.64,8.21,8.31,549700,0
2014-01-03,8.32,8.5,8.13,8.21,419000,0
2014-01-06,8.24,8.5,8.18,8.26,671300,0
2014-01-07,8.27,8.49,8.18,8.22,872000,0
2014-01-08,8.29,8.29,7.75,7.78,1296300,0
2014-01-09,7.9,8.0,7.63,7.8,467800,0
2014-01-10,7.86,7.88,7.57,7.61,481800,0
2014-01-13,7.61,7.65,7.1,7.18,1164400,0
2014-01-14,7.25,7.29,7.16,7.21,513400,0
2014-01-15,7.25,7.3,7.1,7.18,747500,0
2014-01-16,7.15,7.27,7.05,7.23,738900,0
2014-01-17,7.23,7.35,7.15,7.25,580200,0
2014-01-21,7.34,7.39,7.21,7.25,571300,0
2014-01-22,7.28,7.29,7.11,7.25,446000,0
2014-01-23,7.25,7.29,7.16,7.23,352400,0
2014-01-24,7.19,7.25,7.11,7.21,331100,0
2014-01-27,7.2,7.29,6.86,6.9,688000,0
2014-01-28,6.9,7.0,6.77,6.98,702400,0
2014-01-29,7.0,7.01,6.64,6.74,707900,0
2014-01-30,6.8,6.95,6.71,6.75,345300,0
2014-01-31,6.71,6.78,6.65,6.67,458500,0
2014-02-03,6.64,6.91,6.32,6.9,1222100,0
2014-02-04,6.97,7.13,6.84,6.87,722000,0
2014-02-05,6.88,7.05,6.68,6.86,470500,0
2014-02-06,6.92,6.92,6.76,6.92,297500,0
2014-02-07,6.97,7.15,6.92,7.12,583000,0
2014-02-10,7.17,7.25,7.02,7.22,481500,0
2014-02-11,7.22,7.43,7.14,7.38,518000,0
2014-02-12,7.45,7.5,7.15,7.47,641900,0
2014-02-13,7.65,7.99,7.46,7.94,1935100,0
2014-02-14,6.97,7.0,6.08,6.17,4283400,0
2014-02-18,6.23,6.54,6.09,6.45,2116500,0
2014-02-19,6.5,6.71,6.38,6.47,658100,0
2014-02-20,6.51,6.64,6.4,6.56,363400,0
2014-02-21,6.64,6.64,6.34,6.4,343000,0
2014-02-24,6.65,6.65,6.45,6.56,474300,0
2014-02-25,6.58,6.58,6.39,6.43,330600,0
2014-02-26,6.47,6.57,6.35,6.36,650200,0
2014-02-27,6.37,6.46,6.35,6.37,435300,0
2014-02-28,6.42,6.54,6.28,6.3,918800,0
2014-03-03,6.27,6.45,6.25,6.35,256200,0
2014-03-04,6.4,6.45,6.31,6.39,259700,0
2014-03-05,6.37,6.41,6.32,6.35,208400,0
2014-03-06,6.33,6.4,6.23,6.29,331500,0
2014-03-07,6.3,6.39,6.23,6.38,493100,0
2014-03-10,6.39,6.43,6.26,6.37,216100,0
2014-03-11,6.4,6.48,6.3,6.37,248600,0
2014-03-12,6.4,6.46,6.25,6.42,275900,0
2014-03-13,6.57,6.78,6.52,6.56,720100,0
2014-03-14,6.51,6.64,6.48,6.53,173000,0
2014-03-17,6.53,6.88,6.53,6.88,388200,0
2014-03-18,6.85,6.97,6.75,6.92,450000,0
2014-03-19,6.93,7.19,6.9,7.04,563800,0
2014-03-20,7.0,7.08,6.9,7.08,293200,0
2014-03-21,7.09,7.19,6.96,7.19,627700,0
2014-03-24,7.15,7.25,6.86,7.16,1010400,0
2014-03-25,7.23,7.44,7.07,7.24,679600,0
2014-03-26,7.25,7.34,7.09,7.11,209300,0
2014-03-27,7.08,7.21,6.83,6.94,313500,0
2014-03-28,6.92,7.11,6.8,6.93,222700,0
2014-03-31,6.95,7.12,6.91,7.0,280300,0
2014-04-01,6.98,7.27,6.98,7.27,260200,0
2014-04-02,7.31,7.34,7.19,7.25,255100,0
2014-04-03,7.2,7.23,7.05,7.09,311900,0
2014-04-04,7.12,7.12,6.63,6.81,711200,0
2014-04-07,6.8,6.8,6.4,6.52,329700,0
2014-04-08,6.49,6.77,6.48,6.54,311800,0
2014-04-09,6.6,6.72,6.47,6.54,320900,0
2014-04-10,6.55,6.55,6.02,6.15,588500,0
2014-04-11,6.07,6.1,5.49,5.72,765100,0
2014-04-14,5.73,5.87,5.62,5.63,259000,0
2014-04-15,5.68,5.69,4.98,5.22,858900,0
2014-04-16,5.29,5.44,5.24,5.36,173300,0
2014-04-17,5.38,5.62,5.26,5.5,324500,0
2014-04-21,5.5,5.54,5.23,5.25,361500,0
2014-04-22,5.24,5.38,5.24,5.27,340800,0
2014-04-23,5.27,5.31,5.16,5.23,416200,0
2014-04-24,5.32,5.33,5.21,5.24,204200,0
2014-04-25,5.21,5.35,5.21,5.31,233000,0
2014-04-28,5.35,5.39,5.17,5.25,240000,0
2014-04-29,5.5,5.65,5.32,5.4,750700,0
2014-04-30,5.39,5.41,5.23,5.27,374300,0
2014-05-01,5.31,5.57,5.28,5.47,842800,0
2014-05-02,5.6,6.14,5.55,5.82,1128500,0
2014-05-05,5.77,5.98,5.55,5.86,326400,0
2014-05-06,5.85,6.0,5.81,5.9,436400,0
2014-05-07,5.88,5.88,5.45,5.47,662100,0
2014-05-08,5.41,5.64,5.37,5.4,400000,0
2014-05-09,5.37,5.47,5.16,5.21,584800,0
2014-05-12,5.0,5.35,4.82,5.31,1739800,0
2014-05-13,5.3,5.45,5.23,5.44,518500,0
2014-05-14,5.45,5.49,5.3,5.34,356500,0
2014-05-15,5.32,5.38,5.17,5.24,184700,0
2014-05-16,5.03,5.3,5.0,5.27,444700,0
2014-05-19,5.18,5.31,5.18,5.27,390400,0
2014-05-20,5.29,5.35,5.17,5.34,675800,0
2014-05-21,5.34,5.58,5.32,5.48,665300,0
2014-05-22,5.31,5.56,5.31,5.49,455000,0
2014-05-23,5.53,5.6,5.5,5.51,400900,0
2014-05-27,5.55,5.75,5.54,5.68,364400,0
2014-05-28,5.67,5.67,5.52,5.58,183000,0
2014-05-29,5.57,5.65,5.45,5.61,365700,0
2014-05-30,5.61,5.65,5.51,5.57,454000,0
2014-06-02,5.6,5.6,5.4,5.41,297000,0
2014-06-03,5.5,5.82,5.46,5.81,1104200,0
2014-06-04,5.82,5.98,5.63,5.89,509900,0
2014-06-05,5.89,6.0,5.82,6.0,447600,0
2014-06-06,6.0,6.3,5.95,6.28,675000,0
2014-06-09,6.3,6.8,6.26,6.77,894000,0
2014-06-10,6.77,7.0,6.59,6.63,1276600,0
2014-06-11,6.55,6.94,6.34,6.85,436200,0
2014-06-12,6.74,6.8,6.29,6.38,1050100,0
2014-06-13,6.41,6.48,6.15,6.37,486700,0
2014-06-16,6.4,7.32,6.4,7.3,1564900,0
2014-06-17,7.31,7.4,6.99,7.38,807300,0
