Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,32.93,32.99,31.79,32.47,67100,0
2008-01-03,33.01,33.01,31.27,31.44,61200,0
2008-01-04,31.14,32.03,30.19,30.56,168200,0
2008-01-07,30.6,31.77,30.06,31.72,156400,0
2008-01-08,31.74,32.64,31.13,31.32,97700,0
2008-01-09,31.69,32.0,30.97,31.81,84600,0
2008-01-10,31.38,33.71,31.38,33.46,93700,0
2008-01-11,33.26,33.75,31.81,31.85,99300,0
2008-01-14,32.05,32.36,30.99,31.33,95600,0
2008-01-15,31.33,32.19,30.85,31.81,74100,0
2008-01-16,31.79,33.96,31.69,32.94,77700,0
2008-01-17,32.99,33.12,31.3,31.31,56600,0
2008-01-18,31.32,32.08,29.89,30.32,138100,0
2008-01-22,29.5,30.3,27.89,29.95,124200,0
2008-01-23,29.83,33.65,29.5,32.44,122400,0
2008-01-24,32.72,33.55,32.51,33.1,109500,0
2008-01-25,33.27,33.49,32.47,32.52,42200,0
2008-01-28,32.54,34.2,32.24,33.44,63500,0
2008-01-29,33.58,33.68,32.5,32.95,59100,0
2008-01-30,32.81,33.63,32.57,32.68,41800,0
2008-01-31,32.28,34.12,32.17,33.79,52700,0
2008-02-01,33.86,33.86,32.5,33.29,79500,0
2008-02-04,33.33,33.49,32.65,32.71,53800,0
2008-02-05,33.12,33.38,32.75,32.81,78800,0
2008-02-06,33.3,33.43,32.75,32.87,54100,0
2008-02-07,32.9,34.33,32.9,33.85,70000,0
2008-02-08,33.86,34.56,33.56,34.29,42000,0
2008-02-11,34.23,34.27,33.0,33.35,48700,0
2008-02-12,33.59,34.5,33.59,34.41,43400,0
2008-02-13,34.7,35.15,34.1,34.91,50400,0
2008-02-14,35.13,35.33,33.38,33.38,51200,0
2008-02-15,33.25,33.75,32.76,33.24,49700,0
2008-02-19,33.73,33.85,32.98,33.2,69800,0
2008-02-20,33.03,33.75,32.96,33.48,46200,0
2008-02-21,33.65,33.77,33.25,33.32,63100,0
2008-02-22,33.26,33.78,33.15,33.77,148900,0
2008-02-25,33.85,34.0,33.5,33.99,50600,0
2008-02-26,33.83,34.99,33.53,34.16,107900,0
2008-02-27,33.58,34.59,33.21,34.46,69800,0
2008-02-28,34.25,34.43,33.56,34.11,178700,0
2008-02-29,33.95,34.35,33.51,33.85,372900,0
2008-03-03,33.72,34.5,33.53,34.5,197700,0
2008-03-04,34.21,34.36,33.82,34.05,125800,0
2008-03-05,34.15,34.27,33.85,34.08,198800,0
2008-03-06,33.76,34.16,33.35,33.66,220100,0
2008-03-07,33.28,33.74,32.86,33.53,118800,0
2008-03-10,33.55,34.15,33.13,33.8,167700,0
2008-03-11,34.72,35.2,33.76,35.1,89600,0
2008-03-12,34.96,35.87,34.66,35.0,150100,0
2008-03-13,34.67,36.96,34.5,36.84,83300,0
2008-03-14,36.97,36.97,34.35,34.79,83100,0
2008-03-17,34.16,35.6,33.54,33.54,137300,0
2008-03-18,34.41,35.1,33.65,34.54,92400,0
2008-03-19,34.59,35.59,33.54,34.69,64200,0
2008-03-20,35.71,36.24,35.14,36.03,174000,0
2008-03-24,36.35,36.35,35.5,35.66,64700,0
2008-03-25,35.72,36.67,35.25,36.54,74600,0
2008-03-26,36.29,36.29,35.49,35.64,34100,0
2008-03-27,35.75,36.14,35.56,35.59,65600,0
2008-03-28,35.71,35.71,34.5,34.53,25700,0
2008-03-31,35.0,35.07,33.5,33.67,81300,0
2008-04-01,34.29,35.0,33.88,34.32,48900,0
2008-04-02,34.24,34.32,33.82,33.98,49400,0
2008-04-03,33.8,34.21,33.14,33.3,53200,0
2008-04-04,33.4,34.25,33.0,33.24,58200,0
2008-04-07,33.54,34.23,32.65,32.72,70500,0
2008-04-08,32.52,33.6,32.5,32.95,55600,0
2008-04-09,33.85,33.85,32.36,32.43,40700,0
2008-04-10,32.64,32.89,32.15,32.26,39500,0
2008-04-11,32.18,32.98,30.71,30.76,77200,0
2008-04-14,30.7,31.28,30.33,30.68,106300,0
2008-04-15,30.52,31.57,30.3,30.63,54000,0
2008-04-16,30.33,30.74,28.89,30.13,241300,0
2008-04-17,29.81,30.0,28.81,28.85,121100,0
2008-04-18,29.33,29.92,28.55,28.95,127500,0
2008-04-21,28.79,28.88,28.1,28.26,91300,0
2008-04-22,28.07,28.3,27.26,27.63,119600,0
2008-04-23,27.77,27.77,26.94,27.13,67500,0
2008-04-24,27.22,28.68,27.13,28.55,71300,0
2008-04-25,28.61,29.34,28.41,28.75,134700,0
2008-04-28,28.75,29.04,28.31,28.57,85000,0
2008-04-29,28.49,29.5,28.49,28.97,67800,0
2008-04-30,29.25,29.7,28.64,29.0,115000,0
2008-05-01,29.08,29.45,28.93,29.1,84600,0
2008-05-02,29.54,29.64,28.9,29.0,98200,0
2008-05-05,29.01,29.25,28.75,28.86,62600,0
2008-05-06,28.8,29.19,28.5,29.0,75900,0
2008-05-07,29.0,29.45,28.32,28.67,73200,0
2008-05-08,28.72,28.95,28.28,28.54,44800,0
2008-05-09,28.42,28.77,28.35,28.6,37500,0
2008-05-12,28.68,29.0,28.5,28.97,35200,0
2008-05-13,28.97,29.44,28.8,29.18,40200,0
2008-05-14,29.3,29.77,29.03,29.05,21900,0
2008-05-15,29.11,29.87,29.11,29.54,36700,0
2008-05-16,29.86,29.86,29.23,29.42,55600,0
2008-05-19,29.35,29.84,29.35,29.51,51000,0
2008-05-20,29.45,29.88,29.17,29.61,92700,0
2008-05-21,29.77,29.98,28.76,28.84,145400,0
2008-05-22,28.98,29.25,28.63,28.75,52100,0
2008-05-23,28.71,28.75,28.25,28.36,55400,0
2008-05-27,28.44,28.76,28.4,28.76,105100,0
2008-05-28,28.58,28.71,27.93,28.47,79700,0
2008-05-29,28.48,29.18,28.36,28.98,60600,0
2008-05-30,28.96,28.96,27.19,27.23,79500,0
2008-06-02,27.25,27.49,26.25,26.61,79200,0
2008-06-03,26.39,26.53,25.36,26.14,123200,0
2008-06-04,26.0,27.5,25.5,25.74,83800,0
2008-06-05,25.61,26.35,25.53,26.35,77400,0
2008-06-06,26.16,26.16,25.72,26.01,101900,0
2008-06-09,25.9,26.0,25.7,25.91,141500,0
2008-06-10,25.73,25.95,25.7,25.95,86000,0
2008-06-11,25.9,25.9,24.26,24.95,172400,0
2008-06-12,25.26,26.1,25.26,25.61,127000,0
2008-06-13,25.72,26.05,25.43,25.66,82200,0
2008-06-16,25.61,25.62,25.0,25.25,49600,0
2008-06-17,25.16,25.43,24.95,24.97,111700,0
2008-06-18,24.96,25.15,24.94,24.95,124800,0
2008-06-19,24.95,25.33,24.82,25.13,84200,0
2008-06-20,25.01,25.01,23.93,24.2,89100,0
2008-06-23,24.24,24.33,23.66,23.67,43500,0
2008-06-24,23.55,24.41,23.5,23.55,44700,0
2008-06-25,23.71,24.1,23.59,23.9,69400,0
2008-06-26,23.69,23.84,23.14,23.17,51100,0
2008-06-27,23.05,23.1,22.0,22.06,313000,0
2008-06-30,21.94,22.24,20.13,20.15,160600,0
2008-07-01,20.2,21.6,20.2,21.48,119700,0
2008-07-02,21.37,21.37,20.5,20.64,61800,0
2008-07-03,20.66,20.94,20.22,20.81,26300,0
2008-07-07,20.86,20.94,20.0,20.46,92400,0
2008-07-08,20.45,21.88,20.44,21.85,69300,0
2008-07-09,21.81,21.81,20.38,20.38,43100,0
2008-07-10,20.39,21.66,20.2,20.53,56000,0
2008-07-11,20.28,21.63,20.13,20.88,45500,0
2008-07-14,21.01,21.15,20.43,20.51,55000,0
2008-07-15,20.22,20.61,19.73,19.75,87000,0
2008-07-16,19.87,21.68,19.69,21.62,57400,0
2008-07-17,21.67,21.95,21.31,21.95,38600,0
2008-07-18,21.93,21.97,21.13,21.23,44600,0
2008-07-21,21.27,21.96,21.08,21.16,27500,0
2008-07-22,21.0,22.25,21.0,22.21,91000,0
2008-07-23,22.15,22.5,21.88,22.33,56000,0
2008-07-24,22.48,22.87,21.98,22.08,40500,0
2008-07-25,22.25,23.24,22.25,22.96,47000,0
2008-07-28,22.94,22.94,21.0,21.06,45100,0
2008-07-29,21.49,22.57,21.49,22.33,45000,0
2008-07-30,20.43,21.43,20.08,21.36,131400,0
2008-07-31,20.8,21.47,20.77,20.81,68800,0
2008-08-01,20.91,22.22,20.77,22.14,48500,0
2008-08-04,22.17,22.17,20.84,20.95,59400,0
2008-08-05,21.21,21.57,20.85,20.95,108700,0
2008-08-06,20.84,22.07,20.51,21.02,37500,0
2008-08-07,20.69,21.9,20.69,20.83,39600,0
2008-08-08,20.76,21.51,20.7,21.38,43100,0
2008-08-11,21.46,23.48,21.05,23.46,139300,0
2008-08-12,23.42,23.49,22.36,22.51,44900,0
2008-08-13,22.49,23.15,22.14,22.83,39100,0
2008-08-14,23.44,23.44,22.73,23.02,26300,0
2008-08-15,23.33,23.99,22.96,23.6,44600,0
2008-08-18,23.51,23.96,23.25,23.49,31600,0
2008-08-19,23.25,23.53,22.82,23.11,42800,0
2008-08-20,23.18,23.54,22.58,22.79,21800,0
2008-08-21,22.61,22.95,22.47,22.7,19900,0
2008-08-22,22.89,23.73,22.46,22.88,22400,0
2008-08-25,22.81,22.81,22.01,22.03,44500,0
2008-08-26,22.17,22.94,22.1,22.3,27300,0
2008-08-27,22.44,23.41,22.28,22.82,42900,0
2008-08-28,22.44,22.88,21.9,22.48,39000,0
2008-08-29,22.39,23.29,21.9,22.03,37000,0
2008-09-02,22.64,23.6,22.5,22.99,46600,0
2008-09-03,22.42,23.09,22.01,23.05,42300,0
2008-09-04,22.25,22.25,21.37,21.88,100000,0
2008-09-05,21.67,23.47,21.5,22.72,43800,0
2008-09-08,22.76,23.36,21.61,23.35,38000,0
2008-09-09,23.41,23.47,22.52,22.98,61800,0
2008-09-10,23.27,23.28,22.52,22.72,41600,0
2008-09-11,19.44,23.37,19.44,23.04,52600,0
2008-09-12,22.82,23.45,22.16,23.45,30000,0
2008-09-15,22.43,24.8,22.43,23.48,78100,0
2008-09-16,22.89,24.6,22.89,24.59,67000,0
2008-09-17,23.98,24.88,23.83,24.61,125100,0
2008-09-18,24.44,25.3,24.04,25.17,138000,0
