Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,19.36,19.55,19.01,19.09,1610200,0
2008-01-03,19.11,19.18,18.09,18.16,2263700,0
2008-01-04,17.95,18.09,17.39,17.49,1784900,0
2008-01-07,17.69,17.73,16.92,17.04,2690300,0
2008-01-08,17.13,17.25,16.17,16.36,3010800,0
2008-01-09,16.33,16.64,15.97,16.04,3757500,0
2008-01-10,16.0,16.68,15.87,16.38,3364300,0
2008-01-11,16.22,16.85,16.11,16.7,3684100,0
2008-01-14,16.79,16.93,16.43,16.76,1836700,0
2008-01-15,18.1,18.33,17.28,17.95,9222400,0
2008-01-16,17.91,18.77,17.91,18.54,5253600,0
2008-01-17,18.27,19.04,18.04,18.47,7343300,0
2008-01-18,18.59,18.95,18.22,18.68,5888000,0
2008-01-22,17.9,19.96,17.9,19.41,5564000,0
2008-01-23,18.84,21.12,18.83,20.81,8297700,0
2008-01-24,21.0,21.63,20.46,21.37,4984400,0
2008-01-25,21.48,21.64,20.19,20.27,2330800,0
2008-01-28,20.13,22.76,20.07,22.7,4812400,0
2008-01-29,22.79,23.37,22.41,22.89,5713000,0
2008-01-30,22.71,23.29,22.33,22.37,6032000,0
2008-01-31,21.75,25.25,21.73,24.88,7264300,0
2008-02-01,24.95,24.95,22.9,24.02,4548000,0
2008-02-04,23.89,23.96,23.38,23.56,2675900,0
2008-02-05,23.35,24.06,23.24,23.5,3018500,0
2008-02-06,23.53,23.84,23.29,23.44,2721300,0
2008-02-07,23.34,23.84,23.2,23.6,2436100,0
2008-02-08,23.41,23.84,23.21,23.64,1705000,0
2008-02-11,23.64,23.83,23.05,23.52,2002600,0
2008-02-12,23.5,23.52,22.21,22.53,3009600,0
2008-02-13,22.67,22.88,21.59,21.8,4068100,0
2008-02-14,21.87,21.87,21.24,21.25,2332900,0
2008-02-15,21.13,21.27,20.85,21.15,2000700,0
2008-02-19,21.12,21.12,20.42,20.76,5990500,0
2008-02-20,20.7,20.84,19.9,20.72,4297900,0
2008-02-21,20.8,20.95,20.34,20.45,2703100,0
2008-02-22,20.47,20.6,19.79,20.56,1581300,0
2008-02-25,20.55,21.37,20.38,21.29,2151300,0
2008-02-26,21.18,21.52,20.63,21.14,1808100,0
2008-02-27,20.92,20.93,19.99,20.11,4413900,0
2008-02-28,19.78,20.15,19.34,19.58,3542400,0
2008-02-29,19.41,20.33,19.3,19.88,3149400,0
2008-03-03,19.79,19.83,18.79,19.13,2679900,0
2008-03-04,19.02,19.14,18.19,18.84,3754200,0
2008-03-05,18.95,19.25,18.59,18.63,2967900,0
2008-03-06,18.46,18.46,17.89,18.01,2952800,0
2008-03-07,17.87,18.18,17.62,17.93,2136900,0
2008-03-10,17.99,18.14,17.47,17.64,1615800,0
2008-03-11,17.84,18.3,17.5,18.22,4299700,0
2008-03-12,18.23,18.85,18.23,18.78,5459000,0
2008-03-13,18.51,19.09,18.18,18.82,2037600,0
2008-03-14,18.92,19.12,18.15,18.77,2630000,0
2008-03-17,18.27,18.27,17.08,17.29,3299800,0
2008-03-18,17.61,18.23,17.49,18.23,2215000,0
2008-03-19,18.33,19.94,18.33,19.62,3762400,0
2008-03-20,19.74,21.13,19.52,21.05,4984400,0
2008-03-24,21.13,21.75,20.87,21.04,1595300,0
2008-03-25,21.33,21.33,20.64,21.12,1821300,0
2008-03-26,21.06,21.42,20.92,21.13,1697300,0
2008-03-27,21.1,21.16,19.74,19.74,2275700,0
2008-03-28,19.87,19.99,19.18,19.22,1495800,0
2008-03-31,19.0,19.7,18.93,19.38,2805900,0
2008-04-01,19.66,20.6,19.64,20.6,1988000,0
2008-04-02,20.6,20.76,19.83,20.62,2933600,0
2008-04-03,20.51,21.18,20.5,21.14,1789100,0
2008-04-04,21.04,21.04,20.66,21.01,2083200,0
2008-04-07,21.06,21.69,21.03,21.41,2554500,0
2008-04-08,21.04,21.17,20.68,20.75,2693100,0
2008-04-09,20.75,20.91,20.34,20.41,1446400,0
2008-04-10,20.44,20.91,20.19,20.8,1319100,0
2008-04-11,20.55,20.95,20.41,20.63,1569600,0
2008-04-14,20.41,21.48,20.24,21.07,1991500,0
2008-04-15,21.37,21.49,21.0,21.25,1535600,0
2008-04-16,21.44,21.44,20.91,21.39,1967700,0
2008-04-17,21.26,21.58,21.05,21.49,1440100,0
2008-04-18,21.72,21.92,21.26,21.34,1588000,0
2008-04-21,21.14,21.72,20.92,21.17,1445400,0
2008-04-22,20.93,21.33,20.83,21.2,2304900,0
2008-04-23,21.21,21.27,20.85,21.11,1964900,0
2008-04-24,21.11,21.11,20.23,20.6,3194400,0
2008-04-25,20.7,20.81,20.39,20.8,2556600,0
2008-04-28,20.82,20.99,20.66,20.92,1304600,0
2008-04-29,20.89,21.11,19.91,20.02,1791300,0
2008-04-30,19.92,19.92,18.43,18.73,6126600,0
2008-05-01,18.7,20.76,18.52,20.72,3745800,0
