Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,32.66,32.69,30.3,31.19,316100,0
2008-01-03,31.25,31.25,29.7,29.7,483400,0
2008-01-04,29.58,30.0,27.69,27.77,298500,0
2008-01-07,27.99,28.13,26.39,27.31,405800,0
2008-01-08,27.44,28.19,26.59,26.64,237800,0
2008-01-09,26.63,26.81,25.2,25.85,475600,0
2008-01-10,25.47,26.3,25.14,25.8,282200,0
2008-01-11,25.65,26.29,24.57,24.57,232200,0
2008-01-14,24.88,25.53,24.88,25.33,296000,0
2008-01-15,24.93,25.31,24.3,24.67,192700,0
2008-01-16,24.59,25.29,23.9,24.59,211800,0
2008-01-17,24.69,24.82,22.48,22.71,250800,0
2008-01-18,23.24,23.67,22.81,23.2,503200,0
2008-01-22,22.15,23.8,22.04,23.5,287200,0
2008-01-23,22.39,25.33,22.0,24.99,543900,0
2008-01-24,25.2,26.5,24.82,25.2,722100,0
2008-01-25,25.67,25.67,23.94,24.6,454500,0
2008-01-28,24.57,25.17,24.0,24.92,375600,0
2008-01-29,25.12,25.23,24.43,24.95,368200,0
2008-01-30,24.72,25.58,24.39,25.0,559900,0
2008-01-31,24.74,25.9,24.52,25.57,376200,0
2008-02-01,25.89,27.95,25.38,27.8,444100,0
2008-02-04,27.67,28.08,27.28,27.41,290100,0
2008-02-05,27.24,27.35,26.57,26.7,338900,0
2008-02-06,26.97,28.49,26.96,27.98,349700,0
2008-02-07,27.5,29.22,26.71,28.84,498700,0
2008-02-08,28.71,28.85,28.11,28.37,301100,0
2008-02-11,28.35,29.48,28.34,29.24,208800,0
2008-02-12,29.45,29.45,28.21,28.48,356700,0
2008-02-13,28.86,30.22,28.55,30.16,429900,0
2008-02-14,30.29,30.29,28.79,29.2,334900,0
2008-02-15,28.93,28.93,27.58,28.19,324400,0
2008-02-19,28.59,30.18,28.42,29.58,251300,0
2008-02-20,29.32,30.02,28.82,29.94,290800,0
2008-02-21,30.12,31.0,29.33,29.55,362500,0
2008-02-22,29.65,29.77,28.22,29.32,380900,0
2008-02-25,29.18,30.18,28.96,30.12,194400,0
2008-02-26,29.86,30.58,29.28,29.68,241000,0
2008-02-27,29.36,30.82,29.36,30.39,289600,0
2008-02-28,29.89,30.87,28.17,29.69,249200,0
2008-02-29,29.39,29.4,28.48,28.64,201400,0
2008-03-03,28.6,29.82,28.25,28.97,227500,0
2008-03-04,28.64,28.9,27.85,28.48,375600,0
2008-03-05,28.69,29.37,28.5,29.2,197500,0
2008-03-06,29.01,29.35,27.75,27.75,219800,0
2008-03-07,27.38,27.55,26.61,27.08,115400,0
2008-03-10,27.08,27.1,26.05,26.1,191400,0
2008-03-11,26.89,28.57,26.74,28.53,270500,0
2008-03-12,28.59,29.5,28.15,28.85,186400,0
2008-03-13,28.46,30.19,28.19,29.54,241700,0
2008-03-14,29.86,29.86,28.23,28.94,225900,0
2008-03-17,28.05,29.22,27.51,28.5,297400,0
2008-03-18,29.24,29.29,27.81,29.18,189000,0
2008-03-19,29.46,30.18,27.59,28.21,182300,0
2008-03-20,28.56,28.99,27.69,28.63,385600,0
2008-03-24,28.8,30.0,28.68,29.94,204100,0
2008-03-25,29.99,31.0,29.51,30.82,244000,0
2008-03-26,30.61,30.7,29.86,30.49,204400,0
2008-03-27,30.5,31.32,30.22,31.0,251800,0
2008-03-28,30.91,31.34,30.76,30.95,174700,0
2008-03-31,31.09,31.3,30.38,30.98,329900,0
2008-04-01,30.97,31.89,30.97,31.8,453300,0
