Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,23.07,23.42,22.5,23.11,280700,0
2008-01-03,23.12,23.25,22.61,22.64,157900,0
2008-01-04,22.45,22.8,22.3,22.61,164000,0
2008-01-07,22.86,23.17,22.59,23.12,208200,0
2008-01-08,23.18,23.48,22.51,22.55,288700,0
2008-01-09,22.49,23.32,22.36,23.22,283900,0
2008-01-10,22.95,23.67,22.95,23.55,301400,0
2008-01-11,23.35,23.81,23.32,23.39,322600,0
2008-01-14,23.59,23.59,22.98,23.34,176400,0
2008-01-15,23.04,23.45,22.84,22.99,215000,0
2008-01-16,22.94,23.62,22.94,23.35,117500,0
2008-01-17,23.35,23.46,22.88,23.0,109800,0
2008-01-18,22.99,23.12,21.54,21.59,267100,0
2008-01-22,21.14,22.21,21.14,22.07,226100,0
2008-01-23,21.6,23.07,21.44,23.06,338500,0
2008-01-24,23.23,23.61,22.94,23.31,297500,0
2008-01-25,23.47,23.47,22.74,22.83,225100,0
2008-01-28,22.78,23.66,22.28,23.54,394700,0
2008-01-29,23.64,24.01,23.64,23.93,245300,0
2008-01-30,23.72,24.4,23.72,23.93,247400,0
2008-01-31,23.58,24.59,23.58,24.3,323300,0
2008-02-01,24.4,24.82,23.94,24.61,246000,0
2008-02-04,24.49,24.73,24.01,24.48,277600,0
2008-02-05,24.0,24.46,23.89,24.0,214400,0
2008-02-06,24.24,24.34,23.88,24.24,152500,0
2008-02-07,25.66,27.29,24.36,27.13,698000,0
2008-02-08,27.01,27.01,26.02,26.4,542100,0
2008-02-11,26.46,27.48,26.44,27.22,395500,0
2008-02-12,27.34,27.73,26.94,27.47,186900,0
2008-02-13,27.76,28.1,27.39,28.07,194200,0
2008-02-14,28.07,28.33,27.68,28.03,328600,0
2008-02-15,27.88,27.95,27.23,27.58,171300,0
2008-02-19,27.69,27.91,27.52,27.58,173400,0
2008-02-20,27.49,27.61,27.12,27.41,157800,0
2008-02-21,27.56,27.82,27.28,27.66,219000,0
2008-02-22,27.75,27.75,26.96,27.44,155800,0
2008-02-25,27.5,27.69,26.98,27.54,154100,0
2008-02-26,27.3,28.04,27.3,27.77,241200,0
2008-02-27,27.55,28.35,27.5,28.22,184800,0
2008-02-28,28.06,28.06,27.44,27.53,137400,0
2008-02-29,27.25,27.68,26.94,26.96,219200,0
2008-03-03,26.97,27.26,26.82,27.26,247800,0
2008-03-04,27.0,27.38,26.89,27.3,477100,0
2008-03-05,27.45,27.45,26.62,26.9,247500,0
2008-03-06,26.75,26.88,26.15,26.19,135800,0
2008-03-07,26.01,26.19,25.9,25.9,96200,0
2008-03-10,26.06,26.06,25.11,25.15,144300,0
2008-03-11,25.65,25.73,25.34,25.48,295300,0
2008-03-12,25.54,25.54,24.87,24.88,171200,0
2008-03-13,24.72,25.14,24.34,24.96,154100,0
2008-03-14,25.13,25.2,24.27,24.51,185300,0
2008-03-17,24.22,24.78,24.0,24.23,138500,0
2008-03-18,24.76,25.66,24.49,25.51,140200,0
2008-03-19,25.71,25.76,24.79,24.79,522200,0
2008-03-20,25.04,25.77,24.28,25.42,930800,0
2008-03-24,25.49,25.71,24.85,25.56,668500,0
2008-03-25,25.61,25.97,25.04,25.74,252400,0
2008-03-26,25.64,26.74,25.37,26.69,300600,0
2008-03-27,26.75,26.75,26.01,26.02,189800,0
2008-03-28,26.11,26.37,25.2,25.21,196600,0
2008-03-31,25.31,25.75,25.23,25.64,406700,0
2008-04-01,25.73,25.96,25.25,25.79,370200,0
2008-04-02,25.88,25.99,25.42,25.61,187900,0
2008-04-03,25.52,25.75,25.39,25.46,190200,0
2008-04-04,25.58,25.58,25.31,25.48,99000,0
2008-04-07,25.63,25.93,25.18,25.46,309400,0
2008-04-08,25.31,25.91,25.31,25.8,72700,0
2008-04-09,25.9,25.9,25.0,25.17,97700,0
2008-04-10,25.21,25.7,25.19,25.57,128600,0
2008-04-11,25.35,25.35,23.92,23.93,317800,0
2008-04-14,23.97,24.08,23.65,23.9,168900,0
2008-04-15,24.01,24.3,23.61,24.17,121200,0
2008-04-16,24.46,24.74,24.07,24.69,128200,0
2008-04-17,24.57,24.77,24.14,24.25,86500,0
2008-04-18,24.76,25.31,24.55,25.12,170400,0
2008-04-21,24.96,25.93,24.96,25.3,176300,0
2008-04-22,25.13,25.31,24.27,24.77,120400,0
2008-04-23,24.89,24.89,24.33,24.76,146700,0
2008-04-24,24.61,25.89,24.3,25.4,192700,0
2008-04-25,25.47,25.47,24.94,25.28,141600,0
2008-04-28,25.2,25.98,24.79,25.5,187800,0
2008-04-29,25.56,25.56,24.81,25.18,151300,0
2008-04-30,25.28,26.25,25.0,25.52,182000,0
2008-05-01,25.55,25.69,25.34,25.65,142800,0
2008-05-02,25.91,26.22,25.29,25.73,137600,0
2008-05-05,25.72,25.81,25.08,25.74,74900,0
2008-05-06,25.64,26.17,25.31,25.59,134200,0
2008-05-07,25.67,25.97,24.95,24.99,68200,0
2008-05-08,25.09,25.34,24.6,24.82,103700,0
2008-05-09,24.61,25.64,24.19,25.61,134300,0
2008-05-12,25.66,25.99,25.3,25.75,113100,0
2008-05-13,25.69,25.95,25.14,25.64,172300,0
2008-05-14,25.65,26.03,24.94,25.7,118700,0
2008-05-15,25.65,25.81,25.29,25.57,101900,0
2008-05-16,25.72,25.82,25.4,25.7,143800,0
2008-05-19,25.64,26.06,25.28,25.58,124600,0
2008-05-20,25.65,25.86,25.4,25.8,71500,0
2008-05-21,25.92,26.58,25.91,26.05,113300,0
2008-05-22,26.19,26.29,25.91,26.18,134400,0
2008-05-23,26.0,26.12,25.65,25.68,78600,0
2008-05-27,25.7,26.53,25.7,26.34,148900,0
2008-05-28,26.52,26.6,26.25,26.53,143600,0
2008-05-29,26.5,27.01,26.5,26.84,78600,0
2008-05-30,26.83,26.83,26.39,26.69,221600,0
2008-06-02,26.78,26.92,26.07,26.29,256800,0
2008-06-03,26.45,26.86,26.21,26.41,138200,0
2008-06-04,26.46,27.29,26.44,26.96,103900,0
2008-06-05,26.95,27.25,26.86,27.22,83700,0
2008-06-06,27.01,27.33,26.88,26.88,103700,0
2008-06-09,26.88,26.88,26.0,26.29,88500,0
2008-06-10,26.04,26.2,25.92,26.0,105900,0
2008-06-11,26.0,26.2,25.72,25.72,139900,0
2008-06-12,25.96,26.4,25.71,26.13,107400,0
2008-06-13,26.41,26.54,25.95,26.38,118300,0
2008-06-16,26.33,27.2,26.16,27.2,110900,0
2008-06-17,27.23,27.26,26.84,27.06,92600,0
2008-06-18,26.99,27.29,26.88,26.89,74600,0
2008-06-19,26.89,27.2,26.61,27.05,84600,0
2008-06-20,26.94,27.02,26.26,26.78,281800,0
2008-06-23,26.95,26.98,26.58,26.7,73900,0
2008-06-24,26.45,26.96,26.31,26.85,161500,0
2008-06-25,26.87,27.19,26.24,26.94,150800,0
2008-06-26,26.75,27.18,26.65,27.06,179400,0
2008-06-27,26.95,27.09,26.5,26.75,489400,0
2008-06-30,26.71,26.84,26.12,26.55,166900,0
2008-07-01,26.22,27.2,25.57,25.6,325200,0
2008-07-02,25.53,26.07,25.18,25.36,177900,0
2008-07-03,25.37,25.38,24.88,25.02,45500,0
2008-07-07,25.12,25.51,24.94,25.27,141600,0
2008-07-08,25.36,25.76,25.25,25.48,254500,0
2008-07-09,25.55,26.38,25.41,25.68,301100,0
2008-07-10,25.7,26.64,25.69,26.44,169000,0
2008-07-11,26.16,28.09,26.16,27.73,260900,0
2008-07-14,27.79,28.01,27.55,27.75,349600,0
2008-07-15,27.4,28.23,27.4,27.61,240500,0
2008-07-16,27.67,28.72,27.43,28.58,192400,0
2008-07-17,28.69,28.98,27.04,28.01,457500,0
2008-07-18,28.05,28.61,27.29,28.06,238900,0
2008-07-21,28.17,28.49,27.81,28.1,140300,0
2008-07-22,27.9,28.57,27.9,28.34,380900,0
2008-07-23,28.35,28.39,27.93,28.14,222300,0
2008-07-24,28.43,30.38,28.41,29.57,657300,0
2008-07-25,29.7,30.42,29.7,30.42,438600,0
2008-07-28,30.4,30.85,30.14,30.45,489700,0
2008-07-29,30.5,31.4,30.43,31.0,348000,0
2008-07-30,31.1,31.63,30.53,30.98,337600,0
2008-07-31,31.02,31.5,30.39,30.39,345800,0
2008-08-01,30.57,31.12,30.02,30.81,313400,0
2008-08-04,30.69,31.16,30.57,30.84,262600,0
2008-08-05,30.96,31.1,30.49,31.08,316000,0
2008-08-06,31.09,31.64,31.02,31.3,327800,0
2008-08-07,31.16,31.64,30.85,31.08,261700,0
2008-08-08,31.2,32.0,31.07,31.9,141600,0
2008-08-11,31.94,32.48,31.4,32.05,266000,0
2008-08-12,32.0,32.69,31.73,31.9,186400,0
2008-08-13,31.84,32.39,31.84,32.18,221400,0
2008-08-14,31.87,32.24,31.5,31.96,223500,0
2008-08-15,32.05,32.05,31.48,31.9,307500,0
2008-08-18,31.85,31.85,30.99,31.46,367700,0
2008-08-19,31.47,31.47,30.73,31.09,353800,0
2008-08-20,31.15,31.35,30.82,31.05,285900,0
2008-08-21,30.84,31.05,30.25,30.66,264900,0
2008-08-22,30.86,31.13,30.62,31.0,119800,0
2008-08-25,30.9,30.9,29.91,30.3,297500,0
2008-08-26,30.26,31.15,30.26,30.95,236600,0
2008-08-27,31.11,31.81,31.11,31.81,334300,0
2008-08-28,31.82,32.03,31.74,32.0,410900,0
2008-08-29,31.91,32.08,31.81,31.96,132100,0
2008-09-02,32.19,32.79,31.77,32.03,212900,0
2008-09-03,31.91,32.37,31.72,32.22,202300,0
2008-09-04,32.08,32.37,31.88,31.93,224000,0
2008-09-05,31.93,32.0,31.15,31.79,148900,0
2008-09-08,32.04,32.3,31.61,32.2,172000,0
2008-09-09,32.31,32.67,31.54,31.58,213000,0
2008-09-10,31.4,32.57,31.4,32.37,166900,0
2008-09-11,32.43,32.49,31.69,32.28,201900,0
2008-09-12,32.29,32.29,31.56,31.7,169000,0
2008-09-15,31.46,31.67,30.65,30.65,216300,0
2008-09-16,30.9,31.91,30.8,31.74,287400,0
2008-09-17,31.41,31.67,31.0,31.0,324300,0
2008-09-18,31.54,31.99,30.13,30.99,442600,0
2008-09-19,31.7,34.98,31.67,32.99,699600,0
2008-09-22,33.2,33.53,32.31,32.5,551900,0
2008-09-23,32.51,32.52,31.75,32.15,366100,0
2008-09-24,31.92,32.53,31.92,32.32,179400,0
2008-09-25,32.49,32.71,31.97,32.06,153100,0
2008-09-26,31.92,32.45,31.42,32.34,103300,0
2008-09-29,31.92,32.87,31.0,31.46,267600,0
2008-09-30,31.73,32.24,30.96,32.0,324300,0
2008-10-01,31.76,31.94,30.98,31.74,273300,0
2008-10-02,31.83,32.05,30.18,30.21,220600,0
2008-10-03,30.39,31.63,29.98,30.05,200000,0
2008-10-06,29.52,30.02,27.79,28.24,338000,0
2008-10-07,28.63,28.63,27.0,27.4,307400,0
2008-10-08,27.1,27.7,26.17,26.97,385800,0
2008-10-09,27.34,28.06,24.89,24.93,504600,0
2008-10-10,24.46,27.83,23.44,26.92,564200,0
2008-10-13,27.55,27.7,25.57,26.19,455300,0
