Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,19.83,19.93,19.12,19.19,272400,0
2008-01-03,19.06,19.18,17.9,18.02,248900,0
2008-01-04,17.81,18.51,17.52,17.88,291900,0
2008-01-07,18.0,18.66,18.0,18.51,294300,0
2008-01-08,18.64,19.18,17.74,17.8,301000,0
2008-01-09,17.63,18.01,17.3,17.79,244000,0
2008-01-10,17.62,18.11,17.25,17.68,367700,0
2008-01-11,17.38,17.38,16.66,17.15,416700,0
2008-01-14,17.09,17.25,16.93,17.0,165200,0
2008-01-15,16.78,17.19,16.61,16.78,232300,0
2008-01-16,15.42,16.3,15.16,16.03,517200,0
2008-01-17,16.05,16.22,15.74,16.01,272200,0
2008-01-18,16.01,16.38,15.76,15.98,308000,0
2008-01-22,15.01,15.84,14.06,15.11,257400,0
2008-01-23,14.79,16.07,14.5,16.01,260100,0
2008-01-24,16.07,16.21,15.57,15.69,240900,0
2008-01-25,15.95,16.01,15.53,15.64,162600,0
2008-01-28,15.54,16.04,15.06,15.68,145700,0
2008-01-29,15.74,16.53,15.56,16.14,142200,0
2008-01-30,16.04,16.16,15.3,15.67,132000,0
2008-01-31,15.35,15.89,14.89,15.64,167000,0
2008-02-01,15.73,15.88,15.3,15.6,105100,0
2008-02-04,15.59,15.82,15.24,15.49,134700,0
2008-02-05,15.12,15.63,14.84,14.85,165900,0
2008-02-06,14.94,15.13,14.76,14.86,114500,0
2008-02-07,14.73,15.33,14.5,15.15,115900,0
2008-02-08,15.08,15.27,14.75,14.78,85400,0
2008-02-11,14.77,14.92,14.5,14.56,117000,0
2008-02-12,14.66,15.0,14.66,14.76,77400,0
2008-02-13,14.93,15.21,14.78,15.15,112800,0
2008-02-14,15.17,15.22,14.68,14.81,85000,0
2008-02-15,14.71,15.02,14.5,14.98,119600,0
2008-02-19,15.15,15.15,14.45,14.59,131100,0
2008-02-20,14.5,14.54,14.07,14.46,111600,0
2008-02-21,14.59,14.88,14.0,14.0,107400,0
2008-02-22,13.99,14.3,13.6,14.12,128600,0
2008-02-25,14.15,14.6,14.12,14.55,135400,0
2008-02-26,14.55,15.09,14.5,14.83,163500,0
2008-02-27,14.66,15.02,14.6,14.79,123500,0
2008-02-28,14.7,15.25,14.67,14.73,114800,0
2008-02-29,14.65,14.75,14.34,14.41,141500,0
2008-03-03,14.5,14.74,14.4,14.73,120400,0
2008-03-04,14.72,14.75,14.21,14.45,126500,0
2008-03-05,14.6,14.69,13.73,14.23,265000,0
2008-03-06,14.4,15.81,14.37,15.05,284800,0
2008-03-07,14.75,15.75,14.75,15.24,204100,0
2008-03-10,15.36,15.48,14.86,14.92,164800,0
2008-03-11,15.37,16.04,15.28,16.04,216700,0
2008-03-12,16.06,16.06,15.38,15.44,262500,0
2008-03-13,15.16,15.58,15.02,15.48,123800,0
2008-03-14,15.56,15.75,14.7,14.97,278100,0
2008-03-17,14.55,15.94,14.2,15.45,178000,0
2008-03-18,15.85,16.3,15.03,16.27,197500,0
2008-03-19,16.36,16.36,15.2,15.2,158000,0
2008-03-20,15.36,15.7,15.01,15.62,406600,0
2008-03-24,15.71,16.22,15.15,16.13,219000,0
2008-03-25,16.16,16.16,15.54,15.8,104800,0
2008-03-26,15.69,15.76,15.28,15.54,152100,0
2008-03-27,15.62,15.73,15.49,15.51,71300,0
2008-03-28,15.53,15.6,15.15,15.25,128300,0
2008-03-31,15.28,15.28,15.0,15.13,208700,0
2008-04-01,15.31,15.78,15.25,15.55,134700,0
2008-04-02,15.58,15.67,15.18,15.36,108200,0
2008-04-03,15.16,15.88,15.08,15.3,262700,0
2008-04-04,15.51,15.65,15.18,15.19,103700,0
2008-04-07,15.25,15.54,15.2,15.29,93500,0
2008-04-08,15.32,15.54,15.23,15.41,127600,0
2008-04-09,15.46,15.59,15.14,15.2,125700,0
2008-04-10,15.17,15.47,15.05,15.43,122200,0
2008-04-11,15.01,15.01,14.19,14.22,151100,0
2008-04-14,14.26,14.68,14.22,14.45,114500,0
2008-04-15,14.5,14.75,14.2,14.44,64600,0
2008-04-16,14.61,14.9,14.45,14.87,87700,0
2008-04-17,14.78,14.87,14.39,14.58,79400,0
2008-04-18,14.86,15.05,14.72,15.05,125100,0
2008-04-21,14.96,14.96,14.4,14.7,132900,0
2008-04-22,14.57,14.63,13.88,14.2,199100,0
2008-04-23,14.3,14.38,13.99,14.18,78700,0
2008-04-24,14.17,14.65,14.05,14.52,80900,0
2008-04-25,14.68,14.68,14.12,14.44,87900,0
2008-04-28,14.5,14.5,13.81,14.23,151300,0
2008-04-29,14.18,14.39,14.06,14.25,84000,0
2008-04-30,14.32,14.35,13.95,14.3,129900,0
2008-05-01,14.32,14.73,13.96,14.72,112100,0
2008-05-02,14.74,14.89,14.55,14.71,133200,0
2008-05-05,14.62,14.62,13.85,14.17,170400,0
2008-05-06,14.02,14.29,13.91,14.21,124700,0
2008-05-07,14.35,14.39,13.99,14.17,107100,0
2008-05-08,14.31,14.4,13.93,14.4,135000,0
2008-05-09,14.18,14.25,13.96,14.03,128300,0
2008-05-12,14.05,14.38,14.0,14.28,81200,0
2008-05-13,14.29,14.46,14.05,14.41,114000,0
2008-05-14,14.46,14.54,14.06,14.12,144800,0
2008-05-15,14.08,14.12,13.91,13.94,234800,0
2008-05-16,14.0,14.0,13.67,13.73,190700,0
2008-05-19,13.67,13.8,13.61,13.7,167300,0
2008-05-20,13.6,13.79,13.57,13.76,166700,0
2008-05-21,13.77,14.0,13.6,13.73,149700,0
2008-05-22,13.79,14.01,13.76,14.01,124700,0
2008-05-23,13.92,13.97,13.43,13.77,148200,0
2008-05-27,14.32,14.97,14.17,14.93,382000,0
2008-05-28,14.99,15.31,14.75,15.25,249000,0
2008-05-29,15.17,15.58,15.13,15.22,299100,0
2008-05-30,15.45,15.45,14.96,15.0,221700,0
2008-06-02,14.93,15.35,14.9,15.31,255400,0
2008-06-03,15.34,15.5,14.93,15.45,198000,0
2008-06-04,15.37,15.61,15.05,15.11,202400,0
2008-06-05,15.1,15.54,15.05,15.42,217100,0
2008-06-06,15.39,15.52,15.1,15.36,165400,0
2008-06-09,15.37,15.58,15.28,15.34,179400,0
2008-06-10,15.19,15.26,15.01,15.07,149900,0
2008-06-11,15.06,15.18,14.73,14.73,121800,0
2008-06-12,14.89,15.2,14.78,14.79,124100,0
2008-06-13,14.96,15.18,14.82,15.18,118800,0
2008-06-16,15.17,15.53,15.01,15.48,119500,0
2008-06-17,15.5,15.98,15.26,15.48,196000,0
2008-06-18,15.45,15.48,15.08,15.16,97800,0
2008-06-19,15.16,15.88,15.11,15.71,152600,0
2008-06-20,15.65,15.77,15.26,15.36,195700,0
2008-06-23,15.39,15.62,15.22,15.35,86400,0
2008-06-24,15.19,15.62,15.08,15.31,136900,0
2008-06-25,15.43,15.93,15.41,15.69,125000,0
2008-06-26,15.45,15.64,15.22,15.36,104000,0
2008-06-27,15.27,15.27,14.69,14.7,447900,0
2008-06-30,15.29,15.29,14.61,14.89,136400,0
2008-07-01,14.66,14.88,14.29,14.72,163700,0
2008-07-02,14.74,14.96,14.49,14.7,181000,0
2008-07-03,14.57,14.65,14.17,14.18,103100,0
