Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,14.91,15.12,14.5,14.52,101400,0
2008-01-03,14.56,15.03,14.53,14.59,186400,0
2008-01-04,14.62,14.86,14.56,14.57,151500,0
2008-01-07,14.73,15.58,14.5,15.33,875500,0
2008-01-08,15.4,15.45,14.7,14.7,277100,0
2008-01-09,14.63,14.89,14.5,14.68,137400,0
2008-01-10,14.51,14.85,14.37,14.47,197600,0
2008-01-11,14.38,14.95,14.32,14.69,157600,0
2008-01-14,14.79,15.06,14.46,14.84,69400,0
2008-01-15,14.66,14.69,14.38,14.49,99400,0
2008-01-16,14.48,14.89,14.42,14.71,111000,0
2008-01-17,14.79,14.79,14.15,14.17,113500,0
2008-01-18,14.17,14.71,13.45,13.76,219100,0
2008-01-22,13.35,13.78,11.61,13.33,180600,0
2008-01-23,13.0,14.14,13.0,14.1,168600,0
2008-01-24,14.21,14.59,13.97,14.32,112400,0
2008-01-25,14.54,14.55,13.84,13.87,141100,0
2008-01-28,13.9,14.15,13.84,14.02,116000,0
2008-01-29,14.13,14.13,13.76,13.98,68300,0
2008-01-30,14.11,14.11,13.38,13.48,213600,0
2008-01-31,13.38,14.81,13.29,14.46,269900,0
2008-02-01,14.5,14.99,14.31,14.69,131400,0
2008-02-04,14.64,14.92,14.5,14.72,119900,0
2008-02-05,14.43,14.75,14.43,14.51,139000,0
2008-02-06,14.61,14.85,14.4,14.42,112800,0
2008-02-07,14.39,14.79,14.39,14.53,78000,0
2008-02-08,14.53,14.71,14.33,14.65,138600,0
2008-02-11,14.63,14.74,14.32,14.67,118400,0
2008-02-12,14.72,14.75,14.45,14.58,123800,0
2008-02-13,14.7,14.7,14.38,14.55,148000,0
2008-02-14,14.61,14.64,14.1,14.1,80100,0
2008-02-15,14.09,14.23,13.44,13.7,199400,0
2008-02-19,13.89,13.95,13.52,13.88,111900,0
2008-02-20,13.81,13.99,13.58,13.69,128100,0
2008-02-21,13.82,13.89,13.31,13.51,91600,0
2008-02-22,13.5,13.5,13.14,13.27,81600,0
2008-02-25,13.4,14.12,13.31,14.03,118400,0
2008-02-26,13.9,14.59,13.71,13.99,123000,0
