Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,37.96,38.48,37.57,38.0,793800,0
2008-01-03,38.0,38.53,37.9,38.38,492400,0
2008-01-04,38.23,38.58,37.94,38.45,663500,0
2008-01-07,38.45,38.53,37.69,37.9,651000,0
2008-01-08,37.95,38.53,37.73,37.91,490500,0
2008-01-09,38.06,38.25,37.67,38.22,523900,0
2008-01-10,38.34,39.5,37.34,38.51,912900,0
2008-01-11,38.58,38.6,37.71,38.25,492100,0
2008-01-14,38.38,38.58,37.88,38.35,564200,0
2008-01-15,38.11,38.95,37.92,38.57,524900,0
2008-01-16,38.61,38.94,37.92,38.73,639300,0
2008-01-17,38.7,39.31,38.02,38.37,536100,0
2008-01-18,38.62,38.62,37.36,37.74,645400,0
2008-01-22,37.67,38.21,36.83,37.48,549600,0
2008-01-23,36.54,37.72,36.54,37.34,899900,0
2008-01-24,37.2,37.95,36.9,37.46,360800,0
2008-01-25,37.87,38.27,36.67,36.9,447600,0
2008-01-28,36.9,37.74,36.9,37.61,679200,0
2008-01-29,37.87,38.2,37.14,37.77,800500,0
2008-01-30,37.88,39.43,37.79,38.52,763900,0
2008-01-31,38.32,39.69,38.0,39.38,846700,0
2008-02-01,39.58,41.52,39.38,41.24,1326200,0
2008-02-04,41.43,41.66,40.14,40.29,535500,0
2008-02-05,40.1,40.63,39.94,40.48,748700,0
2008-02-06,40.58,40.59,39.66,40.09,505600,0
2008-02-07,39.8,39.8,39.0,39.34,668300,0
2008-02-08,39.55,39.89,39.05,39.53,378800,0
2008-02-11,39.71,39.76,39.06,39.37,270400,0
2008-02-12,39.38,39.78,39.07,39.56,285000,0
2008-02-13,39.42,39.42,35.97,36.96,1899500,0
2008-02-14,36.6,36.88,34.59,36.13,1334800,0
2008-02-15,36.09,36.13,35.09,35.69,713400,0
2008-02-19,35.8,36.26,35.65,35.95,497100,0
2008-02-20,35.9,36.68,35.56,36.54,599100,0
2008-02-21,36.8,36.83,35.44,35.57,441100,0
2008-02-22,35.52,35.52,34.21,34.79,940900,0
2008-02-25,34.94,35.48,34.68,35.22,586500,0
2008-02-26,35.21,35.98,35.04,35.89,798500,0
2008-02-27,35.76,36.16,35.48,35.65,622900,0
2008-02-28,35.38,36.01,34.89,35.08,786500,0
2008-02-29,34.88,34.88,33.98,34.19,733900,0
2008-03-03,34.16,34.32,32.93,33.3,963200,0
2008-03-04,33.06,33.96,32.96,33.59,527400,0
2008-03-05,33.51,33.84,33.46,33.73,601900,0
2008-03-06,33.66,34.06,33.31,33.76,551100,0
2008-03-07,35.1,36.29,32.84,33.2,3276200,0
2008-03-10,33.47,33.76,31.72,31.91,1495700,0
2008-03-11,32.24,32.8,31.8,32.34,818800,0
2008-03-12,32.46,32.65,31.93,31.95,506700,0
2008-03-13,31.63,32.09,31.36,32.09,676700,0
2008-03-14,32.09,32.12,30.44,30.88,803900,0
2008-03-17,30.31,30.54,29.71,29.93,713600,0
2008-03-18,30.2,31.71,30.06,31.58,526000,0
2008-03-19,31.69,32.32,31.69,32.18,828800,0
2008-03-20,32.19,33.05,31.28,32.91,839400,0
2008-03-24,33.0,34.11,33.0,33.79,576200,0
2008-03-25,33.98,34.17,33.23,33.78,686400,0
2008-03-26,33.96,34.39,33.4,33.98,565800,0
2008-03-27,34.01,34.51,33.78,34.11,402000,0
2008-03-28,34.21,34.66,33.87,34.29,650100,0
2008-03-31,34.4,34.65,33.91,34.43,872700,0
2008-04-01,34.55,35.4,34.51,35.36,598000,0
2008-04-02,35.56,36.15,35.23,36.04,996400,0
2008-04-03,35.15,36.87,35.15,36.67,811200,0
2008-04-04,36.91,37.45,36.05,37.36,854100,0
2008-04-07,37.33,37.35,35.54,36.68,1331000,0
2008-04-08,36.45,37.44,36.29,37.36,531900,0
2008-04-09,37.21,37.49,36.46,36.8,560500,0
2008-04-10,36.83,36.95,36.44,36.71,308100,0
2008-04-11,36.53,37.67,36.53,37.1,465800,0
2008-04-14,37.0,37.0,36.58,36.76,496900,0
2008-04-15,36.83,37.79,36.21,36.49,636200,0
2008-04-16,36.63,36.76,35.35,36.36,718900,0
2008-04-17,36.25,37.05,36.22,36.74,599300,0
2008-04-18,37.07,37.13,36.04,36.1,284300,0
2008-04-21,36.04,36.06,35.16,35.31,433200,0
2008-04-22,35.25,35.25,34.27,34.68,438200,0
2008-04-23,34.67,34.96,34.2,34.73,517400,0
2008-04-24,34.63,34.82,34.16,34.45,304900,0
2008-04-25,34.39,34.96,34.22,34.82,195100,0
