Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,17.18,17.21,16.37,16.55,165600,0
2008-01-03,16.73,16.76,16.52,16.6,88300,0
2008-01-04,16.63,16.63,16.45,16.51,43900,0
2008-01-07,16.74,16.75,16.61,16.67,30900,0
2008-01-08,16.65,16.94,16.63,16.75,38600,0
2008-01-09,16.65,16.85,16.6,16.66,38100,0
2008-01-10,16.65,16.69,16.51,16.56,27700,0
2008-01-11,16.64,16.75,16.51,16.67,34000,0
2008-01-14,16.75,16.8,16.71,16.77,24000,0
2008-01-15,16.99,16.99,16.54,16.55,76100,0
2008-01-16,16.65,16.8,16.45,16.54,113500,0
2008-01-17,16.31,16.7,16.31,16.57,64400,0
2008-01-18,16.52,16.8,16.4,16.4,88400,0
2008-01-22,15.88,17.05,15.87,16.4,172800,0
2008-01-23,16.01,16.55,16.0,16.3,88600,0
2008-01-24,16.48,17.0,16.35,16.5,77100,0
2008-01-25,16.98,16.99,16.55,16.88,47000,0
2008-01-28,17.89,17.89,16.66,16.75,80900,0
2008-01-29,16.97,16.97,16.5,16.59,132200,0
2008-01-30,16.43,16.43,16.14,16.16,51900,0
2008-01-31,16.05,16.48,16.0,16.36,75900,0
2008-02-01,16.36,16.51,16.36,16.51,52600,0
2008-02-04,16.5,16.95,16.4,16.9,68000,0
2008-02-05,16.8,17.0,16.78,16.96,68400,0
2008-02-06,17.17,17.17,16.92,17.15,116300,0
2008-02-07,17.17,17.18,16.68,16.68,51500,0
2008-02-08,16.68,16.97,16.68,16.8,24000,0
2008-02-11,16.9,17.09,16.8,17.02,50200,0
2008-02-12,17.19,17.19,16.85,17.1,43700,0
2008-02-13,16.95,17.07,16.71,17.05,40400,0
2008-02-14,17.19,17.2,16.51,16.51,51400,0
2008-02-15,16.55,16.8,16.3,16.39,55900,0
2008-02-19,16.71,17.2,16.68,16.95,75200,0
2008-02-20,16.91,16.99,16.75,16.82,24000,0
2008-02-21,17.0,17.0,16.83,16.93,13600,0
2008-02-22,17.0,17.0,16.82,16.96,16500,0
2008-02-25,17.12,17.25,17.0,17.17,62700,0
2008-02-26,17.22,17.43,17.13,17.39,62400,0
2008-02-27,17.17,17.57,16.97,17.0,39800,0
2008-02-28,16.77,17.29,16.77,16.98,30500,0
2008-02-29,16.92,17.01,16.79,16.79,44400,0
2008-03-03,16.71,16.85,16.51,16.52,48000,0
2008-03-04,16.48,16.75,16.37,16.37,45100,0
2008-03-05,16.54,16.59,16.4,16.4,50400,0
2008-03-06,16.5,16.5,16.0,16.01,40100,0
2008-03-07,16.0,16.25,15.82,15.82,48100,0
2008-03-10,15.76,15.93,15.51,15.51,89800,0
2008-03-11,15.74,15.81,15.32,15.32,51200,0
2008-03-12,15.29,15.53,15.15,15.48,161400,0
2008-03-13,15.36,15.67,15.23,15.65,1864800,0
2008-03-14,15.65,15.74,15.55,15.7,455400,0
2008-03-17,15.48,15.7,13.57,14.85,635000,0
2008-03-18,15.02,15.31,14.01,15.31,94300,0
2008-03-19,15.55,15.55,15.0,15.04,43400,0
2008-03-20,15.0,15.25,14.93,15.25,76400,0
2008-03-24,15.5,16.0,15.25,15.28,52600,0
2008-03-25,15.41,15.58,15.25,15.38,50400,0
2008-03-26,15.27,15.34,14.9,15.0,75200,0
2008-03-27,15.15,15.18,14.95,15.0,67200,0
2008-03-28,15.0,15.05,14.93,14.98,18600,0
2008-03-31,15.04,15.04,14.85,14.92,16900,0
2008-04-01,15.0,15.11,14.8,15.1,30400,0
2008-04-02,15.22,15.35,15.07,15.21,19300,0
2008-04-03,15.21,15.5,15.21,15.42,15000,0
2008-04-04,15.5,15.69,15.27,15.49,12900,0
2008-04-07,15.69,16.33,15.69,15.79,76600,0
2008-04-08,15.89,16.14,15.75,16.04,39500,0
2008-04-09,16.05,16.18,15.98,16.14,49900,0
2008-04-10,16.25,16.25,15.61,15.84,32000,0
2008-04-11,15.77,15.88,15.37,15.42,56100,0
2008-04-14,15.49,15.56,15.4,15.5,52200,0
2008-04-15,15.49,15.53,14.99,15.02,112300,0
2008-04-16,14.75,15.09,13.7,13.82,318900,0
2008-04-17,13.89,14.39,10.11,11.63,1649800,0
2008-04-18,11.11,12.73,11.1,12.2,965300,0
2008-04-21,12.24,12.24,9.1,10.48,1178200,0
2008-04-22,9.93,12.39,9.92,12.02,814300,0
2008-04-23,12.67,13.47,11.97,13.05,663500,0
2008-04-24,12.91,13.6,12.55,13.6,573800,0
2008-04-25,13.68,13.71,13.0,13.6,299500,0
2008-04-28,13.65,13.65,13.07,13.6,117800,0
2008-04-29,13.39,13.39,12.5,12.51,115700,0
2008-04-30,12.62,12.66,12.23,12.35,122800,0
2008-05-01,12.44,12.44,11.4,11.4,115300,0
