Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,37.11,37.61,36.69,37.14,202800,0
2008-01-03,37.28,38.56,37.14,37.58,188600,0
2008-01-04,37.3,37.37,36.23,36.27,165200,0
2008-01-07,37.39,37.49,36.2,37.03,462100,0
2008-01-08,37.45,37.88,36.31,36.33,222800,0
2008-01-09,36.27,36.6,35.23,35.9,232000,0
2008-01-10,35.75,35.75,34.65,35.13,400400,0
2008-01-11,35.0,35.66,34.86,35.25,269400,0
2008-01-14,35.6,36.63,35.48,36.46,169900,0
2008-01-15,35.62,36.97,35.62,35.92,283200,0
2008-01-16,35.66,36.56,34.56,35.17,248000,0
2008-01-17,35.28,36.0,34.57,34.91,221200,0
2008-01-18,34.49,34.75,31.52,33.2,947900,0
2008-01-22,32.15,34.75,32.15,33.9,361500,0
2008-01-23,33.16,35.45,32.84,35.16,451900,0
2008-01-24,35.52,36.36,34.75,35.39,430300,0
2008-01-25,35.84,36.62,34.21,34.63,311400,0
2008-01-28,34.62,35.77,34.15,35.45,143500,0
2008-01-29,35.7,35.81,34.81,35.07,113800,0
2008-01-30,34.86,35.52,33.99,34.16,295700,0
2008-01-31,33.99,34.61,32.5,34.35,712600,0
2008-02-01,34.25,35.9,33.89,35.85,510700,0
2008-02-04,36.0,36.0,34.04,35.63,493300,0
2008-02-05,35.01,35.94,34.61,34.7,205200,0
2008-02-06,34.98,34.98,33.81,34.05,211400,0
2008-02-07,33.92,34.42,33.4,33.68,235200,0
2008-02-08,33.78,34.56,33.78,34.2,184800,0
2008-02-11,34.1,34.77,33.48,34.68,205200,0
2008-02-12,34.76,36.37,34.0,36.1,419800,0
2008-02-13,36.62,39.0,36.56,38.14,650900,0
2008-02-14,38.14,38.99,37.31,37.62,408400,0
2008-02-15,37.54,37.87,36.66,37.46,243500,0
2008-02-19,38.25,39.14,37.96,38.45,202200,0
2008-02-20,38.46,38.88,38.02,38.7,377200,0
2008-02-21,38.96,39.04,37.58,37.77,283300,0
2008-02-22,37.81,38.14,37.26,37.95,252000,0
2008-02-25,37.86,39.43,37.72,39.02,453300,0
2008-02-26,38.79,39.78,38.5,39.4,509400,0
2008-02-27,39.15,39.39,38.07,38.13,436700,0
2008-02-28,38.11,39.19,37.9,38.45,427700,0
2008-02-29,37.95,38.14,36.91,36.94,358600,0
2008-03-03,37.0,37.84,36.56,37.37,475100,0
2008-03-04,36.95,37.03,35.4,35.91,566100,0
2008-03-05,36.2,36.31,35.39,35.87,595900,0
2008-03-06,35.74,37.03,35.74,36.18,299800,0
2008-03-07,35.77,36.24,35.38,35.66,471800,0
2008-03-10,35.58,35.9,34.86,35.2,247500,0
2008-03-11,35.98,36.71,35.68,36.35,234900,0
2008-03-12,36.48,36.67,35.66,35.87,223600,0
2008-03-13,35.62,37.7,34.93,37.62,304800,0
2008-03-14,37.94,37.94,35.75,37.28,244400,0
2008-03-17,36.32,36.71,35.71,35.76,257700,0
2008-03-18,36.7,37.71,36.45,37.63,275200,0
2008-03-19,37.69,37.85,36.11,36.11,231300,0
2008-03-20,36.63,37.73,35.91,36.2,457000,0
2008-03-24,36.37,37.92,36.22,36.99,227200,0
2008-03-25,37.24,38.48,37.13,38.08,213400,0
2008-03-26,38.02,39.56,37.84,39.44,237300,0
2008-03-27,39.57,39.58,38.98,39.02,192500,0
2008-03-28,38.82,39.49,38.52,38.66,98200,0
2008-03-31,38.76,40.3,38.6,40.1,238500,0
2008-04-01,40.11,41.43,39.51,41.4,295100,0
2008-04-02,41.7,42.5,41.18,42.27,209300,0
2008-04-03,41.49,42.11,40.72,41.24,436900,0
2008-04-04,41.03,42.0,40.65,41.72,285400,0
2008-04-07,42.19,42.52,42.04,42.26,283200,0
2008-04-08,41.9,42.38,41.57,42.09,190100,0
2008-04-09,42.29,42.71,42.09,42.36,269800,0
2008-04-10,42.16,44.07,42.01,44.07,347200,0
2008-04-11,43.63,43.75,42.57,42.63,231100,0
2008-04-14,42.71,43.94,42.45,43.12,206300,0
2008-04-15,43.44,43.75,43.0,43.03,347400,0
2008-04-16,43.53,44.15,43.04,44.13,400600,0
2008-04-17,43.96,45.0,43.95,44.79,250200,0
2008-04-18,45.14,46.6,44.67,46.56,209400,0
2008-04-21,46.36,47.0,45.75,46.69,276000,0
2008-04-22,46.34,46.54,45.17,45.99,199800,0
2008-04-23,46.0,46.11,44.37,45.54,329700,0
