Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,74.73,75.38,73.27,74.57,458500,0
2008-01-03,74.46,75.26,73.8,74.3,385100,0
2008-01-04,73.45,73.87,71.91,72.04,640400,0
2008-01-07,72.51,72.82,68.0,69.69,652500,0
2008-01-08,69.8,71.1,66.83,66.93,755700,0
2008-01-09,66.33,66.5,63.98,65.23,881900,0
2008-01-10,64.89,66.59,64.0,65.74,1132000,0
2008-01-11,64.31,65.49,63.74,64.6,518800,0
2008-01-14,64.92,67.24,64.92,66.96,551500,0
2008-01-15,66.54,66.64,63.54,64.25,874000,0
2008-01-16,64.0,64.99,61.47,62.79,804400,0
2008-01-17,62.93,63.85,58.62,59.01,704800,0
2008-01-18,59.25,61.11,58.39,60.81,852000,0
2008-01-22,58.48,60.4,57.0,58.42,1339600,0
2008-01-23,55.87,56.1,50.77,55.71,1937600,0
2008-01-24,56.75,60.11,56.53,59.53,1081700,0
2008-01-25,60.98,62.64,59.02,59.59,708100,0
2008-01-28,59.15,60.01,57.78,59.99,537900,0
2008-01-29,62.75,65.6,61.71,65.15,972900,0
2008-01-30,63.61,64.0,60.8,61.56,1023500,0
2008-01-31,61.05,62.64,59.4,61.53,819300,0
2008-02-01,61.88,63.51,60.83,61.96,691300,0
2008-02-04,62.6,63.23,62.01,62.26,367200,0
2008-02-05,61.4,61.69,60.0,60.29,555400,0
2008-02-06,61.0,61.47,58.69,58.87,478300,0
2008-02-07,58.76,61.12,57.76,60.54,475900,0
2008-02-08,60.3,61.35,59.34,60.33,371100,0
2008-02-11,60.51,61.25,59.7,60.82,322100,0
2008-02-12,61.82,62.45,60.1,60.81,534000,0
2008-02-13,62.1,62.37,61.03,62.14,464600,0
2008-02-14,62.04,62.9,61.55,61.93,274900,0
2008-02-15,61.59,61.81,59.94,61.4,451600,0
2008-02-19,62.38,63.71,62.14,62.78,274100,0
2008-02-20,62.0,63.7,61.45,63.44,548900,0
2008-02-21,63.59,64.75,62.72,62.77,560600,0
2008-02-22,63.17,64.17,61.83,63.98,535200,0
2008-02-25,64.18,67.67,63.76,67.21,727300,0
2008-02-26,66.94,68.61,66.39,66.84,766400,0
2008-02-27,66.47,67.27,65.26,66.13,522100,0
2008-02-28,65.52,66.89,64.98,66.13,324300,0
2008-02-29,65.39,66.09,62.3,62.83,419800,0
2008-03-03,63.47,64.48,62.5,64.04,546100,0
2008-03-04,63.5,64.95,60.97,62.35,784200,0
2008-03-05,62.9,64.72,62.42,64.63,480700,0
2008-03-06,64.18,64.93,61.45,61.71,573900,0
2008-03-07,60.82,61.33,58.65,59.26,551300,0
2008-03-10,59.23,59.23,55.6,55.78,969700,0
2008-03-11,59.28,59.28,55.73,58.01,730400,0
2008-03-12,58.98,59.25,57.74,58.83,472900,0
2008-03-13,58.23,62.94,57.75,62.18,774100,0
2008-03-14,62.82,62.94,59.4,60.45,520600,0
2008-03-17,59.03,60.63,58.12,59.82,573200,0
2008-03-18,61.0,62.57,60.1,62.23,590000,0
2008-03-19,62.22,63.43,58.01,58.01,559800,0
2008-03-20,57.94,59.31,56.66,58.81,716600,0
2008-03-24,58.98,60.85,58.76,59.87,517500,0
2008-03-25,59.42,61.16,59.42,60.5,509000,0
2008-03-26,60.08,60.5,59.1,59.44,532400,0
2008-03-27,58.76,59.59,57.42,57.6,599400,0
2008-03-28,57.47,57.73,55.76,56.65,635100,0
2008-03-31,57.43,57.43,55.15,55.97,1122000,0
2008-04-01,57.17,60.31,56.59,59.21,1152500,0
2008-04-02,58.8,60.39,58.33,59.95,635800,0
2008-04-03,60.09,60.97,59.56,59.92,926900,0
2008-04-04,60.36,61.91,59.65,61.33,637600,0
2008-04-07,61.8,63.07,60.44,60.69,391600,0
2008-04-08,60.14,62.78,59.96,62.18,366800,0
2008-04-09,61.98,62.3,59.68,60.07,561700,0
2008-04-10,60.19,60.76,59.0,60.49,271100,0
2008-04-11,59.25,60.02,58.8,59.3,399500,0
2008-04-14,54.75,55.1,48.1,49.86,4189500,0
2008-04-15,50.28,51.92,49.86,51.77,1416100,0
2008-04-16,52.28,54.22,52.18,53.99,1206600,0
2008-04-17,53.65,54.02,52.29,52.38,821900,0
2008-04-18,53.24,54.8,52.97,54.03,742100,0
2008-04-21,53.5,55.02,53.5,54.84,729700,0
2008-04-22,54.71,55.28,52.7,53.09,680600,0
2008-04-23,53.0,53.72,51.96,53.47,541500,0
2008-04-24,53.84,53.84,51.48,52.74,423800,0
2008-04-25,52.99,54.07,52.26,54.07,340600,0
2008-04-28,54.19,55.06,53.35,53.96,539800,0
2008-04-29,53.68,53.68,45.2,51.7,3103600,0
2008-04-30,51.9,52.58,50.82,51.28,764100,0
2008-05-01,51.27,52.39,50.88,52.29,1224800,0
2008-05-02,52.96,54.0,52.2,53.68,887600,0
2008-05-05,53.73,55.17,53.54,54.73,1034600,0
2008-05-06,54.31,55.7,53.71,55.1,796400,0
2008-05-07,55.07,56.68,54.82,55.33,958300,0
2008-05-08,55.65,56.58,55.63,55.97,961300,0
2008-05-09,55.4,56.73,54.97,56.42,1001700,0
2008-05-12,56.46,58.5,56.03,58.25,708500,0
2008-05-13,58.24,59.54,58.1,59.04,886700,0
2008-05-14,59.53,61.0,58.9,59.5,937500,0
2008-05-15,59.59,60.2,59.15,59.59,991100,0
2008-05-16,60.35,61.22,59.23,60.2,2119400,0
2008-05-19,60.34,61.75,60.16,60.66,618000,0
2008-05-20,60.83,61.21,59.21,60.72,675000,0
2008-05-21,60.94,61.47,58.8,58.87,426000,0
2008-05-22,58.87,60.06,57.7,57.95,508200,0
2008-05-23,57.87,58.43,56.59,57.1,831600,0
2008-05-27,57.13,57.25,56.08,56.67,718200,0
2008-05-28,56.75,57.5,55.68,57.25,1174500,0
2008-05-29,57.03,57.25,54.99,55.37,1222600,0
2008-05-30,55.61,55.99,54.71,55.2,936000,0
2008-06-02,54.96,55.9,53.36,53.81,1047200,0
2008-06-03,53.91,54.0,51.26,52.1,1907200,0
2008-06-04,51.75,52.45,50.94,51.22,831700,0
2008-06-05,50.51,50.51,47.62,48.31,2558200,0
2008-06-06,48.19,49.05,47.78,48.02,1142500,0
2008-06-09,48.31,49.55,48.31,49.55,1043500,0
2008-06-10,49.25,49.86,47.44,47.44,1393200,0
2008-06-11,47.5,48.17,46.75,47.15,823900,0
2008-06-12,47.49,47.75,46.27,46.64,577100,0
2008-06-13,47.19,48.59,46.91,48.59,662500,0
2008-06-16,48.73,48.85,47.56,47.69,742300,0
2008-06-17,47.78,48.75,47.36,47.49,567400,0
2008-06-18,47.2,47.31,45.92,46.77,564100,0
2008-06-19,46.9,46.95,45.56,46.37,1085600,0
2008-06-20,46.18,47.05,45.36,45.53,1159100,0
2008-06-23,45.64,46.82,45.61,46.6,654400,0
2008-06-24,47.03,47.36,45.27,45.27,838700,0
2008-06-25,45.59,46.29,44.23,45.91,715000,0
2008-06-26,45.18,45.47,42.63,43.3,1378800,0
2008-06-27,43.3,44.14,41.69,43.97,1296400,0
2008-06-30,44.0,44.73,43.5,43.65,527100,0
2008-07-01,43.1,43.1,41.45,42.65,779400,0
2008-07-02,42.76,43.12,40.63,40.63,1284300,0
2008-07-03,40.49,42.05,40.29,40.78,573700,0
2008-07-07,40.83,42.27,40.08,41.03,728400,0
2008-07-08,40.73,40.88,38.82,40.73,665300,0
2008-07-09,40.92,42.0,39.59,39.93,651200,0
2008-07-10,38.01,41.11,38.01,40.2,664300,0
2008-07-11,39.93,40.87,39.03,40.25,627500,0
2008-07-14,40.88,41.84,39.53,39.98,587900,0
2008-07-15,39.68,40.24,37.12,39.57,946300,0
2008-07-16,39.76,41.02,38.45,40.89,623100,0
2008-07-17,40.57,42.4,40.15,40.73,844500,0
2008-07-18,40.67,41.34,39.86,40.01,671900,0
2008-07-21,40.25,42.29,40.25,41.95,566800,0
2008-07-22,41.77,41.77,38.93,39.68,1017000,0
2008-07-23,39.49,40.37,39.17,39.39,822000,0
2008-07-24,39.33,39.33,35.62,36.26,840200,0
2008-07-25,36.72,37.69,36.25,37.47,648100,0
2008-07-28,37.6,38.42,37.32,37.39,540600,0
2008-07-29,38.0,39.09,37.41,38.83,651200,0
2008-07-30,38.98,40.22,38.94,39.6,613800,0
