Date,Open,High,Low,Close,Volume,Dividend
2008-01-02,27.87,28.0,27.18,27.46,965200,0
2008-01-03,27.7,28.23,27.56,27.7,739500,0
2008-01-04,27.59,27.68,26.84,26.98,1055800,0
2008-01-07,26.97,27.19,26.19,26.54,871300,0
2008-01-08,26.55,27.14,26.31,26.43,716500,0
2008-01-09,26.31,26.49,25.12,25.95,1587800,0
2008-01-10,25.6,26.48,25.5,26.16,872400,0
2008-01-11,25.97,26.12,25.64,25.8,366500,0
2008-01-14,25.97,26.04,25.45,25.61,1159200,0
2008-01-15,25.47,25.66,25.22,25.25,557900,0
2008-01-16,25.14,25.33,24.6,24.86,935300,0
2008-01-17,25.03,25.06,23.9,24.04,1108300,0
2008-01-18,24.42,24.42,23.71,24.17,614400,0
2008-01-22,23.34,24.51,23.0,23.95,1246900,0
2008-01-23,23.55,24.6,22.89,24.36,1771100,0
2008-01-24,24.26,24.75,24.02,24.59,627200,0
2008-01-25,24.77,24.86,24.37,24.56,661800,0
2008-01-28,24.75,24.86,24.0,24.86,758100,0
2008-01-29,25.05,25.12,24.65,24.81,662100,0
2008-01-30,24.93,25.17,24.56,24.7,668600,0
2008-01-31,24.41,25.65,24.02,25.35,1106300,0
2008-02-01,25.32,26.14,25.18,25.99,789800,0
2008-02-04,26.12,26.65,25.74,26.31,595800,0
2008-02-05,25.9,26.0,25.27,25.37,657600,0
2008-02-06,25.4,26.1,25.05,25.18,727000,0
2008-02-07,25.05,25.65,24.9,25.64,773100,0
2008-02-08,25.47,25.98,25.34,25.58,621300,0
2008-02-11,25.75,26.02,25.25,25.73,446800,0
2008-02-12,25.75,26.25,25.75,26.07,463000,0
2008-02-13,26.35,27.3,26.16,26.99,1234000,0
2008-02-14,27.1,27.35,26.36,26.49,419800,0
2008-02-15,26.31,26.62,26.21,26.47,239400,0
2008-02-19,26.6,27.07,26.35,26.55,479800,0
2008-02-20,26.57,26.57,26.01,26.43,588100,0
2008-02-21,26.58,26.89,26.14,26.26,399600,0
2008-02-22,26.19,26.83,26.19,26.82,595900,0
2008-02-25,26.71,27.0,26.42,26.89,511500,0
2008-02-26,27.02,27.06,26.4,26.7,697800,0
2008-02-27,27.41,27.88,26.8,27.65,1966300,0
2008-02-28,27.77,28.51,27.59,28.43,1781600,0
2008-02-29,28.16,28.82,28.11,28.68,1239700,0
2008-03-03,28.77,29.31,28.63,29.11,2987900,0
2008-03-04,28.9,29.49,28.71,29.33,2451700,0
2008-03-05,29.49,29.5,28.91,29.42,1338600,0
2008-03-06,29.4,29.4,28.82,28.97,1004800,0
2008-03-07,28.79,28.79,27.67,27.9,1270000,0
2008-03-10,28.11,28.11,27.16,27.21,890800,0
2008-03-11,27.68,27.81,27.06,27.6,811200,0
2008-03-12,27.5,27.99,27.5,27.67,949700,0
2008-03-13,27.56,28.05,27.2,27.92,711300,0
2008-03-14,28.27,28.27,27.11,27.46,651300,0
2008-03-17,27.0,27.1,26.35,26.94,768300,0
2008-03-18,27.34,27.55,26.79,27.39,521200,0
2008-03-19,27.42,28.03,27.31,27.33,928300,0
2008-03-20,27.4,27.95,26.94,27.82,685400,0
2008-03-24,28.07,28.94,27.95,28.4,903900,0
2008-03-25,28.54,28.81,28.03,28.16,1033500,0
2008-03-26,28.14,28.14,27.63,27.64,816600,0
2008-03-27,27.56,27.69,27.0,27.04,896600,0
2008-03-28,27.23,27.39,26.96,27.2,774300,0
2008-03-31,27.3,27.55,26.92,27.5,979000,0
